Dates,CCI Values
2022-08-25,27.4290
2022-08-24,-57.7055
2022-08-23,-128.0577
2022-08-22,-199.0716
2022-08-19,-152.7040
2022-08-18,-15.1595
2022-08-17,-14.3378
2022-08-16,127.0044
2022-08-15,120.0586
2022-08-12,93.6729
2022-08-11,94.8362
2022-08-10,106.2121
2022-08-09,26.7942
2022-08-08,71.1106
2022-08-05,56.7147
2022-08-04,85.6691
2022-08-03,98.8537
2022-08-02,116.7070
2022-08-01,260.8363
2022-07-29,53.8299
2022-07-28,43.0944
2022-07-27,48.4779
2022-07-26,43.8169
2022-07-25,46.5994
2022-07-22,104.5430
2022-07-21,133.1214
2022-07-20,151.0136
2022-07-19,148.5443
2022-07-18,128.9014
2022-07-15,123.0424
2022-07-14,119.4496
2022-07-13,142.7727
2022-07-12,175.8259
2022-07-11,-39.4568
2022-07-08,33.7696
2022-07-07,78.4741
2022-07-06,-31.5630
2022-07-05,-67.9025
2022-07-01,57.3488
2022-06-30,-54.9657
2022-06-29,25.0113
2022-06-28,105.6692
2022-06-27,71.1824
2022-06-24,94.3044
2022-06-23,35.4233
2022-06-22,54.3218
2022-06-21,64.5664
2022-06-17,40.1903
2022-06-16,10.2726
2022-06-15,-18.2638
2022-06-14,-130.7456
2022-06-13,-196.0227
2022-06-10,-111.5339
2022-06-09,10.9164
2022-06-08,79.1557
2022-06-07,89.2928
2022-06-06,104.7140
2022-06-03,128.4795
2022-06-02,157.9745
2022-06-01,90.9373
2022-05-31,100.8032
2022-05-27,122.7648
2022-05-26,37.4647
2022-05-25,-88.7997
2022-05-24,-140.4007
2022-05-23,-94.2608
2022-05-20,-110.8370
2022-05-19,-59.8485
2022-05-18,-59.3040
2022-05-17,-45.7318
2022-05-16,-82.3716
2022-05-13,-94.0376
2022-05-12,-141.1405
2022-05-11,-131.1548
2022-05-10,-182.4358
2022-05-09,-203.0344
2022-05-06,-74.0386
2022-05-05,-45.3411
2022-05-04,-39.5805
2022-05-03,-64.6037
2022-05-02,-104.8218
2022-04-29,-115.7096
2022-04-28,-150.7182
2022-04-27,-230.5999
2022-04-26,-175.0283
2022-04-25,-119.3380
2022-04-22,-39.0825
2022-04-21,74.4605
2022-04-20,108.1529
2022-04-19,101.9470
2022-04-18,-2.1047
2022-04-14,22.3346
2022-04-13,-15.4722
2022-04-12,-69.6784
2022-04-11,-90.9942
2022-04-08,-121.9088
2022-04-07,-158.5698
2022-04-06,-205.0878
2022-04-05,-107.7536
2022-04-04,-10.2756
2022-04-01,23.0975
2022-03-31,83.7221
2022-03-30,140.3552
2022-03-29,172.6900
2022-03-28,4.0690
2022-03-25,55.8492
2022-03-24,40.6866
2022-03-23,41.2223
2022-03-22,81.6815
2022-03-21,37.4627
2022-03-18,148.7270
2022-03-17,154.6122
2022-03-16,106.9535
2022-03-15,-28.4446
2022-03-14,-66.6009
2022-03-11,-47.9200
2022-03-10,-61.0014
2022-03-09,-68.8372
2022-03-08,-131.8617
2022-03-07,-200.1663
2022-03-04,-198.1687
2022-03-03,-117.4622
2022-03-02,-64.6118
2022-03-01,-75.3568
2022-02-28,-36.4102
2022-02-25,-60.3474
2022-02-24,-143.1216
2022-02-23,-171.7357
2022-02-22,-227.2988
2022-02-18,-96.5998
2022-02-17,23.3007
2022-02-16,89.3359
2022-02-15,92.0973
2022-02-14,12.6542
2022-02-11,71.6138
2022-02-10,131.6179
2022-02-09,109.6215
2022-02-08,98.2807
2022-02-07,103.1878
2022-02-04,72.4678
2022-02-03,75.8982
2022-02-02,51.2828
2022-02-01,26.2998
2022-01-31,-52.4529
2022-01-28,-113.3812
2022-01-27,-112.4273
2022-01-26,-116.4204
2022-01-25,-117.3580
2022-01-24,-164.1084
2022-01-21,-135.0049
2022-01-20,-22.7271
2022-01-19,28.6424
2022-01-18,128.1325
2022-01-14,144.1776
2022-01-13,169.5081
2022-01-12,118.6006
2022-01-11,66.2078
2022-01-10,28.9772
2022-01-07,109.4469
2022-01-06,86.2738
2022-01-05,169.2081
2022-01-04,206.5309
2022-01-03,106.9228
2021-12-31,28.0449
2021-12-30,62.0860
2021-12-29,76.0476
2021-12-28,121.1982
2021-12-27,92.8219
2021-12-23,104.0244
2021-12-22,51.1067
2021-12-21,-21.1687
2021-12-20,-111.4355
2021-12-17,-101.1312
2021-12-16,-102.7234
2021-12-15,-110.5313
2021-12-14,-66.6580
2021-12-13,-46.1793
2021-12-10,48.1953
2021-12-09,76.7788
2021-12-08,112.0362
2021-12-07,94.5397
2021-12-06,24.6461
2021-12-03,-48.9873
2021-12-02,-51.8622
2021-12-01,-110.0928
2021-11-30,-103.2260
2021-11-29,-106.0606
2021-11-26,-152.9336
2021-11-24,-108.0839
2021-11-23,-135.5851
2021-11-22,-154.9618
2021-11-19,-108.5277
2021-11-18,68.5584
2021-11-17,78.1886
2021-11-16,111.5054
2021-11-15,184.2292
2021-11-12,51.9721
2021-11-11,51.0192
2021-11-10,67.0984
2021-11-09,86.7880
2021-11-08,178.6667
2021-11-05,237.2308
2021-11-04,62.9938
2021-11-03,36.7598
2021-11-02,33.1903
2021-11-01,-0.1374
2021-10-29,-112.7675
2021-10-28,-145.0649
2021-10-27,-167.9623
2021-10-26,-156.2788
2021-10-25,-112.9402
2021-10-22,-90.6050
2021-10-21,-77.5992
2021-10-20,-76.9712
2021-10-19,-97.9435
2021-10-18,-132.0808
2021-10-15,-150.0435
2021-10-14,-194.4847
2021-10-13,-119.2350
2021-10-12,-4.2041
2021-10-11,110.1677
