Dates,CMO Values
2023-07-20,5.7026
2023-07-19,1.7377
2023-07-18,4.2851
2023-07-17,4.5442
2023-07-14,5.6158
2023-07-13,8.8795
2023-07-12,9.1099
2023-07-11,10.5644
2023-07-10,6.5309
2023-07-07,5.6047
2023-07-06,6.0473
2023-07-05,6.6284
2023-07-03,4.8586
2023-06-30,5.0546
2023-06-29,5.5944
2023-06-28,4.8001
2023-06-27,3.8791
2023-06-26,1.0798
2023-06-23,0.9550
2023-06-22,1.1021
2023-06-21,5.9979
2023-06-20,6.2238
2023-06-16,12.3930
2023-06-15,12.0118
2023-06-14,10.3577
2023-06-13,13.2505
2023-06-12,14.2456
2023-06-09,11.5008
2023-06-08,12.1631
2023-06-07,8.0274
2023-06-06,4.7268
2023-06-05,5.9230
2023-06-02,9.6634
2023-06-01,5.8153
2023-05-31,4.1278
2023-05-30,3.3696
2023-05-26,2.5771
2023-05-25,0.4947
2023-05-24,-0.7285
2023-05-23,1.8245
2023-05-22,4.4408
2023-05-19,4.1345
2023-05-18,5.5156
2023-05-17,5.2553
2023-05-16,0.9163
2023-05-15,2.3712
2023-05-12,0.8450
2023-05-11,1.7031
2023-05-10,0.9787
2023-05-09,1.7429
2023-05-08,-1.6044
2023-05-05,-0.8304
2023-05-04,-1.7674
2023-05-03,0.9991
2023-05-02,2.6938
2023-05-01,3.1470
2023-04-28,5.2846
2023-04-27,4.7929
2023-04-26,2.7811
2023-04-25,2.2160
2023-04-24,4.7593
2023-04-21,4.3554
2023-04-20,5.8309
2023-04-19,6.8848
2023-04-18,6.6756
2023-04-17,4.6122
2023-04-14,2.5126
2023-04-13,11.0873
2023-04-12,10.3137
2023-04-11,10.3015
2023-04-10,9.3684
2023-04-06,9.7972
2023-04-05,8.9851
2023-04-04,11.7930
2023-04-03,12.8818
2023-03-31,11.1979
2023-03-30,10.4009
2023-03-29,8.6259
2023-03-28,6.8528
2023-03-27,4.1957
2023-03-24,2.3044
2023-03-23,2.5459
2023-03-22,1.4742
2023-03-21,7.1413
2023-03-20,7.1894
2023-03-17,4.9681
2023-03-16,6.4038
