Dates,ADXR Values
2023-07-20,11.4612
2023-07-19,12.5784
2023-07-18,12.4872
2023-07-17,12.7140
2023-07-14,13.9626
2023-07-13,15.0515
2023-07-12,15.1717
2023-07-11,15.0710
2023-07-10,14.9080
2023-07-07,15.0821
2023-07-06,15.0929
2023-07-05,14.6241
2023-07-03,14.9471
2023-06-30,16.3059
2023-06-29,16.6698
2023-06-28,17.6480
2023-06-27,18.5345
2023-06-26,18.1144
2023-06-23,17.0459
2023-06-22,16.1740
2023-06-21,15.3488
2023-06-20,16.1981
2023-06-16,17.4254
2023-06-15,16.8229
2023-06-14,16.0021
2023-06-13,15.7936
2023-06-12,15.6678
2023-06-09,14.8051
2023-06-08,15.2988
2023-06-07,14.8282
2023-06-06,15.4585
2023-06-05,16.0076
2023-06-02,15.1721
2023-06-01,13.1912
2023-05-31,11.9156
2023-05-30,11.4620
2023-05-26,11.8200
2023-05-25,12.9948
2023-05-24,13.3429
2023-05-23,13.9309
2023-05-22,14.6277
2023-05-19,14.7488
2023-05-18,13.4507
2023-05-17,11.8733
2023-05-16,10.1206
2023-05-15,11.0650
2023-05-12,11.7480
2023-05-11,12.5465
2023-05-10,13.7744
2023-05-09,15.0322
2023-05-08,16.4019
2023-05-05,15.6420
2023-05-04,15.0117
2023-05-03,14.4870
2023-05-02,15.5714
2023-05-01,16.5739
2023-04-28,17.2577
2023-04-27,17.7544
2023-04-26,17.7277
2023-04-25,18.6305
2023-04-24,18.4601
2023-04-21,18.1627
2023-04-20,18.0778
2023-04-19,18.6394
2023-04-18,19.3197
2023-04-17,19.5686
2023-04-14,18.4444
2023-04-13,17.2284
2023-04-12,17.0640
2023-04-11,17.4879
2023-04-10,17.8300
2023-04-06,17.9507
2023-04-05,17.5392
2023-04-04,17.1365
2023-04-03,16.7006
2023-03-31,16.5861
2023-03-30,16.5985
2023-03-29,16.2931
2023-03-28,16.5605
2023-03-27,16.9309
2023-03-24,17.5061
2023-03-23,17.4879
2023-03-22,17.1369
