Dates,RSI Values
2023-07-20,52.8513
2023-07-19,50.8688
2023-07-18,52.1426
2023-07-17,52.2721
2023-07-14,52.8079
2023-07-13,54.4398
2023-07-12,54.5549
2023-07-11,55.2822
2023-07-10,53.2655
2023-07-07,52.8023
2023-07-06,53.0236
2023-07-05,53.3142
2023-07-03,52.4293
2023-06-30,52.5273
2023-06-29,52.7972
2023-06-28,52.4001
2023-06-27,51.9395
2023-06-26,50.5399
2023-06-23,50.4775
2023-06-22,50.5511
2023-06-21,52.9989
2023-06-20,53.1119
2023-06-16,56.1965
2023-06-15,56.0059
2023-06-14,55.1788
2023-06-13,56.6252
2023-06-12,57.1228
2023-06-09,55.7504
2023-06-08,56.0815
2023-06-07,54.0137
2023-06-06,52.3634
2023-06-05,52.9615
2023-06-02,54.8317
2023-06-01,52.9077
2023-05-31,52.0639
2023-05-30,51.6848
2023-05-26,51.2885
2023-05-25,50.2473
2023-05-24,49.6358
2023-05-23,50.9122
2023-05-22,52.2204
2023-05-19,52.0673
2023-05-18,52.7578
2023-05-17,52.6276
2023-05-16,50.4582
2023-05-15,51.1856
2023-05-12,50.4225
2023-05-11,50.8515
2023-05-10,50.4894
2023-05-09,50.8714
2023-05-08,49.1978
2023-05-05,49.5848
2023-05-04,49.1163
2023-05-03,50.4995
2023-05-02,51.3469
2023-05-01,51.5735
2023-04-28,52.6423
2023-04-27,52.3964
2023-04-26,51.3906
2023-04-25,51.1080
2023-04-24,52.3796
2023-04-21,52.1777
2023-04-20,52.9155
2023-04-19,53.4424
2023-04-18,53.3378
2023-04-17,52.3061
2023-04-14,51.2563
2023-04-13,55.5436
2023-04-12,55.1569
2023-04-11,55.1507
2023-04-10,54.6842
2023-04-06,54.8986
2023-04-05,54.4926
2023-04-04,55.8965
2023-04-03,56.4409
2023-03-31,55.5990
2023-03-30,55.2005
2023-03-29,54.3130
2023-03-28,53.4264
2023-03-27,52.0979
2023-03-24,51.1522
2023-03-23,51.2730
2023-03-22,50.7371
2023-03-21,53.5707
2023-03-20,53.5947
2023-03-17,52.4841
2023-03-16,53.2019
2023-03-15,51.6952
2023-03-14,54.8470
2023-03-13,53.6532
2023-03-10,53.5609
2023-03-09,53.0012
2023-03-08,55.1215
2023-03-07,55.3837
2023-03-06,56.8568
2023-03-03,58.0637
2023-03-02,56.6356
2023-03-01,54.9969
2023-02-28,54.0708
2023-02-27,53.7318
2023-02-24,53.0114
2023-02-23,56.7524
2023-02-22,56.0303
2023-02-21,55.9573
2023-02-17,58.3870
2023-02-16,58.6104
2023-02-15,60.7776
2023-02-14,61.2059
2023-02-13,60.4486
2023-02-10,59.6885
2023-02-09,59.4394
2023-02-08,60.0496
2023-02-07,60.5579
2023-02-06,58.3794
2023-02-03,58.1514
2023-02-02,59.4803
2023-02-01,61.7260
2023-01-31,61.2623
2023-01-30,60.3670
2023-01-27,60.9893
2023-01-26,61.6368
2023-01-25,61.6240
2023-01-24,61.4476
2023-01-23,60.9422
2023-01-20,60.1241
2023-01-19,60.2513
2023-01-18,61.1421
2023-01-17,61.9154
2023-01-13,62.9771
2023-01-12,63.0511
2023-01-11,61.5865
2023-01-10,61.2660
2023-01-09,61.9770
2023-01-06,63.6839
2023-01-05,61.8207
2023-01-04,61.4945
2023-01-03,59.4174
2022-12-30,58.1018
2022-12-29,57.6682
2022-12-28,57.5237
2022-12-27,57.8965
2022-12-23,57.8072
2022-12-22,57.5971
2022-12-21,60.4169
2022-12-20,58.4329
2022-12-19,57.7300
2022-12-16,57.4654
2022-12-15,57.2028
2022-12-14,58.8486
2022-12-13,58.5597
2022-12-12,58.3396
2022-12-09,56.5708
2022-12-08,56.4470
2022-12-07,55.7534
2022-12-06,56.4120
2022-12-05,58.7631
2022-12-02,58.1922
2022-12-01,56.3074
2022-11-30,57.4166
2022-11-29,56.4512
2022-11-28,55.4816
2022-11-25,57.8431
2022-11-23,56.8762
2022-11-22,56.2173
2022-11-21,56.3754
2022-11-18,56.7127
2022-11-17,56.4141
2022-11-16,56.3901
2022-11-15,57.3005
2022-11-14,56.8384
2022-11-11,58.1892
2022-11-10,58.2202
2022-11-09,55.9639
2022-11-08,56.2603
2022-11-07,55.0104
2022-11-04,53.6604
2022-11-03,52.7357
2022-11-02,49.9303
2022-11-01,48.6413
2022-10-31,48.3600
2022-10-28,48.7601
2022-10-27,47.4533
2022-10-26,45.4587
2022-10-25,49.4187
2022-10-24,47.8255
2022-10-21,47.5686
2022-10-20,46.7986
2022-10-19,46.5386
2022-10-18,46.1728
2022-10-17,45.7397
2022-10-14,44.7144
2022-10-13,44.4519
2022-10-12,43.7613
2022-10-11,44.0732
2022-10-10,44.1617
2022-10-07,43.4500
2022-10-06,44.0789
2022-10-05,44.0492
2022-10-04,44.4080
2022-10-03,41.9386
2022-09-30,40.2045
2022-09-29,41.2366
2022-09-28,43.3162
2022-09-27,41.1910
2022-09-26,41.1290
2022-09-23,42.1329
2022-09-22,44.1396
2022-09-21,45.4435
2022-09-20,46.2177
2022-09-19,45.8561
2022-09-16,45.6568
2022-09-15,47.2425
2022-09-14,47.0719
2022-09-13,46.4352
2022-09-12,49.8755
2022-09-09,49.4898
2022-09-08,49.5739
2022-09-07,48.9949
2022-09-06,47.8599
2022-09-02,47.6772
2022-09-01,48.2116
2022-08-31,50.1861
2022-08-30,50.7924
2022-08-29,51.7967
2022-08-26,51.5364
2022-08-25,53.0672
2022-08-24,51.3805
2022-08-23,50.3117
2022-08-22,49.9789
2022-08-19,51.1934
2022-08-18,53.0432
2022-08-17,52.6098
2022-08-16,54.2157
2022-08-15,53.7594
2022-08-12,53.6243
2022-08-11,53.0333
2022-08-10,53.3936
2022-08-09,52.2304
2022-08-08,52.5509
2022-08-05,52.3165
2022-08-04,52.7552
2022-08-03,52.7968
2022-08-02,51.9047
2022-08-01,53.6160
2022-07-29,50.9442
2022-07-28,50.8817
2022-07-27,50.0310
2022-07-26,49.9829
2022-07-25,50.1834
2022-07-22,50.6035
2022-07-21,51.5068
2022-07-20,50.7028
2022-07-19,50.1007
2022-07-18,47.7636
2022-07-15,47.7689
2022-07-14,47.6035
2022-07-13,46.7067
2022-07-12,47.5035
2022-07-11,44.5608
2022-07-08,45.0676
2022-07-07,45.2860
2022-07-06,44.2084
2022-07-05,44.5349
2022-07-01,45.0366
2022-06-30,44.1374
2022-06-29,44.5333
2022-06-28,44.5899
2022-06-27,44.5944
2022-06-24,45.2153
2022-06-23,43.1274
2022-06-22,43.8180
2022-06-21,43.7044
2022-06-17,43.7150
2022-06-16,42.7830
2022-06-15,42.8558
2022-06-14,39.6239
2022-06-13,37.7434
2022-06-10,39.8968
2022-06-09,41.2916
2022-06-08,42.5701
2022-06-07,42.8323
2022-06-06,42.3705
2022-06-03,42.3726
2022-06-02,42.6343
2022-06-01,39.7615
2022-05-31,39.9106
2022-05-27,40.0736
2022-05-26,38.7442
2022-05-25,37.0190
2022-05-24,36.1928
2022-05-23,37.0285
2022-05-20,35.9831
2022-05-19,37.1378
2022-05-18,36.6365
2022-05-17,37.8280
2022-05-16,35.3018
2022-05-13,35.8641
2022-05-12,34.5472
2022-05-11,35.6516
2022-05-10,36.2993
2022-05-09,36.3648
2022-05-06,39.3793
2022-05-05,39.7041
