Dates,WMA Values
2023-07-20,211.9147
2023-07-19,211.7541
2023-07-18,211.7819
2023-07-17,211.6818
2023-07-14,211.5614
2023-07-13,211.3842
2023-07-12,211.0506
2023-07-11,210.6987
2023-07-10,210.2721
2023-07-07,210.0511
2023-07-06,209.8699
2023-07-05,209.6628
2023-07-03,209.4224
2023-06-30,209.2727
2023-06-29,209.1117
2023-06-28,208.9217
2023-06-27,208.7708
2023-06-26,208.6644
2023-06-23,208.7153
2023-06-22,208.7783
2023-06-21,208.8387
2023-06-20,208.6444
2023-06-16,208.4379
2023-06-15,207.9247
2023-06-14,207.4300
2023-06-13,207.0325
2023-06-12,206.4923
2023-06-09,205.8976
2023-06-08,205.4623
2023-06-07,204.9852
2023-06-06,204.7416
2023-06-05,204.6723
2023-06-02,204.5360
2023-06-01,204.2082
2023-05-31,204.0881
2023-05-30,204.0559
2023-05-26,204.0604
2023-05-25,204.1061
2023-05-24,204.2580
2023-05-23,204.4789
2023-05-22,204.5699
2023-05-19,204.5288
2023-05-18,204.5008
2023-05-17,204.4042
2023-05-16,204.3229
2023-05-15,204.4856
2023-05-12,204.5834
2023-05-11,204.7698
2023-05-10,204.9136
2023-05-09,205.0971
2023-05-08,205.2388
2023-05-05,205.5623
2023-05-04,205.8511
2023-05-03,206.1974
2023-05-02,206.3951
2023-05-01,206.5085
2023-04-28,206.6040
2023-04-27,206.5938
2023-04-26,206.6224
2023-04-25,206.7789
2023-04-24,206.9767
2023-04-21,207.0390
2023-04-20,207.1322
2023-04-19,207.1497
2023-04-18,207.1077
2023-04-17,207.0772
2023-04-14,207.1810
2023-04-13,207.4252
2023-04-12,207.2032
2023-04-11,207.0280
2023-04-10,206.8527
2023-04-06,206.7393
2023-04-05,206.6039
2023-04-04,206.5237
2023-04-03,206.2874
2023-03-31,205.9860
2023-03-30,205.7965
2023-03-29,205.6602
2023-03-28,205.6470
2023-03-27,205.7590
2023-03-24,206.0540
2023-03-23,206.4764
2023-03-22,206.8912
2023-03-21,207.3840
2023-03-20,207.5483
2023-03-17,207.7101
2023-03-16,208.0199
2023-03-15,208.2395
2023-03-14,208.6485
2023-03-13,208.6873
2023-03-10,208.8677
2023-03-09,209.0491
2023-03-08,209.2928
2023-03-07,209.2878
2023-03-06,209.2453
2023-03-03,209.0274
2023-03-02,208.6613
2023-03-01,208.4734
2023-02-28,208.4852
2023-02-27,208.6042
2023-02-24,208.7555
2023-02-23,208.9881
2023-02-22,208.8068
2023-02-21,208.6976
2023-02-17,208.5751
2023-02-16,208.1857
2023-02-15,207.7534
2023-02-14,207.0890
2023-02-13,206.3515
2023-02-10,205.6949
2023-02-09,205.1171
2023-02-08,204.5431
2023-02-07,203.8824
2023-02-06,203.1409
2023-02-03,202.6842
2023-02-02,202.2331
2023-02-01,201.6235
2023-01-31,200.7688
2023-01-30,199.9512
2023-01-27,199.2372
2023-01-26,198.4349
2023-01-25,197.5438
2023-01-24,196.6271
2023-01-23,195.7039
2023-01-20,194.8279
2023-01-19,194.0450
2023-01-18,193.2122
2023-01-17,192.2472
2023-01-13,191.1535
2023-01-12,189.8976
2023-01-11,188.5780
2023-01-10,187.4547
2023-01-09,186.3315
2023-01-06,185.0758
2023-01-05,183.5944
2023-01-04,182.3778
2023-01-03,181.1652
2022-12-30,180.2321
2022-12-29,179.4502
2022-12-28,178.6898
2022-12-27,177.9092
2022-12-23,177.0445
2022-12-22,176.1487
2022-12-21,175.2393
2022-12-20,173.9755
2022-12-19,172.9697
2022-12-16,172.0225
2022-12-15,171.0725
2022-12-14,170.1205
2022-12-13,168.9480
2022-12-12,167.7714
2022-12-09,166.5774
2022-12-08,165.6048
2022-12-07,164.6145
2022-12-06,163.6869
2022-12-05,162.6436
2022-12-02,161.2965
2022-12-01,160.0021
2022-11-30,158.9604
2022-11-29,157.7712
2022-11-28,156.6978
2022-11-25,155.7396
2022-11-23,154.5030
2022-11-22,153.3839
2022-11-21,152.3372
2022-11-18,151.2621
2022-11-17,150.1369
2022-11-16,149.0435
2022-11-15,147.9405
2022-11-14,146.7152
2022-11-11,145.5434
2022-11-10,144.1984
2022-11-09,142.8363
2022-11-08,141.8157
2022-11-07,140.7574
2022-11-04,139.8834
2022-11-03,139.2089
2022-11-02,138.6677
2022-11-01,138.5027
2022-10-31,138.5079
2022-10-28,138.5633
2022-10-27,138.5860
2022-10-26,138.7902
2022-10-25,139.2586
2022-10-24,139.2413
2022-10-21,139.4263
2022-10-20,139.6608
2022-10-19,140.0047
2022-10-18,140.3983
2022-10-17,140.8554
2022-10-14,141.3843
2022-10-13,142.0547
2022-10-12,142.7813
2022-10-11,143.6113
2022-10-10,144.4257
2022-10-07,145.2486
2022-10-06,146.1772
2022-10-05,147.0301
2022-10-04,147.9051
2022-10-03,148.7434
2022-09-30,149.8994
2022-09-29,151.2820
2022-09-28,152.5238
2022-09-27,153.4654
2022-09-26,154.6554
2022-09-23,155.8680
2022-09-22,156.9394
2022-09-21,157.7227
2022-09-20,158.3295
2022-09-19,158.8253
2022-09-16,159.3581
2022-09-15,159.9107
2022-09-14,160.2374
2022-09-13,160.5755
2022-09-12,160.9841
2022-09-09,160.9280
2022-09-08,160.9041
2022-09-07,160.8546
2022-09-06,160.8637
2022-09-02,161.0039
2022-09-01,161.1525
2022-08-31,161.2160
2022-08-30,161.0026
2022-08-29,160.6924
2022-08-26,160.2312
2022-08-25,159.7807
2022-08-24,159.1030
2022-08-23,158.6145
2022-08-22,158.2386
2022-08-19,157.8855
2022-08-18,157.3597
2022-08-17,156.5857
2022-08-16,155.8483
2022-08-15,154.8937
2022-08-12,153.9788
2022-08-11,153.0518
2022-08-10,152.1790
2022-08-09,151.2326
2022-08-08,150.4206
2022-08-05,149.5334
2022-08-04,148.6438
2022-08-03,147.6637
2022-08-02,146.6420
2022-08-01,145.7238
2022-07-29,144.5443
2022-07-28,143.7262
2022-07-27,142.8893
2022-07-26,142.1473
2022-07-25,141.3863
2022-07-22,140.5757
2022-07-21,139.6857
2022-07-20,138.6462
2022-07-19,137.7181
2022-07-18,136.8738
2022-07-15,136.3666
2022-07-14,135.8632
2022-07-13,135.3840
2022-07-12,135.0342
2022-07-11,134.5644
2022-07-08,134.5067
2022-07-07,134.3895
2022-07-06,134.2651
2022-07-05,134.3161
2022-07-01,134.3465
2022-06-30,134.3274
2022-06-29,134.4692
2022-06-28,134.5756
2022-06-27,134.7062
2022-06-24,134.8705
2022-06-23,134.9520
2022-06-22,135.3621
2022-06-21,135.6770
2022-06-17,136.0403
2022-06-16,136.4344
2022-06-15,137.0022
2022-06-14,137.6009
2022-06-13,138.7067
2022-06-10,140.1189
2022-06-09,141.1476
2022-06-08,141.9594
2022-06-07,142.5779
2022-06-06,143.1875
2022-06-03,143.8981
2022-06-02,144.6450
2022-06-01,145.3825
2022-05-31,146.5497
2022-05-27,147.7356
2022-05-26,148.9344
2022-05-25,150.3578
2022-05-24,152.0488
2022-05-23,153.8882
2022-05-20,155.5853
2022-05-19,157.4599
2022-05-18,159.1222
2022-05-17,160.8860
2022-05-16,162.4227
2022-05-13,164.3178
2022-05-12,166.1376
2022-05-11,168.1753
2022-05-10,170.0192
2022-05-09,171.7803
2022-05-06,173.5807
2022-05-05,174.8087
2022-05-04,176.0111
2022-05-03,176.9913
2022-05-02,178.1480
2022-04-29,179.5505
2022-04-28,180.9990
2022-04-27,182.2864
2022-04-26,183.6079
2022-04-25,184.4715
2022-04-22,185.0210
2022-04-21,185.5613
2022-04-20,185.9662
2022-04-19,186.2941
2022-04-18,186.5428
2022-04-14,187.0526
2022-04-13,187.5006
2022-04-12,187.9321
2022-04-11,188.6408
2022-04-08,189.4107
2022-04-07,190.1854
2022-04-06,190.8642
2022-04-05,191.5335
2022-04-04,192.0656
2022-04-01,192.2744
2022-03-31,192.5180
2022-03-30,192.7526
2022-03-29,192.8772
2022-03-28,193.0705
2022-03-25,193.5130
2022-03-24,193.9468
2022-03-23,194.3980
2022-03-22,194.9853
2022-03-21,195.3959
2022-03-18,196.0279
2022-03-17,196.4040
2022-03-16,196.9021
2022-03-15,197.4620
2022-03-14,198.3955
2022-03-11,199.5218
2022-03-10,200.6418
2022-03-09,201.6988
2022-03-08,202.7684
2022-03-07,204.0485
2022-03-04,205.5358
2022-03-03,206.5800
2022-03-02,207.3098
2022-03-01,207.6842
2022-02-28,208.1691
2022-02-25,208.2372
2022-02-24,208.4520
2022-02-23,208.7856
2022-02-22,209.2047
2022-02-18,209.5399
