Dates,T3 Values
2023-07-20,213.6731
2023-07-19,213.7307
2023-07-18,213.6885
2023-07-17,213.4258
2023-07-14,213.0122
2023-07-13,212.4900
2023-07-12,211.9603
2023-07-11,211.5678
2023-07-10,211.3710
2023-07-07,211.4018
2023-07-06,211.5534
2023-07-05,211.8312
2023-07-03,212.2742
2023-06-30,212.8965
2023-06-29,213.6479
2023-06-28,214.5217
2023-06-27,215.4775
2023-06-26,216.3926
2023-06-23,217.0988
2023-06-22,217.3903
2023-06-21,217.1775
2023-06-20,216.4532
2023-06-16,215.3598
2023-06-15,213.9713
2023-06-14,212.4943
2023-06-13,210.9568
2023-06-12,209.4045
2023-06-09,208.0089
2023-06-08,206.8460
2023-06-07,205.8765
2023-06-06,205.1131
2023-06-05,204.4204
2023-06-02,203.7581
2023-06-01,203.2395
2023-05-31,202.9624
2023-05-30,202.7959
2023-05-26,202.6742
2023-05-25,202.5433
2023-05-24,202.3315
2023-05-23,201.9542
2023-05-22,201.4166
2023-05-19,200.8593
2023-05-18,200.4111
2023-05-17,200.1280
2023-05-16,200.0837
2023-05-15,200.2572
2023-05-12,200.5423
2023-05-11,200.9887
2023-05-10,201.5661
2023-05-09,202.2929
2023-05-08,203.1252
2023-05-05,204.0139
2023-05-04,204.8095
2023-05-03,205.4936
2023-05-02,206.0439
2023-05-01,206.5604
2023-04-28,207.1031
2023-04-27,207.7004
2023-04-26,208.3895
2023-04-25,209.0935
2023-04-24,209.7003
2023-04-21,210.1802
2023-04-20,210.5825
2023-04-19,210.8755
2023-04-18,211.0752
2023-04-17,211.1504
2023-04-14,211.0005
2023-04-13,210.4931
2023-04-12,209.6226
2023-04-11,208.6602
2023-04-10,207.5813
2023-04-06,206.3920
2023-04-05,205.0965
2023-04-04,203.7703
2023-04-03,202.5075
2023-03-31,201.5159
2023-03-30,200.9099
2023-03-29,200.6896
2023-03-28,200.8496
2023-03-27,201.3076
2023-03-24,201.9412
2023-03-23,202.5912
2023-03-22,203.1527
2023-03-21,203.6134
2023-03-20,203.9897
2023-03-17,204.4678
