Dates,DX Values
2022-06-29,17.0841
2022-06-28,15.3565
2022-06-27,19.7219
2022-06-24,19.7219
2022-06-23,22.7258
2022-06-22,21.3400
2022-06-21,20.2142
2022-06-17,21.5189
2022-06-16,23.9682
2022-06-15,24.2041
2022-06-14,33.2950
2022-06-13,32.8737
2022-06-10,27.8025
2022-06-09,24.8019
2022-06-08,22.6211
2022-06-07,23.3357
2022-06-06,22.9165
2022-06-03,22.5761
2022-06-02,22.6816
2022-06-01,27.1276
2022-05-31,26.3496
2022-05-27,26.8950
2022-05-26,29.3343
2022-05-25,33.9877
2022-05-24,33.9877
2022-05-23,32.8548
2022-05-20,32.8548
2022-05-19,30.3637
2022-05-18,30.1103
2022-05-17,29.5663
2022-05-16,30.7562
2022-05-13,30.9803
2022-05-12,32.5387
2022-05-11,29.3335
2022-05-10,28.8760
2022-05-09,28.0073
2022-05-06,22.7462
2022-05-05,21.3812
2022-05-04,20.6417
2022-05-03,22.4045
2022-05-02,25.7493
2022-04-29,23.6473
2022-04-28,23.4489
2022-04-27,23.4489
2022-04-26,14.1410
2022-04-25,11.3023
2022-04-22,9.1740
2022-04-21,6.9868
2022-04-20,8.5748
2022-04-19,8.5748
2022-04-18,11.8462
2022-04-14,10.2562
2022-04-13,11.5839
2022-04-12,14.8147
2022-04-11,14.8147
2022-04-08,15.8147
2022-04-07,15.8147
2022-04-06,14.5569
2022-04-05,11.7244
2022-04-04,9.5526
2022-04-01,8.6140
2022-03-31,7.2675
2022-03-30,7.3429
2022-03-29,7.9671
2022-03-28,12.1289
2022-03-25,10.9635
2022-03-24,12.4548
2022-03-23,12.3121
2022-03-22,12.3121
2022-03-21,15.5779
2022-03-18,11.2926
2022-03-17,13.1551
2022-03-16,13.5346
2022-03-15,19.1008
2022-03-14,20.5463
2022-03-11,19.1145
2022-03-10,20.9086
2022-03-09,20.0694
2022-03-08,21.3500
2022-03-07,20.7520
2022-03-04,16.5907
2022-03-03,12.1473
2022-03-02,9.2626
2022-03-01,9.2626
2022-02-28,7.3816
2022-02-25,9.2644
2022-02-24,12.3723
2022-02-23,7.9282
2022-02-22,6.9500
2022-02-18,1.1407
2022-02-17,1.1970
2022-02-16,2.7235
2022-02-15,2.6460
2022-02-14,0.4848
2022-02-11,1.3363
2022-02-10,3.2818
2022-02-09,0.1227
2022-02-08,1.9233
2022-02-07,1.9233
2022-02-04,5.4392
2022-02-03,4.8294
2022-02-02,5.2389
2022-02-01,5.2389
2022-01-31,10.1876
2022-01-28,16.2134
2022-01-27,13.8768
2022-01-26,12.2619
2022-01-25,9.4041
2022-01-24,9.9214
2022-01-21,3.4193
2022-01-20,1.8687
2022-01-19,4.0901
2022-01-18,8.9312
2022-01-14,6.9201
2022-01-13,6.9201
2022-01-12,3.5908
2022-01-11,1.0052
2022-01-10,0.0883
2022-01-07,3.2669
2022-01-06,1.8400
2022-01-05,4.4097
2022-01-04,1.7182
2022-01-03,0.8294
2021-12-31,5.4156
2021-12-30,3.8093
2021-12-29,4.2074
2021-12-28,4.2074
2021-12-27,7.9181
2021-12-23,6.6043
2021-12-22,8.1022
2021-12-21,10.3398
2021-12-20,17.1850
2021-12-17,15.7466
2021-12-16,14.3216
2021-12-15,15.6224
2021-12-14,12.9061
2021-12-13,12.6964
2021-12-10,8.0464
2021-12-09,6.9935
2021-12-08,5.4450
2021-12-07,6.1557
2021-12-06,9.8398
2021-12-03,14.7034
2021-12-02,14.7034
2021-12-01,15.3958
2021-11-30,12.0888
2021-11-29,11.2285
2021-11-26,14.8453
2021-11-24,6.9972
2021-11-23,6.4060
2021-11-22,5.6353
2021-11-19,2.7901
2021-11-18,5.7689
2021-11-17,5.6438
2021-11-16,6.6531
2021-11-15,7.7389
2021-11-12,0.5701
2021-11-11,0.2540
2021-11-10,0.2540
2021-11-09,2.3500
2021-11-08,0.9914
2021-11-05,0.7910
2021-11-04,8.5464
2021-11-03,9.4426
2021-11-02,9.4426
2021-11-01,10.2884
2021-10-29,15.8072
2021-10-28,15.8072
2021-10-27,15.1497
2021-10-26,13.5335
2021-10-25,11.2373
2021-10-22,10.6594
2021-10-21,9.8474
2021-10-20,9.4949
2021-10-19,10.2786
2021-10-18,10.5716
2021-10-15,9.1780
2021-10-14,8.7021
2021-10-13,7.2510
2021-10-12,4.8478
2021-10-11,3.4128
2021-10-08,5.8211
2021-10-07,5.5028
2021-10-06,8.3229
2021-10-05,6.3121
2021-10-04,6.3121
2021-10-01,7.1891
2021-09-30,7.5855
2021-09-29,4.2997
2021-09-28,8.0384
2021-09-27,3.3156
2021-09-24,7.8198
2021-09-23,7.8198
2021-09-22,11.3057
2021-09-21,16.2624
2021-09-20,16.2624
2021-09-17,13.0510
2021-09-16,12.1923
2021-09-15,13.7334
2021-09-14,13.5012
2021-09-13,13.8623
2021-09-10,13.7249
2021-09-09,13.3865
2021-09-08,13.7729
2021-09-07,12.8614
2021-09-03,9.8868
2021-09-02,9.5321
2021-09-01,10.9682
2021-08-31,11.2672
2021-08-30,11.0271
2021-08-27,11.0271
2021-08-26,11.0271
2021-08-25,9.3709
2021-08-24,9.0066
2021-08-23,10.8275
2021-08-20,14.3140
2021-08-19,13.9287
2021-08-18,10.3424
2021-08-17,9.8805
2021-08-16,6.0104
2021-08-13,1.9956
2021-08-12,0.7009
2021-08-11,1.6232
2021-08-10,3.2510
2021-08-09,5.2268
2021-08-06,3.2732
2021-08-05,4.4871
2021-08-04,4.4871
2021-08-03,6.4102
2021-08-02,4.5184
2021-07-30,4.2368
2021-07-29,1.1531
2021-07-28,1.0384
2021-07-27,7.9260
2021-07-26,7.9260
2021-07-23,8.8269
2021-07-22,10.2670
2021-07-21,9.9776
2021-07-20,14.0845
2021-07-19,17.8187
2021-07-16,11.8767
2021-07-15,9.9116
2021-07-14,8.0440
2021-07-13,5.9365
2021-07-12,1.1616
2021-07-09,1.3985
2021-07-08,3.1655
2021-07-07,0.6227
2021-07-06,1.1382
2021-07-02,1.1382
2021-07-01,4.2289
2021-06-30,3.8760
2021-06-29,3.8760
2021-06-28,5.7891
2021-06-25,11.6533
2021-06-24,10.8470
2021-06-23,8.8239
2021-06-22,7.6350
2021-06-21,7.6350
2021-06-18,4.2574
2021-06-17,5.1712
2021-06-16,7.7236
2021-06-15,9.8217
2021-06-14,9.8217
2021-06-11,10.6644
2021-06-10,12.0814
2021-06-09,11.1345
2021-06-08,12.3930
2021-06-07,10.9220
2021-06-04,10.2572
2021-06-03,10.9527
2021-06-02,13.8441
2021-06-01,12.5964
2021-05-28,9.4920
2021-05-27,10.5435
2021-05-26,5.6089
2021-05-25,5.6089
2021-05-24,2.9229
2021-05-21,1.7817
2021-05-20,2.4352
2021-05-19,4.2877
2021-05-18,1.0376
2021-05-17,3.2758
2021-05-14,2.8705
2021-05-13,2.8705
2021-05-12,2.0719
2021-05-11,0.4156
2021-05-10,4.2249
2021-05-07,1.5214
2021-05-06,1.0261
2021-05-05,0.4859
2021-05-04,0.4859
2021-05-03,3.8925
2021-04-30,3.7246
2021-04-29,3.7246
2021-04-28,4.2813
2021-04-27,7.8240
2021-04-26,8.2029
2021-04-23,5.3349
2021-04-22,5.4785
2021-04-21,4.1068
2021-04-20,5.2044
2021-04-19,10.5268
2021-04-16,12.7972
2021-04-15,14.6376
2021-04-14,15.7076
2021-04-13,14.0577
2021-04-12,12.7922
2021-04-09,14.5640
2021-04-08,14.5640
2021-04-07,15.4047
2021-04-06,17.5368
2021-04-05,18.4235
2021-04-01,17.4225
2021-03-31,18.5465
2021-03-30,16.8805
2021-03-29,16.8805
2021-03-26,15.4355
2021-03-25,14.1612
2021-03-24,18.0252
2021-03-23,18.2223
2021-03-22,24.1140
2021-03-19,24.7670
2021-03-18,26.7102
2021-03-17,25.4596
2021-03-16,25.6496
2021-03-15,31.5719
2021-03-12,28.7477
2021-03-11,24.2196
2021-03-10,20.4877
2021-03-09,15.1938
2021-03-08,13.3432
2021-03-05,13.3432
2021-03-04,16.2050
2021-03-03,20.0484
2021-03-02,16.5455
2021-03-01,16.4538
2021-02-26,13.6539
2021-02-25,15.7104
2021-02-24,15.7104
2021-02-23,8.8262
2021-02-22,11.3450
2021-02-19,10.0085
2021-02-18,8.3842
2021-02-17,11.1241
2021-02-16,10.4926
2021-02-12,8.4288
2021-02-11,8.4288
2021-02-10,9.8918
2021-02-09,9.5352
2021-02-08,7.2925
2021-02-05,7.2925
2021-02-04,8.0305
2021-02-03,6.0182
2021-02-02,3.5625
2021-02-01,0.7639
2021-01-29,0.8960
2021-01-28,2.3520
2021-01-27,1.8943
2021-01-26,7.0381
2021-01-25,4.8840
2021-01-22,7.5517
2021-01-21,8.6800
2021-01-20,11.3738
2021-01-19,9.5374
2021-01-15,8.5011
2021-01-14,10.6964
2021-01-13,8.2464
2021-01-12,8.2464
2021-01-11,7.6697
2021-01-08,11.5032
2021-01-07,13.5126
2021-01-06,13.0934
2021-01-05,12.1408
2021-01-04,10.8053
2020-12-31,16.4261
2020-12-30,17.3777
2020-12-29,17.9652
2020-12-28,16.9897
2020-12-24,17.4795
2020-12-23,19.2832
2020-12-22,19.0925
2020-12-21,17.4279
2020-12-18,21.5547
2020-12-17,22.6345
2020-12-16,25.3431
2020-12-15,25.3431
2020-12-14,27.6209
2020-12-11,27.1648
2020-12-10,27.1648
2020-12-09,27.3068
2020-12-08,30.7083
2020-12-07,32.1925
2020-12-04,30.4698
2020-12-03,30.4698
2020-12-02,25.2086
2020-12-01,22.8891
2020-11-30,22.7836
2020-11-27,26.9096
2020-11-25,26.9096
2020-11-24,28.3804
2020-11-23,25.6148
2020-11-20,23.0735
2020-11-19,23.4694
2020-11-18,25.1427
2020-11-17,21.1488
2020-11-16,18.1585
2020-11-13,11.9504
2020-11-12,10.8165
2020-11-11,13.0307
2020-11-10,13.0307
2020-11-09,9.0492
2020-11-06,3.6911
2020-11-05,4.1533
2020-11-04,5.3750
2020-11-03,5.6911
2020-11-02,8.5683
2020-10-30,8.8015
2020-10-29,6.4487
2020-10-28,5.7844
2020-10-27,2.3881
2020-10-26,0.3514
2020-10-23,3.2996
2020-10-22,2.9861
2020-10-21,1.9976
2020-10-20,3.2137
2020-10-19,3.2137
2020-10-16,3.7979
2020-10-15,0.4683
2020-10-14,1.3976
2020-10-13,1.3976
2020-10-12,3.3070
2020-10-09,3.7385
2020-10-08,2.8657
2020-10-07,2.0704
2020-10-06,2.0704
2020-10-05,5.9757
2020-10-02,4.9739
2020-10-01,6.8019
2020-09-30,6.0448
2020-09-29,3.6844
2020-09-28,3.6844
2020-09-25,1.5413
2020-09-24,4.3913
2020-09-23,1.7480
2020-09-22,0.1284
2020-09-21,0.4448
2020-09-18,2.7387
2020-09-17,2.1701
2020-09-16,2.1701
2020-09-15,3.5583
2020-09-14,2.3092
2020-09-11,0.3104
2020-09-10,0.8623
2020-09-09,0.5534
2020-09-08,2.0682
2020-09-04,3.5975
2020-09-03,5.4198
2020-09-02,3.0468
2020-09-01,3.0468
2020-08-31,4.0973
2020-08-28,4.4679
2020-08-27,4.8844
2020-08-26,2.2301
2020-08-25,2.6749
2020-08-24,1.7679
2020-08-21,1.4458
2020-08-20,1.4458
2020-08-19,0.2086
2020-08-18,0.5387
2020-08-17,0.3627
2020-08-14,0.7139
2020-08-13,0.7433
2020-08-12,1.0173
2020-08-11,3.3152
2020-08-10,0.2741
2020-08-07,3.1987
2020-08-06,2.5312
2020-08-05,2.7468
2020-08-04,5.5411
2020-08-03,6.9780
2020-07-31,6.0427
2020-07-30,4.5981
2020-07-29,4.0667
2020-07-28,2.0816
2020-07-27,1.8253
2020-07-24,0.2971
2020-07-23,0.3083
2020-07-22,0.3083
2020-07-21,0.7473
2020-07-20,1.1931
2020-07-17,0.0459
2020-07-16,0.6090
2020-07-15,1.8361
2020-07-14,0.6972
2020-07-13,0.4065
2020-07-10,1.6095
2020-07-09,0.6993
2020-07-08,0.1014
2020-07-07,1.0299
2020-07-06,1.9001
2020-07-02,1.4574
2020-07-01,1.4574
2020-06-30,0.8773
2020-06-29,0.8773
2020-06-26,4.8995
2020-06-25,4.3731
2020-06-24,2.6539
2020-06-23,0.6330
2020-06-22,1.0232
2020-06-19,0.3107
2020-06-18,0.3864
2020-06-17,1.4574
2020-06-16,1.8122
2020-06-15,2.0939
2020-06-12,2.6062
2020-06-11,2.6062
2020-06-10,5.6770
2020-06-09,10.2679
2020-06-08,12.0477
2020-06-05,8.2237
2020-06-04,0.1349
2020-06-03,4.7233
2020-06-02,10.7396
2020-06-01,11.5452
2020-05-29,12.0837
2020-05-28,10.4130
2020-05-27,12.8377
2020-05-26,14.1409
2020-05-22,15.8341
2020-05-21,15.7392
2020-05-20,18.8229
2020-05-19,18.8229
2020-05-18,19.1142
2020-05-15,24.1977
2020-05-14,24.1977
2020-05-13,22.9979
2020-05-12,21.6874
2020-05-11,21.0703
2020-05-08,20.2623
2020-05-07,21.9019
2020-05-06,23.2117
2020-05-05,22.4419
2020-05-04,23.2089
2020-05-01,21.4284
2020-04-30,21.4284
2020-04-29,20.8178
2020-04-28,24.0241
2020-04-27,25.9940
2020-04-24,25.1198
2020-04-23,23.6026
2020-04-22,24.1006
2020-04-21,23.9216
2020-04-20,22.5644
2020-04-17,22.0813
2020-04-16,25.3803
2020-04-15,25.3803
2020-04-14,24.0802
2020-04-13,22.9198
2020-04-09,22.2068
2020-04-08,23.3689
2020-04-07,23.3689
2020-04-06,27.7999
2020-04-03,33.5230
2020-04-02,33.5230
2020-04-01,31.9353
2020-03-31,28.7607
2020-03-30,30.9117
2020-03-27,28.3599
2020-03-26,26.2695
2020-03-25,30.0096
2020-03-24,47.0757
2020-03-23,52.7294
2020-03-20,55.9972
2020-03-19,57.5096
2020-03-18,57.5096
2020-03-17,56.0480
2020-03-16,52.4481
2020-03-13,47.4470
2020-03-12,47.4470
2020-03-11,41.6286
2020-03-10,35.5448
2020-03-09,33.2637
2020-03-06,26.3293
2020-03-05,23.3043
2020-03-04,17.4497
