Dates,STOCH Values
2022-06-29,95.2618
2022-06-28,99.7211
2022-06-27,93.3377
2022-06-24,94.3559
2022-06-23,82.6340
2022-06-22,85.9362
2022-06-21,67.8949
2022-06-17,67.6100
2022-06-16,52.1098
2022-06-15,50.1384
2022-06-14,41.6415
2022-06-13,38.5809
2022-06-10,38.6314
2022-06-09,36.2051
2022-06-08,45.8389
2022-06-07,41.1080
2022-06-06,58.7290
2022-06-03,60.2034
2022-06-02,69.8422
2022-06-01,74.8756
2022-05-31,68.1715
2022-05-27,74.4476
2022-05-26,56.7724
2022-05-25,55.1912
2022-05-24,49.1115
2022-05-23,40.6783
2022-05-20,51.9003
2022-05-19,51.4648
2022-05-18,66.0636
2022-05-17,63.5578
2022-05-16,72.0153
2022-05-13,83.1682
2022-05-12,69.9440
2022-05-11,69.3199
2022-05-10,53.2111
2022-05-09,57.3438
2022-05-06,41.1160
2022-05-05,32.9696
2022-05-04,37.3441
2022-05-03,33.0344
2022-05-02,49.6600
2022-04-29,46.0284
2022-04-28,63.4549
2022-04-27,69.9171
2022-04-26,73.7848
2022-04-25,74.4191
2022-04-22,72.0234
2022-04-21,77.0181
2022-04-20,64.5226
2022-04-19,64.6331
2022-04-18,57.4826
2022-04-14,51.9166
2022-04-13,58.6815
2022-04-12,55.8981
2022-04-11,69.5132
2022-04-08,68.2298
2022-04-07,74.0666
2022-04-06,84.4115
2022-04-05,70.1349
2022-04-04,69.5585
2022-04-01,59.0740
2022-03-31,56.4347
2022-03-30,48.3327
2022-03-29,51.2289
2022-03-28,43.3666
2022-03-25,37.3346
2022-03-24,41.9025
2022-03-23,41.5364
2022-03-22,53.7132
2022-03-21,46.8364
2022-03-18,66.8847
2022-03-17,72.7668
2022-03-16,81.4125
2022-03-15,81.0511
2022-03-14,88.0286
2022-03-11,90.4198
2022-03-10,91.8716
2022-03-09,92.6149
2022-03-08,93.4161
2022-03-07,92.5799
2022-03-04,93.4606
2022-03-03,95.0534
2022-03-02,90.2609
2022-03-01,92.7486
2022-02-28,82.5510
2022-02-25,82.9809
2022-02-24,72.0069
2022-02-23,71.9236
2022-02-22,64.8620
2022-02-18,61.1161
2022-02-17,59.1603
2022-02-16,61.5463
2022-02-15,51.6588
2022-02-14,54.8183
2022-02-11,47.6678
2022-02-10,38.6117
2022-02-09,51.1461
2022-02-08,49.5734
2022-02-07,69.4341
2022-02-04,65.2534
2022-02-03,81.4099
2022-02-02,93.4754
2022-02-01,87.5296
2022-01-31,85.5008
2022-01-28,83.4483
2022-01-27,83.6125
2022-01-26,83.9240
2022-01-25,81.2316
2022-01-24,83.9031
2022-01-21,86.9278
2022-01-20,82.9838
2022-01-19,83.5499
2022-01-18,73.6729
2022-01-14,78.4737
2022-01-13,62.4456
2022-01-12,58.9952
2022-01-11,50.5912
2022-01-10,49.8680
2022-01-07,49.3843
2022-01-06,42.9103
2022-01-05,56.0116
2022-01-04,55.3747
2022-01-03,69.1953
2021-12-31,69.7497
2021-12-30,81.2435
2021-12-29,82.4615
2021-12-28,82.9573
2021-12-27,91.5194
2021-12-23,70.6898
2021-12-22,74.8911
2021-12-21,45.9918
2021-12-20,45.6589
2021-12-17,27.2910
2021-12-16,17.4254
2021-12-15,19.1312
2021-12-14,18.7887
2021-12-13,19.2322
2021-12-10,21.1795
2021-12-09,15.0261
2021-12-08,17.7285
2021-12-07,9.5516
2021-12-06,6.1703
2021-12-03,6.7866
2021-12-02,4.7560
2021-12-01,11.1291
2021-11-30,9.4334
2021-11-29,18.3741
2021-11-26,19.1980
2021-11-24,23.9434
2021-11-23,26.4909
2021-11-22,25.6957
2021-11-19,26.1415
2021-11-18,25.4889
2021-11-17,24.4546
2021-11-16,23.8782
2021-11-15,25.8707
2021-11-12,27.9096
2021-11-11,21.3094
2021-11-10,36.6070
2021-11-09,36.5488
2021-11-08,56.3300
2021-11-05,51.9627
2021-11-04,66.9006
2021-11-03,80.4786
2021-11-02,64.9912
2021-11-01,68.2604
2021-10-29,44.5084
2021-10-28,46.2344
2021-10-27,24.9741
2021-10-26,19.0302
2021-10-25,11.7888
2021-10-22,9.6578
2021-10-21,8.6442
2021-10-20,6.6784
2021-10-19,12.8198
2021-10-18,9.5964
2021-10-15,23.3444
2021-10-14,22.1845
2021-10-13,42.1975
2021-10-12,38.2523
2021-10-11,56.7328
2021-10-08,66.1557
2021-10-07,62.4575
2021-10-06,65.7905
2021-10-05,48.7713
2021-10-04,55.4264
2021-10-01,29.9323
2021-09-30,25.0972
2021-09-29,16.5533
2021-09-28,9.2733
2021-09-27,14.1275
2021-09-24,15.2894
2021-09-23,24.8601
2021-09-22,17.8199
2021-09-21,38.1434
2021-09-20,41.4711
2021-09-17,57.7384
2021-09-16,55.1392
2021-09-15,67.1540
2021-09-14,76.6049
2021-09-13,71.4902
2021-09-10,69.7180
2021-09-09,63.1229
2021-09-08,68.1476
2021-09-07,55.6433
2021-09-03,51.5029
2021-09-02,43.8324
2021-09-01,47.2794
2021-08-31,41.8812
2021-08-30,32.7148
2021-08-27,44.8962
2021-08-26,45.6494
2021-08-25,55.7145
2021-08-24,56.3244
2021-08-23,64.2481
2021-08-20,65.1698
2021-08-19,68.4266
2021-08-18,71.2502
2021-08-17,70.1459
2021-08-16,68.8598
2021-08-13,63.7720
2021-08-12,70.3277
2021-08-11,54.1772
2021-08-10,52.1286
2021-08-09,43.3929
2021-08-06,40.0754
2021-08-05,42.7517
2021-08-04,37.9746
2021-08-03,53.8200
2021-08-02,50.2051
2021-07-30,70.1659
2021-07-29,73.2803
2021-07-28,85.8946
2021-07-27,87.0124
2021-07-26,89.3173
2021-07-23,97.3912
2021-07-22,87.2720
2021-07-21,83.5484
2021-07-20,80.2026
2021-07-19,80.8765
2021-07-16,78.3869
2021-07-15,76.1829
2021-07-14,77.3330
2021-07-13,78.1012
2021-07-12,74.1689
2021-07-09,77.7149
2021-07-08,71.2585
2021-07-07,66.6906
2021-07-06,67.7679
2021-07-02,69.3699
2021-07-01,67.4989
2021-06-30,67.2432
2021-06-29,62.9496
2021-06-28,65.8834
2021-06-25,56.2060
2021-06-24,55.7221
2021-06-23,48.2550
2021-06-22,47.0126
2021-06-21,44.6435
2021-06-18,42.0303
2021-06-17,43.6561
2021-06-16,44.8878
2021-06-15,48.8175
2021-06-14,44.0502
2021-06-11,58.3821
2021-06-10,57.5146
2021-06-09,66.6011
2021-06-08,73.5815
2021-06-07,70.8490
2021-06-04,68.7071
2021-06-03,68.3947
2021-06-02,70.2584
2021-06-01,73.7709
2021-05-28,66.2187
2021-05-27,80.0988
2021-05-26,84.8356
2021-05-25,86.9630
2021-05-24,89.2420
2021-05-21,80.9231
2021-05-20,86.8114
2021-05-19,63.9699
2021-05-18,66.7159
2021-05-17,39.3018
2021-05-14,38.3824
2021-05-13,17.8918
2021-05-12,12.8071
2021-05-11,13.5871
2021-05-10,2.4859
2021-05-07,28.4821
2021-05-06,25.4682
2021-05-05,56.3954
2021-05-04,57.4921
2021-05-03,78.2404
2021-04-30,86.2257
2021-04-29,89.7076
2021-04-28,91.0034
2021-04-27,90.4649
2021-04-26,91.8937
2021-04-23,89.6811
2021-04-22,88.4975
2021-04-21,88.6318
2021-04-20,88.6522
2021-04-19,90.2834
2021-04-16,88.7458
2021-04-15,86.5988
2021-04-14,93.4523
2021-04-13,73.4882
2021-04-12,77.5984
2021-04-09,53.6861
2021-04-08,49.4138
2021-04-07,37.0212
2021-04-06,34.0460
