Dates,BBANDS Values
2022-06-29,207.1720
2022-06-28,198.9790
2022-06-27,215.4562
2022-06-24,206.5990
2022-06-23,197.7418
2022-06-22,215.7428
2022-06-21,206.3080
2022-06-17,196.8732
2022-06-16,216.3267
2022-06-15,205.8160
2022-06-14,195.3053
2022-06-13,216.6214
2022-06-10,206.5050
2022-06-09,196.3886
2022-06-08,216.4747
2022-06-07,206.3610
2022-06-06,196.2473
2022-06-03,216.1892
2022-06-02,206.1210
2022-06-01,196.0528
2022-05-31,216.1043
2022-05-27,206.0950
2022-05-26,196.0857
2022-05-25,214.8769
2022-05-24,205.8050
2022-05-23,196.7331
2022-05-20,217.8136
2022-05-19,206.5430
2022-05-18,195.2724
2022-05-17,221.1399
2022-05-16,207.9330
2022-05-13,194.7261
2022-05-12,222.5336
2022-05-11,209.3430
2022-05-10,196.1524
2022-05-09,222.4722
2022-05-06,210.5860
2022-05-05,198.6998
2022-05-04,220.4874
2022-05-03,211.9700
2022-05-02,203.4526
2022-04-29,220.6575
2022-04-28,212.5070
2022-04-27,204.3565
2022-04-26,220.2636
2022-04-25,213.4070
2022-04-22,206.5504
2022-04-21,219.8187
2022-04-20,213.5360
2022-04-19,207.2533
2022-04-18,220.6810
2022-04-14,212.9710
2022-04-13,205.2610
2022-04-12,220.6938
2022-04-11,212.6840
2022-04-08,204.6742
2022-04-07,219.9334
2022-04-06,212.4150
2022-04-05,204.8966
2022-04-04,218.2659
2022-04-01,211.8700
2022-03-31,205.4741
2022-03-30,217.2467
2022-03-29,211.2720
2022-03-28,205.2973
2022-03-25,216.9767
2022-03-24,211.1000
2022-03-23,205.2233
2022-03-22,217.1120
2022-03-21,211.1740
2022-03-18,205.2360
2022-03-17,216.9209
2022-03-16,211.0920
2022-03-15,205.2631
2022-03-14,216.1620
2022-03-11,210.8140
2022-03-10,205.4660
2022-03-09,215.8282
2022-03-08,211.1300
2022-03-07,206.4318
2022-03-04,215.5872
2022-03-03,211.2050
2022-03-02,206.8228
2022-03-01,215.9180
2022-02-28,210.9800
2022-02-25,206.0420
2022-02-24,214.7522
2022-02-23,210.4460
2022-02-22,206.1398
2022-02-18,214.3125
2022-02-17,210.2870
2022-02-16,206.2615
2022-02-15,215.3335
2022-02-14,210.7330
2022-02-11,206.1325
2022-02-10,216.1311
2022-02-09,211.0480
2022-02-08,205.9649
2022-02-07,215.8188
2022-02-04,210.5780
2022-02-03,205.3372
2022-02-02,215.4845
2022-02-01,209.9790
2022-01-31,204.4735
2022-01-28,215.0266
2022-01-27,209.6380
2022-01-26,204.2494
2022-01-25,215.6984
2022-01-24,209.9410
2022-01-21,204.1836
2022-01-20,215.9913
2022-01-19,209.7640
2022-01-18,203.5367
2022-01-14,216.5214
2022-01-13,209.4190
2022-01-12,202.3166
2022-01-11,219.0310
2022-01-10,208.0170
2022-01-07,197.0030
2022-01-06,220.8272
2022-01-05,205.9250
2022-01-04,191.0228
2022-01-03,220.3000
2021-12-31,203.4030
2021-12-30,186.5060
2021-12-29,218.1640
2021-12-28,200.8090
2021-12-27,183.4540
2021-12-23,216.7932
2021-12-22,198.9460
2021-12-21,181.0988
2021-12-20,215.1049
2021-12-17,197.1830
2021-12-16,179.2611
2021-12-15,212.0250
2021-12-14,195.1510
2021-12-13,178.2770
2021-12-10,205.5351
2021-12-09,193.4510
2021-12-08,181.3669
2021-12-07,201.3865
2021-12-06,191.7810
2021-12-03,182.1755
2021-12-02,196.1493
2021-12-01,189.9850
2021-11-30,183.8207
2021-11-29,194.6531
2021-11-26,188.9160
2021-11-24,183.1789
2021-11-23,194.6334
2021-11-22,188.2390
2021-11-19,181.8446
2021-11-18,194.5520
2021-11-17,188.1730
2021-11-16,181.7940
2021-11-15,194.4548
2021-11-12,188.0480
2021-11-11,181.6412
2021-11-10,194.1528
2021-11-09,187.7350
2021-11-08,181.3172
2021-11-05,194.7657
2021-11-04,186.7830
2021-11-03,178.8003
2021-11-02,194.9893
2021-11-01,185.8660
2021-10-29,176.7427
2021-10-28,191.7922
2021-10-27,183.9160
