Dates,NATR Values
2023-07-20,2.3633
2023-07-19,2.4059
2023-07-18,2.3854
2023-07-17,2.3972
2023-07-14,2.4079
2023-07-13,2.3752
2023-07-12,2.3963
2023-07-11,2.3835
2023-07-10,2.4213
2023-07-07,2.4620
2023-07-06,2.4694
2023-07-05,2.4730
2023-07-03,2.4903
2023-06-30,2.5196
2023-06-29,2.5257
2023-06-28,2.5618
2023-06-27,2.6033
2023-06-26,2.6657
2023-06-23,2.6982
2023-06-22,2.7202
2023-06-21,2.6099
2023-06-20,2.6249
2023-06-16,2.5105
2023-06-15,2.5230
2023-06-14,2.5544
2023-06-13,2.5139
2023-06-12,2.5169
2023-06-09,2.5501
2023-06-08,2.5601
2023-06-07,2.6108
2023-06-06,2.6728
2023-06-05,2.5996
2023-06-02,2.5406
2023-06-01,2.5878
2023-05-31,2.6247
2023-05-30,2.6388
2023-05-26,2.6617
2023-05-25,2.7134
2023-05-24,2.7382
2023-05-23,2.6968
2023-05-22,2.6576
2023-05-19,2.6868
2023-05-18,2.6817
2023-05-17,2.7003
2023-05-16,2.7593
2023-05-15,2.7608
2023-05-12,2.7987
2023-05-11,2.7963
2023-05-10,2.8221
2023-05-09,2.8148
2023-05-08,2.8634
2023-05-05,2.8724
2023-05-04,2.9266
2023-05-03,2.8476
2023-05-02,2.8168
2023-05-01,2.8245
2023-04-28,2.7933
2023-04-27,2.8204
2023-04-26,2.8597
2023-04-25,2.8342
2023-04-24,2.7956
2023-04-21,2.8289
2023-04-20,2.8164
2023-04-19,2.8163
2023-04-18,2.8400
2023-04-17,2.8932
2023-04-14,2.9472
2023-04-13,2.6926
2023-04-12,2.7428
2023-04-11,2.7589
2023-04-10,2.7998
2023-04-06,2.8067
2023-04-05,2.8424
2023-04-04,2.7945
2023-04-03,2.7724
2023-03-31,2.8094
2023-03-30,2.8492
2023-03-29,2.8880
2023-03-28,2.9535
2023-03-27,3.0206
2023-03-24,3.0881
2023-03-23,3.1042
2023-03-22,3.1295
2023-03-21,2.9735
2023-03-20,2.9936
2023-03-17,3.0604
2023-03-16,3.0479
2023-03-15,3.0906
2023-03-14,2.8693
2023-03-13,2.8819
2023-03-10,2.8449
2023-03-09,2.8562
2023-03-08,2.7448
2023-03-07,2.7622
2023-03-06,2.7134
2023-03-03,2.6754
2023-03-02,2.7304
2023-03-01,2.7895
2023-02-28,2.8424
2023-02-27,2.8850
2023-02-24,2.9270
2023-02-23,2.7379
2023-02-22,2.7869
2023-02-21,2.8172
2023-02-17,2.7276
2023-02-16,2.7319
2023-02-15,2.6711
2023-02-14,2.6770
2023-02-13,2.6897
2023-02-10,2.7337
2023-02-09,2.7628
2023-02-08,2.7477
2023-02-07,2.7494
2023-02-06,2.8311
2023-02-03,2.8553
2023-02-02,2.8172
2023-02-01,2.7358
2023-01-31,2.7468
2023-01-30,2.8000
2023-01-27,2.8016
2023-01-26,2.8046
2023-01-25,2.7993
2023-01-24,2.7538
2023-01-23,2.7674
2023-01-20,2.8250
2023-01-19,2.8464
2023-01-18,2.8250
2023-01-17,2.8146
2023-01-13,2.7874
2023-01-12,2.7936
2023-01-11,2.8627
2023-01-10,2.9027
2023-01-09,2.8752
2023-01-06,2.8156
2023-01-05,2.8909
2023-01-04,2.9272
2023-01-03,3.0234
2022-12-30,3.0929
2022-12-29,3.1434
2022-12-28,3.1726
2022-12-27,3.1779
2022-12-23,3.1966
2022-12-22,3.2248
2022-12-21,3.0529
2022-12-20,3.1549
2022-12-19,3.2180
2022-12-16,3.2642
2022-12-15,3.2895
2022-12-14,3.2003
2022-12-13,3.2387
2022-12-12,3.2515
2022-12-09,3.3610
2022-12-08,3.3836
2022-12-07,3.4062
2022-12-06,3.3945
2022-12-05,3.2498
2022-12-02,3.2712
2022-12-01,3.3495
2022-11-30,3.3015
2022-11-29,3.3700
2022-11-28,3.4597
2022-11-25,3.3248
2022-11-23,3.4091
2022-11-22,3.4878
2022-11-21,3.5029
2022-11-18,3.5126
2022-11-17,3.5640
2022-11-16,3.5840
2022-11-15,3.5609
2022-11-14,3.6249
2022-11-11,3.5629
2022-11-10,3.5758
2022-11-09,3.7120
2022-11-08,3.7108
2022-11-07,3.8249
2022-11-04,3.9371
2022-11-03,4.0166
2022-11-02,4.2021
2022-11-01,4.2369
2022-10-31,4.3008
2022-10-28,4.2781
2022-10-27,4.4203
2022-10-26,4.5697
2022-10-25,4.0045
2022-10-24,4.1467
2022-10-21,4.2012
2022-10-20,4.2853
2022-10-19,4.3442
2022-10-18,4.3989
2022-10-17,4.4669
2022-10-14,4.5954
2022-10-13,4.6381
