Dates,HT_SINE Values
2022-07-15,0.2442
2022-07-14,-0.5130
2022-07-13,0.2712
2022-07-12,-0.4888
2022-07-11,0.2608
2022-07-08,-0.4982
2022-07-07,0.2653
2022-07-06,-0.4942
2022-07-05,0.2473
2022-07-01,-0.5103
2022-06-30,0.1961
2022-06-29,-0.5547
2022-06-28,0.1740
2022-06-27,-0.5733
2022-06-24,0.1176
2022-06-23,-0.6191
2022-06-22,0.0814
2022-06-21,-0.6472
2022-06-17,0.0768
2022-06-16,-0.6507
2022-06-15,0.0709
2022-06-14,-0.6552
2022-06-13,0.0586
2022-06-10,-0.6644
2022-06-09,0.0508
2022-06-08,-0.6703
2022-06-07,0.0861
2022-06-06,-0.6436
2022-06-03,0.1966
2022-06-02,-0.5543
2022-06-01,0.2264
2022-05-31,-0.5286
2022-05-27,0.2280
2022-05-26,-0.5272
2022-05-25,0.1975
2022-05-24,-0.5535
2022-05-23,0.1698
2022-05-20,-0.5767
2022-05-19,0.2025
2022-05-18,-0.5493
2022-05-17,0.2302
2022-05-16,-0.5254
2022-05-13,0.3006
2022-05-12,-0.4619
2022-05-11,0.2913
2022-05-10,-0.4704
2022-05-09,0.1689
2022-05-06,-0.5775
2022-05-05,-0.0284
2022-05-04,-0.7269
2022-05-03,-0.3069
2022-05-02,-0.8900
2022-04-29,-0.5927
2022-04-28,-0.9886
2022-04-27,-0.7449
2022-04-26,-0.9985
2022-04-25,-0.8034
2022-04-22,-0.9891
2022-04-21,-0.8046
2022-04-20,-0.9888
2022-04-19,-0.7679
2022-04-18,-0.9959
2022-04-14,-0.7049
2022-04-13,-1.0000
2022-04-12,-0.6339
2022-04-11,-0.9951
2022-04-08,-0.5455
2022-04-07,-0.9783
2022-04-06,-0.5058
2022-04-05,-0.9676
2022-04-04,-0.3909
2022-04-01,-0.9273
2022-03-31,-0.2703
2022-03-30,-0.8719
2022-03-29,-0.1433
2022-03-28,-0.8011
2022-03-25,-0.0180
2022-03-24,-0.7197
2022-03-23,0.1247
2022-03-22,-0.6134
2022-03-21,0.2219
2022-03-18,-0.5326
2022-03-17,0.2936
2022-03-16,-0.4683
2022-03-15,0.3353
2022-03-14,-0.4291
2022-03-11,0.3488
2022-03-10,-0.4161
2022-03-09,0.3418
2022-03-08,-0.4229
2022-03-07,0.3161
2022-03-04,-0.4473
2022-03-03,0.2548
2022-03-02,-0.5036
2022-03-01,0.1269
2022-02-28,-0.6116
2022-02-25,-0.0030
2022-02-24,-0.7092
2022-02-23,-0.0919
2022-02-22,-0.7691
2022-02-18,-0.1021
2022-02-17,-0.7756
2022-02-16,0.0205
2022-02-15,-0.6925
2022-02-14,0.1413
2022-02-11,-0.6001
2022-02-10,0.3312
2022-02-09,-0.4330
2022-02-08,0.5585
2022-02-07,-0.1916
2022-02-04,0.7653
2022-02-03,0.0861
2022-02-02,0.9083
2022-02-01,0.3464
2022-01-31,0.9830
2022-01-28,0.5651
2022-01-27,0.9984
2022-01-26,0.7455
2022-01-25,0.9302
2022-01-24,0.9173
2022-01-21,0.8186
2022-01-20,0.9850
2022-01-19,0.6792
2022-01-18,0.9992
2022-01-14,0.5120
2022-01-13,0.9694
2022-01-12,0.4065
2022-01-11,0.9335
2022-01-10,0.3563
2022-01-07,0.9126
2022-01-06,0.3073
2022-01-05,0.8902
2022-01-04,0.2173
2022-01-03,0.8438
2021-12-31,0.1316
2021-12-30,0.7940
2021-12-29,0.0714
2021-12-28,0.7558
2021-12-27,0.0170
2021-12-23,0.7190
2021-12-22,-0.0436
2021-12-21,0.6756
2021-12-20,-0.0999
2021-12-17,0.6329
2021-12-16,-0.1310
2021-12-15,0.6083
2021-12-14,-0.1595
2021-12-13,0.5852
2021-12-10,-0.1837
2021-12-09,0.5652
2021-12-08,-0.2261
2021-12-07,0.5289
2021-12-06,-0.2820
2021-12-03,0.4790
2021-12-02,-0.1582
2021-12-01,0.5863
2021-11-30,-0.0071
2021-11-29,0.7021
2021-11-26,0.1203
2021-11-24,0.7870
2021-11-23,0.1731
2021-11-22,0.8188
2021-11-19,0.1325
2021-11-18,0.7946
2021-11-17,0.0656
2021-11-16,0.7520
2021-11-15,0.0128
2021-11-12,0.7161
2021-11-11,0.0618
2021-11-10,0.7494
2021-11-09,0.1234
2021-11-08,0.7890
2021-11-05,0.0969
2021-11-04,0.7723
2021-11-03,-0.0441
2021-11-02,0.6752
2021-11-01,-0.2128
2021-10-29,0.5404
2021-10-28,-0.3548
2021-10-27,0.4102
2021-10-26,-0.5280
2021-10-25,0.2272
2021-10-22,-0.6170
2021-10-21,0.1202
2021-10-20,-0.7050
2021-10-19,0.0030
2021-10-18,-0.9038
2021-10-15,-0.3365
2021-10-14,-0.9842
2021-10-13,-0.5705
2021-10-12,-0.9807
2021-10-11,-0.8316
2021-10-08,-0.9622
2021-10-07,-0.8729
2021-10-06,-0.9397
2021-10-05,-0.9063
2021-10-04,-0.9078
2021-10-01,-0.9384
2021-09-30,-0.8047
2021-09-29,-0.9888
2021-09-28,-0.6382
2021-09-27,-0.9957
2021-09-24,-0.4439
2021-09-23,-0.9475
2021-09-22,-0.3264
2021-09-21,-0.8992
2021-09-20,-0.3077
2021-09-17,-0.8904
2021-09-16,-0.3142
2021-09-15,-0.8935
2021-09-14,-0.3590
2021-09-13,-0.9138
2021-09-10,-0.3715
2021-09-09,-0.9192
2021-09-08,-0.3819
2021-09-07,-0.9236
2021-09-03,-0.3350
2021-09-02,-0.9031
2021-09-01,-0.2494
2021-08-31,-0.8611
2021-08-30,-0.1934
2021-08-27,-0.8305
2021-08-26,-0.1230
2021-08-25,-0.7887
2021-08-24,-0.0995
2021-08-23,-0.7740
2021-08-20,-0.0846
2021-08-19,-0.7644
2021-08-18,-0.1352
2021-08-17,-0.7962
2021-08-16,-0.1394
2021-08-13,-0.7988
2021-08-12,-0.1326
2021-08-11,-0.7946
2021-08-10,-0.1735
2021-08-09,-0.8190
2021-08-06,-0.1265
2021-08-05,-0.7909
2021-08-04,-0.0665
2021-08-03,-0.7526
2021-08-02,-0.0411
2021-07-30,-0.7356
2021-07-29,0.0964
2021-07-28,-0.6356
2021-07-27,0.2112
2021-07-26,-0.5418
2021-07-23,0.2566
2021-07-22,-0.5020
2021-07-21,0.3329
2021-07-20,-0.4313
2021-07-19,0.4264
2021-07-16,-0.3381
2021-07-15,0.5348
2021-07-14,-0.2194
2021-07-13,0.6712
2021-07-12,-0.0495
2021-07-09,0.6029
2021-07-08,-0.1378
2021-07-07,0.1482
2021-07-06,-0.5945
2021-07-02,-0.7785
2021-07-01,-0.9943
2021-06-30,-0.9173
2021-06-29,-0.9302
2021-06-28,-0.8863
2021-06-25,-0.9542
2021-06-24,-0.8459
2021-06-23,-0.9753
2021-06-22,-0.5740
2021-06-21,-0.9849
2021-06-18,-0.2288
2021-06-17,-0.8501
2021-06-16,0.4325
2021-06-15,-0.3317
2021-06-14,0.7254
2021-06-11,0.0262
2021-06-10,0.9700
2021-06-09,0.5140
2021-06-08,0.9658
2021-06-07,0.8663
2021-06-04,0.2924
2021-06-03,0.8830
2021-06-02,-0.6506
2021-06-01,0.0769
2021-05-28,-0.9981
2021-05-27,-0.6628
2021-05-26,-0.9271
2021-05-25,-0.9206
2021-05-24,-0.7482
2021-05-21,-0.9982
2021-05-20,-0.6407
2021-05-19,-0.9960
2021-05-18,-0.3886
2021-05-17,-0.9263
2021-05-14,0.4091
2021-05-13,-0.3559
2021-05-12,0.9031
2021-05-11,0.3349
2021-05-10,0.9999
2021-05-07,0.6964
2021-05-06,0.9600
2021-05-05,0.8768
2021-05-04,0.9052
2021-05-03,0.9406
2021-04-30,0.8383
2021-04-29,0.9783
2021-04-28,0.8249
2021-04-27,0.9830
2021-04-26,0.8114
2021-04-23,0.9870
2021-04-22,0.7516
2021-04-21,0.9979
2021-04-20,0.6804
2021-04-19,0.9993
2021-04-16,0.5662
2021-04-15,0.9832
2021-04-14,0.4789
2021-04-13,0.9594
2021-04-12,0.4212
2021-04-09,0.9392
2021-04-08,0.3852
2021-04-07,0.9249
2021-04-06,0.3617
2021-04-05,0.9150
2021-04-01,0.3337
2021-03-31,0.9025
2021-03-30,0.3084
2021-03-29,0.8907
2021-03-26,0.2595
2021-03-25,0.8664
2021-03-24,0.2002
2021-03-23,0.8344
2021-03-22,0.1768
2021-03-19,0.8210
2021-03-18,0.2025
2021-03-17,0.8356
2021-03-16,0.2180
2021-03-15,0.8442
2021-03-12,0.2544
2021-03-11,0.8637
2021-03-10,0.3065
2021-03-09,0.8898
2021-03-08,0.3785
2021-03-05,0.9222
2021-03-04,0.3660
2021-03-03,0.9168
2021-03-02,0.2838
2021-03-01,0.8787
2021-02-26,0.1514
2021-02-25,0.8060
2021-02-24,-0.0525
2021-02-23,0.6690
2021-02-22,-0.2883
2021-02-19,0.4733
2021-02-18,-0.5796
2021-02-17,0.1664
2021-02-16,-0.7395
2021-02-12,-0.0469
2021-02-11,-0.8575
2021-02-10,-0.2425
2021-02-09,-0.7949
2021-02-08,-0.1331
2021-02-05,0.8635
2021-02-04,0.9672
2021-02-03,0.8918
2021-02-02,0.9505
2021-02-01,0.8271
2021-01-29,0.9823
2021-01-28,0.6899
2021-01-27,0.9997
2021-01-26,0.5037
2021-01-25,0.9670
2021-01-22,0.1529
2021-01-21,0.8069
2021-01-20,-0.0834
2021-01-19,0.6457
2021-01-15,-0.3640
2021-01-14,0.4012
2021-01-13,-0.5718
2021-01-12,0.1757
2021-01-11,-0.7765
2021-01-08,-0.1036
2021-01-07,-0.9294
2021-01-06,-0.3962
2021-01-05,-0.9968
2021-01-04,-0.6486
2020-12-31,-0.9752
