Dates,MAMA Values
2022-06-28,193.7209
2022-06-27,167.9041
2022-06-24,193.8484
2022-06-23,167.5295
2022-06-22,193.9787
2022-06-21,167.1647
2022-06-17,194.1117
2022-06-16,166.8796
2022-06-15,194.2471
2022-06-14,166.6411
2022-06-13,194.3846
2022-06-10,166.4162
2022-06-09,194.5240
2022-06-08,166.1943
2022-06-07,194.6653
2022-06-06,165.9599
2022-06-03,194.8083
2022-06-02,165.7266
2022-06-01,194.9533
2022-05-31,165.4991
2022-05-27,195.1002
2022-05-26,165.1910
2022-05-25,195.2489
2022-05-24,164.9577
2022-05-23,195.3999
2022-05-20,164.7483
2022-05-19,195.5529
2022-05-18,164.5468
2022-05-17,195.7077
2022-05-16,164.3531
2022-05-13,195.8643
2022-05-12,164.1118
2022-05-11,196.0227
2022-05-10,163.8793
2022-05-09,196.1830
2022-05-06,163.6531
2022-05-05,196.3453
2022-05-04,163.4926
2022-05-03,196.5096
2022-05-02,163.3352
2022-04-29,196.6755
2022-04-28,163.2022
2022-04-27,196.8431
2022-04-26,163.0484
2022-04-25,197.0121
2022-04-22,162.8256
2022-04-21,197.1828
2022-04-20,162.6232
2022-04-19,197.3555
2022-04-18,162.4903
2022-04-14,197.5300
2022-04-13,162.3247
2022-04-12,197.7061
2022-04-11,162.1934
2022-04-08,197.8839
2022-04-07,162.0961
2022-04-06,198.0632
2022-04-05,161.9318
2022-04-04,198.2439
2022-04-01,161.8013
2022-03-31,198.4264
2022-03-30,161.6933
2022-03-29,198.6105
2022-03-28,161.5797
2022-03-25,198.7960
2022-03-24,161.4553
2022-03-23,198.9830
2022-03-22,161.3409
2022-03-21,199.1716
2022-03-18,161.2263
2022-03-17,199.3617
2022-03-16,161.0836
2022-03-15,199.5533
2022-03-14,160.9577
2022-03-11,199.7466
2022-03-10,160.7907
2022-03-09,199.9416
2022-03-08,160.6211
2022-03-07,200.1383
2022-03-04,160.5391
2022-03-03,200.3369
2022-03-02,160.4474
2022-03-01,200.5369
2022-02-28,160.4023
2022-02-25,200.7383
2022-02-24,160.4063
2022-02-23,200.9410
2022-02-22,160.4432
2022-02-18,201.1447
2022-02-17,160.5748
2022-02-16,201.3492
2022-02-15,160.7485
2022-02-14,201.5541
2022-02-11,160.9328
2022-02-10,201.7592
2022-02-09,161.1054
2022-02-08,201.9643
2022-02-07,161.3210
2022-02-04,202.1697
2022-02-03,161.5991
2022-02-02,202.3749
2022-02-01,161.7501
2022-01-31,202.5798
2022-01-28,161.9491
2022-01-27,202.7850
2022-01-26,162.1575
2022-01-25,202.9902
2022-01-24,162.3901
2022-01-21,203.1954
2022-01-20,162.6325
2022-01-19,203.4005
2022-01-18,162.8880
2022-01-14,203.6053
2022-01-13,163.1587
2022-01-12,203.8099
2022-01-11,163.4618
2022-01-10,204.0142
2022-01-07,163.7755
2022-01-06,204.2180
2022-01-05,164.1125
2022-01-04,204.4212
2022-01-03,164.4412
2021-12-31,204.6238
2021-12-30,164.7699
2021-12-29,204.8257
2021-12-28,165.1232
2021-12-27,205.0270
2021-12-23,165.4558
2021-12-22,205.2275
2021-12-21,165.7926
2021-12-20,205.4274
2021-12-17,166.1187
2021-12-16,205.6265
2021-12-15,166.5234
2021-12-14,205.8251
2021-12-13,166.9824
2021-12-10,206.0226
2021-12-09,167.4032
2021-12-08,206.2187
2021-12-07,167.7462
2021-12-06,206.4138
2021-12-03,168.1527
2021-12-02,206.6081
2021-12-01,168.5649
2021-11-30,206.8013
2021-11-29,168.9417
2021-11-26,206.9935
2021-11-24,169.2471
2021-11-23,207.1847
2021-11-22,169.5093
2021-11-19,207.3753
2021-11-18,169.7474
2021-11-17,207.5656
2021-11-16,169.9986
2021-11-15,207.7557
2021-11-12,170.2582
2021-11-11,207.9454
2021-11-10,170.4651
2021-11-09,208.1348
2021-11-08,170.6793
2021-11-05,208.3241
2021-11-04,170.9153
2021-11-03,208.5132
2021-11-02,171.0385
2021-11-01,208.7022
2021-10-29,171.1751
2021-10-28,208.8914
2021-10-27,171.3103
2021-10-26,209.0810
2021-10-25,171.4654
2021-10-22,209.2708
2021-10-21,171.6581
2021-10-20,209.4608
2021-10-19,171.8585
2021-10-18,209.6507
2021-10-15,172.0423
2021-10-14,209.8406
2021-10-13,172.1614
2021-10-12,210.0306
2021-10-11,172.2619
2021-10-08,210.2209
2021-10-07,172.3311
2021-10-06,210.4116
2021-10-05,172.4099
2021-10-04,210.6030
2021-10-01,172.4405
2021-09-30,210.7949
2021-09-29,172.5298
2021-09-28,210.9876
2021-09-27,172.6556
2021-09-24,211.1809
2021-09-23,172.7938
2021-09-22,211.3745
2021-09-21,172.8935
2021-09-20,211.5684
2021-09-17,172.9359
2021-09-16,211.7627
2021-09-15,172.9939
2021-09-14,211.9578
2021-09-13,173.0031
2021-09-10,212.1536
2021-09-09,173.0287
2021-09-08,212.3503
2021-09-07,173.0594
2021-09-03,212.5479
2021-09-02,173.1117
2021-09-01,212.7464
2021-08-31,173.1530
2021-08-30,212.9455
2021-08-27,173.2369
2021-08-26,213.1455
2021-08-25,173.3111
2021-08-24,213.3461
2021-08-23,173.3947
2021-08-20,213.5472
2021-08-19,173.4643
2021-08-18,213.7490
2021-08-17,173.5332
2021-08-16,213.9514
2021-08-13,173.6368
2021-08-12,214.1546
2021-08-11,173.6829
2021-08-10,214.3582
2021-08-09,173.8281
2021-08-06,214.5626
2021-08-05,173.9770
2021-08-04,214.7673
2021-08-03,174.1577
2021-08-02,214.9722
2021-07-30,174.3419
2021-07-29,215.1773
2021-07-28,174.5207
2021-07-27,215.3825
2021-07-26,174.6860
2021-07-23,215.5879
2021-07-22,174.8201
2021-07-21,215.7934
2021-07-20,174.9861
2021-07-19,215.9993
2021-07-16,175.1766
2021-07-15,216.2054
2021-07-14,175.4539
2021-07-13,216.4116
2021-07-12,175.7339
2021-07-09,216.6174
2021-07-08,176.0226
2021-07-07,216.8228
2021-07-06,176.3466
2021-07-02,217.0279
2021-07-01,176.6415
2021-06-30,217.2323
2021-06-29,177.0420
2021-06-28,217.4363
2021-06-25,177.4255
2021-06-24,217.6392
2021-06-23,177.8039
2021-06-22,217.8413
2021-06-21,178.2230
2021-06-18,218.0425
2021-06-17,178.6323
2021-06-16,218.2426
2021-06-15,179.0242
2021-06-14,218.4417
2021-06-11,179.4515
2021-06-10,218.6397
