Dates,NATR Values
2022-06-29,4.8902
2022-06-28,5.0970
2022-06-27,4.9704
2022-06-24,4.9962
2022-06-23,5.2094
2022-06-22,5.0599
2022-06-21,5.1913
2022-06-17,5.3518
2022-06-16,5.4766
2022-06-15,5.7297
2022-06-14,5.8018
2022-06-13,5.9176
2022-06-10,4.8733
2022-06-09,4.5706
2022-06-08,4.3896
2022-06-07,4.5390
2022-06-06,4.6752
2022-06-03,4.8504
2022-06-02,5.0950
2022-06-01,5.2460
2022-05-31,5.1766
2022-05-27,5.3687
2022-05-26,5.7839
2022-05-25,6.1078
2022-05-24,6.5807
2022-05-23,6.4295
2022-05-20,6.9622
2022-05-19,6.3154
2022-05-18,6.6916
2022-05-17,6.4161
2022-05-16,6.8024
2022-05-13,6.6046
2022-05-12,6.8206
2022-05-11,6.4301
2022-05-10,6.1301
2022-05-09,6.1673
2022-05-06,4.9225
2022-05-05,5.0394
2022-05-04,4.7347
2022-05-03,4.9162
2022-05-02,5.1562
2022-04-29,5.2671
2022-04-28,5.0351
2022-04-27,5.0255
2022-04-26,3.7638
2022-04-25,3.3989
2022-04-22,3.4743
2022-04-21,3.3941
2022-04-20,3.1563
2022-04-19,3.1935
2022-04-18,3.1899
2022-04-14,3.2648
2022-04-13,3.3722
2022-04-12,3.4344
2022-04-11,3.5912
2022-04-08,3.5887
2022-04-07,3.6825
2022-04-06,3.7730
2022-04-05,3.7328
2022-04-04,3.3912
2022-04-01,3.4888
2022-03-31,3.6389
2022-03-30,3.6231
2022-03-29,3.6996
2022-03-28,3.7496
2022-03-25,3.8671
2022-03-24,4.0142
2022-03-23,4.2654
2022-03-22,4.2658
2022-03-21,4.3721
2022-03-18,3.9792
2022-03-17,4.2911
2022-03-16,4.5060
2022-03-15,4.6602
2022-03-14,4.9916
2022-03-11,5.1671
2022-03-10,5.1168
2022-03-09,5.2673
2022-03-08,5.4330
2022-03-07,5.3323
2022-03-04,4.7031
2022-03-03,4.4228
2022-03-02,4.1417
2022-03-01,4.3734
2022-02-28,3.9410
2022-02-25,3.8804
2022-02-24,4.0620
2022-02-23,3.8822
2022-02-22,3.8528
2022-02-18,3.4743
2022-02-17,3.4592
2022-02-16,3.4320
2022-02-15,3.6098
2022-02-14,3.6552
2022-02-11,3.6585
2022-02-10,3.3788
2022-02-09,3.3137
2022-02-08,3.5302
2022-02-07,3.7283
2022-02-04,3.7706
2022-02-03,3.9135
2022-02-02,4.0655
2022-02-01,4.2234
2022-01-31,4.4026
2022-01-28,4.5371
2022-01-27,4.6560
2022-01-26,4.4200
2022-01-25,3.8964
2022-01-24,3.8876
2022-01-21,3.5942
2022-01-20,3.3313
2022-01-19,3.2156
2022-01-18,3.0282
2022-01-14,3.0845
2022-01-13,3.1635
2022-01-12,3.1369
2022-01-11,3.2401
2022-01-10,3.2579
2022-01-07,3.0844
2022-01-06,3.1275
2022-01-05,3.0224
2022-01-04,2.9790
2022-01-03,3.0440
2021-12-31,2.9827
2021-12-30,3.0908
2021-12-29,3.2327
2021-12-28,3.3586
2021-12-27,3.3876
2021-12-23,3.4660
2021-12-22,3.6896
2021-12-21,3.8662
2021-12-20,3.8866
2021-12-17,3.8003
2021-12-16,3.8620
2021-12-15,3.7414
2021-12-14,3.7998
2021-12-13,3.8819
2021-12-10,3.6368
2021-12-09,3.6968
2021-12-08,3.7330
2021-12-07,3.9271
2021-12-06,4.1145
2021-12-03,4.2980
2021-12-02,4.3016
2021-12-01,4.2927
2021-11-30,3.7719
2021-11-29,3.8991
2021-11-26,3.8177
2021-11-24,3.1367
