Dates,MIDPOINT Values
2023-07-21,175.6750
2023-07-20,173.8050
2023-07-19,171.3200
2023-07-18,171.3200
2023-07-17,171.3200
2023-07-14,171.3200
2023-07-13,171.3200
2023-07-12,171.3200
2023-07-11,171.3200
2023-07-10,171.3200
2023-07-07,171.3200
2023-07-06,171.3200
2023-07-05,171.3200
2023-07-03,171.3200
2023-06-30,171.3200
2023-06-29,171.3200
2023-06-28,171.3200
2023-06-27,171.3200
2023-06-26,171.3200
2023-06-23,171.3200
2023-06-22,171.3200
2023-06-21,171.3200
2023-06-20,171.3200
2023-06-16,171.3200
2023-06-15,171.3200
2023-06-14,171.3200
2023-06-13,171.3200
2023-06-12,171.3200
2023-06-09,169.7650
2023-06-08,169.7650
2023-06-07,169.7650
2023-06-06,169.7650
2023-06-05,169.7650
2023-06-02,169.7650
2023-06-01,169.7650
2023-05-31,169.7650
2023-05-30,169.7650
2023-05-26,169.7650
2023-05-25,169.7650
2023-05-24,169.7650
2023-05-23,169.7650
2023-05-22,169.7650
2023-05-19,169.7650
2023-05-18,169.7650
2023-05-17,169.7650
2023-05-16,169.7650
2023-05-15,169.7650
2023-05-12,169.7650
2023-05-11,169.7650
2023-05-10,169.7650
2023-05-09,169.7650
2023-05-08,169.7650
2023-05-05,169.7650
2023-05-04,169.7650
2023-05-03,169.7650
2023-05-02,169.7650
2023-05-01,169.7650
2023-04-28,169.7650
2023-04-27,169.7650
2023-04-26,169.7650
2023-04-25,169.7650
2023-04-24,169.7650
2023-04-21,169.7650
2023-04-20,169.7650
2023-04-19,169.7650
2023-04-18,169.7650
2023-04-17,169.7650
2023-04-14,169.7650
2023-04-13,169.7650
2023-04-12,169.7650
2023-04-11,169.7650
2023-04-10,169.7650
2023-04-06,169.7650
2023-04-05,169.7650
2023-04-04,169.7650
2023-04-03,169.7650
2023-03-31,169.7650
2023-03-30,169.7650
2023-03-29,167.1550
2023-03-28,167.1550
2023-03-27,167.1550
2023-03-24,167.1550
2023-03-23,167.1550
2023-03-22,167.1550
2023-03-21,167.1550
2023-03-20,167.1550
2023-03-17,167.1550
2023-03-16,167.1550
2023-03-15,167.1550
2023-03-14,167.1550
2023-03-13,167.1550
2023-03-10,167.1550
2023-03-09,167.1550
2023-03-08,167.1550
2023-03-07,167.1550
2023-03-06,167.1550
2023-03-03,167.1550
2023-03-02,167.1550
2023-03-01,167.1550
2023-02-28,167.1550
2023-02-27,167.1550
2023-02-24,167.1550
2023-02-23,167.1550
2023-02-22,167.1550
2023-02-21,167.1550
2023-02-17,167.1550
2023-02-16,167.1550
2023-02-15,167.1550
2023-02-14,167.1550
2023-02-13,165.7550
2023-02-10,165.3100
2023-02-09,165.3100
2023-02-08,165.3100
2023-02-07,165.3100
2023-02-06,165.3050
2023-02-03,165.3050
2023-02-02,165.3050
2023-02-01,165.3050
2023-01-31,165.0900
2023-01-30,165.0900
2023-01-27,165.0900
2023-01-26,165.0900
2023-01-25,165.0900
2023-01-24,165.0900
2023-01-23,165.0900
2023-01-20,165.0900
2023-01-19,165.0900
2023-01-18,165.0900
2023-01-17,165.0900
2023-01-13,165.0900
2023-01-12,165.0900
2023-01-11,164.4300
2023-01-10,164.4300
2023-01-09,164.4300
2023-01-06,164.4300
2023-01-05,160.4250
2023-01-04,159.7500
2023-01-03,155.9300
2022-12-30,155.9300
2022-12-29,155.9300
2022-12-28,155.9300
2022-12-27,155.9300
2022-12-23,155.9300
2022-12-22,155.9300
2022-12-21,155.9300
2022-12-20,155.3850
2022-12-19,155.3850
2022-12-16,155.3850
2022-12-15,155.3850
2022-12-14,156.8350
2022-12-13,156.8350
2022-12-12,160.6000
2022-12-09,160.6000
2022-12-08,160.6000
2022-12-07,160.6000
2022-12-06,160.6000
2022-12-05,162.4450
2022-12-02,164.7200
2022-12-01,167.3950
2022-11-30,167.3950
2022-11-29,167.3950
2022-11-28,167.3950
2022-11-25,167.3950
2022-11-23,167.3950
2022-11-22,167.3950
2022-11-21,167.3950
2022-11-18,167.3950
2022-11-17,167.3950
2022-11-16,167.3950
2022-11-15,167.3950
2022-11-14,167.3950
2022-11-11,167.3950
2022-11-10,167.3950
2022-11-09,167.3950
2022-11-08,167.3950
2022-11-07,167.3950
2022-11-04,167.3950
2022-11-03,167.3950
2022-11-02,167.3950
2022-11-01,170.4350
2022-10-31,170.9100
2022-10-28,170.9100
2022-10-27,170.9100
2022-10-26,170.9100
2022-10-25,170.9100
2022-10-24,170.9100
2022-10-21,170.9100
2022-10-20,170.9100
2022-10-19,170.9100
2022-10-18,170.9100
2022-10-17,170.9100
2022-10-14,170.9100
2022-10-13,170.9100
2022-10-12,170.9100
2022-10-11,170.9100
2022-10-10,170.9100
2022-10-07,170.9100
2022-10-06,170.9100
2022-10-05,170.9100
2022-10-04,170.9100
2022-10-03,170.9100
2022-09-30,170.9100
2022-09-29,170.9100
2022-09-28,170.9100
2022-09-27,170.9100
2022-09-26,170.9100
2022-09-23,170.9100
2022-09-22,170.9100
2022-09-21,170.9100
2022-09-20,170.9100
2022-09-19,170.9100
2022-09-16,170.9100
2022-09-15,170.9100
2022-09-14,170.9100
2022-09-13,170.9100
2022-09-12,170.9100
2022-09-09,170.9100
2022-09-08,170.9100
2022-09-07,170.9100
2022-09-06,171.5550
2022-09-02,171.5550
2022-09-01,171.5550
2022-08-31,174.4750
2022-08-30,174.4750
2022-08-29,174.4750
2022-08-26,174.4750
2022-08-25,174.4750
2022-08-24,174.4750
2022-08-23,174.4750
2022-08-22,174.4750
2022-08-19,174.4750
2022-08-18,174.4750
2022-08-17,174.4750
2022-08-16,174.4750
2022-08-15,174.4750
2022-08-12,174.4750
2022-08-11,174.4750
2022-08-10,174.4750
2022-08-09,174.4750
2022-08-08,174.4750
2022-08-05,174.4750
2022-08-04,174.4750
2022-08-03,174.4750
2022-08-02,174.4750
2022-08-01,174.4750
2022-07-29,174.4750
2022-07-28,174.4750
2022-07-27,174.4750
2022-07-26,174.4750
2022-07-25,174.4750
2022-07-22,174.4750
2022-07-21,174.4750
2022-07-20,174.4750
2022-07-19,174.4750
2022-07-18,174.4750
2022-07-15,174.4750
2022-07-14,174.4750
2022-07-13,174.4750
2022-07-12,174.4750
2022-07-11,174.4750
2022-07-08,174.4750
2022-07-07,174.4750
2022-07-06,174.4750
2022-07-05,174.4750
2022-07-01,174.4750
2022-06-30,174.4750
2022-06-29,174.4750
2022-06-28,174.4750
2022-06-27,174.4750
2022-06-24,174.4750
2022-06-23,174.4750
2022-06-22,174.4750
2022-06-21,174.4750
2022-06-17,174.4750
2022-06-16,174.4750
2022-06-15,174.4750
2022-06-14,174.4750
2022-06-13,174.4750
2022-06-10,176.2450
2022-06-09,176.2450
2022-06-08,176.2450
2022-06-07,176.2450
2022-06-06,176.2450
2022-06-03,176.2450
2022-06-02,176.2450
2022-06-01,176.2450
2022-05-31,176.2450
2022-05-27,176.9300
2022-05-26,178.7900
2022-05-25,179.4450
2022-05-24,179.4450
2022-05-23,180.0950
2022-05-20,180.0950
2022-05-19,181.3150
2022-05-18,181.3150
2022-05-17,181.3150
2022-05-16,181.3150
2022-05-13,181.3150
2022-05-12,181.3150
2022-05-11,184.4400
2022-05-10,186.2200
2022-05-09,186.4000
2022-05-06,194.0500
2022-05-05,194.0500
2022-05-04,194.0500
2022-05-03,194.0500
2022-05-02,194.0500
2022-04-29,194.1650
2022-04-28,196.8550
2022-04-27,196.9750
2022-04-26,203.2650
2022-04-25,204.3300
2022-04-22,204.3800
2022-04-21,204.3800
2022-04-20,204.3800
2022-04-19,204.3800
2022-04-18,204.3800
2022-04-14,204.4500
2022-04-13,204.4500
2022-04-12,204.4500
2022-04-11,204.5650
2022-04-08,208.7750
2022-04-07,209.8700
2022-04-06,209.8700
2022-04-05,209.8700
2022-04-04,209.8700
2022-04-01,209.8700
2022-03-31,209.8700
2022-03-30,209.8700
2022-03-29,209.8700
2022-03-28,209.8700
2022-03-25,209.8700
2022-03-24,209.8700
2022-03-23,209.8700
2022-03-22,210.9650
2022-03-21,210.9650
2022-03-18,210.9650
2022-03-17,210.9650
2022-03-16,212.3950
2022-03-15,212.3950
2022-03-14,212.3950
2022-03-11,212.3950
2022-03-10,212.3950
2022-03-09,212.3950
2022-03-08,212.3950
2022-03-07,212.3950
2022-03-04,218.2300
2022-03-03,221.9050
2022-03-02,221.9050
2022-03-01,221.9050
2022-02-28,221.9050
2022-02-25,221.9050
2022-02-24,221.9050
2022-02-23,221.9050
2022-02-22,221.9050
2022-02-18,221.9050
2022-02-17,221.9050
2022-02-16,221.9050
2022-02-15,221.9050
2022-02-14,221.9050
2022-02-11,221.9050
2022-02-10,221.9050
2022-02-09,221.9050
2022-02-08,221.9050
2022-02-07,221.9050
2022-02-04,221.9050
2022-02-03,221.9050
2022-02-02,221.9050
2022-02-01,221.9050
2022-01-31,221.9050
2022-01-28,221.9050
2022-01-27,221.9050
2022-01-26,221.9050
2022-01-25,221.9050
2022-01-24,221.9050
2022-01-21,221.9050
2022-01-20,221.9050
2022-01-19,221.9050
2022-01-18,221.9050
2022-01-14,223.7750
2022-01-13,223.7750
2022-01-12,223.7750
2022-01-11,223.7750
2022-01-10,223.7750
2022-01-07,223.7750
2022-01-06,223.7750
2022-01-05,223.7750
2022-01-04,223.7750
2022-01-03,223.7750
2021-12-31,223.7750
2021-12-30,223.7750
2021-12-29,225.8900
2021-12-28,225.8900
2021-12-27,226.9100
2021-12-23,228.6900
2021-12-22,228.6900
2021-12-21,228.6900
2021-12-20,228.6900
2021-12-17,228.6900
2021-12-16,228.6900
2021-12-15,228.6900
2021-12-14,228.6900
2021-12-13,228.6900
2021-12-10,228.6900
2021-12-09,228.6900
2021-12-08,228.6900
2021-12-07,228.6900
2021-12-06,228.6900
2021-12-03,228.6900
2021-12-02,228.6900
2021-12-01,228.6900
2021-11-30,233.5200
2021-11-29,233.8450
2021-11-26,234.2000
2021-11-24,237.9000
2021-11-23,237.9000
2021-11-22,237.9000
2021-11-19,237.9000
2021-11-18,237.9000
2021-11-17,237.9000
2021-11-16,237.9000
2021-11-15,235.0650
2021-11-12,232.5150
2021-11-11,231.6900
2021-11-10,231.6900
2021-11-09,231.6100
2021-11-08,231.6100
2021-11-05,231.6100
2021-11-04,231.6100
2021-11-03,231.6100
2021-11-02,231.6100
2021-11-01,231.6100
2021-10-29,231.6100
2021-10-28,231.6100
2021-10-27,231.6100
2021-10-26,231.6100
2021-10-25,231.6100
2021-10-22,231.6100
2021-10-21,231.6100
2021-10-20,231.6100
2021-10-19,231.6100
2021-10-18,231.6100
2021-10-15,231.6100
2021-10-14,231.6100
2021-10-13,231.6100
2021-10-12,231.6100
2021-10-11,231.6100
2021-10-08,231.6100
2021-10-07,231.6100
2021-10-06,231.6100
2021-10-05,231.6100
2021-10-04,231.6100
2021-10-01,231.6100
2021-09-30,231.6100
2021-09-29,231.6100
2021-09-28,231.6100
2021-09-27,231.6100
2021-09-24,231.6100
2021-09-23,231.6100
