Dates,PLUS_DI Values
2022-06-30,22.4297
2022-06-29,22.5340
2022-06-28,22.5962
2022-06-27,22.2807
2022-06-24,22.3608
2022-06-23,22.1791
2022-06-22,22.2892
2022-06-21,22.3722
2022-06-17,22.3169
2022-06-16,22.1839
2022-06-15,22.2213
2022-06-14,21.5489
2022-06-13,21.6826
2022-06-10,21.8720
2022-06-09,21.9741
2022-06-08,22.0630
2022-06-07,22.0538
2022-06-06,22.1332
2022-06-03,22.1975
2022-06-02,22.2339
2022-06-01,21.9633
2022-05-31,22.0716
2022-05-27,22.0818
2022-05-26,21.9212
2022-05-25,21.6022
2022-05-24,21.6576
2022-05-23,21.7557
2022-05-20,21.8158
2022-05-19,21.9874
2022-05-18,22.0564
2022-05-17,22.1703
2022-05-16,22.1864
2022-05-13,22.2948
2022-05-12,22.2686
2022-05-11,22.4044
2022-05-10,22.5524
2022-05-09,22.6659
2022-05-06,22.9144
2022-05-05,22.9923
2022-05-04,23.1309
2022-05-03,23.0488
2022-05-02,22.8138
2022-04-29,22.9070
2022-04-28,23.0382
2022-04-27,23.1590
2022-04-26,23.4901
2022-04-25,23.6349
2022-04-22,23.7066
2022-04-21,23.8058
2022-04-20,23.7857
2022-04-19,23.8579
2022-04-18,23.6343
2022-04-14,23.6968
2022-04-13,23.6188
2022-04-12,23.3986
2022-04-11,23.4611
2022-04-08,23.4565
2022-04-07,23.5177
2022-04-06,23.5941
2022-04-05,23.6899
2022-04-04,23.8459
2022-04-01,23.9247
2022-03-31,23.9859
2022-03-30,24.0753
2022-03-29,24.1003
2022-03-28,23.7589
2022-03-25,23.8346
2022-03-24,23.7434
2022-03-23,23.8138
2022-03-22,23.9085
2022-03-21,23.6699
2022-03-18,23.8620
2022-03-17,23.7059
2022-03-16,23.7415
2022-03-15,23.2916
2022-03-14,23.2181
2022-03-11,23.3049
2022-03-10,23.2544
2022-03-09,23.3562
2022-03-08,23.3607
2022-03-07,23.5659
2022-03-04,23.7803
2022-03-03,23.9371
2022-03-02,24.0936
2022-03-01,24.1774
2022-02-28,24.3782
2022-02-25,24.3335
2022-02-24,24.0761
2022-02-23,24.2698
2022-02-22,24.3895
2022-02-18,24.5736
2022-02-17,24.6750
2022-02-16,24.7788
2022-02-15,24.8425
2022-02-14,24.7384
2022-02-11,24.8525
2022-02-10,25.0391
2022-02-09,24.7827
2022-02-08,24.6324
2022-02-07,24.7015
2022-02-04,24.4389
2022-02-03,24.5233
2022-02-02,24.5550
2022-02-01,24.6399
2022-01-31,24.2106
2022-01-28,23.7337
2022-01-27,23.8442
2022-01-26,24.0214
2022-01-25,24.2530
2022-01-24,24.3292
2022-01-21,24.5423
2022-01-20,24.7025
2022-01-19,24.8455
2022-01-18,24.9887
2022-01-14,24.8450
2022-01-13,24.9452
2022-01-12,24.7215
2022-01-11,24.5236
2022-01-10,24.5483
2022-01-07,24.6878
2022-01-06,24.6473
2022-01-05,24.7835
2022-01-04,24.6064
2022-01-03,24.4464
2021-12-31,24.1337
2021-12-30,24.1935
2021-12-29,24.2092
2021-12-28,24.2668
2021-12-27,24.0149
2021-12-23,24.0976
2021-12-22,24.0116
2021-12-21,23.8748
2021-12-20,23.4279
2021-12-17,23.5438
2021-12-16,23.6528
2021-12-15,23.6612
2021-12-14,23.7606
2021-12-13,23.8453
2021-12-10,23.9974
2021-12-09,24.0862
2021-12-08,24.1801
2021-12-07,24.1916
2021-12-06,23.9358
2021-12-03,23.6272
2021-12-02,23.7370
2021-12-01,23.9036
2021-11-30,24.1227
2021-11-29,24.2033
2021-11-26,24.0221
2021-11-24,24.2920
2021-11-23,24.3634
2021-11-22,24.4491
2021-11-19,24.5491
2021-11-18,24.7820
2021-11-17,24.8796
2021-11-16,24.9994
2021-11-15,25.1276
2021-11-12,24.6573
2021-11-11,24.6637
2021-11-10,24.7330
2021-11-09,24.6822
2021-11-08,24.7708
2021-11-05,24.6897
2021-11-04,24.2225
2021-11-03,24.1992
2021-11-02,24.2462
2021-11-01,24.2590
2021-10-29,23.9544
2021-10-28,24.0017
2021-10-27,24.0680
2021-10-26,24.1847
2021-10-25,24.2923
2021-10-22,24.3291
2021-10-21,24.3960
2021-10-20,24.4655
2021-10-19,24.4690
2021-10-18,24.4824
2021-10-15,24.5343
2021-10-14,24.5877
2021-10-13,24.6703
2021-10-12,24.7498
2021-10-11,24.8391
2021-10-08,24.7282
2021-10-07,24.7814
2021-10-06,24.5913
2021-10-05,24.6846
2021-10-04,24.7488
2021-10-01,24.7634
2021-09-30,24.8348
2021-09-29,24.9417
2021-09-28,24.7813
2021-09-27,24.9117
2021-09-24,24.6283
2021-09-23,24.6877
2021-09-22,24.4798
2021-09-21,24.2284
2021-09-20,24.2912
2021-09-17,24.3975
2021-09-16,24.4515
2021-09-15,24.3733
2021-09-14,24.4358
2021-09-13,24.4897
2021-09-10,24.5791
2021-09-09,24.6689
2021-09-08,24.7272
2021-09-07,24.8142
2021-09-03,24.9080
2021-09-02,24.9663
2021-09-01,24.9260
2021-08-31,24.9634
2021-08-30,25.0295
2021-08-27,25.1051
2021-08-26,25.1978
2021-08-25,25.3074
2021-08-24,25.3577
2021-08-23,25.2350
2021-08-20,25.0157
2021-08-19,25.0744
2021-08-18,25.1868
2021-08-17,25.2604
2021-08-16,25.4044
2021-08-13,25.5189
2021-08-12,25.6036
2021-08-11,25.5808
2021-08-10,25.4916
2021-08-09,25.3728
2021-08-06,25.4763
2021-08-05,25.4090
2021-08-04,25.4869
2021-08-03,25.3983
2021-08-02,25.5185
2021-07-30,25.6050
2021-07-29,25.7015
2021-07-28,25.7589
2021-07-27,25.2822
2021-07-26,25.3652
2021-07-23,25.3706
2021-07-22,25.2847
2021-07-21,25.3490
2021-07-20,25.0512
2021-07-19,24.8633
2021-07-16,25.0572
2021-07-15,25.1623
2021-07-14,25.2511
2021-07-13,25.3453
2021-07-12,25.4997
2021-07-09,25.5422
2021-07-08,25.4317
2021-07-07,25.6040
2021-07-06,25.7189
2021-07-02,25.7758
2021-07-01,25.8779
2021-06-30,25.8895
2021-06-29,25.9726
2021-06-28,26.1070
2021-06-25,26.2544
2021-06-24,26.2249
2021-06-23,26.1071
2021-06-22,26.0319
2021-06-21,26.0963
2021-06-18,25.8533
2021-06-17,25.9066
2021-06-16,26.0003
2021-06-15,26.0762
2021-06-14,26.1305
2021-06-11,26.2035
2021-06-10,26.2848
2021-06-09,26.2785
2021-06-08,26.3586
2021-06-07,26.2749
2021-06-04,26.2607
2021-06-03,26.3107
2021-06-02,26.4003
2021-06-01,26.2995
2021-05-28,26.0479
2021-05-27,26.1273
2021-05-26,25.7165
2021-05-25,25.7550
2021-05-24,25.5472
2021-05-21,25.5078
2021-05-20,25.1863
2021-05-19,25.0648
2021-05-18,25.1680
2021-05-17,25.0245
2021-05-14,25.0936
2021-05-13,25.1809
2021-05-12,25.3257
2021-05-11,25.4559
2021-05-10,25.5863
2021-05-07,25.4172
2021-05-06,25.2634
2021-05-05,25.3290
2021-05-04,25.4153
2021-05-03,25.5725
2021-04-30,25.6011
2021-04-29,25.6594
2021-04-28,25.7435
2021-04-27,25.8817
2021-04-26,25.9405
2021-04-23,25.6936
2021-04-22,25.7715
2021-04-21,25.7010
2021-04-20,25.7939
2021-04-19,25.9626
2021-04-16,26.0481
2021-04-15,26.1462
2021-04-14,26.2137
2021-04-13,26.1024
2021-04-12,26.0612
2021-04-09,26.1481
2021-04-08,26.2270
2021-04-07,26.3079
2021-04-06,26.3807
2021-04-05,26.4481
2021-04-01,26.4149
2021-03-31,26.5091
2021-03-30,26.3561
2021-03-29,26.4215
2021-03-26,26.3560
2021-03-25,26.3276
2021-03-24,26.5546
2021-03-23,26.6951
2021-03-22,26.8675
2021-03-19,26.9771
2021-03-18,27.0880
2021-03-17,27.0698
2021-03-16,27.2160
2021-03-15,27.3882
2021-03-12,27.1179
2021-03-11,26.6642
2021-03-10,26.2886
2021-03-09,25.8205
2021-03-08,25.7539
2021-03-05,25.8487
2021-03-04,26.0794
2021-03-03,26.3466
2021-03-02,26.0689
2021-03-01,26.1303
2021-02-26,25.9959
2021-02-25,26.1319
2021-02-24,26.3461
2021-02-23,25.7765
2021-02-22,25.8947
2021-02-19,25.8797
2021-02-18,25.8274
2021-02-17,25.9355
2021-02-16,25.9498
2021-02-12,25.8054
2021-02-11,25.8557
2021-02-10,25.9339
2021-02-09,25.9837
2021-02-08,25.8329
2021-02-05,25.8912
2021-02-04,25.9851
2021-02-03,25.8192
2021-02-02,25.6387
2021-02-01,25.4285
2021-01-29,25.4918
2021-01-28,25.6104
2021-01-27,25.6481
2021-01-26,25.7922
2021-01-25,25.6352
2021-01-22,25.7271
2021-01-21,25.7713
2021-01-20,25.8499
2021-01-19,25.6970
2021-01-15,25.6742
2021-01-14,25.7538
2021-01-13,25.5585
2021-01-12,25.6129
2021-01-11,25.6026
2021-01-08,25.7253
2021-01-07,25.8075
2021-01-06,25.8316
2021-01-05,25.7972
2021-01-04,25.7754
2020-12-31,25.9355
2020-12-30,25.9938
2020-12-29,26.0520
2020-12-28,26.0070
2020-12-24,26.0628
2020-12-23,26.1157
2020-12-22,26.1663
2020-12-21,26.0163
2020-12-18,26.1351
2020-12-17,26.2018
2020-12-16,26.3116
2020-12-15,26.4093
2020-12-14,26.5222
2020-12-11,26.5771
2020-12-10,26.6870
2020-12-09,26.8128
2020-12-08,26.9896
2020-12-07,27.0921
2020-12-04,26.9441
2020-12-03,27.0561
2020-12-02,26.4187
2020-12-01,26.2593
2020-11-30,26.3452
2020-11-27,26.4739
2020-11-25,26.5280
2020-11-24,26.6383
2020-11-23,26.3386
2020-11-20,26.1388
2020-11-19,26.2409
2020-11-18,26.3728
2020-11-17,26.0263
2020-11-16,25.7968
2020-11-13,25.1791
2020-11-12,25.1778
2020-11-11,25.2898
2020-11-10,25.4191
2020-11-09,25.1099
2020-11-06,24.0693
2020-11-05,24.0753
2020-11-04,24.0331
2020-11-03,24.0564
2020-11-02,23.8568
2020-10-30,23.9134
2020-10-29,24.0102
2020-10-28,24.0549
2020-10-27,24.1474
2020-10-26,24.2220
2020-10-23,24.3287
2020-10-22,24.3495
2020-10-21,24.3181
2020-10-20,24.3668
2020-10-19,24.4065
2020-10-16,24.4669
2020-10-15,24.1203
2020-10-14,24.1934
2020-10-13,24.2314
2020-10-12,24.2975
2020-10-09,24.3383
2020-10-08,24.2798
2020-10-07,24.2469
2020-10-06,24.3315
2020-10-05,24.5347
2020-10-02,24.4742
2020-10-01,24.5743
2020-09-30,24.5776
2020-09-29,24.3901
2020-09-28,24.4407
2020-09-25,23.9934
2020-09-24,23.8127
2020-09-23,23.8874
2020-09-22,24.0034
2020-09-21,24.0030
2020-09-18,24.0875
2020-09-17,24.1296
2020-09-16,24.2201
2020-09-15,24.3460
2020-09-14,24.2673
2020-09-11,24.1223
2020-09-10,24.1835
2020-09-09,24.2228
2020-09-08,24.2964
2020-09-04,24.4250
2020-09-03,24.5331
2020-09-02,24.3962
2020-09-01,24.4396
2020-08-31,24.5157
2020-08-28,24.5658
2020-08-27,24.6233
2020-08-26,24.3967
2020-08-25,24.4375
2020-08-24,24.4198
2020-08-21,24.1450
2020-08-20,24.1785
2020-08-19,24.2377
2020-08-18,24.2549
2020-08-17,24.3051
2020-08-14,24.3867
2020-08-13,24.4713
2020-08-12,24.5551
2020-08-11,24.6860
2020-08-10,24.3175
2020-08-07,24.0472
2020-08-06,24.0881
2020-08-05,24.1174
2020-08-04,23.8665
2020-08-03,23.7413
2020-07-31,23.8577
2020-07-30,23.9397
2020-07-29,24.0015
2020-07-28,24.1255
2020-07-27,24.1892
2020-07-24,24.2487
2020-07-23,24.3355
2020-07-22,24.4176
2020-07-21,24.5054
2020-07-20,24.3123
2020-07-17,24.3694
2020-07-16,24.4333
2020-07-15,24.5558
2020-07-14,24.2779
2020-07-13,24.3683
2020-07-10,24.2856
2020-07-09,24.3953
2020-07-08,24.4865
2020-07-07,24.5563
2020-07-06,24.6631
2020-07-02,24.6883
2020-07-01,24.7747
2020-06-30,24.7981
2020-06-29,24.9622
2020-06-26,24.2759
2020-06-25,24.3592
2020-06-24,24.4499
2020-06-23,24.5859
2020-06-22,24.5951
2020-06-19,24.6736
2020-06-18,24.8288
2020-06-17,24.9551
2020-06-16,25.0314
2020-06-15,24.5270
2020-06-12,24.6366
2020-06-11,24.8855
2020-06-10,25.3325
2020-06-09,25.5689
2020-06-08,25.7845
2020-06-05,25.3942
2020-06-04,24.3349
2020-06-03,23.7868
2020-06-02,23.1362
2020-06-01,23.0732
2020-05-29,23.0994
2020-05-28,23.2032
2020-05-27,22.9418
2020-05-26,22.8522
2020-05-22,22.7080
2020-05-21,22.7674
2020-05-20,22.4562
2020-05-19,22.5116
2020-05-18,22.5452
2020-05-15,22.0197
2020-05-14,22.0710
2020-05-13,22.1656
2020-05-12,22.2296
2020-05-11,22.3158
2020-05-08,22.3757
2020-05-07,22.2149
2020-05-06,22.1230
2020-05-05,22.1821
2020-05-04,22.1652
2020-05-01,22.2623
2020-04-30,22.3798
2020-04-29,22.5141
2020-04-28,22.2018
2020-04-27,22.0118
2020-04-24,22.0907
2020-04-23,22.1918
2020-04-22,22.1959
2020-04-21,22.2637
2020-04-20,22.3517
2020-04-17,22.4763
2020-04-16,22.1687
2020-04-15,22.2981
2020-04-14,22.4700
2020-04-13,22.6062
2020-04-09,22.7139
2020-04-08,22.6426
2020-04-07,22.7803
2020-04-06,22.3110
2020-04-03,21.6761
2020-04-02,21.7707
2020-04-01,21.9513
2020-03-31,22.1614
2020-03-30,21.9486
2020-03-27,22.1842
2020-03-26,22.4657
2020-03-25,22.1854
2020-03-24,20.2878
2020-03-23,19.8182
2020-03-20,19.6416
2020-03-19,19.5923
2020-03-18,19.7297
2020-03-17,20.1025
2020-03-16,20.4718
2020-03-13,20.9423
2020-03-12,21.2167
2020-03-11,21.6385
2020-03-10,22.1898
2020-03-09,22.4855
2020-03-06,22.9923
2020-03-05,23.1909
2020-03-04,23.5182
2020-03-03,23.6441
2020-03-02,23.5743
2020-02-28,23.2855
2020-02-27,23.5446
2020-02-26,23.8543
2020-02-25,24.0190
2020-02-24,24.2732
2020-02-21,24.4862
2020-02-20,24.5786
2020-02-19,24.6681
2020-02-18,24.6620
2020-02-14,24.7291
2020-02-13,24.8288
2020-02-12,24.9096
2020-02-11,24.8790
2020-02-10,24.8393
2020-02-07,24.6667
2020-02-06,24.7535
2020-02-05,24.1765
2020-02-04,23.7217
2020-02-03,23.7868
2020-01-31,23.8726
2020-01-30,23.9652
2020-01-29,24.0789
2020-01-28,23.7548
2020-01-27,23.8330
2020-01-24,23.9570
2020-01-23,23.6640
2020-01-22,23.4878
2020-01-21,23.6426
2020-01-17,23.9500
2020-01-16,24.0920
2020-01-15,24.1453
2020-01-14,24.1966
2020-01-13,24.3027
2020-01-10,24.3655
2020-01-09,24.4898
2020-01-08,24.1699
2020-01-07,24.2849
2020-01-06,23.9085
2020-01-03,24.0122
2020-01-02,23.9850
2019-12-31,23.6778
2019-12-30,23.7253
2019-12-27,23.7972
2019-12-26,23.8450
2019-12-24,23.9044
2019-12-23,24.0089
2019-12-20,23.8818
2019-12-19,23.9918
2019-12-18,24.0526
2019-12-17,23.9106
2019-12-16,24.0624
2019-12-13,24.2884
2019-12-12,24.4113
2019-12-11,24.4989
2019-12-10,24.6736
2019-12-09,24.7337
2019-12-06,24.8025
2019-12-05,24.6907
2019-12-04,24.7639
2019-12-03,24.8623
2019-12-02,24.9836
2019-11-29,25.1714
2019-11-27,25.2041
2019-11-26,25.3077
2019-11-25,25.3317
2019-11-22,25.3647
2019-11-21,25.3049
2019-11-20,25.3764
2019-11-19,25.4571
2019-11-18,25.6619
2019-11-15,25.6530
2019-11-14,25.4434
2019-11-13,25.4386
2019-11-12,25.5235
2019-11-11,25.6332
2019-11-08,25.2327
2019-11-07,25.3369
2019-11-06,25.3234
2019-11-05,25.4196
2019-11-04,24.9652
2019-11-01,24.6804
2019-10-31,24.7654
2019-10-30,24.8644
2019-10-29,24.9486
2019-10-28,24.8204
2019-10-25,24.8054
2019-10-24,24.8899
2019-10-23,25.0095
2019-10-22,24.6621
2019-10-21,24.3792
2019-10-18,24.6706
2019-10-17,25.0560
2019-10-16,25.1291
2019-10-15,25.0161
2019-10-14,25.0620
2019-10-11,25.0466
2019-10-10,25.0049
2019-10-09,25.0756
2019-10-08,25.1105
2019-10-07,25.2436
2019-10-04,25.1989
2019-10-03,25.0310
2019-10-02,25.1680
2019-10-01,25.3389
2019-09-30,25.4655
2019-09-27,25.5750
2019-09-26,25.7053
2019-09-25,25.7817
2019-09-24,25.3753
2019-09-23,25.3681
2019-09-20,25.4553
2019-09-19,25.5601
2019-09-18,25.5393
2019-09-17,25.5598
2019-09-16,25.4540
2019-09-13,25.5557
2019-09-12,25.6497
2019-09-11,25.7692
2019-09-10,25.1639
2019-09-09,24.8124
2019-09-06,24.9366
2019-09-05,25.0117
2019-09-04,24.7318
2019-09-03,24.6222
2019-08-30,24.8229
2019-08-29,24.8624
2019-08-28,24.6011
2019-08-27,24.7346
2019-08-26,24.8491
2019-08-23,25.0189
2019-08-22,24.4488
2019-08-21,23.8499
2019-08-20,23.4537
2019-08-19,23.5237
2019-08-16,23.3131
2019-08-15,23.1920
2019-08-14,23.3118
2019-08-13,23.4881
2019-08-12,23.5022
2019-08-09,23.5903
2019-08-08,23.5143
2019-08-07,23.3311
2019-08-06,23.4586
2019-08-05,23.4111
2019-08-02,23.5890
2019-08-01,23.7058
2019-07-31,23.8674
2019-07-30,23.7856
2019-07-29,23.9430
2019-07-26,24.0440
2019-07-25,24.1374
2019-07-24,24.3677
2019-07-23,24.5611
2019-07-22,24.6470
2019-07-19,24.5575
2019-07-18,24.2081
2019-07-17,24.3530
2019-07-16,24.1991
2019-07-15,24.1078
2019-07-12,24.2006
2019-07-11,23.9309
2019-07-10,23.8888
2019-07-09,23.8028
2019-07-08,23.8889
2019-07-05,23.9827
2019-07-03,23.9218
2019-07-02,23.9592
2019-07-01,24.0183
2019-06-28,24.1912
2019-06-27,24.2591
2019-06-26,24.4437
2019-06-25,24.3609
2019-06-24,24.4672
2019-06-21,24.5210
2019-06-20,24.5665
2019-06-19,24.6733
2019-06-18,24.5556
2019-06-17,23.7222
2019-06-14,23.4345
2019-06-13,23.4744
2019-06-12,23.5446
2019-06-11,23.6373
2019-06-10,23.7419
2019-06-07,23.6694
2019-06-06,23.5171
2019-06-05,23.6024
2019-06-04,23.8978
2019-06-03,23.5662
2019-05-31,23.7218
2019-05-30,23.8437
2019-05-29,23.9008
2019-05-28,24.0279
2019-05-24,24.0919
2019-05-23,23.6517
2019-05-22,23.8175
2019-05-21,23.9180
2019-05-20,23.7420
2019-05-17,23.8193
2019-05-16,23.7358
2019-05-15,23.4273
2019-05-14,23.4221
2019-05-13,23.5475
2019-05-10,23.8001
2019-05-09,23.9155
2019-05-08,24.0638
2019-05-07,24.1828
2019-05-06,24.4262
2019-05-03,24.5870
2019-05-02,24.6267
2019-05-01,24.6923
2019-04-30,24.7607
2019-04-29,24.8516
2019-04-26,24.9795
2019-04-25,25.0677
2019-04-24,25.0295
2019-04-23,24.8845
2019-04-22,24.9483
2019-04-18,25.0257
2019-04-17,25.0954
2019-04-16,25.1961
2019-04-15,24.9375
2019-04-12,25.0264
2019-04-11,24.6422
2019-04-10,24.6065
2019-04-09,24.6964
2019-04-08,24.7961
2019-04-05,25.0951
2019-04-04,25.1152
2019-04-03,24.9691
2019-04-02,25.0813
2019-04-01,25.0607
2019-03-29,24.5886
2019-03-28,24.3709
2019-03-27,24.4343
2019-03-26,24.5975
2019-03-25,24.4519
2019-03-22,24.5036
2019-03-21,24.6686
2019-03-20,24.7393
2019-03-19,24.7269
2019-03-18,24.4998
2019-03-15,24.6737
2019-03-14,24.9615
2019-03-13,25.0869
2019-03-12,25.3688
2019-03-11,25.8711
2019-03-08,26.8114
2019-03-07,26.9469
2019-03-06,27.1408
2019-03-05,27.3132
2019-03-04,27.4040
2019-03-01,27.7189
2019-02-28,27.5318
2019-02-27,27.3109
2019-02-26,27.0078
2019-02-25,27.0900
2019-02-22,26.8429
2019-02-21,26.8294
2019-02-20,26.9449
