Dates,TRANGE Values
2022-06-29,4.0800
2022-06-28,8.6400
2022-06-27,5.3100
2022-06-24,7.9000
2022-06-23,7.3283
2022-06-22,5.5100
2022-06-21,5.0995
2022-06-17,7.4800
2022-06-16,4.0800
2022-06-15,12.8300
2022-06-14,9.1700
2022-06-13,12.8600
2022-06-10,6.8800
2022-06-09,5.9600
2022-06-08,3.7662
2022-06-07,5.3300
2022-06-06,4.3100
2022-06-03,3.1150
2022-06-02,9.9000
2022-06-01,7.3200
2022-05-31,4.1300
2022-05-27,4.5000
2022-05-26,6.7816
2022-05-25,3.8350
2022-05-24,6.7800
2022-05-23,4.1400
2022-05-20,11.7700
2022-05-19,4.7000
2022-05-18,7.7400
2022-05-17,8.7800
2022-05-16,8.7742
2022-05-13,8.4200
2022-05-12,9.1100
2022-05-11,9.8500
2022-05-10,7.5049
2022-05-09,16.2500
2022-05-06,5.0500
2022-05-05,8.9400
2022-05-04,6.3677
2022-05-03,6.5394
2022-05-02,6.0696
2022-04-29,8.5099
2022-04-28,7.7900
2022-04-27,21.0400
2022-04-26,9.0600
2022-04-25,4.4700
2022-04-22,6.1700
2022-04-21,9.3000
2022-04-20,4.4800
2022-04-19,7.7600
2022-04-18,3.9100
2022-04-14,3.9000
2022-04-13,7.1800
2022-04-12,3.9700
2022-04-11,6.2700
2022-04-08,3.8900
2022-04-07,4.8500
2022-04-06,6.0698
2022-04-05,9.8300
2022-04-04,4.9348
2022-04-01,3.8360
2022-03-31,6.1299
2022-03-30,6.0900
2022-03-29,8.2000
2022-03-28,4.7900
2022-03-25,4.7700
2022-03-24,4.4700
2022-03-23,6.0100
2022-03-22,8.3429
2022-03-21,12.2200
2022-03-18,3.2800
2022-03-17,4.9700
2022-03-16,9.7100
2022-03-15,4.9800
2022-03-14,5.6589
2022-03-11,8.9100
2022-03-10,6.6300
2022-03-09,9.0700
2022-03-08,13.2400
2022-03-07,13.6600
2022-03-04,9.8800
2022-03-03,9.7900
2022-03-02,5.2087
2022-03-01,12.4100
2022-02-28,10.5600
2022-02-25,5.6400
2022-02-24,11.9750
2022-02-23,7.3399
2022-02-22,11.2100
2022-02-18,6.1288
2022-02-17,6.2600
2022-02-16,4.4000
2022-02-15,9.4994
2022-02-14,6.8700
2022-02-11,11.1500
2022-02-10,9.5350
2022-02-09,3.7700
2022-02-08,4.1800
2022-02-07,8.9500
2022-02-04,5.1500
2022-02-03,4.8400
2022-02-02,5.1757
2022-02-01,8.6500
2022-01-31,10.3400
2022-01-28,6.9500
2022-01-27,11.0673
2022-01-26,14.2940
2022-01-25,8.0799
2022-01-24,12.9300
2022-01-21,9.6200
2022-01-20,8.5300
2022-01-19,8.4800
2022-01-18,5.4100
2022-01-14,5.9500
2022-01-13,9.4400
2022-01-12,5.2200
2022-01-11,8.6200
2022-01-10,8.3700
2022-01-07,6.9800
2022-01-06,8.1400
2022-01-05,7.1200
2022-01-04,6.6955
2022-01-03,9.2300
2021-12-31,3.6600
2021-12-30,3.4000
2021-12-29,3.5300
2021-12-28,7.2873
2021-12-27,5.1200
2021-12-23,3.8100
2021-12-22,4.9900
2021-12-21,11.2100
2021-12-20,7.3700
2021-12-17,6.8900
2021-12-16,7.8775
2021-12-15,6.2599
2021-12-14,5.3200
2021-12-13,9.5100
2021-12-10,5.5200
2021-12-09,5.8300
2021-12-08,4.9699
2021-12-07,5.7700
2021-12-06,7.9301
2021-12-03,6.9599
2021-12-02,14.3500
2021-12-01,13.6200
2021-11-30,4.9700
2021-11-29,8.9500
2021-11-26,16.6000
2021-11-24,4.3500
2021-11-23,5.2200
2021-11-22,6.0700
2021-11-19,14.0200
2021-11-18,6.5490
2021-11-17,7.1200
2021-11-16,7.5800
2021-11-15,12.9800
2021-11-12,4.8500
2021-11-11,4.1500
2021-11-10,8.4100
2021-11-09,5.3100
2021-11-08,4.8800
2021-11-05,11.5500
2021-11-04,2.9500
2021-11-03,2.8879
2021-11-02,5.0150
2021-11-01,7.8800
2021-10-29,2.9500
2021-10-28,4.1400
2021-10-27,7.2600
2021-10-26,6.6700
2021-10-25,2.2785
2021-10-22,4.1450
2021-10-21,4.3022
2021-10-20,4.3100
2021-10-19,2.3785
2021-10-18,3.2300
2021-10-15,3.3300
2021-10-14,5.1389
2021-10-13,4.9395
2021-10-12,5.5400
2021-10-11,6.7800
2021-10-08,3.3124
2021-10-07,4.0100
2021-10-06,5.8699
2021-10-05,4.0300
2021-10-04,5.9707
2021-10-01,6.7800
2021-09-30,6.6900
2021-09-29,11.5299
2021-09-28,8.1569
2021-09-27,7.2100
2021-09-24,3.7500
2021-09-23,5.6400
2021-09-22,9.4800
2021-09-21,4.0400
2021-09-20,6.8300
2021-09-17,3.4600
2021-09-16,3.0000
2021-09-15,4.0300
2021-09-14,5.3990
2021-09-13,5.7600
2021-09-10,5.7700
2021-09-09,5.8900
2021-09-08,5.5700
2021-09-07,6.0000
2021-09-03,3.7200
2021-09-02,5.7600
2021-09-01,4.1400
2021-08-31,4.2396
2021-08-30,4.8400
2021-08-27,5.9300
2021-08-26,6.9900
2021-08-25,3.2000
2021-08-24,3.7000
2021-08-23,7.5100
2021-08-20,3.7999
2021-08-19,7.2700
2021-08-18,4.7500
2021-08-17,9.2600
2021-08-16,7.3200
2021-08-13,5.4052
2021-08-12,4.6400
2021-08-11,5.0100
2021-08-10,5.2300
2021-08-09,6.6823
2021-08-06,3.6300
2021-08-05,5.0500
2021-08-04,7.0200
2021-08-03,7.8000
2021-08-02,5.6000
2021-07-30,6.2300
2021-07-29,3.6999
2021-07-28,15.2200
2021-07-27,5.4300
2021-07-26,6.2309
2021-07-23,3.7600
2021-07-22,4.2300
2021-07-21,6.9400
2021-07-20,10.7499
2021-07-19,12.9400
2021-07-16,6.9662
2021-07-15,5.8660
2021-07-14,6.2150
2021-07-13,10.1300
2021-07-12,4.3074
2021-07-09,4.1600
2021-07-08,11.3100
2021-07-07,7.4899
2021-07-06,3.7027
2021-07-02,6.6373
2021-07-01,3.1900
2021-06-30,5.4100
2021-06-29,8.7100
2021-06-28,9.5000
2021-06-25,4.0500
2021-06-24,7.1700
2021-06-23,3.7000
2021-06-22,4.2000
2021-06-21,8.3700
2021-06-18,3.5100
2021-06-17,6.1700
2021-06-16,4.9900
2021-06-15,3.5700
2021-06-14,4.8000
2021-06-11,5.3400
2021-06-10,7.0800
2021-06-09,5.2600
2021-06-08,6.3100
2021-06-07,4.3899
2021-06-04,3.3099
2021-06-03,5.9300
2021-06-02,3.7757
2021-06-01,8.6200
2021-05-28,5.3300
2021-05-27,11.2300
2021-05-26,2.6200
2021-05-25,6.3400
2021-05-24,5.9000
2021-05-21,8.6500
2021-05-20,4.6689
2021-05-19,7.2700
2021-05-18,5.8352
2021-05-17,4.8900
2021-05-14,6.1700
2021-05-13,10.2000
2021-05-12,9.1100
2021-05-11,9.0800
2021-05-10,8.6049
2021-05-07,7.9150
2021-05-06,4.6200
2021-05-05,6.0700
2021-05-04,11.0000
2021-05-03,3.2900
2021-04-30,4.0700
2021-04-29,5.8800
2021-04-28,9.6200
2021-04-27,4.0800
2021-04-26,6.2700
2021-04-23,5.4700
2021-04-22,6.2699
2021-04-21,6.5400
2021-04-20,11.8100
2021-04-19,5.9600
2021-04-16,6.8188
2021-04-15,4.6900
2021-04-14,7.0900
2021-04-13,8.3873
2021-04-12,6.0700
2021-04-09,5.5120
2021-04-08,5.6400
2021-04-07,5.0700
2021-04-06,4.6957
2021-04-05,7.5200
2021-04-01,6.5700
2021-03-31,5.8700
2021-03-30,4.5900
2021-03-29,9.8400
2021-03-26,10.6000
2021-03-25,15.8800
2021-03-24,9.7400
2021-03-23,11.8700
2021-03-22,7.5099
2021-03-19,7.5700
2021-03-18,12.6393
2021-03-17,9.9300
2021-03-16,11.6100
2021-03-15,14.2371
2021-03-12,17.7200
2021-03-11,11.3100
2021-03-10,16.1900
2021-03-09,11.4799
2021-03-08,6.6700
2021-03-05,16.1200
2021-03-04,18.4027
2021-03-03,12.2600
2021-03-02,5.0400
2021-03-01,14.9700
2021-02-26,9.3700
2021-02-25,14.6300
2021-02-24,18.0100
2021-02-23,8.1500
2021-02-22,9.5900
2021-02-19,9.1600
2021-02-18,7.4400
2021-02-17,6.0300
2021-02-16,6.4200
2021-02-12,3.4900
2021-02-11,5.4191
2021-02-10,6.3700
2021-02-09,7.8273
2021-02-08,4.0600
2021-02-05,6.5388
2021-02-04,5.0900
2021-02-03,7.2200
2021-02-02,7.1900
2021-02-01,4.5200
2021-01-29,8.4499
2021-01-28,6.3900
2021-01-27,10.2096
2021-01-26,6.5600
2021-01-25,6.5400
2021-01-22,3.1400
2021-01-21,5.5900
2021-01-20,4.8800
2021-01-19,7.2000
2021-01-15,5.7100
2021-01-14,6.9800
2021-01-13,3.9400
2021-01-12,4.2500
2021-01-11,8.8900
2021-01-08,5.9450
2021-01-07,5.5700
2021-01-06,6.2700
2021-01-05,10.6300
2021-01-04,11.5689
2020-12-31,4.2000
2020-12-30,4.1890
2020-12-29,6.2800
2020-12-28,4.0373
2020-12-24,3.8300
2020-12-23,5.6222
2020-12-22,6.1900
2020-12-21,8.6500
2020-12-18,4.8540
2020-12-17,7.9600
2020-12-16,7.0741
2020-12-15,8.1400
2020-12-14,9.2600
2020-12-11,7.8900
2020-12-10,8.9900
2020-12-09,12.5600
2020-12-08,7.2400
2020-12-07,11.3700
2020-12-04,7.9299
2020-12-03,18.1500
2020-12-02,14.6900
2020-12-01,7.3800
2020-11-30,9.2611
2020-11-27,3.8900
2020-11-25,7.9100
2020-11-24,11.4200
2020-11-23,14.5899
2020-11-20,7.4100
2020-11-19,9.5393
2020-11-18,20.0200
2020-11-17,15.1500
2020-11-16,15.8300
2020-11-13,10.5500
2020-11-12,8.3400
2020-11-11,9.5900
2020-11-10,14.5900
2020-11-09,26.7200
2020-11-06,3.9500
2020-11-05,6.0000
2020-11-04,4.2300
2020-11-03,6.2200
2020-11-02,6.2100
2020-10-30,7.5899
2020-10-29,3.5000
2020-10-28,7.2400
2020-10-27,5.8300
2020-10-26,8.3100
2020-10-23,4.2100
2020-10-22,5.7700
2020-10-21,3.8100
2020-10-20,3.1100
2020-10-19,4.7300
2020-10-16,9.1800
2020-10-15,5.8100
2020-10-14,3.0300
2020-10-13,5.2600
2020-10-12,3.2500
2020-10-09,3.1800
2020-10-08,4.5499
2020-10-07,6.8047
2020-10-06,16.2300
2020-10-05,4.5700
2020-10-02,7.9800
2020-10-01,7.5000
2020-09-30,7.3800
2020-09-29,4.0700
2020-09-28,11.9700
2020-09-25,10.2616
2020-09-24,6.1600
2020-09-23,9.5300
2020-09-22,5.1178
2020-09-21,6.9400
2020-09-18,8.7000
2020-09-17,7.4050
2020-09-16,10.2600
2020-09-15,5.5100
2020-09-14,7.0400
2020-09-11,5.0392
2020-09-10,6.2100
2020-09-09,6.0600
2020-09-08,10.5500
2020-09-04,8.8300
2020-09-03,12.7300
2020-09-02,3.5500
2020-09-01,6.2400
2020-08-31,4.1000
2020-08-28,4.7100
2020-08-27,9.4100
2020-08-26,3.3800
2020-08-25,8.1900
2020-08-24,10.7700
2020-08-21,2.8139
2020-08-20,4.9800
2020-08-19,5.0100
2020-08-18,4.2280
2020-08-17,6.8815
2020-08-14,7.1200
2020-08-13,7.0399
2020-08-12,10.9590
2020-08-11,10.5600
2020-08-10,9.7700
2020-08-07,3.5000
2020-08-06,4.9700
2020-08-05,9.9100
2020-08-04,5.1300
2020-08-03,10.1700
2020-07-31,7.1400
2020-07-30,5.3700
2020-07-29,10.7600
2020-07-28,5.5100
2020-07-27,5.1400
2020-07-24,7.4999
2020-07-23,7.0800
2020-07-22,7.5600
2020-07-21,8.2300
2020-07-20,4.9500
2020-07-17,5.5500
2020-07-16,10.6000
2020-07-15,9.5700
2020-07-14,7.8900
2020-07-13,8.8900
2020-07-10,9.5800
2020-07-09,7.9400
2020-07-08,6.0700
2020-07-07,9.2600
2020-07-06,8.5500
2020-07-02,7.4700
2020-07-01,10.5700
2020-06-30,14.1100
2020-06-29,24.4900
2020-06-26,7.2800
2020-06-25,7.9100
2020-06-24,11.8100
2020-06-23,6.5700
2020-06-22,6.8000
2020-06-19,13.3890
2020-06-18,10.8345
2020-06-17,6.5200
2020-06-16,17.3600
2020-06-15,17.3400
2020-06-12,21.3000
2020-06-11,37.4000
2020-06-10,19.3400
2020-06-09,17.4200
2020-06-08,28.7700
2020-06-05,34.4900
2020-06-04,15.4400
2020-06-03,20.4700
2020-06-02,4.4600
2020-06-01,9.0000
2020-05-29,9.0600
2020-05-28,7.6500
2020-05-27,8.4100
2020-05-26,8.3800
2020-05-22,5.3034
2020-05-21,10.9190
2020-05-20,5.0100
2020-05-19,6.7600
2020-05-18,16.2000
2020-05-15,4.7400
2020-05-14,8.7200
2020-05-13,5.8900
2020-05-12,7.9211
2020-05-11,5.4900
2020-05-08,6.9000
2020-05-07,8.8500
2020-05-06,5.4891
2020-05-05,8.8000
2020-05-04,9.0200
2020-05-01,10.8700
2020-04-30,12.3400
2020-04-29,15.8800
2020-04-28,9.4600
2020-04-27,7.3700
2020-04-24,9.4100
2020-04-23,7.4100
2020-04-22,6.2997
2020-04-21,8.1600
2020-04-20,11.5000
2020-04-17,19.7600
2020-04-16,11.9800
2020-04-15,15.7873
2020-04-14,12.4000
2020-04-13,9.7400
2020-04-09,11.1100
2020-04-08,12.4200
2020-04-07,24.5400
2020-04-06,25.1700
2020-04-03,8.7900
2020-04-02,16.6596
2020-04-01,19.1400
2020-03-31,11.6400
2020-03-30,21.3200
2020-03-27,25.0099
2020-03-26,27.7500
2020-03-25,47.0900
2020-03-24,22.3400
2020-03-23,20.9300
2020-03-20,12.7200
2020-03-19,13.2200
2020-03-18,35.1400
2020-03-17,33.7100
2020-03-16,41.4400
2020-03-13,23.4400
2020-03-12,35.0370
2020-03-11,44.0100
2020-03-10,22.8300
2020-03-09,37.9600
2020-03-06,14.4900
2020-03-05,23.4700
2020-03-04,8.9000
2020-03-03,19.3600
2020-03-02,17.4199
2020-02-28,18.1600
2020-02-27,21.3000
2020-02-26,11.1600
2020-02-25,17.0100
2020-02-24,14.0500
2020-02-21,6.0500
2020-02-20,5.8500
2020-02-19,5.6132
2020-02-18,4.3900
2020-02-14,6.5000
2020-02-13,5.2600
2020-02-12,5.4970
2020-02-11,5.9389
2020-02-10,9.5626
2020-02-07,5.7058
2020-02-06,17.6741
2020-02-05,11.6700
2020-02-04,4.4235
2020-02-03,5.8250
2020-01-31,6.2724
2020-01-30,7.6690
2020-01-29,10.5517
2020-01-28,5.3231
2020-01-27,8.4176
2020-01-24,13.6084
2020-01-23,10.4076
2020-01-22,10.5865
2020-01-21,20.7257
2020-01-17,9.4434
2020-01-16,3.5388
2020-01-15,3.3996
2020-01-14,7.0279
2020-01-13,4.1551
2020-01-10,8.1961
2020-01-09,10.2983
2020-01-08,7.6342
2020-01-07,13.3997
2020-01-06,6.9384
2020-01-03,4.5626
2020-01-02,7.5448
2019-12-31,3.2306
2019-12-30,4.8879
2019-12-27,4.4533
2019-12-26,4.0358
2019-12-24,7.0875
2019-12-23,12.5149
2019-12-20,7.4553
2019-12-19,4.1054
2019-12-18,8.2008
2019-12-17,10.2784
2019-12-16,15.1492
2019-12-13,8.1611
2019-12-12,10.0100
2019-12-11,11.4613
2019-12-10,3.9288
2019-12-09,4.4931
2019-12-06,8.6680
2019-12-05,4.8012
2019-12-04,6.4314
2019-12-03,7.9006
2019-12-02,12.1472
2019-11-29,2.1074
2019-11-27,6.6700
2019-11-26,3.3897
2019-11-25,5.0696
2019-11-22,7.0676
2019-11-21,4.6273
2019-11-20,5.2088
2019-11-19,13.1411
2019-11-18,7.6567
2019-11-15,6.0040
2019-11-14,6.9583
2019-11-13,5.4719
2019-11-12,7.0577
2019-11-11,24.0416
2019-11-08,6.7197
2019-11-07,7.1923
2019-11-06,6.1970
2019-11-05,10.3975
2019-11-04,6.1871
2019-11-01,5.6238
2019-10-31,6.5330
2019-10-30,6.6516
2019-10-29,10.3797
2019-10-28,5.4261
2019-10-25,5.5842
2019-10-24,7.8772
2019-10-23,14.1335
2019-10-22,10.2987
2019-10-21,19.3718
2019-10-18,25.0548
2019-10-17,4.6848
2019-10-16,8.0848
2019-10-15,2.9619
2019-10-14,5.9499
2019-10-11,6.7801
2019-10-10,4.5761
2019-10-09,4.3092
2019-10-08,8.5987
2019-10-07,5.0307
2019-10-04,4.3587
2019-10-03,8.9150
2019-10-02,11.0397
2019-10-01,8.1243
2019-09-30,6.9976
2019-09-27,8.2864
2019-09-26,4.8479
2019-09-25,9.2411
2019-09-24,6.5034
2019-09-23,5.6160
2019-09-20,6.7306
2019-09-19,5.5511
2019-09-18,6.8592
2019-09-17,7.4191
2019-09-16,6.5559
2019-09-13,6.0487
2019-09-12,9.5772
2019-09-11,15.3195
2019-09-10,10.8126
2019-09-09,8.1737
2019-09-06,5.7226
2019-09-05,8.0848
2019-09-04,3.5696
2019-09-03,13.3280
2019-08-30,3.9238
2019-08-29,5.9993
2019-08-28,8.9051
2019-08-27,7.5998
2019-08-26,11.1981
2019-08-23,15.1614
2019-08-22,16.2585
2019-08-21,10.7039
2019-08-20,4.8429
2019-08-19,5.3964
2019-08-16,4.6254
2019-08-15,8.4208
2019-08-14,12.3050
2019-08-13,6.8187
2019-08-12,6.1080
2019-08-09,5.8461
2019-08-08,7.4819
2019-08-07,8.9198
2019-08-06,6.4442
2019-08-05,12.3826
2019-08-02,8.0700
2019-08-01,11.0908
2019-07-31,10.0544
2019-07-30,10.7371
2019-07-29,6.8470
2019-07-26,6.3116
2019-07-25,15.4426
2019-07-24,12.8099
2019-07-23,5.6466
2019-07-22,10.4031
2019-07-19,16.9849
2019-07-18,9.5976
2019-07-17,7.6133
2019-07-16,4.0768
2019-07-15,6.1987
2019-07-12,7.1810
2019-07-11,8.4090
2019-07-10,5.1770
2019-07-09,5.8450
2019-07-08,6.3447
2019-07-05,5.7173
2019-07-03,2.5443
2019-07-02,4.0216
2019-07-01,11.6998
2019-06-28,4.5729
2019-06-27,12.3679
2019-06-26,9.4895
2019-06-25,7.0926
2019-06-24,3.5856
2019-06-21,4.3125
2019-06-20,7.1024
2019-06-19,10.7666
2019-06-18,19.4015
2019-06-17,8.8412
2019-06-14,3.2270
2019-06-13,4.8725
2019-06-12,6.4197
2019-06-11,7.2134
2019-06-10,3.7821
2019-06-07,4.5581
2019-06-06,5.9531
2019-06-05,20.3937
2019-06-04,7.3873
2019-06-03,10.7470
2019-05-31,8.3598
2019-05-30,3.9131
2019-05-29,8.6742
2019-05-28,4.3518
2019-05-24,10.6586
2019-05-23,11.4248
2019-05-22,6.8765
2019-05-21,7.8392
2019-05-20,5.3151
2019-05-17,8.6707
2019-05-16,10.6684
2019-05-15,10.9630
2019-05-14,8.7146
2019-05-13,17.3582
2019-05-10,7.8490
2019-05-09,10.0244
2019-05-08,7.9991
2019-05-07,16.1935
2019-05-06,10.5775
2019-05-03,3.5942
2019-05-02,4.2974
2019-05-01,4.7028
2019-04-30,5.9480
2019-04-29,8.3409
2019-04-26,5.7234
2019-04-25,11.7593
2019-04-24,7.3154
2019-04-23,4.1607
2019-04-22,5.0495
2019-04-18,4.5416
2019-04-17,6.5500
2019-04-16,9.3860
2019-04-15,5.8211
2019-04-12,9.5618
2019-04-11,6.7098
2019-04-10,5.9773
2019-04-09,6.6122
2019-04-08,19.6021
2019-04-05,7.5303
2019-04-04,12.0328
2019-04-03,7.2945
2019-04-02,6.1823
2019-04-01,11.2124
2019-03-29,7.5596
2019-03-28,4.2291
2019-03-27,10.8510
2019-03-26,7.8135
2019-03-25,8.8293
2019-03-22,10.9145
2019-03-21,4.6588
2019-03-20,7.1982
2019-03-19,7.5791
2019-03-18,11.5151
2019-03-15,18.8110
2019-03-14,8.0967
2019-03-13,18.0101
2019-03-12,31.2638
2019-03-11,55.6614
2019-03-08,7.7414
2019-03-07,10.9975
2019-03-06,9.6887
2019-03-05,5.0851
2019-03-04,17.4534
2019-03-01,5.9090
2019-02-28,5.8406
2019-02-27,9.3371
2019-02-26,4.6393
2019-02-25,5.7332
2019-02-22,6.7294
2019-02-21,6.5753
2019-02-20,5.4499
2019-02-19,3.3500
2019-02-15,8.0381
2019-02-14,4.3170
2019-02-13,4.9323
2019-02-12,7.0908
2019-02-11,6.9735
2019-02-08,7.1982
2019-02-07,7.8721
2019-02-06,7.9879
2019-02-05,13.3617
2019-02-04,9.3678
2019-02-01,7.8457
2019-01-31,6.7100
2019-01-30,26.2948
2019-01-29,5.2183
2019-01-28,6.5108
2019-01-25,8.4251
2019-01-24,6.1026
2019-01-23,8.2886
2019-01-22,10.2035
2019-01-18,7.9933
2019-01-17,12.7300
2019-01-16,3.3428
2019-01-15,5.1843
2019-01-14,5.7237
2019-01-11,6.0929
2019-01-10,10.1706
2019-01-09,6.4816
2019-01-08,12.7689
2019-01-07,7.1327
2019-01-04,17.0446
2019-01-03,14.0030
2019-01-02,9.9508
2018-12-31,7.0550
2018-12-28,6.1998
2018-12-27,14.4792
2018-12-26,21.0089
2018-12-24,10.0966
2018-12-21,10.6505
2018-12-20,13.4307
2018-12-19,16.8892
2018-12-18,15.5092
2018-12-17,12.4154
2018-12-14,9.6301
2018-12-13,4.4380
2018-12-12,9.5913
2018-12-11,15.2937
2018-12-10,11.3599
2018-12-07,15.7619
2018-12-06,24.4883
2018-12-04,17.7054
2018-12-03,21.6119
