Dates,HT_DCPHASE Values
2022-08-18,197.9192
2022-08-17,198.3119
2022-08-16,201.0395
2022-08-15,201.8053
2022-08-12,202.4509
2022-08-11,199.5697
2022-08-10,194.4418
2022-08-09,191.1508
2022-08-08,187.0668
2022-08-05,185.7101
2022-08-04,184.8532
2022-08-03,187.7695
2022-08-02,188.0114
2022-08-01,187.6191
2022-07-29,189.9890
2022-07-28,187.2688
2022-07-27,183.8154
2022-07-26,182.3581
2022-07-25,174.4654
2022-07-22,167.8087
2022-07-21,165.1320
2022-07-20,160.5529
2022-07-19,154.7615
2022-07-18,147.6722
2022-07-15,137.8382
2022-07-14,142.9231
2022-07-13,171.4781
2022-07-12,231.1192
2022-07-11,246.5304
2022-07-08,242.4145
2022-07-07,237.7719
2022-07-06,215.0299
2022-07-05,193.2275
2022-07-01,154.3716
2022-06-30,133.4989
2022-06-29,104.0662
2022-06-28,74.9685
2022-06-27,17.0005
2022-06-24,-40.5888
2022-06-23,273.4876
2022-06-22,247.9843
2022-06-21,228.4307
2022-06-17,219.8465
2022-06-16,202.8680
2022-06-15,155.8501
2022-06-14,115.4364
2022-06-13,90.8623
2022-06-10,73.7378
2022-06-09,64.8482
2022-06-08,56.9584
2022-06-07,55.5766
2022-06-06,54.2376
2022-06-03,48.7282
2022-06-02,42.8735
2022-06-01,34.4831
2022-05-31,28.6158
2022-05-27,24.9123
2022-05-26,22.6547
2022-05-25,21.2054
2022-05-24,19.4942
2022-05-23,17.9656
2022-05-20,15.0406
2022-05-19,11.5503
2022-05-18,10.1819
2022-05-17,11.6820
2022-05-16,12.5905
2022-05-13,14.7369
2022-05-12,17.8489
2022-05-11,22.2430
2022-05-10,21.4666
2022-05-09,16.4863
2022-05-06,8.7087
2022-05-05,-3.0118
2022-05-04,-16.7533
2022-05-03,-35.4234
2022-05-02,312.3127
2022-04-29,300.9661
2022-04-28,307.3501
2022-04-27,59.7170
2022-04-26,63.0981
2022-04-25,55.8004
2022-04-22,43.6238
2022-04-21,30.2434
2022-04-20,8.7967
2022-04-19,-4.7851
2022-04-18,-21.3481
2022-04-14,-34.8785
2022-04-13,309.0561
2022-04-12,291.6561
2022-04-11,274.5666
2022-04-08,257.2015
2022-04-07,240.3398
2022-04-06,226.0134
2022-04-05,214.2559
2022-04-04,202.7291
2022-04-01,172.7582
2022-03-31,151.9834
2022-03-30,118.3729
2022-03-29,101.5331
2022-03-28,77.4812
2022-03-25,65.5525
2022-03-24,52.1695
2022-03-23,40.0431
2022-03-22,31.2730
2022-03-21,20.3495
2022-03-18,12.1564
2022-03-17,-0.1772
2022-03-16,-8.8598
2022-03-15,-13.0017
2022-03-14,-11.9652
2022-03-11,-10.5912
2022-03-10,-12.5669
2022-03-09,-14.0442
2022-03-08,-14.3186
2022-03-07,-18.0342
2022-03-04,-23.5132
2022-03-03,-32.5345
2022-03-02,-37.4868
2022-03-01,306.4190
2022-02-28,287.7928
2022-02-25,268.9011
2022-02-24,251.4291
2022-02-23,233.8390
2022-02-22,215.3668
2022-02-18,197.0702
2022-02-17,169.5693
2022-02-16,149.7658
2022-02-15,116.3510
2022-02-14,98.0141
2022-02-11,72.0607
2022-02-10,46.9109
2022-02-09,29.9239
2022-02-08,6.6140
2022-02-07,-18.4610
2022-02-04,-43.1123
2022-02-03,295.8272
2022-02-02,276.3792
2022-02-01,259.4387
2022-01-31,251.8434
2022-01-28,242.9999
2022-01-27,235.1235
2022-01-26,225.7477
2022-01-25,211.9899
2022-01-24,203.0066
2022-01-21,194.5948
2022-01-20,185.7178
2022-01-19,180.3893
2022-01-18,177.7579
2022-01-14,178.9981
2022-01-13,184.6015
2022-01-12,191.9052
2022-01-11,198.2753
2022-01-10,197.5583
2022-01-07,198.1259
2022-01-06,190.9698
2022-01-05,181.6548
2022-01-04,167.0809
2022-01-03,145.0846
2021-12-31,106.2985
2021-12-30,84.8207
2021-12-29,49.4319
2021-12-28,21.3617
2021-12-27,-19.5645
2021-12-23,-40.6799
2021-12-22,308.4893
2021-12-21,-12.5173
2021-12-20,56.9670
2021-12-17,54.5243
2021-12-16,50.3347
2021-12-15,36.3931
2021-12-14,29.1282
2021-12-13,16.4377
2021-12-10,6.5266
2021-12-09,-12.3548
2021-12-08,-37.8203
2021-12-07,303.8838
2021-12-06,287.8667
2021-12-03,272.5676
2021-12-02,259.5379
2021-12-01,248.4226
2021-11-30,235.1273
2021-11-29,221.3290
2021-11-26,207.1859
2021-11-24,187.4721
2021-11-23,169.7389
2021-11-22,145.9098
2021-11-19,130.1274
2021-11-18,109.2738
2021-11-17,85.0206
2021-11-16,67.4780
2021-11-15,45.6642
2021-11-12,29.1417
2021-11-11,18.3591
2021-11-10,6.6046
2021-11-09,6.4694
2021-11-08,4.2776
2021-11-05,-7.7520
2021-11-04,-14.1865
2021-11-03,-18.8204
2021-11-02,-23.5121
2021-11-01,-28.2477
2021-10-29,-38.8859
2021-10-28,301.8507
2021-10-27,289.2985
2021-10-26,270.2679
2021-10-25,257.6901
2021-10-22,251.1431
2021-10-21,250.4531
2021-10-20,243.8237
2021-10-19,236.7733
2021-10-18,229.0488
2021-10-15,216.5114
2021-10-14,209.2316
2021-10-13,199.4726
2021-10-12,191.5100
2021-10-11,185.2512
2021-10-08,178.4544
2021-10-07,170.5712
2021-10-06,160.1201
2021-10-05,147.6478
2021-10-04,134.6224
2021-10-01,136.9783
2021-09-30,130.6702
2021-09-29,122.1104
2021-09-28,112.2533
2021-09-27,91.4691
2021-09-24,68.4915
2021-09-23,47.5749
2021-09-22,31.4534
2021-09-21,27.2972
2021-09-20,23.0367
2021-09-17,13.5768
2021-09-16,3.0665
2021-09-15,-10.9065
2021-09-14,-39.0799
2021-09-13,305.4138
2021-09-10,293.0511
2021-09-09,-12.4238
2021-09-08,89.0989
2021-09-07,79.5602
2021-09-03,68.6291
2021-09-02,56.4769
2021-09-01,43.1579
2021-08-31,29.1388
2021-08-30,5.8988
2021-08-27,-9.5774
2021-08-26,-25.3596
2021-08-25,-41.0511
2021-08-24,302.4089
2021-08-23,284.5657
2021-08-20,263.2429
2021-08-19,235.5297
2021-08-18,213.3685
2021-08-17,199.4405
2021-08-16,193.4674
2021-08-13,196.0709
2021-08-12,198.9469
2021-08-11,205.5595
2021-08-10,188.9914
2021-08-09,173.1903
2021-08-06,150.9148
2021-08-05,112.3183
2021-08-04,93.5542
2021-08-03,76.4569
2021-08-02,54.7153
2021-07-30,42.1511
2021-07-29,29.8801
2021-07-28,18.1015
2021-07-27,9.7960
2021-07-26,3.9024
2021-07-23,-1.6356
2021-07-22,-5.8533
2021-07-21,-9.3696
2021-07-20,-11.2895
2021-07-19,-8.5406
2021-07-16,-3.3042
2021-07-15,-10.6863
2021-07-14,-15.6918
2021-07-13,-13.7072
2021-07-12,-6.2228
2021-07-09,4.2137
2021-07-08,9.5323
2021-07-07,17.4204
2021-07-06,22.2944
2021-07-02,11.8131
2021-07-01,3.4738
2021-06-30,-10.1732
2021-06-29,-26.3772
2021-06-28,314.1078
2021-06-25,294.2319
2021-06-24,277.8217
2021-06-23,264.6051
2021-06-22,252.5498
2021-06-21,241.3918
2021-06-18,230.8183
2021-06-17,220.4401
2021-06-16,204.8216
2021-06-15,194.4828
2021-06-14,185.0355
2021-06-11,176.0825
2021-06-10,166.9259
2021-06-09,152.9506
2021-06-08,143.1529
2021-06-07,132.8971
2021-06-04,117.1360
2021-06-03,110.2320
2021-06-02,103.0219
2021-06-01,94.4169
2021-05-28,78.6835
2021-05-27,55.5559
2021-05-26,42.3579
2021-05-25,31.1881
2021-05-24,26.7180
2021-05-21,18.6658
2021-05-20,12.8386
2021-05-19,9.7566
2021-05-18,6.5492
2021-05-17,-3.8943
2021-05-14,-10.7192
2021-05-13,-0.7900
2021-05-12,24.5099
2021-05-11,30.9034
2021-05-10,30.1256
2021-05-07,26.8141
2021-05-06,24.3060
2021-05-05,23.0176
2021-05-04,23.4796
2021-05-03,18.4574
2021-04-30,15.9207
2021-04-29,10.3543
2021-04-28,6.1201
2021-04-27,-1.5598
2021-04-26,-9.1446
2021-04-23,-19.4753
2021-04-22,-28.7019
2021-04-21,-39.1606
2021-04-20,305.2613
2021-04-19,283.5312
2021-04-16,261.6877
2021-04-15,243.6065
2021-04-14,206.4716
2021-04-13,177.5151
2021-04-12,147.6407
2021-04-09,105.2789
2021-04-08,85.5884
2021-04-07,65.5229
2021-04-06,8.8916
2021-04-05,-37.4217
2021-04-01,292.4740
2021-03-31,272.4917
2021-03-30,256.3083
2021-03-29,235.1113
2021-03-26,223.2840
2021-03-25,211.8359
2021-03-24,200.0989
2021-03-23,191.8463
2021-03-22,180.7776
2021-03-19,173.2965
2021-03-18,164.9801
2021-03-17,159.5551
2021-03-16,156.0805
2021-03-15,155.7116
2021-03-12,160.1239
2021-03-11,168.7233
2021-03-10,176.4068
2021-03-09,179.0037
2021-03-08,174.0582
2021-03-05,168.6485
2021-03-04,169.9495
2021-03-03,178.5946
2021-03-02,196.5614
2021-03-01,200.3657
2021-02-26,219.6758
2021-02-25,219.0635
2021-02-24,216.0330
2021-02-23,210.7736
2021-02-22,197.7761
2021-02-19,174.1153
2021-02-18,149.5714
2021-02-17,126.9427
2021-02-16,105.1994
2021-02-12,83.3698
2021-02-11,63.4228
2021-02-10,43.2342
2021-02-09,27.5561
2021-02-08,17.6100
2021-02-05,12.2500
2021-02-04,7.7873
2021-02-03,4.7686
2021-02-02,5.8839
2021-02-01,7.8673
2021-01-29,9.9953
2021-01-28,16.1603
2021-01-27,23.0302
2021-01-26,28.1636
2021-01-25,28.8994
2021-01-22,29.0895
2021-01-21,27.3909
2021-01-20,25.4216
2021-01-19,23.2721
2021-01-15,21.6183
2021-01-14,20.9719
2021-01-13,19.3617
2021-01-12,18.5693
2021-01-11,15.8835
2021-01-08,10.6160
2021-01-07,2.3621
2021-01-06,0.1044
2021-01-05,-12.0099
2021-01-04,-26.1500
2020-12-31,310.2709
2020-12-30,294.9138
2020-12-29,271.2777
2020-12-28,257.7150
2020-12-24,239.6043
2020-12-23,227.2553
2020-12-22,219.9500
2020-12-21,212.7392
2020-12-18,209.8947
2020-12-17,207.0372
2020-12-16,204.1574
2020-12-15,200.5435
2020-12-14,197.3605
2020-12-11,190.5279
2020-12-10,182.4975
2020-12-09,174.9966
2020-12-08,170.7015
2020-12-07,172.8651
2020-12-04,171.9261
2020-12-03,170.6329
2020-12-02,169.3436
2020-12-01,175.2198
2020-11-30,177.6597
2020-11-27,180.5365
2020-11-25,179.3272
2020-11-24,182.9276
2020-11-23,181.3804
2020-11-20,178.6032
2020-11-19,175.0638
2020-11-18,166.1965
2020-11-17,155.6271
2020-11-16,151.3046
2020-11-13,135.3189
2020-11-12,115.9754
2020-11-11,94.1966
2020-11-10,69.0806
2020-11-09,41.8379
2020-11-06,19.3421
2020-11-05,9.5796
2020-11-04,-6.1899
2020-11-03,-15.4288
2020-11-02,-31.0948
2020-10-30,314.9346
2020-10-29,302.3191
2020-10-28,286.3452
2020-10-27,232.1806
2020-10-26,151.5364
2020-10-23,120.3870
2020-10-22,93.5629
2020-10-21,68.2615
2020-10-20,43.8078
2020-10-19,-5.9427
2020-10-16,303.8919
2020-10-15,275.2149
2020-10-14,257.9850
2020-10-13,244.0072
2020-10-12,227.9194
2020-10-09,210.6630
2020-10-08,190.0457
2020-10-07,149.8846
2020-10-06,125.4310
2020-10-05,101.3878
2020-10-02,64.1224
2020-10-01,33.2503
2020-09-30,9.0009
2020-09-29,-0.8208
2020-09-28,-4.8092
2020-09-25,3.0941
2020-09-24,22.9552
2020-09-23,43.8841
