Dates,HT_PHASOR Values
2022-07-14,-53.6018
2022-07-13,29.2250
2022-07-12,-15.1103
2022-07-11,27.4791
2022-07-08,14.8392
2022-07-07,22.3520
2022-07-06,43.6347
2022-07-05,10.6104
2022-07-01,53.5840
2022-06-30,3.7515
2022-06-29,35.7752
2022-06-28,-1.1599
2022-06-27,21.3037
2022-06-24,-2.6872
2022-06-23,-0.7803
2022-06-22,-0.2937
2022-06-21,-8.3917
2022-06-17,0.3533
2022-06-16,-16.6033
2022-06-15,7.6100
2022-06-14,-18.5253
2022-06-13,10.0965
2022-06-10,8.2666
2022-06-09,2.7501
2022-06-08,14.2128
2022-06-07,0.3628
2022-06-06,5.6594
2022-06-03,-0.8154
2022-06-02,-5.2608
2022-06-01,3.6465
2022-05-31,-15.8511
2022-05-27,7.9307
2022-05-26,-8.2620
2022-05-25,8.9270
2022-05-24,4.6372
2022-05-23,5.1373
2022-05-20,14.8189
2022-05-19,-0.4183
2022-05-18,11.2508
2022-05-17,-2.4204
2022-05-16,3.0687
2022-05-13,-2.7544
2022-05-12,-6.9796
2022-05-11,2.9881
2022-05-10,-15.6742
2022-05-09,8.5818
2022-05-06,-4.2915
2022-05-05,5.2167
2022-05-04,6.4728
2022-05-03,3.2372
2022-05-02,2.2333
2022-04-29,3.7236
2022-04-28,5.6987
2022-04-27,-0.2815
2022-04-26,3.5361
2022-04-25,1.7731
2022-04-22,-4.6570
2022-04-21,3.8409
2022-04-20,2.1109
2022-04-19,0.8995
2022-04-18,5.8226
2022-04-14,-0.3639
2022-04-13,3.0616
2022-04-12,-0.5944
2022-04-11,2.2424
2022-04-08,-1.2658
2022-04-07,2.9139
2022-04-06,-2.9740
2022-04-05,-1.8905
2022-04-04,-0.8464
2022-04-01,-9.0428
2022-03-31,1.8612
2022-03-30,-11.4352
2022-03-29,5.9279
2022-03-28,-18.3820
2022-03-25,13.7583
2022-03-24,-14.2931
2022-03-23,13.9288
2022-03-22,-6.0325
2022-03-21,15.3496
2022-03-18,-11.9317
2022-03-17,20.4955
2022-03-16,-7.9843
2022-03-15,21.0472
2022-03-14,0.6006
2022-03-11,21.0164
2022-03-10,10.3657
2022-03-09,15.0301
2022-03-08,22.0914
2022-03-07,8.1049
2022-03-04,19.7189
2022-03-03,4.8713
2022-03-02,14.3022
2022-03-01,2.9995
2022-02-28,8.5846
2022-02-25,1.6468
2022-02-24,11.5728
2022-02-23,-5.1160
2022-02-22,3.0078
2022-02-18,-0.5624
2022-02-17,-16.2636
2022-02-16,6.0487
2022-02-15,-8.5391
2022-02-14,4.8055
2022-02-11,-2.4165
2022-02-10,5.8386
2022-02-09,-2.8569
2022-02-08,5.5943
2022-02-07,-0.3277
2022-02-04,6.2688
2022-02-03,-0.8890
2022-02-02,6.5151
2022-02-01,3.1241
2022-01-31,4.8296
2022-01-28,6.2075
2022-01-27,3.0249
2022-01-26,6.5680
2022-01-25,1.0555
2022-01-24,6.4510
2022-01-21,-0.4722
2022-01-20,1.3163
2022-01-19,0.3958
2022-01-18,-2.1383
2022-01-14,0.0500
2022-01-13,-7.2955
2022-01-12,3.4475
2022-01-11,-14.7625
2022-01-10,8.1071
2022-01-07,-7.7530
2022-01-06,9.2778
2022-01-05,7.5855
2022-01-04,4.2945
2022-01-03,23.7052
2021-12-31,-4.4635
2021-12-30,23.4002
2021-12-29,-7.3450
2021-12-28,4.5307
2021-12-27,-3.6916
2021-12-23,2.0006
2021-12-22,-5.7331
2021-12-21,12.9339
2021-12-20,-11.6126
2021-12-17,9.7308
2021-12-16,-13.0947
2021-12-15,-0.8811
2021-12-14,-10.8013
2021-12-13,-7.7071
2021-12-10,-6.8111
2021-12-09,-7.9995
2021-12-08,-4.3120
2021-12-07,-4.5326
2021-12-06,-3.5671
2021-12-03,1.2335
2021-12-02,-6.2219
2021-12-01,4.1908
2021-11-30,-6.9363
2021-11-29,-0.1123
2021-11-26,-6.1511
2021-11-24,0.9452
2021-11-23,-8.7637
2021-11-22,-4.1180
2021-11-19,-4.1539
2021-11-18,-14.3911
2021-11-17,2.4673
2021-11-16,-9.0064
