Dates,PLUS_DM Values
2023-07-20,64.7944
2023-07-19,62.8208
2023-07-18,64.1028
2023-07-17,65.4111
2023-07-14,66.7460
2023-07-13,68.1081
2023-07-12,69.4981
2023-07-11,68.2838
2023-07-10,64.1773
2023-07-07,65.4871
2023-07-06,64.7317
2023-07-05,66.0528
2023-07-03,67.4008
2023-06-30,68.7763
2023-06-29,70.1799
2023-06-28,70.5611
2023-06-27,69.4195
2023-06-26,68.2138
2023-06-23,68.0957
2023-06-22,69.4854
2023-06-21,70.9035
2023-06-20,72.3505
2023-06-16,73.8270
2023-06-15,72.0072
2023-06-14,73.4767
2023-06-13,74.9762
2023-06-12,76.5064
2023-06-09,73.2181
2023-06-08,74.7124
2023-06-07,68.4616
2023-06-06,69.1445
2023-06-05,70.5556
2023-06-02,71.9955
2023-06-01,68.3526
2023-05-31,65.6251
2023-05-30,66.9644
2023-05-26,65.2699
2023-05-25,63.4896
2023-05-24,64.7854
2023-05-23,66.1075
2023-05-22,67.4566
2023-05-19,68.8333
2023-05-18,70.0340
2023-05-17,71.4632
2023-05-16,66.5747
2023-05-15,67.9334
2023-05-12,69.1055
2023-05-11,69.9444
2023-05-10,71.3718
2023-05-09,72.8284
2023-05-08,69.2637
2023-05-05,70.0446
2023-05-04,71.4741
2023-05-03,72.9327
2023-05-02,72.4707
2023-05-01,73.9497
2023-04-28,73.8569
2023-04-27,75.3641
2023-04-26,76.9022
2023-04-25,71.5737
2023-04-24,73.0343
2023-04-21,74.5248
2023-04-20,76.0458
2023-04-19,77.5977
2023-04-18,77.2075
2023-04-17,75.8897
2023-04-14,75.5832
2023-04-13,77.1257
2023-04-12,78.6997
2023-04-11,80.3058
2023-04-10,81.5366
2023-04-06,81.4353
2023-04-05,83.0972
2023-04-04,84.7931
2023-04-03,86.5236
2023-03-31,84.4424
2023-03-30,84.1962
2023-03-29,81.6051
2023-03-28,80.8760
2023-03-27,77.6795
2023-03-24,75.2036
2023-03-23,76.7384
2023-03-22,78.3045
2023-03-21,79.9025
2023-03-20,79.5026
2023-03-17,78.0267
2023-03-16,79.6191
2023-03-15,79.5065
2023-03-14,81.1291
2023-03-13,76.1727
2023-03-10,75.6047
2023-03-09,77.1477
2023-03-08,78.7221
2023-03-07,80.3287
2023-03-06,81.9681
2023-03-03,83.6409
2023-03-02,79.4397
2023-03-01,76.0660
2023-02-28,74.5010
2023-02-27,76.0215
2023-02-24,76.1179
2023-02-23,77.6713
2023-02-22,77.1881
2023-02-21,78.7634
2023-02-17,80.3708
2023-02-16,82.0110
2023-02-15,83.6847
2023-02-14,85.3926
2023-02-13,82.0587
2023-02-10,81.8405
2023-02-09,83.5108
2023-02-08,85.2151
2023-02-07,86.3215
2023-02-06,81.0015
2023-02-03,82.6546
2023-02-02,84.3414
2023-02-01,86.0627
2023-01-31,81.8395
2023-01-30,81.7240
2023-01-27,83.3918
2023-01-26,85.0937
2023-01-25,86.8303
2023-01-24,85.9493
2023-01-23,87.7033
2023-01-20,86.3299
2023-01-19,88.0918
2023-01-18,89.8896
2023-01-17,91.6378
2023-01-13,93.5080
2023-01-12,93.6612
2023-01-11,91.0318
2023-01-10,92.0041
2023-01-09,93.8818
2023-01-06,94.9406
2023-01-05,88.6638
2023-01-04,89.2182
2023-01-03,84.3196
2022-12-30,79.3822
2022-12-29,80.5941
2022-12-28,82.2389
2022-12-27,83.9172
2022-12-23,82.5584
2022-12-22,84.2433
2022-12-21,85.9625
2022-12-20,81.0944
2022-12-19,80.8412
2022-12-16,81.0319
2022-12-15,82.6856
2022-12-14,84.3731
2022-12-13,86.0950
2022-12-12,83.3418
2022-12-09,82.1855
2022-12-08,83.8628
2022-12-07,78.9926
2022-12-06,80.6047
2022-12-05,82.2497
2022-12-02,78.8263
2022-12-01,76.6085
2022-11-30,78.1719
2022-11-29,75.6550
2022-11-28,77.1990
2022-11-25,78.7745
2022-11-23,76.8515
2022-11-22,78.4097
2022-11-21,79.7344
2022-11-18,81.3617
2022-11-17,80.9406
2022-11-16,82.5924
2022-11-15,84.2780
2022-11-14,85.9979
2022-11-11,87.5896
2022-11-10,89.3772
2022-11-09,83.3440
2022-11-08,83.9531
2022-11-07,81.7378
2022-11-04,77.5692
2022-11-03,76.8156
2022-11-02,73.1791
2022-11-01,66.1624
2022-10-31,66.6953
2022-10-28,68.0564
2022-10-27,67.7845
2022-10-26,69.1679
2022-10-25,70.5795
2022-10-24,67.9382
2022-10-21,67.7431
2022-10-20,69.1256
2022-10-19,69.8424
2022-10-18,69.4515
2022-10-17,68.6852
2022-10-14,69.1992
2022-10-13,68.8665
2022-10-12,70.2719
2022-10-11,71.7061
2022-10-10,73.1694
2022-10-07,69.4249
2022-10-06,70.8418
2022-10-05,72.2875
2022-10-04,73.7628
2022-10-03,68.7171
2022-09-30,68.4103
2022-09-29,69.8065
2022-09-28,71.2311
2022-09-27,69.1746
2022-09-26,70.5863
2022-09-23,72.0268
2022-09-22,73.4968
2022-09-21,74.9967
2022-09-20,74.2824
2022-09-19,75.1044
2022-09-16,75.2494
2022-09-15,76.7851
2022-09-14,74.5257
2022-09-13,76.0466
2022-09-12,77.5986
2022-09-09,77.9373
2022-09-08,78.0483
2022-09-07,77.6462
2022-09-06,77.3277
2022-09-02,78.9059
2022-09-01,80.5162
2022-08-31,82.1594
2022-08-30,83.8361
2022-08-29,82.4675
2022-08-26,84.1506
2022-08-25,84.1128
2022-08-24,80.2070
2022-08-23,79.3437
2022-08-22,79.5123
2022-08-19,81.1350
2022-08-18,82.7908
2022-08-17,84.4804
2022-08-16,86.2045
2022-08-15,86.6372
2022-08-12,85.9155
2022-08-11,87.6689
2022-08-10,88.8255
2022-08-09,85.9138
2022-08-08,87.6671
2022-08-05,85.3542
2022-08-04,87.0962
2022-08-03,88.2614
2022-08-02,90.0626
2022-08-01,91.9006
2022-07-29,81.6129
2022-07-28,83.2785
2022-07-27,84.9780
2022-07-26,82.0592
2022-07-25,82.8461
2022-07-22,84.5369
2022-07-21,84.5428
2022-07-20,83.9672
2022-07-19,82.4971
2022-07-18,83.8338
2022-07-15,79.2140
2022-07-14,78.5389
2022-07-13,80.1417
2022-07-12,81.7772
2022-07-11,73.1604
2022-07-08,74.6535
2022-07-07,76.1771
2022-07-06,74.0939
2022-07-05,74.9530
2022-07-01,76.4826
2022-06-30,73.6558
2022-06-29,75.1589
2022-06-28,76.6928
2022-06-27,71.5156
2022-06-24,72.9751
2022-06-23,69.9236
2022-06-22,71.3506
2022-06-21,72.8067
2022-06-17,72.2931
2022-06-16,70.0542
2022-06-15,71.1267
2022-06-14,59.5170
2022-06-13,60.7317
2022-06-10,61.9711
2022-06-09,63.2358
2022-06-08,64.5263
2022-06-07,64.8572
2022-06-06,66.1808
2022-06-03,67.5314
2022-06-02,68.7566
2022-06-01,63.8128
2022-05-31,65.1151
2022-05-27,65.6685
2022-05-26,63.5511
2022-05-25,58.4740
2022-05-24,59.6673
2022-05-23,60.8850
2022-05-20,62.1276
2022-05-19,63.3955
2022-05-18,64.6893
2022-05-17,66.0095
2022-05-16,65.6160
2022-05-13,66.6243
2022-05-12,65.6676
2022-05-11,67.0078
2022-05-10,68.3753
2022-05-09,69.7707
2022-05-06,71.1946
2022-05-05,72.6476
2022-05-04,74.1302
2022-05-03,72.8975
2022-05-02,69.2855
2022-04-29,70.6995
2022-04-28,72.1424
2022-04-27,73.6147
2022-04-26,75.1170
2022-04-25,76.6500
2022-04-22,78.2143
2022-04-21,79.8105
2022-04-20,78.8781
2022-04-19,80.4878
2022-04-18,76.8753
2022-04-14,78.4442
2022-04-13,77.9227
2022-04-12,74.4517
2022-04-11,75.9711
2022-04-08,75.9501
2022-04-07,77.5001
2022-04-06,79.0818
2022-04-05,80.6957
2022-04-04,82.3425
2022-04-01,84.0230
2022-03-31,85.7377
2022-03-30,87.3549
2022-03-29,88.0254
2022-03-28,82.5770
2022-03-25,84.2622
2022-03-24,83.4206
2022-03-23,85.1231
2022-03-22,86.8603
2022-03-21,82.9208
2022-03-18,84.6131
2022-03-17,83.1358
2022-03-16,84.1794
2022-03-15,76.6116
2022-03-14,75.8577
2022-03-11,77.4058
2022-03-10,76.0875
2022-03-09,77.6403
2022-03-08,77.1330
2022-03-07,78.7071
2022-03-04,80.3134
2022-03-03,81.9525
2022-03-02,83.6250
2022-03-01,85.3316
2022-02-28,87.0731
2022-02-25,85.5439
2022-02-24,81.9683
2022-02-23,83.6411
2022-02-22,85.3481
2022-02-18,87.0899
2022-02-17,88.8672
2022-02-16,90.6808
2022-02-15,92.3880
2022-02-14,90.2843
2022-02-11,92.1268
2022-02-10,94.0070
2022-02-09,89.6091
2022-02-08,88.2032
2022-02-07,90.0033
2022-02-04,85.5952
2022-02-03,87.3420
2022-02-02,88.3956
2022-02-01,90.1996
2022-01-31,83.3159
2022-01-28,75.1999
2022-01-27,76.7346
2022-01-26,78.3006
2022-01-25,79.8986
2022-01-24,80.6823
2022-01-21,82.3288
2022-01-20,84.0090
2022-01-19,85.7235
2022-01-18,87.4730
2022-01-14,85.7173
2022-01-13,87.4666
2022-01-12,83.4864
2022-01-11,80.8942
2022-01-10,80.7594
2022-01-07,82.4076
2022-01-06,81.7220
2022-01-05,83.3898
2022-01-04,80.6279
2022-01-03,78.1861
2021-12-31,72.7817
2021-12-30,74.2671
2021-12-29,75.1807
2021-12-28,76.7150
2021-12-27,72.6609
2021-12-23,74.1438
2021-12-22,73.4120
2021-12-21,71.6041
2021-12-20,63.5450
2021-12-17,64.8418
2021-12-16,66.1651
2021-12-15,65.7424
2021-12-14,67.0841
2021-12-13,68.4531
2021-12-10,69.8501
2021-12-09,71.2757
2021-12-08,72.7303
2021-12-07,73.1636
2021-12-06,69.3201
2021-12-03,64.0817
2021-12-02,65.3895
2021-12-01,65.7852
2021-11-30,67.1277
2021-11-29,68.4977
2021-11-26,64.9364
2021-11-24,66.2616
2021-11-23,67.6139
2021-11-22,68.9938
2021-11-19,70.4018
2021-11-18,71.8386
2021-11-17,73.1210
2021-11-16,74.6133
2021-11-15,76.1360
2021-11-12,67.2918
2021-11-11,67.5427
2021-11-10,68.9211
2021-11-09,67.4399
2021-11-08,68.8162
2021-11-05,67.7615
2021-11-04,59.1852
2021-11-03,59.3114
2021-11-02,60.5218
2021-11-01,60.7111
2021-10-29,55.3684
2021-10-28,56.4984
2021-10-27,57.6514
2021-10-26,58.8280
2021-10-25,60.0285
2021-10-22,61.2536
2021-10-21,62.5037
2021-10-20,63.7793
2021-10-19,64.0590
2021-10-18,64.9801
2021-10-15,66.3062
2021-10-14,67.6594
2021-10-13,69.0402
2021-10-12,70.4492
2021-10-11,71.8869
2021-10-08,69.8972
2021-10-07,71.3237
2021-10-06,68.7691
2021-10-05,70.1725
2021-10-04,71.6046
2021-10-01,71.7897
2021-09-30,72.6732
2021-09-29,74.1563
2021-09-28,70.1974
2021-09-27,71.6300
2021-09-24,66.7755
2021-09-23,68.1382
2021-09-22,64.8043
2021-09-21,59.7697
2021-09-20,60.9895
2021-09-17,62.2342
2021-09-16,63.5043
2021-09-15,62.8003
2021-09-14,64.0819
2021-09-13,64.9101
2021-09-10,66.2348
2021-09-09,67.5866
2021-09-08,68.4251
2021-09-07,69.8215
2021-09-03,71.2464
2021-09-02,72.7004
2021-09-01,72.0617
2021-08-31,73.0884
2021-08-30,74.5800
2021-08-27,76.1021
2021-08-26,77.6552
2021-08-25,79.2400
2021-08-24,80.8571
2021-08-23,79.5277
2021-08-20,75.5996
2021-08-19,77.1424
2021-08-18,78.7167
2021-08-17,80.3232
2021-08-16,81.9625
2021-08-13,83.6352
2021-08-12,85.3420
2021-08-11,85.4918
2021-08-10,84.4406
2021-08-09,82.8193
2021-08-06,84.5095
2021-08-05,84.1628
2021-08-04,85.8804
2021-08-03,84.3167
2021-08-02,86.0375
2021-07-30,87.7933
2021-07-29,89.5850
2021-07-28,91.4133
2021-07-27,81.2483
2021-07-26,82.9064
2021-07-23,83.0770
2021-07-22,82.3439
2021-07-21,84.0244
2021-07-20,78.8819
2021-07-19,74.5531
2021-07-16,76.0746
2021-07-15,77.6271
2021-07-14,79.2114
2021-07-13,80.8279
2021-07-12,82.4775
2021-07-09,83.7627
2021-07-08,82.5028
2021-07-07,84.1865
2021-07-06,85.9046
2021-07-02,87.6578
2021-07-01,89.4467
2021-06-30,90.6293
2021-06-29,92.4789
2021-06-28,94.3662
2021-06-25,96.2920
2021-06-24,96.6653
2021-06-23,94.6891
2021-06-22,94.3358
2021-06-21,96.2611
2021-06-18,91.7868
2021-06-17,93.6600
2021-06-16,95.5714
2021-06-15,97.5219
2021-06-14,99.5121
2021-06-11,101.5430
2021-06-10,103.6153
2021-06-09,103.7197
2021-06-08,105.8364
2021-06-07,104.8227
2021-06-04,105.5334
2021-06-03,107.6872
2021-06-02,109.8849
2021-06-01,109.3155
2021-05-28,104.7505
2021-05-27,106.8882
2021-05-26,98.7533
2021-05-25,100.7687
2021-05-24,97.4374
2021-05-21,97.1810
2021-05-20,91.1428
2021-05-19,89.6162
2021-05-18,91.4451
2021-05-17,89.2244
2021-05-14,91.0453
2021-05-13,92.9034
2021-05-12,94.7994
2021-05-11,96.7341
2021-05-10,98.7082
2021-05-07,95.4167
2021-05-06,92.5272
2021-05-05,94.4155
2021-05-04,96.3424
2021-05-03,98.3085
2021-04-30,99.9781
2021-04-29,102.0185
2021-04-28,104.1005
2021-04-27,106.2250
2021-04-26,108.3928
2021-04-23,104.4110
2021-04-22,106.5419
2021-04-21,105.7673
2021-04-20,107.9258
2021-04-19,110.1284
2021-04-16,112.3759
2021-04-15,114.6693
2021-04-14,117.0095
2021-04-13,115.4355
2021-04-12,114.7941
2021-04-09,117.1368
2021-04-08,119.5274
2021-04-07,121.9667
2021-04-06,124.4558
2021-04-05,126.9958
2021-04-01,126.9344
2021-03-31,129.5249
2021-03-30,127.6989
2021-03-29,130.3050
2021-03-26,129.0765
2021-03-25,128.3230
2021-03-24,130.9418
2021-03-23,133.6141
2021-03-22,136.3409
2021-03-19,139.1234
2021-03-18,141.9627
2021-03-17,141.0238
2021-03-16,143.9019
2021-03-15,146.8387
2021-03-12,140.8077
2021-03-11,130.3446
2021-03-10,122.9537
2021-03-09,112.4629
2021-03-08,110.5030
2021-03-05,112.7582
2021-03-04,115.0593
2021-03-03,117.4075
2021-03-02,111.4260
2021-03-01,113.4857
2021-02-26,109.3528
2021-02-25,111.5845
2021-02-24,113.8617
2021-02-23,101.0222
2021-02-22,103.0838
2021-02-19,102.3815
2021-02-18,101.1035
2021-02-17,103.1669
2021-02-16,103.9356
2021-02-12,101.7302
2021-02-11,103.8063
2021-02-10,105.9248
2021-02-09,107.3110
2021-02-08,104.6643
2021-02-05,106.8003
2021-02-04,108.9799
2021-02-03,106.7958
2021-02-02,103.7406
2021-02-01,100.0925
2021-01-29,102.1352
2021-01-28,104.2196
2021-01-27,105.3771
2021-01-26,107.5277
2021-01-25,105.0793
2021-01-22,107.2237
2021-01-21,109.4120
2021-01-20,111.6449
2021-01-19,109.7703
2021-01-15,109.6942
2021-01-14,111.9328
2021-01-13,108.7070
2021-01-12,110.9255
2021-01-11,111.8830
2021-01-08,114.1664
2021-01-07,116.4963
2021-01-06,117.8636
2021-01-05,117.9628
2021-01-04,117.1559
2020-12-31,119.5469
2020-12-30,121.9866
2020-12-29,124.4761
2020-12-28,124.4858
2020-12-24,127.0264
2020-12-23,129.6187
2020-12-22,131.7414
2020-12-21,129.8790
2020-12-18,132.5295
2020-12-17,135.2342
2020-12-16,137.9941
2020-12-15,140.8103
2020-12-14,143.6840
2020-12-11,145.1775
2020-12-10,148.1404
2020-12-09,151.1636
2020-12-08,154.2486
2020-12-07,157.3965
2020-12-04,154.5882
2020-12-03,157.7431
2020-12-02,143.6052
2020-12-01,139.4951
2020-11-30,142.0255
2020-11-27,144.9239
2020-11-25,147.8816
2020-11-24,150.8996
2020-11-23,145.0607
2020-11-20,140.2355
2020-11-19,143.0974
2020-11-18,146.0178
2020-11-17,136.9365
2020-11-16,131.3026
2020-11-13,117.9924
2020-11-12,117.6657
2020-11-11,120.0671
