Dates,MIDPRICE Values
2023-07-20,214.8975
2023-07-19,214.8975
2023-07-18,214.7250
2023-07-17,214.7250
2023-07-14,214.7250
2023-07-13,214.7250
2023-07-12,214.7250
2023-07-11,212.5300
2023-07-10,210.1600
2023-07-07,209.1050
2023-07-06,208.4150
2023-07-05,208.4150
2023-07-03,210.9200
2023-06-30,213.2100
2023-06-29,213.2100
2023-06-28,213.2100
2023-06-27,213.2100
2023-06-26,213.2300
2023-06-23,213.2300
2023-06-22,213.7800
2023-06-21,215.5550
2023-06-20,212.2600
2023-06-16,212.2600
2023-06-15,212.2600
2023-06-14,212.2600
2023-06-13,212.2600
2023-06-12,212.2600
2023-06-09,210.3050
2023-06-08,208.3000
2023-06-07,205.9200
2023-06-06,205.9200
2023-06-05,205.9200
2023-06-02,205.9200
2023-06-01,203.4150
2023-05-31,202.5900
2023-05-30,202.5900
2023-05-26,202.5900
2023-05-25,202.5900
2023-05-24,203.0400
2023-05-23,203.3250
2023-05-22,203.3250
2023-05-19,202.4900
2023-05-18,202.4900
2023-05-17,200.9250
2023-05-16,199.6857
2023-05-15,199.6857
2023-05-12,200.8950
2023-05-11,200.8950
2023-05-10,201.1800
2023-05-09,202.4850
2023-05-08,202.4850
2023-05-05,202.4850
2023-05-04,202.4850
2023-05-03,205.8950
2023-05-02,205.8950
2023-05-01,206.4100
2023-04-28,206.2500
2023-04-27,204.9270
2023-04-26,205.9171
2023-04-25,206.2271
2023-04-24,206.3270
2023-04-21,206.3270
2023-04-20,206.3270
2023-04-19,206.3270
2023-04-18,206.3270
2023-04-17,208.3620
2023-04-14,208.3620
2023-04-13,212.5454
2023-04-12,212.2250
2023-04-11,209.5275
2023-04-10,208.6000
2023-04-06,206.2451
2023-04-05,206.2451
2023-04-04,206.2451
2023-04-03,206.2451
2023-03-31,204.3601
2023-03-30,203.3950
2023-03-29,201.2835
2023-03-28,200.1350
2023-03-27,202.9850
2023-03-24,202.9850
2023-03-23,202.9850
2023-03-22,202.9850
2023-03-21,202.9850
2023-03-20,202.9850
2023-03-17,203.5800
2023-03-16,204.2650
2023-03-15,204.2650
2023-03-14,206.6150
2023-03-13,206.6150
2023-03-10,206.9550
2023-03-09,206.7400
2023-03-08,206.7400
2023-03-07,206.7400
2023-03-06,206.7400
2023-03-03,206.7400
2023-03-02,206.9400
2023-03-01,207.8050
2023-02-28,209.3450
2023-02-27,209.3450
2023-02-24,209.3450
2023-02-23,212.9900
2023-02-22,212.9900
2023-02-21,213.1900
2023-02-17,212.5100
2023-02-16,212.5100
2023-02-15,212.5100
2023-02-14,212.5100
2023-02-13,211.3300
2023-02-10,211.3300
2023-02-09,211.3300
2023-02-08,211.3300
2023-02-07,211.0400
2023-02-06,211.0400
2023-02-03,211.0400
2023-02-02,211.0400
2023-02-01,211.0400
2023-01-31,208.9300
2023-01-30,208.9300
2023-01-27,209.8750
2023-01-26,209.8750
2023-01-25,209.8750
2023-01-24,210.0504
2023-01-23,210.0504
2023-01-20,210.0504
2023-01-19,208.7100
2023-01-18,205.9079
2023-01-17,204.5200
2023-01-13,201.8400
2023-01-12,200.5550
2023-01-11,200.0350
2023-01-10,200.0350
2023-01-09,199.3000
2023-01-06,198.8800
2023-01-05,194.8550
2023-01-04,194.2400
2023-01-03,190.9425
2022-12-30,188.8475
2022-12-29,188.8401
2022-12-28,188.8401
2022-12-27,188.8401
2022-12-23,188.4500
2022-12-22,187.8250
2022-12-21,187.5050
2022-12-20,182.8650
2022-12-19,182.8650
2022-12-16,182.8650
2022-12-15,181.9800
2022-12-14,181.9800
2022-12-13,181.9800
2022-12-12,180.5050
2022-12-09,180.0750
2022-12-08,180.0750
2022-12-07,180.0750
2022-12-06,179.7250
2022-12-05,179.7250
2022-12-02,177.2250
2022-12-01,174.2500
2022-11-30,174.2500
2022-11-29,173.4900
2022-11-28,173.4900
2022-11-25,173.4900
2022-11-23,173.9200
2022-11-22,173.0900
2022-11-21,172.1158
2022-11-18,169.9750
2022-11-17,166.9075
2022-11-16,163.4100
2022-11-15,160.4300
2022-11-14,160.4300
2022-11-11,159.4200
2022-11-10,159.4200
2022-11-09,154.1200
2022-11-08,151.3775
2022-11-07,149.4524
2022-11-04,146.5925
2022-11-03,145.4475
2022-11-02,142.8975
2022-11-01,141.1725
2022-10-31,141.1725
2022-10-28,141.1725
2022-10-27,140.7550
2022-10-26,137.1550
2022-10-25,135.5250
2022-10-24,133.5250
2022-10-21,133.0250
2022-10-20,133.0250
2022-10-19,132.6850
2022-10-18,131.7950
2022-10-17,130.7250
2022-10-14,128.7150
2022-10-13,128.3650
2022-10-12,128.3650
2022-10-11,128.3650
2022-10-10,128.3650
2022-10-07,127.4400
2022-10-06,128.5875
2022-10-05,132.3450
2022-10-04,135.4300
2022-10-03,135.4300
2022-09-30,135.4300
2022-09-29,136.8350
2022-09-28,139.5250
2022-09-27,139.5250
2022-09-26,141.0350
2022-09-23,145.2350
2022-09-22,149.6300
2022-09-21,151.1600
2022-09-20,151.1600
2022-09-19,151.1600
2022-09-16,151.1600
2022-09-15,152.6350
2022-09-14,153.9255
2022-09-13,158.5250
2022-09-12,160.1900
2022-09-09,160.9150
2022-09-08,160.9150
2022-09-07,160.9150
2022-09-06,160.9150
2022-09-02,161.0950
2022-09-01,161.0950
2022-08-31,164.6400
2022-08-30,164.6400
2022-08-29,165.8800
2022-08-26,165.8800
2022-08-25,165.8800
2022-08-24,165.8800
2022-08-23,165.8800
2022-08-22,165.8800
2022-08-19,168.2150
2022-08-18,168.6500
2022-08-17,168.6500
2022-08-16,168.0900
2022-08-15,167.4400
2022-08-12,167.0450
2022-08-11,163.6500
2022-08-10,162.3950
2022-08-09,162.2800
2022-08-08,162.2800
2022-08-05,162.2800
2022-08-04,162.2800
2022-08-03,162.2800
2022-08-02,162.2800
2022-08-01,160.3650
2022-07-29,155.2700
2022-07-28,153.9950
2022-07-27,151.9750
2022-07-26,151.9750
2022-07-25,150.0750
2022-07-22,149.1150
2022-07-21,148.2725
2022-07-20,147.1450
2022-07-19,145.3700
2022-07-18,143.6150
2022-07-15,140.5130
2022-07-14,140.3050
2022-07-13,140.3050
2022-07-12,140.3050
2022-07-11,139.2350
2022-07-08,139.2350
2022-07-07,138.6358
2022-07-06,138.6358
2022-07-05,138.6358
2022-07-01,138.6358
2022-06-30,138.6358
2022-06-29,135.5050
2022-06-28,130.1000
2022-06-27,127.4450
2022-06-24,127.4450
2022-06-23,126.9798
2022-06-22,127.6132
2022-06-21,127.6132
2022-06-17,127.6132
2022-06-16,127.6132
2022-06-15,127.6132
2022-06-14,127.6132
2022-06-13,128.1732
2022-06-10,134.5281
2022-06-09,132.4732
2022-06-08,130.4832
2022-06-07,129.2650
2022-06-06,129.2150
2022-06-03,128.8900
2022-06-02,128.8150
2022-06-01,125.7050
2022-05-31,125.0350
2022-05-27,124.9550
2022-05-26,124.9550
2022-05-25,124.9550
2022-05-24,128.0200
2022-05-23,128.0200
2022-05-20,132.0150
2022-05-19,135.5900
2022-05-18,139.1350
2022-05-17,139.1350
2022-05-16,139.1350
2022-05-13,139.1350
2022-05-12,139.1350
2022-05-11,143.5500
2022-05-10,145.7900
2022-05-09,153.7600
2022-05-06,159.7310
2022-05-05,163.0260
2022-05-04,166.6160
2022-05-03,166.6160
2022-05-02,166.6160
2022-04-29,167.9250
2022-04-28,167.9250
2022-04-27,167.9250
2022-04-26,178.3500
2022-04-25,181.1500
2022-04-22,181.6250
2022-04-21,181.6250
2022-04-20,180.5050
2022-04-19,182.8750
2022-04-18,182.8750
2022-04-14,183.0080
2022-04-13,185.4900
2022-04-12,185.4900
2022-04-11,185.4900
2022-04-08,185.7250
2022-04-07,185.7250
2022-04-06,187.0800
2022-04-05,190.0500
2022-04-04,191.0250
2022-04-01,189.0950
2022-03-31,189.0950
2022-03-30,189.0300
2022-03-29,188.4850
2022-03-28,184.4900
2022-03-25,182.9750
2022-03-24,182.9750
2022-03-23,182.9750
2022-03-22,182.9750
2022-03-21,180.4800
2022-03-18,180.4800
2022-03-17,178.9100
2022-03-16,183.0400
2022-03-15,183.7150
2022-03-14,185.5400
2022-03-11,187.4450
2022-03-10,187.4450
2022-03-09,187.4450
2022-03-08,187.4450
2022-03-07,188.1850
2022-03-04,196.8494
2022-03-03,202.7300
2022-03-02,203.2800
2022-03-01,203.2800
2022-02-28,203.2800
2022-02-25,204.1500
2022-02-24,205.0550
2022-02-23,209.5700
2022-02-22,210.5250
2022-02-18,214.3250
2022-02-17,213.1650
2022-02-16,213.1650
2022-02-15,213.1650
2022-02-14,211.8625
2022-02-11,206.6150
2022-02-10,203.5000
2022-02-09,200.4050
2022-02-08,199.0700
2022-02-07,199.0700
2022-02-04,196.4350
2022-02-03,198.7800
2022-02-02,202.8600
2022-02-01,204.5950
2022-01-31,206.7200
2022-01-28,206.7200
2022-01-27,209.1550
2022-01-26,210.7950
2022-01-25,211.0900
2022-01-24,211.0900
2022-01-21,217.1200
2022-01-20,218.4000
2022-01-19,218.4000
2022-01-18,218.4000
2022-01-14,215.1150
2022-01-13,213.4600
2022-01-12,210.6350
2022-01-11,209.4800
2022-01-10,209.4800
2022-01-07,209.0150
2022-01-06,209.0150
2022-01-05,208.4350
2022-01-04,202.2978
2022-01-03,197.9050
2021-12-31,197.0986
2021-12-30,197.0986
2021-12-29,197.0986
2021-12-28,197.0986
2021-12-27,195.1950
2021-12-23,197.1300
2021-12-22,197.1300
2021-12-21,198.9699
2021-12-20,198.9699
2021-12-17,200.2799
2021-12-16,201.5000
2021-12-15,201.5000
2021-12-14,200.3399
2021-12-13,200.3399
2021-12-10,200.3399
2021-12-09,200.3399
2021-12-08,200.3399
2021-12-07,200.4950
2021-12-06,201.5100
2021-12-03,206.6650
2021-12-02,209.7500
2021-12-01,209.7500
2021-11-30,213.4000
2021-11-29,213.9700
2021-11-26,213.9700
2021-11-24,220.4050
2021-11-23,220.8550
2021-11-22,221.4450
2021-11-19,223.5850
2021-11-18,225.6050
2021-11-17,222.9050
2021-11-16,222.4060
2021-11-15,222.3200
2021-11-12,216.9000
2021-11-11,216.1400
2021-11-10,215.7950
2021-11-09,215.7950
2021-11-08,215.7950
2021-11-05,214.5900
2021-11-04,210.6600
2021-11-03,211.3561
2021-11-02,211.6300
2021-11-01,211.6300
2021-10-29,211.6300
2021-10-28,212.1050
2021-10-27,213.9100
2021-10-26,216.2398
2021-10-25,220.1800
2021-10-22,222.3375
2021-10-21,222.9550
2021-10-20,223.0750
2021-10-19,223.0750
2021-10-18,223.0750
2021-10-15,224.1900
2021-10-14,224.5706
2021-10-13,225.6500
2021-10-12,225.6500
2021-10-11,224.2600
2021-10-08,223.1800
2021-10-07,223.1800
2021-10-06,223.1800
2021-10-05,219.7950
2021-10-04,218.8300
2021-10-01,218.2350
2021-09-30,218.2350
2021-09-29,218.2350
2021-09-28,217.5650
2021-09-27,217.5650
2021-09-24,214.5750
2021-09-23,214.5750
2021-09-22,212.2600
2021-09-21,211.5700
2021-09-20,211.6200
2021-09-17,215.5300
2021-09-16,216.8600
2021-09-15,216.8600
2021-09-14,216.8600
2021-09-13,216.8600
2021-09-10,216.9800
2021-09-09,217.1750
2021-09-08,217.1750
2021-09-07,218.0050
2021-09-03,219.6100
2021-09-02,217.3900
2021-09-01,217.0200
2021-08-31,217.2950
2021-08-30,218.5900
2021-08-27,221.4850
2021-08-26,225.3150
2021-08-25,226.0450
2021-08-24,226.0450
2021-08-23,226.0450
2021-08-20,226.0450
2021-08-19,226.4400
2021-08-18,230.0250
2021-08-17,230.4750
2021-08-16,231.2250
2021-08-13,231.2250
2021-08-12,231.2250
2021-08-11,230.4450
2021-08-10,229.3950
2021-08-09,228.9550
2021-08-06,228.6900
2021-08-05,228.6900
2021-08-04,227.9000
2021-08-03,227.9000
2021-08-02,222.0550
2021-07-30,221.1450
2021-07-29,221.1450
2021-07-28,221.1450
2021-07-27,217.6575
2021-07-26,219.6450
2021-07-23,222.7850
2021-07-22,222.7850
2021-07-21,222.7850
2021-07-20,222.7850
2021-07-19,222.7850
2021-07-16,228.9019
2021-07-15,231.3000
2021-07-14,233.0500
2021-07-13,235.2650
2021-07-12,235.6200
2021-07-09,239.2300
2021-07-08,239.2300
2021-07-07,241.4100
2021-07-06,242.8850
2021-07-02,242.8850
2021-07-01,243.9800
2021-06-30,243.9800
2021-06-29,243.9800
2021-06-28,244.0500
2021-06-25,244.0500
2021-06-24,243.4600
2021-06-23,245.4700
2021-06-22,245.4700
2021-06-21,246.0550
2021-06-18,246.0550
2021-06-17,246.8200
2021-06-16,248.9300
2021-06-15,251.3978
2021-06-14,251.3978
2021-06-11,251.8828
2021-06-10,251.8828
2021-06-09,249.1328
2021-06-08,248.8128
2021-06-07,245.4978
2021-06-04,244.8928
2021-06-03,241.0828
2021-06-02,239.3378
2021-06-01,237.9600
2021-05-28,236.4400
2021-05-27,236.4400
2021-05-26,231.4250
2021-05-25,231.4250
2021-05-24,228.7850
2021-05-21,230.0874
2021-05-20,230.0874
2021-05-19,230.0874
2021-05-18,230.0874
2021-05-17,230.0874
2021-05-14,230.0874
2021-05-13,230.0874
2021-05-12,230.8674
2021-05-11,232.4774
2021-05-10,234.5700
2021-05-07,235.1500
2021-05-06,235.1500
2021-05-05,235.1500
2021-05-04,235.1500
2021-05-03,237.4350
2021-04-30,238.6100
2021-04-29,241.6350
2021-04-28,242.1700
2021-04-27,244.2950
2021-04-26,244.2950
2021-04-23,244.2950
2021-04-22,244.2950
2021-04-21,244.2950
2021-04-20,245.3550
2021-04-19,250.7850
2021-04-16,253.2900
2021-04-15,253.2900
2021-04-14,253.2900
2021-04-13,253.2900
2021-04-12,253.3850
2021-04-09,250.3900
2021-04-08,246.0900
2021-04-07,246.0900
2021-04-06,246.0900
2021-04-05,246.0900
2021-04-01,245.2900
2021-03-31,249.5346
2021-03-30,249.5346
2021-03-29,249.5346
2021-03-26,255.1336
2021-03-25,255.1336
2021-03-24,258.8135
2021-03-23,255.7236
2021-03-22,250.5736
2021-03-19,250.5736
2021-03-18,246.1836
2021-03-17,246.1836
2021-03-16,246.1836
2021-03-15,246.1836
2021-03-12,241.7600
2021-03-11,233.9700
2021-03-10,229.0450
2021-03-09,224.1964
2021-03-08,221.8514
2021-03-05,221.8514
2021-03-04,221.8514
2021-03-03,221.0000
2021-03-02,218.1050
2021-03-01,218.1050
2021-02-26,218.1050
2021-02-25,218.1050
2021-02-24,218.1050
2021-02-23,213.4950
2021-02-22,214.2350
2021-02-19,212.6850
2021-02-18,212.6850
2021-02-17,209.9853
2021-02-16,207.7900
2021-02-12,205.1750
2021-02-11,205.1750
2021-02-10,205.1750
2021-02-09,204.2902
2021-02-08,202.5246
2021-02-05,202.5246
2021-02-04,202.1652
2021-02-03,201.8902
2021-02-02,203.7202
2021-02-01,203.7202
2021-01-29,203.7202
2021-01-28,203.7202
2021-01-27,203.7202
2021-01-26,207.4450
2021-01-25,207.4450
2021-01-22,208.3000
2021-01-21,208.8050
2021-01-20,208.8050
2021-01-19,208.8050
2021-01-15,208.8050
2021-01-14,208.9550
2021-01-13,209.7820
2021-01-12,211.3450
2021-01-11,211.3450
2021-01-08,212.0856
2021-01-07,213.4466
2021-01-06,213.4466
2021-01-05,213.4466
2021-01-04,213.4466
2020-12-31,219.7950
2020-12-30,221.7350
2020-12-29,221.8000
2020-12-28,224.3650
2020-12-24,224.3650
2020-12-23,224.3650
2020-12-22,225.9700
2020-12-21,226.4000
2020-12-18,231.3450
2020-12-17,232.3050
2020-12-16,234.2200
2020-12-15,227.1900
2020-12-14,227.1900
2020-12-11,226.2994
2020-12-10,226.2994
2020-12-09,226.2994
2020-12-08,226.2994
2020-12-07,222.9750
2020-12-04,220.5850
2020-12-03,220.5850
2020-12-02,212.0800
2020-12-01,209.5350
2020-11-30,207.1850
2020-11-27,200.8650
2020-11-25,199.6350
2020-11-24,199.6350
2020-11-23,199.6350
2020-11-20,197.5900
2020-11-19,188.7700
2020-11-18,187.5604
2020-11-17,181.1850
2020-11-16,176.7900
2020-11-13,168.6650
2020-11-12,167.7650
2020-11-11,167.7650
2020-11-10,167.7650
2020-11-09,163.0200
2020-11-06,153.5400
2020-11-05,155.9200
2020-11-04,155.9200
2020-11-03,155.9200
2020-11-02,155.9200
2020-10-30,156.2100
2020-10-29,160.0100
2020-10-28,160.7100
2020-10-27,164.2100
2020-10-26,166.0750
2020-10-23,166.0750
2020-10-22,166.0750
2020-10-21,166.0750
2020-10-20,166.0750
2020-10-19,167.1450
2020-10-16,167.1450
2020-10-15,167.1450
2020-10-14,167.4450
2020-10-13,167.4450
2020-10-12,167.4450
2020-10-09,167.3800
2020-10-08,160.9875
2020-10-07,160.2900
2020-10-06,160.2900
2020-10-05,158.8900
2020-10-02,158.8900
2020-10-01,158.8900
2020-09-30,158.0000
2020-09-29,157.7950
2020-09-28,157.7950
2020-09-25,157.7950
2020-09-24,157.7950
2020-09-23,160.7300
2020-09-22,162.3850
2020-09-21,162.3850
2020-09-18,164.5750
2020-09-17,168.5850
2020-09-16,168.5850
2020-09-15,168.5850
2020-09-14,168.5850
2020-09-11,168.5850
2020-09-10,169.1550
2020-09-09,169.1550
2020-09-08,170.9050
2020-09-04,172.6550
2020-09-03,174.2900
2020-09-02,173.5850
2020-09-01,173.5850
2020-08-31,173.5850
2020-08-28,173.5850
2020-08-27,173.5850
2020-08-26,173.2450
2020-08-25,175.0045
2020-08-24,177.9150
2020-08-21,177.9150
2020-08-20,177.9150
2020-08-19,179.3350
2020-08-18,178.1850
2020-08-17,176.4900
2020-08-14,171.6900
2020-08-13,171.6900
2020-08-12,171.6900
2020-08-11,171.6900
2020-08-10,166.6000
2020-08-07,164.4900
2020-08-06,167.2550
2020-08-05,167.9550
2020-08-04,168.1800
2020-08-03,168.1800
2020-07-31,169.6050
2020-07-30,171.7950
2020-07-29,173.4200
2020-07-28,178.8800
2020-07-27,179.2650
2020-07-24,180.5750
2020-07-23,179.6400
2020-07-22,179.6400
2020-07-21,179.6400
2020-07-20,179.6400
2020-07-17,179.6400
2020-07-16,179.6400
2020-07-15,180.1800
2020-07-14,180.1800
2020-07-13,182.1250
2020-07-10,181.0500
2020-07-09,181.0500
2020-07-08,181.0500
2020-07-07,181.0500
2020-07-06,181.0500
2020-07-02,182.7800
2020-07-01,182.8172
2020-06-30,182.8172
2020-06-29,187.9500
2020-06-26,187.9500
2020-06-25,188.9450
2020-06-24,187.1550
2020-06-23,189.5200
2020-06-22,196.5050
2020-06-19,200.1050
2020-06-18,200.1050
2020-06-17,200.1050
2020-06-16,194.8450
2020-06-15,193.0050
2020-06-12,189.3750
2020-06-11,188.5700
2020-06-10,188.5700
2020-06-09,187.7200
2020-06-08,187.7200
2020-06-05,177.2833
2020-06-04,162.1883
2020-06-03,152.5450
2020-06-02,143.4900
2020-06-01,141.2499
2020-05-29,137.2400
2020-05-28,135.2950
2020-05-27,131.7700
2020-05-26,129.9000
2020-05-22,129.0645
2020-05-21,129.0645
2020-05-20,125.4650
2020-05-19,125.4650
2020-05-18,125.0450
2020-05-15,124.7200
2020-05-14,128.8000
2020-05-13,131.9900
2020-05-12,134.2750
2020-05-11,134.2750
2020-05-08,134.2750
2020-05-07,134.2750
2020-05-06,134.2750
2020-05-05,135.5050
2020-05-04,135.5050
2020-05-01,137.7300
2020-04-30,138.9150
2020-04-29,138.9150
2020-04-28,138.9150
2020-04-27,138.9150
2020-04-24,142.1650
2020-04-23,145.4400
2020-04-22,145.4400
2020-04-21,148.8500
2020-04-20,147.0050
2020-04-17,143.6500
2020-04-16,142.4102
2020-04-15,142.4102
2020-04-14,142.4102
2020-04-13,142.4102
2020-04-09,146.4702
2020-04-08,153.2502
2020-04-07,153.2502
2020-04-06,151.3050
2020-04-03,140.0200
2020-04-02,140.0200
2020-04-01,138.4150
2020-03-31,137.7400
2020-03-30,137.7400
2020-03-27,137.7400
2020-03-26,137.7400
2020-03-25,139.4250
2020-03-24,157.9950
2020-03-23,163.4150
2020-03-20,165.2400
2020-03-19,176.6450
2020-03-18,182.6550
2020-03-17,193.5800
2020-03-16,213.1000
2020-03-13,226.1265
2020-03-12,226.1265
2020-03-11,244.0000
2020-03-10,265.1100
2020-03-09,272.5050
2020-03-06,285.7700
2020-03-05,297.1550
2020-03-04,305.4200
2020-03-03,305.5371
2020-03-02,305.5371
2020-02-28,307.0500
2020-02-27,316.0900
2020-02-26,325.7600
2020-02-25,325.7600
2020-02-24,332.1100
2020-02-21,339.0600
2020-02-20,335.8047
2020-02-19,332.6089
2020-02-18,330.5214
2020-02-14,330.4469
2020-02-13,330.4469
2020-02-12,330.4342
2020-02-11,329.5021
2020-02-10,328.0038
2020-02-07,326.7613
2020-02-06,326.0207
2020-02-05,316.7910
2020-02-04,313.0708
2020-02-03,313.0708
2020-01-31,315.7175
2020-01-30,315.9014
2020-01-29,316.0206
2020-01-28,317.1340
2020-01-27,317.1340
2020-01-24,318.3020
2020-01-23,320.3050
2020-01-22,320.3050
2020-01-21,323.0336
2020-01-17,331.6072
2020-01-16,334.0327
2020-01-15,333.9432
2020-01-14,331.7663
2020-01-13,331.7663
2020-01-10,331.7663
2020-01-09,331.7663
2020-01-08,331.7663
2020-01-07,331.7663
2020-01-06,329.9769
2020-01-03,329.9769
2020-01-02,329.9769
2019-12-31,328.6300
2019-12-30,328.6300
2019-12-27,332.9641
2019-12-26,333.8388
2019-12-24,333.8388
2019-12-23,334.0040
2019-12-20,335.0963
2019-12-19,335.4939
2019-12-18,335.4939
2019-12-17,335.9363
2019-12-16,338.9621
2019-12-13,350.8369
2019-12-12,351.2942
2019-12-11,353.0487
2019-12-10,358.0338
2019-12-09,358.0338
2019-12-06,358.0338
2019-12-05,358.0338
2019-12-04,359.0378
2019-12-03,359.0676
2019-12-02,363.2041
2019-11-29,366.4099
2019-11-27,366.3453
2019-11-26,366.1640
2019-11-25,365.6147
2019-11-22,358.4348
2019-11-21,358.4348
2019-11-20,358.4348
2019-11-19,358.4348
2019-11-18,358.4348
2019-11-15,356.6377
2019-11-14,351.5470
2019-11-13,351.5223
2019-11-12,351.5223
2019-11-11,351.4076
2019-11-08,346.3341
2019-11-07,346.1770
2019-11-06,345.6186
2019-11-05,344.9909
2019-11-04,338.9620
2019-11-01,333.6693
2019-10-31,342.8363
2019-10-30,345.0354
2019-10-29,346.8243
2019-10-28,346.8243
2019-10-25,347.4569
2019-10-24,347.4569
2019-10-23,347.4569
2019-10-22,347.4569
2019-10-21,347.4569
2019-10-18,357.1428
2019-10-17,369.3194
2019-10-16,366.6458
2019-10-15,366.6458
2019-10-14,368.6967
2019-10-11,369.1513
2019-10-10,372.0769
2019-10-09,372.0769
2019-10-08,372.7242
2019-10-07,372.7242
2019-10-04,372.7242
2019-10-03,372.7242
2019-10-02,372.9912
2019-10-01,378.2541
2019-09-30,378.2541
2019-09-27,378.2541
2019-09-26,378.2541
2019-09-25,378.1997
2019-09-24,373.8559
2019-09-23,369.1859
2019-09-20,367.2982
2019-09-19,367.2982
2019-09-18,366.4185
2019-09-17,365.5619
2019-09-16,363.0260
2019-09-13,363.0260
2019-09-12,363.0260
2019-09-11,362.7789
2019-09-10,355.8555
2019-09-09,354.7930
2019-09-06,355.9543
2019-09-05,351.2127
2019-09-04,347.3581
2019-09-03,345.2183
2019-08-30,345.2183
2019-08-29,344.0323
2019-08-28,340.6076
2019-08-27,340.6076
2019-08-26,340.6076
2019-08-23,340.6076
2019-08-22,334.0597
2019-08-21,327.2104
2019-08-20,325.4808
2019-08-19,325.4808
2019-08-16,325.4808
2019-08-15,325.4808
2019-08-14,327.4472
2019-08-13,331.9648
2019-08-12,331.9648
2019-08-09,331.9648
2019-08-08,331.9648
2019-08-07,335.1108
2019-08-06,342.9966
2019-08-05,345.4859
2019-08-02,351.0937
2019-08-01,351.4277
2019-07-31,353.1763
2019-07-30,353.1763
2019-07-29,354.4288
2019-07-26,355.8483
2019-07-25,357.6706
2019-07-24,360.1215
2019-07-23,360.1215
2019-07-22,358.7462
2019-07-19,356.7422
2019-07-18,352.4936
2019-07-17,352.4936
2019-07-16,350.3815
2019-07-15,350.3815
2019-07-12,350.7622
2019-07-11,352.5820
2019-07-10,357.0271
2019-07-09,357.0271
2019-07-08,357.7645
2019-07-05,358.7610
2019-07-03,359.1687
2019-07-02,359.5420
2019-07-01,359.8514
2019-06-28,356.7717
2019-06-27,356.1995
2019-06-26,355.3227
2019-06-25,354.6818
2019-06-24,354.6818
2019-06-21,354.6818
2019-06-20,354.6818
2019-06-19,354.6818
2019-06-18,347.3313
2019-06-17,338.8585
2019-06-14,337.9645
2019-06-13,337.9645
2019-06-12,337.9645
2019-06-11,337.9645
2019-06-10,338.9027
2019-06-07,339.9292
2019-06-06,339.9292
2019-06-05,339.9292
2019-06-04,339.9292
2019-06-03,339.9292
2019-05-31,345.0768
2019-05-30,345.0768
2019-05-29,343.3527
2019-05-28,343.1508
2019-05-24,343.0384
2019-05-23,342.7289
2019-05-22,342.7289
2019-05-21,342.7289
2019-05-20,345.0957
2019-05-17,347.4251
2019-05-16,350.0719
2019-05-15,350.0719
2019-05-14,351.6811
2019-05-13,351.6811
2019-05-10,358.8283
2019-05-09,358.8283
2019-05-08,360.7053
2019-05-07,361.5306
2019-05-06,366.7119
2019-05-03,370.1206
2019-05-02,370.1206
2019-05-01,370.1206
2019-04-30,370.1206
2019-04-29,370.1206
2019-04-26,369.5785
2019-04-25,365.7743
2019-04-24,365.0662
2019-04-23,365.0662
2019-04-22,365.0662
2019-04-18,371.9128
2019-04-17,371.9128
2019-04-16,371.9128
2019-04-15,371.9128
2019-04-12,371.9128
2019-04-11,371.9128
2019-04-10,371.9128
2019-04-09,373.1971
2019-04-08,373.1971
2019-04-05,371.8981
2019-04-04,370.4502
2019-04-03,369.3612
2019-04-02,369.3612
2019-04-01,368.4187
2019-03-29,363.1837
2019-03-28,364.9075
2019-03-27,364.9075
2019-03-26,364.9075
2019-03-25,367.0025
2019-03-22,373.1898
2019-03-21,384.2074
2019-03-20,386.2945
2019-03-19,388.3944
2019-03-18,389.2978
2019-03-15,394.4987
2019-03-14,395.2361
2019-03-13,395.2361
2019-03-12,396.3202
2019-03-11,396.3202
2019-03-08,420.7130
2019-03-07,421.1720
2019-03-06,420.7992
2019-03-05,420.7992
2019-03-04,420.2442
2019-03-01,418.7254
2019-02-28,414.7112
2019-02-27,412.1621
2019-02-26,407.9208
2019-02-25,406.5998
2019-02-22,401.5504
2019-02-21,400.5438
2019-02-20,400.2660
2019-02-19,398.2852
2019-02-15,392.7316
2019-02-14,388.4798
2019-02-13,387.1940
2019-02-12,385.9728
2019-02-11,377.1833
2019-02-08,374.7976
2019-02-07,374.7976
2019-02-06,374.5061
2019-02-05,371.4159
2019-02-04,364.7691
2019-02-01,362.6944
2019-01-31,360.8621
2019-01-30,360.8621
2019-01-29,347.7730
2019-01-28,347.0761
2019-01-25,347.0761
2019-01-24,345.1277
2019-01-23,344.0913
2019-01-22,340.0988
2019-01-18,335.5802
2019-01-17,330.3542
2019-01-16,322.8182
2019-01-15,322.5073
2019-01-14,322.5073
2019-01-11,322.5073
2019-01-10,318.5941
2019-01-09,310.8026
2019-01-08,307.9117
2019-01-07,302.7808
2019-01-04,301.6875
2019-01-03,304.1364
2019-01-02,304.1364
2018-12-31,304.1364
2018-12-28,304.1364
2018-12-27,304.1364
2018-12-26,304.1364
2018-12-24,305.4481
2018-12-21,310.2340
2018-12-20,313.6886
2018-12-19,316.8176
2018-12-18,326.8802
2018-12-17,332.0694
