Dates,T3 Values
2023-07-20,174.1476
2023-07-19,173.8425
2023-07-18,173.5379
2023-07-17,173.2339
2023-07-14,172.9305
2023-07-13,172.6278
2023-07-12,172.3259
2023-07-11,172.0246
2023-07-10,171.7242
2023-07-07,171.4246
2023-07-06,171.1257
2023-07-05,170.8277
2023-07-03,170.5305
2023-06-30,170.2343
2023-06-29,169.9390
2023-06-28,169.6447
2023-06-27,169.3514
2023-06-26,169.0591
2023-06-23,168.7680
2023-06-22,168.4781
2023-06-21,168.1893
2023-06-20,167.9019
2023-06-16,167.6159
2023-06-15,167.3312
2023-06-14,167.0481
2023-06-13,166.7664
2023-06-12,166.4861
2023-06-09,166.2073
2023-06-08,165.9301
2023-06-07,165.6542
2023-06-06,165.3799
2023-06-05,165.1070
2023-06-02,164.8356
2023-06-01,164.5657
2023-05-31,164.2974
2023-05-30,164.0308
2023-05-26,163.7658
2023-05-25,163.5025
2023-05-24,163.2410
2023-05-23,162.9813
2023-05-22,162.7236
2023-05-19,162.4679
2023-05-18,162.2143
2023-05-17,161.9628
2023-05-16,161.7136
2023-05-15,161.4666
2023-05-12,161.2220
2023-05-11,160.9799
2023-05-10,160.7402
2023-05-09,160.5032
2023-05-08,160.2688
2023-05-05,160.0372
2023-05-04,159.8085
2023-05-03,159.5828
2023-05-02,159.3602
2023-05-01,159.1408
2023-04-28,158.9247
2023-04-27,158.7121
2023-04-26,158.5029
2023-04-25,158.2973
2023-04-24,158.0954
2023-04-21,157.8973
2023-04-20,157.7030
2023-04-19,157.5126
2023-04-18,157.3262
2023-04-17,157.1440
2023-04-14,156.9659
2023-04-13,156.7921
2023-04-12,156.6226
2023-04-11,156.4576
2023-04-10,156.2970
2023-04-06,156.1410
2023-04-05,155.9896
2023-04-04,155.8428
2023-04-03,155.7007
2023-03-31,155.5634
2023-03-30,155.4308
2023-03-29,155.3031
2023-03-28,155.1802
2023-03-27,155.0623
2023-03-24,154.9493
2023-03-23,154.8414
2023-03-22,154.7386
2023-03-21,154.6410
2023-03-20,154.5488
2023-03-17,154.4621
2023-03-16,154.3809
2023-03-15,154.3054
2023-03-14,154.2356
2023-03-13,154.1716
2023-03-10,154.1135
2023-03-09,154.0614
2023-03-08,154.0154
2023-03-07,153.9756
2023-03-06,153.9420
2023-03-03,153.9147
2023-03-02,153.8937
2023-03-01,153.8792
2023-02-28,153.8712
2023-02-27,153.8695
2023-02-24,153.8745
2023-02-23,153.8860
2023-02-22,153.9042
2023-02-21,153.9293
2023-02-17,153.9611
2023-02-16,153.9999
2023-02-15,154.0456
2023-02-14,154.0982
2023-02-13,154.1578
2023-02-10,154.2245
2023-02-09,154.2980
2023-02-08,154.3785
2023-02-07,154.4659
2023-02-06,154.5602
2023-02-03,154.6614
2023-02-02,154.7694
2023-02-01,154.8844
2023-01-31,155.0062
2023-01-30,155.1348
2023-01-27,155.2703
2023-01-26,155.4126
2023-01-25,155.5616
2023-01-24,155.7173
2023-01-23,155.8796
2023-01-20,156.0485
2023-01-19,156.2239
2023-01-18,156.4057
2023-01-17,156.5939
2023-01-13,156.7885
2023-01-12,156.9893
2023-01-11,157.1963
2023-01-10,157.4093
2023-01-09,157.6282
2023-01-06,157.8529
2023-01-05,158.0833
2023-01-04,158.3194
2023-01-03,158.5609
2022-12-30,158.8077
2022-12-29,159.0597
2022-12-28,159.3169
2022-12-27,159.5791
2022-12-23,159.8464
2022-12-22,160.1185
2022-12-21,160.3956
2022-12-20,160.6774
2022-12-19,160.9639
2022-12-16,161.2551
2022-12-15,161.5507
2022-12-14,161.8508
2022-12-13,162.1552
2022-12-12,162.4638
2022-12-09,162.7766
2022-12-08,163.0934
2022-12-07,163.4141
2022-12-06,163.7386
2022-12-05,164.0669
2022-12-02,164.3988
2022-12-01,164.7343
2022-11-30,165.0733
2022-11-29,165.4155
2022-11-28,165.7610
2022-11-25,166.1095
2022-11-23,166.4610
2022-11-22,166.8154
2022-11-21,167.1726
2022-11-18,167.5324
2022-11-17,167.8947
2022-11-16,168.2594
2022-11-15,168.6264
2022-11-14,168.9955
2022-11-11,169.3667
2022-11-10,169.7396
2022-11-09,170.1143
2022-11-08,170.4905
2022-11-07,170.8681
2022-11-04,171.2468
2022-11-03,171.6266
2022-11-02,172.0073
2022-11-01,172.3887
2022-10-31,172.7708
2022-10-28,173.1535
2022-10-27,173.5368
2022-10-26,173.9206
2022-10-25,174.3049
2022-10-24,174.6895
2022-10-21,175.0747
2022-10-20,175.4601
2022-10-19,175.8460
2022-10-18,176.2321
2022-10-17,176.6185
2022-10-14,177.0051
2022-10-13,177.3919
2022-10-12,177.7790
2022-10-11,178.1663
2022-10-10,178.5538
2022-10-07,178.9415
2022-10-06,179.3296
2022-10-05,179.7179
2022-10-04,180.1066
2022-10-03,180.4956
2022-09-30,180.8850
2022-09-29,181.2748
2022-09-28,181.6651
2022-09-27,182.0560
2022-09-26,182.4474
2022-09-23,182.8396
2022-09-22,183.2325
2022-09-21,183.6262
2022-09-20,184.0208
2022-09-19,184.4163
2022-09-16,184.8128
2022-09-15,185.2101
2022-09-14,185.6084
2022-09-13,186.0076
2022-09-12,186.4078
2022-09-09,186.8088
2022-09-08,187.2107
2022-09-07,187.6135
2022-09-06,188.0170
2022-09-02,188.4213
2022-09-01,188.8262
2022-08-31,189.2318
2022-08-30,189.6379
2022-08-29,190.0446
2022-08-26,190.4518
2022-08-25,190.8593
2022-08-24,191.2672
2022-08-23,191.6753
2022-08-22,192.0834
2022-08-19,192.4914
2022-08-18,192.8993
2022-08-17,193.3070
2022-08-16,193.7144
2022-08-15,194.1213
2022-08-12,194.5275
2022-08-11,194.9330
2022-08-10,195.3376
2022-08-09,195.7411
2022-08-08,196.1433
2022-08-05,196.5441
2022-08-04,196.9433
2022-08-03,197.3407
2022-08-02,197.7363
2022-08-01,198.1298
