Dates,MIDPRICE Values
2023-07-21,174.0400
2023-07-20,172.4650
2023-07-19,172.4500
2023-07-18,172.4500
2023-07-17,172.4500
2023-07-14,172.4500
2023-07-13,172.4500
2023-07-12,172.4500
2023-07-11,172.4500
2023-07-10,172.4500
2023-07-07,172.4500
2023-07-06,172.4500
2023-07-05,172.4500
2023-07-03,172.4500
2023-06-30,172.4500
2023-06-29,172.4500
2023-06-28,172.4500
2023-06-27,172.4500
2023-06-26,172.4500
2023-06-23,172.4500
2023-06-22,172.4500
2023-06-21,172.4500
2023-06-20,172.4500
2023-06-16,172.4500
2023-06-15,172.4500
2023-06-14,172.4500
2023-06-13,172.4500
2023-06-12,172.4500
2023-06-09,171.1600
2023-06-08,171.1600
2023-06-07,171.1600
2023-06-06,171.1600
2023-06-05,171.1600
2023-06-02,171.1600
2023-06-01,171.1600
2023-05-31,171.1600
2023-05-30,171.1600
2023-05-26,171.1600
2023-05-25,171.1600
2023-05-24,171.1600
2023-05-23,171.1600
2023-05-22,171.1600
2023-05-19,171.1600
2023-05-18,171.1600
2023-05-17,171.1600
2023-05-16,171.1600
2023-05-15,171.1600
2023-05-12,171.1600
2023-05-11,171.1600
2023-05-10,171.1600
2023-05-09,171.1600
2023-05-08,171.1600
2023-05-05,171.1600
2023-05-04,171.1600
2023-05-03,171.1600
2023-05-02,171.1600
2023-05-01,171.1600
2023-04-28,171.1600
2023-04-27,171.1600
2023-04-26,171.1600
2023-04-25,171.1600
2023-04-24,171.1600
2023-04-21,171.1600
2023-04-20,171.1600
2023-04-19,171.1600
2023-04-18,171.1600
2023-04-17,171.1600
2023-04-14,171.1600
2023-04-13,171.1600
2023-04-12,171.1600
2023-04-11,171.1600
2023-04-10,171.1600
2023-04-06,171.1600
2023-04-05,171.1600
2023-04-04,171.1600
2023-04-03,171.1600
2023-03-31,171.1600
2023-03-30,167.1750
2023-03-29,167.1750
2023-03-28,167.1750
2023-03-27,167.1750
2023-03-24,167.1750
2023-03-23,167.1750
2023-03-22,167.1750
2023-03-21,167.1750
2023-03-20,167.1750
2023-03-17,167.1750
2023-03-16,167.1750
2023-03-15,167.1750
2023-03-14,167.1750
2023-03-13,167.1750
2023-03-10,167.1750
2023-03-09,167.1750
2023-03-08,167.1750
2023-03-07,167.1750
2023-03-06,167.1750
2023-03-03,167.1750
2023-03-02,167.1750
2023-03-01,167.1750
2023-02-28,167.1750
2023-02-27,167.1750
2023-02-24,167.1750
2023-02-23,167.1750
2023-02-22,167.1750
2023-02-21,167.1750
2023-02-17,167.1750
2023-02-16,167.1750
2023-02-15,167.1750
2023-02-14,167.1750
2023-02-13,165.9950
2023-02-10,165.9950
2023-02-09,165.9950
2023-02-08,165.9950
2023-02-07,165.9950
2023-02-06,165.9950
2023-02-03,165.9950
2023-02-02,165.9950
2023-02-01,165.9950
2023-01-31,164.8300
2023-01-30,164.8300
2023-01-27,164.8300
2023-01-26,164.8300
2023-01-25,164.8300
2023-01-24,164.8300
2023-01-23,164.8300
2023-01-20,164.8300
2023-01-19,164.8300
2023-01-18,164.8300
2023-01-17,164.8300
2023-01-13,164.8300
2023-01-12,163.9700
2023-01-11,163.4500
2023-01-10,163.4500
2023-01-09,163.4500
2023-01-06,163.0300
2023-01-05,159.0050
2023-01-04,158.3900
2023-01-03,155.3000
2022-12-30,155.3000
2022-12-29,155.3000
2022-12-28,155.3000
2022-12-27,155.3000
2022-12-23,155.3000
2022-12-22,155.3000
2022-12-21,155.3000
2022-12-20,155.3000
2022-12-19,155.3000
2022-12-16,155.3000
2022-12-15,155.7600
2022-12-14,156.4350
2022-12-13,158.2600
2022-12-12,160.1650
2022-12-09,160.1650
2022-12-08,160.1650
2022-12-07,160.1650
2022-12-06,160.1650
2022-12-05,163.8744
2022-12-02,165.8000
2022-12-01,166.3500
2022-11-30,166.3500
2022-11-29,166.3500
2022-11-28,167.2200
2022-11-25,168.1250
2022-11-23,168.1250
2022-11-22,168.1250
2022-11-21,168.1250
2022-11-18,168.1250
2022-11-17,168.1250
2022-11-16,168.1250
2022-11-15,168.1250
2022-11-14,168.1250
2022-11-11,168.1250
2022-11-10,168.1250
2022-11-09,168.1250
2022-11-08,168.1250
2022-11-07,168.1250
2022-11-04,168.1250
2022-11-03,168.1250
2022-11-02,169.2200
2022-11-01,171.3450
2022-10-31,171.3450
2022-10-28,171.3450
2022-10-27,171.3450
2022-10-26,171.3450
2022-10-25,171.3450
2022-10-24,171.3450
2022-10-21,171.3450
2022-10-20,171.3450
2022-10-19,171.3450
2022-10-18,171.3450
2022-10-17,171.3450
2022-10-14,171.3450
2022-10-13,171.3450
2022-10-12,171.3450
2022-10-11,171.3450
2022-10-10,171.3450
2022-10-07,171.3450
2022-10-06,171.3450
2022-10-05,171.3450
2022-10-04,171.3450
2022-10-03,171.3450
2022-09-30,171.3450
2022-09-29,171.3450
2022-09-28,171.3450
2022-09-27,171.3450
2022-09-26,171.3450
2022-09-23,171.3450
2022-09-22,171.3450
2022-09-21,171.3450
2022-09-20,171.3450
2022-09-19,171.3450
2022-09-16,171.3450
2022-09-15,171.3450
2022-09-14,171.3450
2022-09-13,171.3450
2022-09-12,171.3450
2022-09-09,171.3450
2022-09-08,171.3450
2022-09-07,171.3450
2022-09-06,172.2600
2022-09-02,172.2600
2022-09-01,172.9850
2022-08-31,173.4800
2022-08-30,173.4800
2022-08-29,173.4800
2022-08-26,173.4800
2022-08-25,173.4800
2022-08-24,173.4800
2022-08-23,173.4800
2022-08-22,173.4800
2022-08-19,173.4800
2022-08-18,173.4800
2022-08-17,173.4800
2022-08-16,173.4800
2022-08-15,173.4800
2022-08-12,173.4800
2022-08-11,173.4800
2022-08-10,173.4800
2022-08-09,173.4800
2022-08-08,173.4800
2022-08-05,173.4800
2022-08-04,173.4800
2022-08-03,173.4800
2022-08-02,173.4800
2022-08-01,173.4800
2022-07-29,173.4800
2022-07-28,173.4800
2022-07-27,173.4800
2022-07-26,173.4800
2022-07-25,173.4800
2022-07-22,173.4800
2022-07-21,173.4800
2022-07-20,173.4800
2022-07-19,173.4800
2022-07-18,173.4800
2022-07-15,173.4800
2022-07-14,173.4800
2022-07-13,173.4800
2022-07-12,173.4800
2022-07-11,173.4800
2022-07-08,173.4800
2022-07-07,173.4800
2022-07-06,173.4800
2022-07-05,173.4800
2022-07-01,173.4800
2022-06-30,173.4800
2022-06-29,173.4800
2022-06-28,173.4800
2022-06-27,173.4800
2022-06-24,173.4800
2022-06-23,173.4800
2022-06-22,173.4800
2022-06-21,173.4800
