Dates,CCI Values
2023-07-20,63.8134
2023-07-19,54.0414
2023-07-18,60.3622
2023-07-17,64.5678
2023-07-14,70.2145
2023-07-13,79.9274
2023-07-12,83.7560
2023-07-11,77.3954
2023-07-10,66.6585
2023-07-07,68.4984
2023-07-06,65.1287
2023-07-05,65.1897
2023-07-03,63.5080
2023-06-30,64.3433
2023-06-29,66.1913
2023-06-28,63.8602
2023-06-27,57.4745
2023-06-26,50.4926
2023-06-23,47.3716
2023-06-22,51.6811
2023-06-21,67.5720
2023-06-20,76.4152
2023-06-16,94.7328
2023-06-15,88.5763
2023-06-14,88.5332
2023-06-13,96.9266
2023-06-12,97.0760
2023-06-09,88.7246
2023-06-08,87.5955
2023-06-07,71.1499
2023-06-06,60.7771
2023-06-05,70.4482
2023-06-02,79.3044
2023-06-01,66.7935
2023-05-31,56.8814
2023-05-30,60.1299
2023-05-26,54.9479
2023-05-25,45.8548
2023-05-24,45.2339
2023-05-23,58.9215
2023-05-22,63.3591
2023-05-19,65.4951
2023-05-18,66.9493
2023-05-17,66.4073
2023-05-16,53.2093
2023-05-15,55.1649
2023-05-12,53.7559
2023-05-11,54.1249
2023-05-10,54.5033
2023-05-09,57.7665
2023-05-08,47.3903
2023-05-05,48.6160
2023-05-04,46.7667
2023-05-03,61.8507
2023-05-02,62.4195
2023-05-01,70.7415
2023-04-28,72.0027
2023-04-27,74.5582
2023-04-26,74.1810
2023-04-25,66.6722
2023-04-24,73.9104
2023-04-21,76.6381
2023-04-20,82.3452
2023-04-19,86.1815
2023-04-18,82.1620
2023-04-17,74.8729
2023-04-14,68.7000
2023-04-13,100.2676
2023-04-12,99.5842
2023-04-11,102.3743
2023-04-10,99.8286
2023-04-06,98.5456
2023-04-05,100.4654
2023-04-04,105.2233
2023-04-03,114.8399
2023-03-31,109.0194
2023-03-30,102.7718
2023-03-29,96.6958
2023-03-28,88.1008
2023-03-27,79.2257
2023-03-24,69.5998
2023-03-23,75.2795
2023-03-22,77.4038
2023-03-21,96.5466
2023-03-20,93.2412
2023-03-17,86.5291
2023-03-16,86.2565
2023-03-15,79.3852
2023-03-14,109.7916
2023-03-13,94.5973
2023-03-10,94.0501
2023-03-09,99.2358
2023-03-08,110.5174
2023-03-07,117.8901
2023-03-06,125.9050
2023-03-03,131.3738
2023-03-02,117.5324
2023-03-01,107.3806
2023-02-28,101.6601
2023-02-27,102.2475
2023-02-24,98.4724
2023-02-23,123.6358
2023-02-22,120.2989
2023-02-21,125.0820
2023-02-17,135.9217
2023-02-16,147.3213
2023-02-15,158.6154
2023-02-14,163.9196
2023-02-13,157.7246
2023-02-10,155.0126
2023-02-09,156.9456
2023-02-08,162.5849
2023-02-07,160.2739
2023-02-06,143.3364
2023-02-03,148.2317
2023-02-02,160.3654
2023-02-01,175.3431
2023-01-31,165.4598
2023-01-30,161.2924
2023-01-27,168.2648
2023-01-26,170.6498
2023-01-25,169.3488
2023-01-24,169.8349
2023-01-23,170.5417
2023-01-20,162.5018
2023-01-19,165.7816
2023-01-18,178.5275
2023-01-17,181.6501
2023-01-13,192.4150
2023-01-12,187.2741
2023-01-11,175.8509
2023-01-10,170.8157
2023-01-09,184.2983
2023-01-06,184.9401
2023-01-05,164.2345
2023-01-04,155.7685
2023-01-03,135.4887
2022-12-30,115.9753
2022-12-29,112.7437
2022-12-28,115.3263
2022-12-27,118.7747
2022-12-23,111.8504
2022-12-22,118.1402
2022-12-21,135.4862
2022-12-20,114.6296
2022-12-19,108.6607
2022-12-16,101.7550
2022-12-15,101.8423
2022-12-14,113.7366
2022-12-13,112.9886
2022-12-12,100.6914
2022-12-09,87.0569
2022-12-08,86.3542
2022-12-07,70.2224
2022-12-06,81.8729
2022-12-05,97.1215
2022-12-02,78.2692
2022-12-01,66.5197
2022-11-30,68.3942
2022-11-29,56.8551
2022-11-28,52.0820
2022-11-25,61.9028
2022-11-23,50.6292
2022-11-22,46.1390
2022-11-21,45.3943
2022-11-18,46.4194
2022-11-17,39.0598
2022-11-16,43.2309
2022-11-15,47.9822
2022-11-14,47.8396
2022-11-11,50.8113
2022-11-10,50.4906
2022-11-09,28.2498
2022-11-08,25.3687
2022-11-07,11.9243
2022-11-04,-5.3205
2022-11-03,-18.2588
2022-11-02,-38.4893
2022-11-01,-50.5272
2022-10-31,-54.8186
2022-10-28,-53.5116
2022-10-27,-62.3423
2022-10-26,-65.9677
2022-10-25,-49.1197
2022-10-24,-59.7425
2022-10-21,-64.7416
2022-10-20,-65.2624
2022-10-19,-68.6484
2022-10-18,-72.9989
2022-10-17,-78.3504
2022-10-14,-84.0281
2022-10-13,-93.2057
2022-10-12,-95.4826
2022-10-11,-90.4347
2022-10-10,-90.0463
2022-10-07,-99.0872
2022-10-06,-94.1247
2022-10-05,-96.2553
2022-10-04,-95.0609
2022-10-03,-115.4529
2022-09-30,-122.5837
2022-09-29,-112.2993
2022-09-28,-101.1094
2022-09-27,-111.9156
2022-09-26,-110.2637
2022-09-23,-102.2425
2022-09-22,-82.2677
2022-09-21,-69.2495
2022-09-20,-68.9240
2022-09-19,-72.5043
2022-09-16,-75.8414
2022-09-15,-59.6232
2022-09-14,-66.6358
2022-09-13,-61.6974
2022-09-12,-38.1152
2022-09-09,-41.2004
2022-09-08,-45.4934
2022-09-07,-51.9721
2022-09-06,-57.6800
2022-09-02,-55.8117
2022-09-01,-53.8415
2022-08-31,-37.0019
2022-08-30,-30.0232
2022-08-29,-29.1599
2022-08-26,-24.9669
2022-08-25,-23.3645
2022-08-24,-35.1986
2022-08-23,-42.5926
2022-08-22,-46.1713
2022-08-19,-34.2772
2022-08-18,-25.5293
2022-08-17,-26.3952
2022-08-16,-17.0899
2022-08-15,-20.5019
2022-08-12,-23.8703
2022-08-11,-25.0921
2022-08-10,-24.9637
2022-08-09,-35.5224
2022-08-08,-30.5369
2022-08-05,-35.5410
2022-08-04,-33.6854
2022-08-03,-36.2113
2022-08-02,-38.9205
2022-08-01,-30.5272
2022-07-29,-54.9887
2022-07-28,-57.6456
2022-07-27,-58.8629
2022-07-26,-62.0071
2022-07-25,-64.2277
2022-07-22,-55.2509
2022-07-21,-55.9891
2022-07-20,-62.3799
2022-07-19,-71.5387
2022-07-18,-80.7135
2022-07-15,-88.6131
2022-07-14,-95.1997
2022-07-13,-98.6278
2022-07-12,-99.3960
2022-07-11,-118.4834
2022-07-08,-115.4275
2022-07-07,-114.7987
2022-07-06,-125.2660
2022-07-05,-129.2488
2022-07-01,-123.0449
2022-06-30,-134.3765
2022-06-29,-131.1922
2022-06-28,-122.9169
2022-06-27,-132.5199
2022-06-24,-132.2403
2022-06-23,-149.2250
2022-06-22,-145.0416
2022-06-21,-143.7293
2022-06-17,-151.8797
2022-06-16,-161.3085
2022-06-15,-171.1921
2022-06-14,-207.4045
2022-06-13,-215.9928
2022-06-10,-189.3916
2022-06-09,-172.7317
2022-06-08,-162.9893
2022-06-07,-168.3496
2022-06-06,-172.4569
2022-06-03,-175.6171
2022-06-02,-183.9605
2022-06-01,-209.8422
2022-05-31,-213.0617
2022-05-27,-217.9804
2022-05-26,-237.2883
2022-05-25,-260.2577
2022-05-24,-271.1725
2022-05-23,-267.2746
2022-05-20,-276.8092
2022-05-19,-269.1096
2022-05-18,-272.7835
2022-05-17,-269.1504
2022-05-16,-292.8273
2022-05-13,-297.3489
2022-05-12,-316.6928
2022-05-11,-291.2001
2022-05-10,-294.4066
2022-05-09,-286.2142
2022-05-06,-247.1507
2022-05-05,-235.9361
2022-05-04,-230.5094
2022-05-03,-249.8167
2022-05-02,-279.2852
2022-04-29,-266.4114
2022-04-28,-264.1024
2022-04-27,-267.8126
2022-04-26,-195.3588
2022-04-25,-172.1260
2022-04-22,-154.9547
2022-04-21,-131.0846
2022-04-20,-128.8732
2022-04-19,-130.3687
2022-04-18,-154.5625
2022-04-14,-142.4359
2022-04-13,-154.5147
2022-04-12,-181.1201
2022-04-11,-186.0002
2022-04-08,-189.4956
2022-04-07,-186.9968
2022-04-06,-180.1563
2022-04-05,-144.0409
2022-04-04,-123.5027
2022-04-01,-120.9231
2022-03-31,-107.2240
2022-03-30,-102.5911
2022-03-29,-107.7294
2022-03-28,-143.2039
2022-03-25,-134.4909
2022-03-24,-143.7696
2022-03-23,-148.0579
2022-03-22,-136.6722
2022-03-21,-163.3051
2022-03-18,-125.5936
2022-03-17,-145.0010
2022-03-16,-154.3578
2022-03-15,-198.4941
2022-03-14,-217.6185
2022-03-11,-201.7584
2022-03-10,-206.7385
2022-03-09,-204.3541
2022-03-08,-236.8706
2022-03-07,-243.3425
2022-03-04,-199.0348
2022-03-03,-151.3710
2022-03-02,-123.3983
2022-03-01,-126.7283
2022-02-28,-94.5185
2022-02-25,-104.5236
2022-02-24,-144.5486
2022-02-23,-124.7949
2022-02-22,-111.0529
2022-02-18,-56.8849
2022-02-17,-33.5515
2022-02-16,-16.6068
2022-02-15,-22.5198
2022-02-14,-54.2342
2022-02-11,-36.7050
2022-02-10,-15.1508
2022-02-09,-33.3027
2022-02-08,-51.2609
2022-02-07,-61.3031
2022-02-04,-87.6118
2022-02-03,-84.8765
2022-02-02,-86.8921
2022-02-01,-90.3301
2022-01-31,-141.2576
2022-01-28,-189.6323
2022-01-27,-167.6180
2022-01-26,-142.7465
2022-01-25,-116.5870
2022-01-24,-128.1655
2022-01-21,-88.3460
2022-01-20,-42.1209
2022-01-19,-24.9002
2022-01-18,9.1529
2022-01-14,-3.2969
2022-01-13,-6.7606
2022-01-12,-34.6726
2022-01-11,-58.2400
2022-01-10,-75.2842
2022-01-07,-51.5619
2022-01-06,-70.5870
2022-01-05,-56.8093
2022-01-04,-67.1727
2022-01-03,-94.8315
2021-12-31,-123.3868
2021-12-30,-114.0245
2021-12-29,-114.2802
2021-12-28,-106.8975
2021-12-27,-125.4080
2021-12-23,-118.1982
