Dates,ROCR Values
2023-07-20,1.0829
2023-07-19,1.0517
2023-07-18,1.0737
2023-07-17,1.0544
2023-07-14,1.0486
2023-07-13,1.0637
2023-07-12,1.0500
2023-07-11,1.0617
2023-07-10,1.0506
2023-07-07,1.0490
2023-07-06,1.0333
2023-07-05,1.0398
2023-07-03,1.0178
2023-06-30,1.0117
2023-06-29,1.0166
2023-06-28,1.0278
2023-06-27,1.0383
2023-06-26,0.9625
2023-06-23,0.9674
2023-06-22,0.9684
2023-06-21,1.0062
2023-06-20,1.0047
2023-06-16,1.0476
2023-06-15,1.0258
2023-06-14,1.0070
2023-06-13,1.0374
2023-06-12,1.0498
2023-06-09,1.0449
2023-06-08,1.0642
2023-06-07,1.0566
2023-06-06,1.0494
2023-06-05,1.0550
2023-06-02,1.0875
2023-06-01,1.0159
2023-05-31,1.0045
2023-05-30,1.0181
2023-05-26,1.0022
2023-05-25,1.0134
2023-05-24,0.9614
2023-05-23,0.9962
2023-05-22,1.0140
2023-05-19,1.0211
2023-05-18,1.0002
2023-05-17,0.9949
2023-05-16,0.9479
2023-05-15,0.9426
2023-05-12,0.9554
2023-05-11,0.9868
2023-05-10,0.9965
2023-05-09,1.0071
2023-05-08,0.9955
2023-05-05,0.9530
2023-05-04,0.9577
2023-05-03,0.9777
2023-05-02,0.9603
2023-05-01,0.9607
2023-04-28,0.9510
2023-04-27,0.9432
2023-04-26,0.9415
2023-04-25,0.9497
2023-04-24,0.9707
2023-04-21,0.9609
2023-04-20,0.9649
2023-04-19,1.0092
2023-04-18,1.0115
2023-04-17,0.9794
2023-04-14,0.9393
2023-04-13,1.0028
2023-04-12,1.0127
2023-04-11,1.0054
2023-04-10,0.9908
2023-04-06,0.9938
2023-04-05,0.9907
2023-04-04,1.0187
2023-04-03,1.0417
2023-03-31,1.0258
2023-03-30,1.0078
2023-03-29,0.9837
2023-03-28,0.9572
2023-03-27,0.9358
2023-03-24,0.9495
2023-03-23,0.9575
2023-03-22,0.9405
2023-03-21,0.9610
2023-03-20,0.9989
2023-03-17,0.9873
2023-03-16,1.0399
2023-03-15,1.0405
2023-03-14,1.0972
2023-03-13,1.0796
2023-03-10,1.0722
2023-03-09,1.0644
2023-03-08,1.1007
2023-03-07,1.0608
2023-03-06,1.1255
2023-03-03,1.1585
2023-03-02,1.1373
2023-03-01,1.1134
2023-02-28,1.0707
2023-02-27,1.0712
2023-02-24,1.0638
2023-02-23,1.1592
2023-02-22,1.1490
2023-02-21,1.1644
2023-02-17,1.1862
2023-02-16,1.1465
2023-02-15,1.1890
2023-02-14,1.2427
2023-02-13,1.2056
2023-02-10,1.2143
2023-02-09,1.2337
2023-02-08,1.1970
2023-02-07,1.2283
2023-02-06,1.1989
2023-02-03,1.1912
2023-02-02,1.2039
2023-02-01,1.2429
2023-01-31,1.2334
2023-01-30,1.1957
2023-01-27,1.2168
2023-01-26,1.1985
2023-01-25,1.1977
2023-01-24,1.2563
2023-01-23,1.2379
2023-01-20,1.2538
2023-01-19,1.2942
2023-01-18,1.3359
2023-01-17,1.4342
2023-01-13,1.4934
2023-01-12,1.5039
2023-01-11,1.4463
2023-01-10,1.4789
2023-01-09,1.5589
2023-01-06,1.4524
2023-01-05,1.4431
2023-01-04,1.4410
2023-01-03,1.4044
2022-12-30,1.3765
2022-12-29,1.3755
2022-12-28,1.3842
2022-12-27,1.4225
2022-12-23,1.4279
2022-12-22,1.4434
2022-12-21,1.4897
2022-12-20,1.4275
2022-12-19,1.4306
2022-12-16,1.3971
2022-12-15,1.3907
2022-12-14,1.4100
2022-12-13,1.4846
2022-12-12,1.5384
2022-12-09,1.4325
2022-12-08,1.3420
2022-12-07,1.3842
2022-12-06,1.4012
2022-12-05,1.4102
2022-12-02,1.3184
2022-12-01,1.2267
2022-11-30,1.2257
2022-11-29,1.2101
2022-11-28,1.1909
2022-11-25,1.1908
2022-11-23,1.1714
2022-11-22,1.1710
2022-11-21,1.0896
2022-11-18,1.1039
2022-11-17,1.0950
2022-11-16,1.1073
2022-11-15,1.1507
2022-11-14,1.1431
2022-11-11,1.1551
2022-11-10,1.1081
2022-11-09,1.0403
2022-11-08,1.0254
2022-11-07,1.0023
2022-11-04,0.9447
2022-11-03,0.9581
2022-11-02,0.9209
2022-11-01,0.9019
2022-10-31,0.8747
2022-10-28,0.8527
2022-10-27,0.8359
2022-10-26,0.7775
2022-10-25,0.8603
2022-10-24,0.8356
2022-10-21,0.8418
2022-10-20,0.8232
2022-10-19,0.8395
2022-10-18,0.8279
2022-10-17,0.8246
2022-10-14,0.7997
2022-10-13,0.7945
2022-10-12,0.7988
2022-10-11,0.7782
2022-10-10,0.8279
2022-10-07,0.8158
2022-10-06,0.8469
2022-10-05,0.8473
2022-10-04,0.8523
2022-10-03,0.7970
2022-09-30,0.7501
2022-09-29,0.7913
2022-09-28,0.8547
2022-09-27,0.8632
2022-09-26,0.8619
2022-09-23,0.8920
2022-09-22,0.9636
2022-09-21,0.9738
2022-09-20,1.0653
2022-09-19,1.0418
2022-09-16,1.0309
2022-09-15,1.0988
2022-09-14,1.0840
2022-09-13,1.0534
2022-09-12,1.1609
2022-09-09,1.1377
2022-09-08,1.1376
2022-09-07,1.1242
2022-09-06,1.0767
2022-09-02,1.1332
2022-09-01,1.1203
2022-08-31,1.1718
2022-08-30,1.1857
2022-08-29,1.2404
2022-08-26,1.2304
2022-08-25,1.3865
2022-08-24,1.4120
2022-08-23,1.2604
2022-08-22,1.1888
2022-08-19,1.1668
2022-08-18,1.1979
2022-08-17,1.2008
2022-08-16,1.2358
