Dates,BBANDS Values
2023-07-21,242.8341
2023-07-20,194.6234
2023-07-19,146.4128
2023-07-18,243.3036
2023-07-17,194.1947
2023-07-14,145.0858
2023-07-13,243.8339
2023-07-12,193.7320
2023-07-11,143.6302
2023-07-10,244.2928
2023-07-07,193.3157
2023-07-06,142.3386
2023-07-05,244.5302
2023-07-03,192.9250
2023-06-30,141.3199
2023-06-29,244.8557
2023-06-28,192.5032
2023-06-27,140.1508
2023-06-26,245.1448
2023-06-23,192.0743
2023-06-22,139.0039
2023-06-21,245.2881
2023-06-20,191.6464
2023-06-16,138.0047
2023-06-15,245.2904
2023-06-14,191.2544
2023-06-13,137.2184
2023-06-12,245.1928
2023-06-09,190.8770
2023-06-08,136.5613
2023-06-07,245.1302
2023-06-06,190.5402
2023-06-05,135.9502
2023-06-02,245.0860
2023-06-01,190.2041
2023-05-31,135.3222
2023-05-30,245.0319
2023-05-26,189.8624
2023-05-25,134.6930
2023-05-24,244.9018
2023-05-23,189.5448
2023-05-22,134.1878
2023-05-19,244.8003
2023-05-18,189.2365
2023-05-17,133.6727
2023-05-16,244.7068
2023-05-15,188.9172
2023-05-12,133.1277
2023-05-11,244.5080
2023-05-10,188.6517
2023-05-09,132.7954
2023-05-08,244.3257
2023-05-05,188.3857
2023-05-04,132.4457
2023-05-03,244.1533
2023-05-02,188.1275
2023-05-01,132.1017
2023-04-28,244.0332
2023-04-27,187.8793
2023-04-26,131.7255
2023-04-25,243.9349
2023-04-24,187.6142
2023-04-21,131.2936
2023-04-20,243.8331
2023-04-19,187.3453
2023-04-18,130.8575
2023-04-17,243.6305
2023-04-14,187.0532
2023-04-13,130.4759
2023-04-12,243.3812
2023-04-11,186.7926
2023-04-10,130.2040
2023-04-06,243.0013
2023-04-05,186.5037
2023-04-04,130.0061
2023-04-03,242.6157
2023-03-31,186.2337
2023-03-30,129.8518
2023-03-29,242.2681
2023-03-28,185.9719
2023-03-27,129.6757
2023-03-24,241.8492
2023-03-23,185.7169
2023-03-22,129.5846
2023-03-21,241.4144
2023-03-20,185.4271
2023-03-17,129.4398
2023-03-16,241.0586
2023-03-15,185.1409
2023-03-14,129.2232
2023-03-13,240.6877
2023-03-10,184.8452
2023-03-09,129.0028
2023-03-08,240.3952
2023-03-07,184.6002
2023-03-06,128.8052
2023-03-03,240.1540
2023-03-02,184.4072
2023-03-01,128.6604
2023-02-28,239.8911
2023-02-27,184.1993
2023-02-24,128.5075
2023-02-23,239.5573
2023-02-22,183.9931
2023-02-21,128.4289
2023-02-17,239.2981
2023-02-16,183.8056
2023-02-15,128.3132
2023-02-14,239.0663
2023-02-13,183.6271
2023-02-10,128.1879
2023-02-09,238.8458
2023-02-08,183.4430
2023-02-07,128.0403
2023-02-06,238.6356
2023-02-03,183.2700
