Dates,CMO Values
2023-07-20,5.1839
2023-07-19,-22.0364
2023-07-18,-7.9348
2023-07-17,-6.3957
2023-07-14,-0.1349
2023-07-13,21.7316
2023-07-12,23.4270
2023-07-11,34.0940
2023-07-10,11.3078
2023-07-07,4.7259
2023-07-06,7.8207
2023-07-05,11.7650
2023-07-03,0.4074
2023-06-30,1.5893
2023-06-29,4.6851
2023-06-28,0.1480
2023-06-27,-5.0838
2023-06-26,-22.2956
2023-06-23,-23.0968
2023-06-22,-22.5596
2023-06-21,-2.7882
2023-06-20,-1.7766
2023-06-16,30.2861
2023-06-15,28.6916
2023-06-14,21.7177
2023-06-13,38.6360
2023-06-12,44.7772
2023-06-09,35.5183
2023-06-08,39.4801
2023-06-07,24.0412
2023-06-06,8.2200
2023-06-05,15.1517
2023-06-02,39.6878
2023-06-01,22.0365
2023-05-31,12.2960
2023-05-30,7.6557
2023-05-26,2.7979
2023-05-25,-10.8694
2023-05-24,-19.6467
2023-05-23,-5.6563
2023-05-22,11.7497
2023-05-19,9.8503
2023-05-18,19.4947
2023-05-17,18.1269
2023-05-16,-8.8688
2023-05-15,0.5832
2023-05-12,-10.6720
2023-05-11,-5.3614
2023-05-10,-10.5500
2023-05-09,-6.2277
2023-05-08,-31.6640
2023-05-05,-28.0387
2023-05-04,-35.7823
2023-05-03,-23.2109
2023-05-02,-14.1687
2023-05-01,-11.6669
2023-04-28,0.7360
2023-04-27,-2.5598
2023-04-26,-16.7505
2023-04-25,-20.9540
2023-04-24,-8.2887
2023-04-21,-11.0623
2023-04-20,-3.6077
2023-04-19,1.8597
2023-04-18,0.6951
2023-04-17,-10.9445
2023-04-14,-23.9408
2023-04-13,22.1351
2023-04-12,17.3964
2023-04-11,17.3240
2023-04-10,11.9734
2023-04-06,14.5291
2023-04-05,10.2480
2023-04-04,26.4789
2023-04-03,33.2229
2023-03-31,26.1859
2023-03-30,22.7452
2023-03-29,14.8561
2023-03-28,6.4239
2023-03-27,-7.5580
2023-03-24,-18.6026
2023-03-23,-17.6766
2023-03-22,-23.6291
2023-03-21,-1.6549
2023-03-20,-1.4457
2023-03-17,-12.9354
2023-03-16,-7.5119
2023-03-15,-23.6429
2023-03-14,1.2609
2023-03-13,-13.0436
2023-03-10,-14.1859
2023-03-09,-20.8927
2023-03-08,-4.4411
2023-03-07,-2.2305
2023-03-06,10.5578
2023-03-03,22.0125
2023-03-02,8.5064
2023-03-01,-10.2414
2023-02-28,-22.5461
2023-02-27,-27.1883
2023-02-24,-37.0936
2023-02-23,-9.7705
2023-02-22,-21.0035
2023-02-21,-22.1426
2023-02-17,-0.5956
2023-02-16,1.6729
2023-02-15,26.3490
2023-02-14,31.9135
2023-02-13,23.5084
2023-02-10,14.1011
2023-02-09,10.8846
2023-02-08,17.5299
2023-02-07,23.0689
2023-02-06,-5.0429
2023-02-03,-8.6382
2023-02-02,4.7995
2023-02-01,33.5124
2023-01-31,27.7495
2023-01-30,15.1552
2023-01-27,23.9118
2023-01-26,33.4070
2023-01-25,33.2595
2023-01-24,31.3431
2023-01-23,25.8398
2023-01-20,16.1833
2023-01-19,17.6001
2023-01-18,27.4325
2023-01-17,36.2724
2023-01-13,48.9165
2023-01-12,49.7902
2023-01-11,39.1530
2023-01-10,36.5768
2023-01-09,44.2908
2023-01-06,63.9262
2023-01-05,53.6655
2023-01-04,51.5762
2023-01-03,35.6071
2022-12-30,21.8265
2022-12-29,16.6500
2022-12-28,14.9497
2022-12-27,19.1600
2022-12-23,18.2618
2022-12-22,16.2672
2022-12-21,47.1988
2022-12-20,30.6890
2022-12-19,23.3909
2022-12-16,20.5644
2022-12-15,17.8361
2022-12-14,37.4802
2022-12-13,35.0716
2022-12-12,33.2958
2022-12-09,17.3805
2022-12-08,16.1498
2022-12-07,9.3323
2022-12-06,15.6637
2022-12-05,41.0738
2022-12-02,36.9028
