Dates,PLUS_DI Values
2023-07-20,25.8309
2023-07-19,21.5812
2023-07-18,23.7062
2023-07-17,25.8971
2023-07-14,27.5444
2023-07-13,30.4864
2023-07-12,32.4126
2023-07-11,29.7935
2023-07-10,21.5958
2023-07-07,22.8794
2023-07-06,19.9795
2023-07-05,21.9461
2023-07-03,25.5326
2023-06-30,26.7186
2023-06-29,29.1585
2023-06-28,28.7989
2023-06-27,25.0353
2023-06-26,21.7507
2023-06-23,19.8460
2023-06-22,21.0040
2023-06-21,24.5564
2023-06-20,26.2650
2023-06-16,30.5751
2023-06-15,27.0496
2023-06-14,29.9012
2023-06-13,33.2022
2023-06-12,35.6035
2023-06-09,31.3366
2023-06-08,33.3946
2023-06-07,23.6601
2023-06-06,24.6900
2023-06-05,30.6791
2023-06-02,34.6570
2023-06-01,28.8182
2023-05-31,22.4285
2023-05-30,25.2300
2023-05-26,20.8346
2023-05-25,15.6779
2023-05-24,17.5589
2023-05-23,19.6612
2023-05-22,22.0066
2023-05-19,23.5504
2023-05-18,25.0619
2023-05-17,27.3340
2023-05-16,17.8305
2023-05-15,18.9455
2023-05-12,20.4249
2023-05-11,21.1066
2023-05-10,23.1159
2023-05-09,25.5329
2023-05-08,18.7412
2023-05-05,18.7219
2023-05-04,19.5763
2023-05-03,22.8627
2023-05-02,21.5039
2023-05-01,23.3249
2023-04-28,22.4515
2023-04-27,24.2599
2023-04-26,27.2117
2023-04-25,18.1082
2023-04-24,19.9279
2023-04-21,21.2726
2023-04-20,23.0824
2023-04-19,24.8034
2023-04-18,22.9837
2023-04-17,19.9171
2023-04-14,18.5053
2023-04-13,24.9137
2023-04-12,26.0636
2023-04-11,28.3077
2023-04-10,29.6114
2023-04-06,28.7614
2023-04-05,31.0204
2023-04-04,34.2649
2023-04-03,38.3351
2023-03-31,35.6379
2023-03-30,34.5568
2023-03-29,30.8199
2023-03-28,28.6830
2023-03-27,23.2876
2023-03-24,18.1678
2023-03-23,19.3325
2023-03-22,21.2962
2023-03-21,24.3359
2023-03-20,22.7280
2023-03-17,19.8384
2023-03-16,21.0453
2023-03-15,21.4816
2023-03-14,26.8395
2023-03-13,20.1584
2023-03-10,20.0242
2023-03-09,22.8599
2023-03-08,27.0257
2023-03-07,28.6076
2023-03-06,31.6721
2023-03-03,35.1279
2023-03-02,28.1845
2023-03-01,22.1647
2023-02-28,17.9536
2023-02-27,19.0365
2023-02-24,18.1051
2023-02-23,22.3135
2023-02-22,19.8958
2023-02-21,21.0998
2023-02-17,23.9611
2023-02-16,26.1800
2023-02-15,28.9500
2023-02-14,31.1145
2023-02-13,26.1591
2023-02-10,24.9803
2023-02-09,26.9342
2023-02-08,29.7580
2023-02-07,30.8253
2023-02-06,22.2113
2023-02-03,24.1480
2023-02-02,26.5101
2023-02-01,30.1220
2023-01-31,22.6516
2023-01-30,21.3735
2023-01-27,22.8570
2023-01-26,24.2957
2023-01-25,27.2341
2023-01-24,28.3998
2023-01-23,32.7031
2023-01-20,29.2021
2023-01-19,31.0682
2023-01-18,34.0247
2023-01-17,36.6064
2023-01-13,40.0903
