Dates,CMO Values
2022-07-13,-6.5164
2022-07-12,-6.1460
2022-07-11,-7.4914
2022-07-08,-7.2520
2022-07-07,-7.1485
2022-07-06,-7.6344
2022-07-05,-7.4758
2022-07-01,-7.2319
2022-06-30,-7.6436
2022-06-29,-7.4475
2022-06-28,-7.4193
2022-06-27,-7.4170
2022-06-24,-7.1014
2022-06-23,-8.0879
2022-06-22,-7.7311
2022-06-21,-7.7846
2022-06-17,-7.7790
2022-06-16,-8.2256
2022-06-15,-8.1859
2022-06-14,-9.6987
2022-06-13,-10.5368
2022-06-10,-9.3178
2022-06-09,-8.5690
2022-06-08,-7.9056
2022-06-07,-7.7713
2022-06-06,-7.9793
2022-06-03,-7.9782
2022-06-02,-7.8389
2022-06-01,-9.1345
2022-05-31,-9.0517
2022-05-27,-8.9603
2022-05-26,-9.5538
2022-05-25,-10.3071
2022-05-24,-10.6622
2022-05-23,-10.1569
2022-05-20,-10.6061
2022-05-19,-9.9075
2022-05-18,-10.1229
2022-05-17,-9.4109
2022-05-16,-10.4778
2022-05-13,-10.1345
2022-05-12,-10.6788
2022-05-11,-9.9975
2022-05-10,-9.6067
2022-05-09,-9.5672
2022-05-06,-7.8313
2022-05-05,-7.6537
2022-05-04,-6.9148
2022-05-03,-7.3606
2022-05-02,-8.0176
2022-04-29,-7.9917
2022-04-28,-7.3841
2022-04-27,-7.3569
2022-04-26,-5.9182
2022-04-25,-4.8819
2022-04-22,-4.7631
2022-04-21,-4.2800
2022-04-20,-3.9809
2022-04-19,-3.6934
2022-04-18,-4.4787
2022-04-14,-4.2326
2022-04-13,-4.1233
2022-04-12,-4.9683
2022-04-11,-5.1294
2022-04-08,-5.1097
2022-04-07,-4.7892
2022-04-06,-4.7024
2022-04-05,-4.2478
2022-04-04,-3.2509
2022-04-01,-3.3035
2022-03-31,-3.2170
2022-03-30,-2.8180
2022-03-29,-2.9554
2022-03-28,-3.6561
2022-03-25,-3.5646
2022-03-24,-3.5531
2022-03-23,-3.9253
2022-03-22,-3.3511
2022-03-21,-3.9868
2022-03-18,-3.1880
2022-03-17,-3.5144
2022-03-16,-3.6628
2022-03-15,-4.7958
2022-03-14,-5.3460
2022-03-11,-5.2656
2022-03-10,-5.0214
2022-03-09,-5.0022
2022-03-08,-5.5962
2022-03-07,-6.1776
2022-03-04,-4.8640
2022-03-03,-3.9456
2022-03-02,-2.9023
2022-03-01,-3.2635
2022-02-28,-2.0329
2022-02-25,-2.5132
2022-02-24,-2.8939
2022-02-23,-3.1451
2022-02-22,-2.8728
2022-02-18,-1.6525
2022-02-17,-1.1058
2022-02-16,-0.4585
2022-02-15,-0.6055
2022-02-14,-1.5528
2022-02-11,-1.2810
2022-02-10,-0.5008
2022-02-09,-0.8562
2022-02-08,-1.1751
2022-02-07,-1.3414
2022-02-04,-2.0171
2022-02-03,-2.0245
2022-02-02,-1.8907
2022-02-01,-1.7939
2022-01-31,-2.7911
2022-01-28,-4.0013
2022-01-27,-4.1047
2022-01-26,-3.5789
2022-01-25,-2.4210
2022-01-24,-2.4091
2022-01-21,-2.2625
2022-01-20,-1.2207
2022-01-19,-0.8734
2022-01-18,0.0872
2022-01-14,0.2029
2022-01-13,-0.0467
2022-01-12,-0.8325
2022-01-11,-1.0075
2022-01-10,-1.8327
2022-01-07,-1.0910
2022-01-06,-1.6043
2022-01-05,-1.3971
2022-01-04,-1.3302
2022-01-03,-2.0401
2021-12-31,-2.8528
2021-12-30,-2.6889
