Dates,MOM Values
2023-07-20,92.5300
2023-07-19,83.2700
2023-07-18,78.1300
2023-07-17,84.3600
2023-07-14,85.7800
2023-07-13,85.5900
2023-07-12,78.4000
2023-07-11,75.4700
2023-07-10,67.3700
2023-07-07,67.2200
2023-07-06,68.3300
2023-07-05,63.5300
2023-07-03,61.6600
2023-06-30,63.8500
2023-06-29,53.1100
2023-06-28,53.2000
2023-06-27,51.6400
2023-06-26,49.6300
2023-06-23,53.0200
2023-06-22,53.7900
2023-06-21,58.4200
2023-06-20,52.1200
2023-06-16,57.7800
2023-06-15,53.9900
2023-06-14,52.3700
2023-06-13,51.0000
2023-06-12,57.9600
2023-06-09,57.2400
2023-06-08,59.1300
2023-06-07,49.0100
2023-06-06,38.6000
2023-06-05,41.5800
2023-06-02,41.2400
2023-06-01,37.4900
2023-05-31,35.7100
2023-05-30,36.8100
2023-05-26,34.6100
2023-05-25,36.0200
2023-05-24,33.3800
2023-05-23,37.5600
2023-05-22,39.4100
2023-05-19,38.8500
2023-05-18,43.9600
2023-05-17,37.8000
2023-05-16,41.5600
2023-05-15,43.6800
2023-05-12,44.6100
2023-05-11,45.9200
2023-05-10,44.2000
2023-05-09,43.7200
2023-05-08,35.8500
2023-05-05,39.9600
2023-05-04,40.9200
2023-05-03,53.2100
2023-05-02,55.5100
2023-05-01,56.7200
2023-04-28,62.8300
2023-04-27,58.8900
2023-04-26,66.0400
2023-04-25,63.1200
2023-04-24,65.8000
2023-04-21,68.8400
2023-04-20,69.5300
2023-04-19,68.8700
2023-04-18,71.6500
2023-04-17,66.5800
2023-04-14,63.0100
2023-04-13,74.8700
2023-04-12,70.8100
2023-04-11,78.3500
2023-04-10,73.6200
2023-04-06,74.6200
2023-04-05,73.2000
2023-04-04,80.5400
2023-04-03,81.6700
2023-03-31,90.2700
2023-03-30,95.1800
2023-03-29,80.9700
2023-03-28,71.2300
2023-03-27,60.9400
2023-03-24,56.7100
2023-03-23,58.6600
2023-03-22,56.9100
2023-03-21,64.2000
2023-03-20,74.1200
2023-03-17,69.6500
2023-03-16,70.9600
2023-03-15,70.4800
2023-03-14,85.2200
2023-03-13,83.9700
2023-03-10,79.0000
2023-03-09,80.5400
2023-03-08,80.0600
2023-03-07,82.4000
2023-03-06,79.8700
2023-03-03,91.0600
2023-03-02,82.8600
2023-03-01,81.4100
2023-02-28,72.1600
2023-02-27,67.5100
2023-02-24,64.8400
2023-02-23,59.2300
2023-02-22,55.2900
2023-02-21,48.5500
2023-02-17,58.0800
2023-02-16,63.6000
2023-02-15,68.6000
2023-02-14,64.2300
2023-02-13,61.1900
2023-02-10,45.8500
2023-02-09,36.0800
2023-02-08,36.5800
2023-02-07,33.7400
2023-02-06,23.2600
2023-02-03,20.0300
2023-02-02,29.4900
2023-02-01,32.8100
2023-01-31,30.1300
2023-01-30,33.3900
2023-01-27,36.1400
2023-01-26,37.5300
2023-01-25,34.7100
2023-01-24,33.2600
2023-01-23,27.3200
2023-01-20,15.5800
2023-01-19,16.3300
2023-01-18,17.9100
2023-01-17,16.5000
2023-01-13,20.3300
2023-01-12,26.1600
2023-01-11,19.0800
2023-01-10,17.6400
2023-01-09,22.5300
2023-01-06,21.9600
2023-01-05,19.0900
2023-01-04,10.8100
2023-01-03,5.2000
2022-12-30,1.5000
2022-12-29,9.0200
2022-12-28,12.8600
2022-12-27,13.1700
2022-12-23,10.6700
2022-12-22,9.6900
2022-12-21,22.2000
2022-12-20,19.1200
2022-12-19,4.8400
2022-12-16,-4.1500
2022-12-15,-14.0900
2022-12-14,-6.6600
2022-12-13,-18.2100
2022-12-12,-15.2100
2022-12-09,-18.8900
2022-12-08,-17.3400
2022-12-07,-22.2400
2022-12-06,-30.6000
2022-12-05,-28.4800
2022-12-02,-36.0600
2022-12-01,-41.9500
2022-11-30,-31.1600
2022-11-29,-36.9800
2022-11-28,-46.9200
2022-11-25,-37.5000
2022-11-23,-38.4200
2022-11-22,-39.4200
2022-11-21,-33.5100
2022-11-18,-32.5000
2022-11-17,-34.7400
2022-11-16,-35.6500
2022-11-15,-24.8900
2022-11-14,-17.0200
2022-11-11,-12.2600
2022-11-10,-16.6900
2022-11-09,-35.3600
2022-11-08,-34.5800
2022-11-07,-40.5300
2022-11-04,-54.1800
2022-11-03,-60.3300
2022-11-02,-77.6000
2022-11-01,-82.5800
2022-10-31,-81.3900
2022-10-28,-73.6100
2022-10-27,-76.2600
2022-10-26,-75.5200
2022-10-25,-68.8500
2022-10-24,-69.2900
2022-10-21,-71.7500
2022-10-20,-74.5000
2022-10-19,-69.4700
2022-10-18,-63.9800
2022-10-17,-66.6200
2022-10-14,-70.5100
2022-10-13,-73.7300
2022-10-12,-72.7500
2022-10-11,-72.6500
2022-10-10,-69.7900
2022-10-07,-69.7300
2022-10-06,-56.2800
2022-10-05,-60.5200
2022-10-04,-57.2800
2022-10-03,-69.3800
2022-09-30,-74.4200
2022-09-29,-72.0700
2022-09-28,-71.6200
2022-09-27,-80.0500
2022-09-26,-83.6900
2022-09-23,-77.5700
2022-09-22,-67.1700
2022-09-21,-55.2000
2022-09-20,-56.4400
2022-09-19,-43.3100
2022-09-16,-53.5600
2022-09-15,-48.7200
2022-09-14,-49.9500
2022-09-13,-63.2900
2022-09-12,-50.4100
2022-09-09,-52.3800
2022-09-08,-56.3400
2022-09-07,-71.3000
2022-09-06,-74.2300
2022-09-02,-73.9800
2022-09-01,-79.4300
2022-08-31,-60.7100
2022-08-30,-57.1700
2022-08-29,-53.0800
2022-08-26,-56.2600
2022-08-25,-53.3000
2022-08-24,-60.8600
2022-08-23,-52.9600
2022-08-22,-54.4000
2022-08-19,-49.8500
2022-08-18,-45.8900
2022-08-17,-39.8300
2022-08-16,-35.7700
2022-08-15,-36.1400
2022-08-12,-39.8200
2022-08-11,-44.9900
2022-08-10,-43.9500
2022-08-09,-49.4900
2022-08-08,-50.2800
2022-08-05,-50.9300
2022-08-04,-50.4800
2022-08-03,-50.4000
2022-08-02,-54.1600
2022-08-01,-52.7100
2022-07-29,-64.2600
2022-07-28,-67.3600
2022-07-27,-70.3000
2022-07-26,-70.5600
2022-07-25,-68.3500
2022-07-22,-66.2600
2022-07-21,-62.3800
2022-07-20,-67.6200
2022-07-19,-63.8100
2022-07-18,-77.6400
2022-07-15,-70.6700
2022-07-14,-77.0100
2022-07-13,-77.4400
2022-07-12,-73.9500
2022-07-11,-79.9900
2022-07-08,-69.4400
2022-07-07,-69.5300
2022-07-06,-77.0500
2022-07-05,-75.6600
2022-07-01,-74.3800
2022-06-30,-74.8500
2022-06-29,-76.0300
2022-06-28,-71.6000
2022-06-27,-75.2200
2022-06-24,-69.8500
2022-06-23,-80.2700
2022-06-22,-81.0100
2022-06-21,-84.0800
2022-06-17,-81.3200
2022-06-16,-86.1400
2022-06-15,-83.9400
2022-06-14,-99.5900
2022-06-13,-100.6400
2022-06-10,-94.0300
2022-06-09,-87.7000
2022-06-08,-79.7700
2022-06-07,-71.8500
2022-06-06,-72.9200
2022-06-03,-79.7500
2022-06-02,-81.7200
2022-06-01,-98.4100
2022-05-31,-103.0600
2022-05-27,-105.9500
2022-05-26,-111.7600
2022-05-25,-113.7200
2022-05-24,-112.8700
2022-05-23,-107.2600
2022-05-20,-109.2400
2022-05-19,-99.4900
2022-05-18,-103.5700
2022-05-17,-93.2900
2022-05-16,-102.4300
2022-05-13,-104.4300
2022-05-12,-108.4300
2022-05-11,-92.8800
2022-05-10,-92.9000
2022-05-09,-88.2100
2022-05-06,-71.9700
2022-05-05,-72.0700
2022-05-04,-60.1800
2022-05-03,-53.4100
2022-05-02,-69.1300
2022-04-29,-73.9200
2022-04-28,-70.2300
2022-04-27,-73.7400
2022-04-26,-71.2500
2022-04-25,-63.6800
2022-04-22,-59.8500
2022-04-21,-50.7600
2022-04-20,-52.5900
2022-04-19,-50.7000
2022-04-18,-59.8800
2022-04-14,-57.6200
2022-04-13,-52.8900
2022-04-12,-63.6800
2022-04-11,-73.3500
2022-04-08,-75.3700
2022-04-07,-65.6000
2022-04-06,-65.0600
2022-04-05,-62.6300
2022-04-04,-46.1700
2022-04-01,-48.4600
2022-03-31,-50.7700
2022-03-30,-51.6300
2022-03-29,-51.3400
2022-03-28,-59.1200
2022-03-25,-59.3900
2022-03-24,-59.0100
2022-03-23,-66.7200
2022-03-22,-61.6200
2022-03-21,-64.0200
2022-03-18,-57.4900
2022-03-17,-65.4300
2022-03-16,-65.7400
2022-03-15,-67.1300
2022-03-14,-75.1800
2022-03-11,-65.1400
2022-03-10,-62.3500
2022-03-09,-58.8800
2022-03-08,-61.0200
2022-03-07,-58.4800
2022-03-04,-43.5800
2022-03-03,-38.7000
2022-03-02,-30.1700
2022-03-01,-33.5600
2022-02-28,-17.3000
2022-02-25,-19.3000
2022-02-24,-30.4500
2022-02-23,-36.5100
2022-02-22,-36.7300
2022-02-18,-20.7800
2022-02-17,-14.6000
2022-02-16,-14.7000
2022-02-15,-17.4600
2022-02-14,-24.2700
2022-02-11,-23.6400
2022-02-10,-16.7100
2022-02-09,-26.6100
2022-02-08,-28.1700
2022-02-07,-26.4600
2022-02-04,-27.8800
2022-02-03,-29.5300
2022-02-02,-26.5400
2022-02-01,-35.8100
2022-01-31,-47.9400
2022-01-28,-60.5400
2022-01-27,-62.6800
2022-01-26,-59.0000
2022-01-25,-45.4200
2022-01-24,-48.1600
2022-01-21,-49.5100
2022-01-20,-38.3900
2022-01-19,-38.0900
2022-01-18,-34.3500
2022-01-14,-27.0000
2022-01-13,-30.8200
2022-01-12,-34.5600
2022-01-11,-34.5000
2022-01-10,-35.5600
2022-01-07,-31.6900
2022-01-06,-27.9000
2022-01-05,-28.1800
2022-01-04,-37.6000
2022-01-03,-47.9600
2021-12-31,-54.7400
2021-12-30,-60.8800
2021-12-29,-51.5500
2021-12-28,-59.5000
2021-12-27,-66.0200
2021-12-23,-47.7800
2021-12-22,-43.6500
2021-12-21,-31.0900
2021-12-20,-35.5500
2021-12-17,-30.5900
2021-12-16,-33.9200
2021-12-15,-33.1300
2021-12-14,-27.6400
2021-12-13,-26.9900
2021-12-10,-6.9500
2021-12-09,-8.8900
2021-12-08,-18.3100
2021-12-07,-3.2900
2021-12-06,-7.0000
2021-12-03,-18.9800
2021-12-02,-6.1000
2021-12-01,-27.3300
2021-11-30,-19.3300
2021-11-29,-12.4800
2021-11-26,-11.4500
2021-11-24,-1.3200
2021-11-23,-5.9900
2021-11-22,-2.0500
2021-11-19,6.2000
2021-11-18,16.6100
2021-11-17,19.2300
2021-11-16,24.8600
2021-11-15,37.2500
2021-11-12,26.7700
2021-11-11,22.1500
2021-11-10,24.4700
2021-11-09,18.7300
2021-11-08,19.3200
2021-11-05,18.6200
2021-11-04,5.6200
2021-11-03,1.9300
2021-11-02,2.0600
2021-11-01,10.2600
2021-10-29,-2.8800
2021-10-28,0.6400
2021-10-27,-1.8000
2021-10-26,3.0200
2021-10-25,2.9700
2021-10-22,0.2600
2021-10-21,3.3100
2021-10-20,4.5400
2021-10-19,13.2500
2021-10-18,2.9200
2021-10-15,0.3700
2021-10-14,1.1900
2021-10-13,5.6900
2021-10-12,6.4200
2021-10-11,6.7600
2021-10-08,7.6100
2021-10-07,7.1700
2021-10-06,5.2400
2021-10-05,3.1800
2021-10-04,-2.0800
2021-10-01,-3.5000
2021-09-30,-8.6800
2021-09-29,-4.9700
2021-09-28,-16.0200
2021-09-27,-7.9000
2021-09-24,-15.1800
2021-09-23,-17.0700
2021-09-22,-15.7300
2021-09-21,-28.6900
2021-09-20,-14.3500
2021-09-17,0.3500
2021-09-16,2.6500
2021-09-15,-2.2800
2021-09-14,-6.0400
2021-09-13,-4.0100
2021-09-10,-1.2300
2021-09-09,14.3200
2021-09-08,5.7100
2021-09-07,10.9400
2021-09-03,8.1200
2021-09-02,18.4300
2021-09-01,31.0100
2021-08-31,42.7800
2021-08-30,35.5100
2021-08-27,33.0600
2021-08-26,37.1400
2021-08-25,63.2900
2021-08-24,64.3400
2021-08-23,67.7700
2021-08-20,59.0200
2021-08-19,63.5600
2021-08-18,74.6100
2021-08-17,73.9300
2021-08-16,80.9200
2021-08-13,79.2200
2021-08-12,77.3500
2021-08-11,72.1300
2021-08-10,66.7100
2021-08-09,68.4100
2021-08-06,64.0900
2021-08-05,62.8300
