Dates,ROC Values
2023-07-21,68.0286
2023-07-20,76.4205
2023-07-19,66.4406
2023-07-18,58.5507
2023-07-17,66.1595
2023-07-14,67.3630
2023-07-13,65.2065
2023-07-12,56.5208
2023-07-11,52.6694
2023-07-10,46.1628
2023-07-07,46.3970
2023-07-06,47.3560
2023-07-05,42.4155
2023-07-03,41.3105
2023-06-30,43.3440
2023-06-29,33.4614
2023-06-28,33.7735
2023-06-27,32.7270
2023-06-26,31.8243
2023-06-23,34.7923
2023-06-22,35.4301
2023-06-21,38.0190
2023-06-20,32.5242
2023-06-16,35.6205
2023-06-15,32.6381
2023-06-14,31.8301
2023-06-13,30.1098
2023-06-12,35.4279
2023-06-09,35.7594
2023-06-08,37.1934
2023-06-07,30.0822
2023-06-06,22.8822
2023-06-05,24.8684
2023-06-02,23.9656
2023-06-01,21.9921
2023-05-31,21.0071
2023-05-30,21.9264
2023-05-26,20.4769
2023-05-25,21.8502
2023-05-24,20.1218
2023-05-23,22.7581
2023-05-22,23.6697
2023-05-19,23.3137
2023-05-18,26.9231
2023-05-17,22.3576
2023-05-16,26.0875
2023-05-15,27.4562
2023-05-12,28.5797
2023-05-11,29.4510
2023-05-10,28.2176
2023-05-09,27.6429
2023-05-08,22.2105
2023-05-05,25.2305
2023-05-04,26.2089
2023-05-03,36.0209
2023-05-02,37.5728
2023-05-01,38.5457
2023-04-28,43.6471
2023-04-27,40.0204
2023-04-26,48.2079
2023-04-25,45.3872
2023-04-24,47.0101
2023-04-21,50.5025
2023-04-20,50.4938
2023-04-19,49.2491
2023-04-18,52.4064
2023-04-17,48.0896
2023-04-14,45.4290
2023-04-13,53.9720
2023-04-12,50.0318
2023-04-11,58.4832
2023-04-10,53.6745
2023-04-06,54.5667
2023-04-05,53.5088
2023-04-04,60.3929
2023-04-03,61.0754
2023-03-31,73.8949
2023-03-30,82.1509
2023-03-29,63.7559
2023-03-28,53.2640
2023-03-27,43.6439
2023-03-24,40.2713
2023-03-23,42.1287
2023-03-22,40.8689
2023-03-21,45.6940
2023-03-20,56.7317
2023-03-17,53.0061
2023-03-16,53.6641
2023-03-15,55.1789
2023-03-14,69.8181
2023-03-13,70.3266
2023-03-10,63.6737
2023-03-09,66.7274
2023-03-08,62.9700
2023-03-07,65.6469
2023-03-06,60.4847
2023-03-03,73.4059
2023-03-02,65.1415
2023-03-01,66.1117
2023-02-28,55.7694
2023-02-27,50.7785
2023-02-24,48.6385
2023-02-23,39.7784
2023-02-22,36.7449
2023-02-21,30.9295
2023-02-17,37.8174
2023-02-16,42.7966
2023-02-15,46.0898
2023-02-14,41.6483
2023-02-13,39.6154
2023-02-10,27.4485
2023-02-09,20.5105
2023-02-08,20.6760
2023-02-07,18.6388
2023-02-06,12.6723
2023-02-03,10.7700
2023-02-02,16.3970
2023-02-01,18.0334
2023-01-31,16.4762
2023-01-30,18.9415
2023-01-27,20.6479
2023-01-26,21.4212
2023-01-25,19.5033
2023-01-24,18.6101
2023-01-23,14.9576
2023-01-20,8.1494
2023-01-19,8.5605
2023-01-18,9.3525
2023-01-17,8.4654
2023-01-13,10.4902
2023-01-12,13.9031
2023-01-11,10.0979
2023-01-10,9.3309
2023-01-09,12.1103
2023-01-06,11.4950
2023-01-05,10.2690
2023-01-04,5.6060
2023-01-03,2.7341
2022-12-30,0.7937
2022-12-29,5.0142
2022-12-28,7.3268
2022-12-27,7.4732
2022-12-23,5.9813
2022-12-22,5.4267
2022-12-21,12.7733
2022-12-20,11.3022
2022-12-19,2.6764
2022-12-16,-2.1975
2022-12-15,-7.1230
2022-12-14,-3.4170
2022-12-13,-8.8682
2022-12-12,-7.5491
2022-12-09,-9.5197
2022-12-08,-8.8280
2022-12-07,-11.1905
2022-12-06,-14.6390
2022-12-05,-13.3346
2022-12-02,-16.4710
2022-12-01,-19.2670
2022-11-30,-14.8353
2022-11-29,-17.4187
2022-11-28,-21.4491
2022-11-25,-17.3724
2022-11-23,-18.0147
2022-11-22,-18.6014
2022-11-21,-16.2315
2022-11-18,-15.7469
2022-11-17,-16.7406
2022-11-16,-17.1115
2022-11-15,-12.4301
