Dates,MINUS_DI Values
2023-07-20,24.7368
2023-07-19,29.1424
2023-07-18,28.3959
2023-07-17,25.2540
2023-07-14,24.1197
2023-07-13,17.8330
2023-07-12,17.4531
2023-07-11,19.4242
2023-07-10,23.3224
2023-07-07,23.1788
2023-07-06,25.3721
2023-07-05,27.8695
2023-07-03,26.4139
2023-06-30,27.6409
2023-06-29,28.1542
2023-06-28,30.0684
2023-06-27,31.8684
2023-06-26,34.6263
2023-06-23,36.3107
2023-06-22,36.3319
2023-06-21,30.9655
2023-06-20,28.3061
2023-06-16,18.5948
2023-06-15,20.4147
2023-06-14,21.1321
2023-06-13,16.8681
2023-06-12,18.0880
2023-06-09,20.6884
2023-06-08,22.0471
2023-06-07,25.5638
2023-06-06,28.1585
2023-06-05,19.8911
2023-06-02,16.9006
2023-06-01,19.7892
2023-05-31,21.8839
2023-05-30,18.9396
2023-05-26,20.9414
2023-05-25,22.8435
2023-05-24,23.4874
2023-05-23,14.6905
2023-05-22,13.0019
2023-05-19,12.2513
2023-05-18,13.2686
2023-05-17,14.4715
2023-05-16,17.0499
2023-05-15,18.1161
2023-05-12,19.9710
2023-05-11,21.8179
2023-05-10,23.5124
2023-05-09,24.8513
2023-05-08,28.8878
2023-05-05,30.8907
2023-05-04,32.3003
2023-05-03,22.4078
2023-05-02,25.0396
2023-05-01,19.8692
2023-04-28,21.8603
2023-04-27,22.3682
2023-04-26,25.0897
2023-04-25,30.2959
2023-04-24,28.7373
2023-04-21,28.7455
2023-04-20,27.3435
2023-04-19,27.6912
2023-04-18,29.7549
2023-04-17,32.6623
2023-04-14,35.8676
2023-04-13,18.3585
2023-04-12,19.2058
2023-04-11,17.2873
2023-04-10,18.5712
2023-04-06,20.1535
2023-04-05,20.8829
2023-04-04,22.2223
2023-04-03,18.4017
2023-03-31,20.5534
2023-03-30,21.9692
2023-03-29,24.5381
2023-03-28,26.1351
2023-03-27,28.7956
2023-03-24,30.7427
2023-03-23,30.7486
2023-03-22,32.4824
2023-03-21,24.1758
2023-03-20,25.6830
2023-03-17,27.6360
2023-03-16,29.3174
2023-03-15,33.4633
2023-03-14,20.6922
2023-03-13,24.4538
2023-03-10,29.1145
2023-03-09,28.3075
2023-03-08,21.6795
2023-03-07,19.2951
2023-03-06,17.7417
2023-03-03,19.6775
2023-03-02,22.3547
2023-03-01,25.7198
2023-02-28,28.1555
2023-02-27,29.8538
2023-02-24,32.7442
2023-02-23,22.2262
2023-02-22,24.0641
2023-02-21,24.7175
2023-02-17,22.7977
2023-02-16,15.7292
2023-02-15,12.5147
2023-02-14,13.4504
2023-02-13,15.6943
2023-02-10,17.2297
2023-02-09,18.5773
2023-02-08,17.1807
2023-02-07,18.4703
2023-02-06,21.5073
2023-02-03,19.6633
2023-02-02,16.4748
2023-02-01,11.7025
2023-01-31,13.3594
2023-01-30,14.6448
2023-01-27,12.4096
2023-01-26,13.1907
2023-01-25,14.7860
2023-01-24,18.3054
2023-01-23,16.8618
2023-01-20,18.3798
2023-01-19,19.4746
2023-01-18,12.7338
2023-01-17,13.7603
2023-01-13,10.3489
2023-01-12,11.3184
2023-01-11,12.9471
2023-01-10,13.8449
2023-01-09,7.2329
2023-01-06,8.0250
2023-01-05,9.5161
2023-01-04,10.2787
2023-01-03,12.0507
2022-12-30,13.7069
2022-12-29,14.6880
2022-12-28,13.4593
2022-12-27,14.0763
2022-12-23,15.3103
2022-12-22,14.9046
2022-12-21,10.1105
2022-12-20,11.7481
2022-12-19,12.7148
2022-12-16,13.5045
2022-12-15,14.8231
2022-12-14,9.0365
2022-12-13,9.7338
2022-12-12,10.8402
2022-12-09,12.2743
2022-12-08,13.3431
2022-12-07,15.4529
2022-12-06,12.1824
2022-12-05,6.9013
2022-12-02,7.9292
2022-12-01,9.7382
2022-11-30,10.7847
2022-11-29,12.1393
2022-11-28,13.2032
2022-11-25,10.0198
2022-11-23,10.9804
2022-11-22,11.7176
2022-11-21,12.6627
2022-11-18,12.7520
2022-11-17,13.6258
2022-11-16,8.6927
2022-11-15,7.6528
2022-11-14,6.9018
2022-11-11,7.4268
2022-11-10,8.0165
2022-11-09,9.4312
2022-11-08,10.1570
2022-11-07,11.0652
2022-11-04,12.2327
2022-11-03,13.4730
2022-11-02,16.0149
2022-11-01,19.5635
2022-10-31,20.7354
2022-10-28,21.7808
2022-10-27,23.5870
2022-10-26,27.4216
2022-10-25,17.0150
2022-10-24,18.8729
2022-10-21,20.3094
2022-10-20,18.6712
2022-10-19,19.9958
2022-10-18,21.8032
2022-10-17,23.5651
2022-10-14,25.3801
2022-10-13,27.7255
2022-10-12,26.1866
2022-10-11,24.8797
2022-10-10,26.3550
2022-10-07,29.3909
2022-10-06,28.4660
2022-10-05,30.2948
2022-10-04,31.2385
2022-10-03,35.4951
2022-09-30,39.4376
2022-09-29,37.6057
2022-09-28,37.6527
2022-09-27,42.2662
2022-09-26,43.6918
2022-09-23,43.3495
2022-09-22,33.9926
2022-09-21,28.0169
2022-09-20,31.7025
2022-09-19,33.9797
2022-09-16,36.9171
2022-09-15,31.4144
2022-09-14,35.2353
2022-09-13,33.4158
2022-09-12,19.1012
2022-09-09,20.5464
2022-09-08,21.7231
2022-09-07,23.6660
