Dates,ATR Values
2023-07-20,5.0482
2023-07-19,5.0186
2023-07-18,5.0469
2023-07-17,5.0790
2023-07-14,5.1318
2023-07-13,5.1507
2023-07-12,5.2027
2023-07-11,5.2142
2023-07-10,5.1649
2023-07-07,5.2219
2023-07-06,5.2503
2023-07-05,5.2752
2023-07-03,5.2525
2023-06-30,5.3203
2023-06-29,5.3501
2023-06-28,5.3983
2023-06-27,5.4521
2023-06-26,5.4801
2023-06-23,5.5424
2023-06-22,5.5931
2023-06-21,5.5352
2023-06-20,5.5746
2023-06-16,5.5229
2023-06-15,5.5357
2023-06-14,5.5405
2023-06-13,5.5402
2023-06-12,5.5763
2023-06-09,5.5416
2023-06-08,5.5839
2023-06-07,5.5332
2023-06-06,5.5404
2023-06-05,5.4275
2023-06-02,5.4195
2023-06-01,5.3815
2023-05-31,5.3989
2023-05-30,5.4013
2023-05-26,5.4199
2023-05-25,5.4504
2023-05-24,5.4565
2023-05-23,5.4638
2023-05-22,5.4723
2023-05-19,5.5211
2023-05-18,5.5575
2023-05-17,5.5860
2023-05-16,5.5427
2023-05-15,5.5980
2023-05-12,5.6170
2023-05-11,5.6441
2023-05-10,5.6678
2023-05-09,5.6825
2023-05-08,5.6484
2023-05-05,5.6972
2023-05-04,5.7669
2023-05-03,5.7217
2023-05-02,5.7252
2023-05-01,5.7584
2023-04-28,5.7759
2023-04-27,5.8111
2023-04-26,5.8061
2023-04-25,5.7305
2023-04-24,5.7525
2023-04-21,5.8036
2023-04-20,5.8364
2023-04-19,5.8779
2023-04-18,5.9177
2023-04-17,5.9320
2023-04-14,5.9449
2023-04-13,5.7512
2023-04-12,5.8240
2023-04-11,5.8577
2023-04-10,5.9013
2023-04-06,5.9326
2023-04-05,5.9690
2023-04-04,5.9773
2023-04-03,5.9714
2023-03-31,5.9679
2023-03-30,6.0130
2023-03-29,6.0061
2023-03-28,6.0535
2023-03-27,6.0583
2023-03-24,6.0999
2023-03-23,6.1432
2023-03-22,6.1388
2023-03-21,6.0867
2023-03-20,6.1299
2023-03-17,6.1530
2023-03-16,6.1930
2023-03-15,6.1259
2023-03-14,5.9475
2023-03-13,5.8609
2023-03-10,5.7770
2023-03-09,5.7478
2023-03-08,5.6871
2023-03-07,5.7432
2023-03-06,5.7502
2023-03-03,5.7551
2023-03-02,5.7354
2023-03-01,5.7059
2023-02-28,5.7288
2023-02-27,5.7833
2023-02-24,5.7998
2023-02-23,5.6983
2023-02-22,5.7344
2023-02-21,5.7899
2023-02-17,5.7731
2023-02-16,5.7973
2023-02-15,5.8080
2023-02-14,5.8480
2023-02-13,5.8004
2023-02-10,5.8197
2023-02-09,5.8568
2023-02-08,5.8663
2023-02-07,5.9046
2023-02-06,5.8549
2023-02-03,5.8822
2023-02-02,5.8975
2023-02-01,5.8752
2023-01-31,5.8508
2023-01-30,5.8708
2023-01-27,5.9161
2023-01-26,5.9662
2023-01-25,5.9535
2023-01-24,5.8375
2023-01-23,5.8107
2023-01-20,5.8409
2023-01-19,5.8946
2023-01-18,5.9159
2023-01-17,5.9504
2023-01-13,5.9686
2023-01-12,5.9871
2023-01-11,5.9552
2023-01-10,5.9996
2023-01-09,5.9967
2023-01-06,5.9973
2023-01-05,5.9260
2023-01-04,5.9610
