Dates,TEMA Values
2022-06-28,139.8891
2022-06-27,139.5725
2022-06-24,138.9205
2022-06-23,135.9124
2022-06-22,136.4130
2022-06-21,134.8920
2022-06-17,132.8211
2022-06-16,129.6836
2022-06-15,127.3890
2022-06-14,123.8772
2022-06-13,126.6365
2022-06-10,135.0792
2022-06-09,140.0441
2022-06-08,142.6707
2022-06-07,142.3035
2022-06-06,140.6410
2022-06-03,138.9304
2022-06-02,136.1079
2022-06-01,130.8762
2022-05-31,129.6286
2022-05-27,127.2224
2022-05-26,123.1302
2022-05-25,120.2413
2022-05-24,120.0225
2022-05-23,121.7849
2022-05-20,121.5809
2022-05-19,123.8971
2022-05-18,123.3795
2022-05-17,124.1329
2022-05-16,121.3725
2022-05-13,123.2746
2022-05-12,124.6511
2022-05-11,130.1137
2022-05-10,134.6647
2022-05-09,139.6230
2022-05-06,147.2545
2022-05-05,148.5257
2022-05-04,149.7912
2022-05-03,147.7870
2022-05-02,147.6805
2022-04-29,151.5063
2022-04-28,157.6351
2022-04-27,163.6259
2022-04-26,172.7318
2022-04-25,177.9883
2022-04-22,179.9179
2022-04-21,182.1402
2022-04-20,182.6771
2022-04-19,181.7628
2022-04-18,178.8038
2022-04-14,178.6297
2022-04-13,177.1010
2022-04-12,174.4118
2022-04-11,175.1300
2022-04-08,177.3257
2022-04-07,180.7252
2022-04-06,184.0988
2022-04-05,188.7059
2022-04-04,192.8904
2022-04-01,193.2626
2022-03-31,193.9578
2022-03-30,194.3195
2022-03-29,192.3794
2022-03-28,190.0950
2022-03-25,190.3732
2022-03-24,190.1229
2022-03-23,189.5490
2022-03-22,190.5765
2022-03-21,188.5840
2022-03-18,188.9450
2022-03-17,184.7106
2022-03-16,180.1997
2022-03-15,174.4618
2022-03-14,172.3756
2022-03-11,172.6279
2022-03-10,172.9931
2022-03-09,172.6131
2022-03-08,172.5440
2022-03-07,176.3022
2022-03-04,185.5923
2022-03-03,191.9789
2022-03-02,196.3974
2022-03-01,197.1949
2022-02-28,200.5714
2022-02-25,198.7962
2022-02-24,199.0315
2022-02-23,201.7164
2022-02-22,207.2746
2022-02-18,214.0459
2022-02-17,217.1042
2022-02-16,218.4156
2022-02-15,216.5585
2022-02-14,214.4240
2022-02-11,216.2456
2022-02-10,217.1915
2022-02-09,213.9975
2022-02-08,210.9892
2022-02-07,208.1183
2022-02-04,204.6912
2022-02-03,203.2840
2022-02-02,201.2925
2022-02-01,197.7139
2022-01-31,192.1252
2022-01-28,189.7165
2022-01-27,193.1655
2022-01-26,199.3127
2022-01-25,205.7552
2022-01-24,208.9460
2022-01-21,213.7615
2022-01-20,220.0848
2022-01-19,223.4369
2022-01-18,226.1946
2022-01-14,224.5978
2022-01-13,221.2328
2022-01-12,217.3178
2022-01-11,215.5913
2022-01-10,213.7606
2022-01-07,215.3189
2022-01-06,213.1978
2022-01-05,212.5796
2022-01-04,210.2353
2022-01-03,206.1626
2021-12-31,203.8540
2021-12-30,204.7102
2021-12-29,204.9090
2021-12-28,204.4124
2021-12-27,201.8764
2021-12-23,200.0150
2021-12-22,196.5227
2021-12-21,193.1160
2021-12-20,189.7084
2021-12-17,192.3393
2021-12-16,193.7066
2021-12-15,197.1997
2021-12-14,199.4375
2021-12-13,202.8318
2021-12-10,206.6317
2021-12-09,207.0896
2021-12-08,206.0488
2021-12-07,202.1834
2021-12-06,198.0535
2021-12-03,194.1747
2021-12-02,193.7764
2021-12-01,191.0526
2021-11-30,197.0945
2021-11-29,200.0528
2021-11-26,204.4456
2021-11-24,210.8393
2021-11-23,212.9191
2021-11-22,217.1800
2021-11-19,223.0595
2021-11-18,228.8545
2021-11-17,228.4175
2021-11-16,227.9435
2021-11-15,227.5238
2021-11-12,221.7562
2021-11-11,221.1879
2021-11-10,221.2480
2021-11-09,221.7477
2021-11-08,220.7472
2021-11-05,217.8085
2021-11-04,212.1517
2021-11-03,211.4489
2021-11-02,210.2215
2021-11-01,208.9059
2021-10-29,205.9002
2021-10-28,206.7528
2021-10-27,207.7206
2021-10-26,210.2362
2021-10-25,212.0325
2021-10-22,212.8369
2021-10-21,214.1534
2021-10-20,215.3630
2021-10-19,216.0944
2021-10-18,217.4719
2021-10-15,218.9728
2021-10-14,221.2595
2021-10-13,224.4213
2021-10-12,226.1565
2021-10-11,227.4306
2021-10-08,227.2465
2021-10-07,226.8586
2021-10-06,226.0599
2021-10-05,225.7102
2021-10-04,225.3972
2021-10-01,225.1646
2021-09-30,223.1398
2021-09-29,224.0207
2021-09-28,221.4842
2021-09-27,222.2064
2021-09-24,219.2243
2021-09-23,216.5273
2021-09-22,212.6618
2021-09-21,209.7351
2021-09-20,211.1852
2021-09-17,212.7546
2021-09-16,212.5549
2021-09-15,212.3378
2021-09-14,211.5413
2021-09-13,212.2699
2021-09-10,211.5384
2021-09-09,213.4229
2021-09-08,213.9189
2021-09-07,216.5079
2021-09-03,218.5132
2021-09-02,218.9007
2021-09-01,217.7482
2021-08-31,217.9497
2021-08-30,217.4292
2021-08-27,218.0227
2021-08-26,216.3068
2021-08-25,217.4841
2021-08-24,216.3990
2021-08-23,214.7912
2021-08-20,214.1131
2021-08-19,218.0004
2021-08-18,224.4025
2021-08-17,229.4606
2021-08-16,234.8210
2021-08-13,238.0587
2021-08-12,239.0174
2021-08-11,237.6812
2021-08-10,234.5754
2021-08-09,232.2682
2021-08-06,231.0494
2021-08-05,229.7397
2021-08-04,228.6199
2021-08-03,229.0815
2021-08-02,228.0056
2021-07-30,228.8250
2021-07-29,229.1469
2021-07-28,226.0431
2021-07-27,221.4442
2021-07-26,220.9371
2021-07-23,217.9059
2021-07-22,216.5377
2021-07-21,215.2415
2021-07-20,212.5852
2021-07-19,212.7608
2021-07-16,220.3511
2021-07-15,224.7780
2021-07-14,228.2838
2021-07-13,232.5911
2021-07-12,236.6140
2021-07-09,235.8958
2021-07-08,234.0827
2021-07-07,233.4722
2021-07-06,236.1228
2021-07-02,237.2970
2021-07-01,238.8291
2021-06-30,239.1901
2021-06-29,239.9776
2021-06-28,243.8073
2021-06-25,246.6906
2021-06-24,245.2841
2021-06-23,241.7437
2021-06-22,241.2880
2021-06-21,240.5961
2021-06-18,238.7292
2021-06-17,241.4879
2021-06-16,244.4730
2021-06-15,246.9322
2021-06-14,247.7362
2021-06-11,249.8539
2021-06-10,251.4789
2021-06-09,253.0345
