Dates,MFI Values
2023-07-20,47.0482
2023-07-19,45.8947
2023-07-18,55.7529
2023-07-17,60.3480
2023-07-14,58.0022
2023-07-13,66.5481
2023-07-12,75.9596
2023-07-11,75.4868
2023-07-10,72.9390
2023-07-07,68.5865
2023-07-06,54.8767
2023-07-05,43.9746
2023-07-03,31.0517
2023-06-30,42.3146
2023-06-29,51.8657
2023-06-28,43.7904
2023-06-27,45.5616
2023-06-26,48.9977
2023-06-23,50.6212
2023-06-22,61.9332
2023-06-21,71.6756
2023-06-20,66.5146
2023-06-16,69.6942
2023-06-15,69.4274
2023-06-14,69.3734
2023-06-13,69.9196
2023-06-12,68.8986
2023-06-09,66.5332
2023-06-08,65.5658
2023-06-07,54.6988
2023-06-06,45.1523
2023-06-05,52.8670
2023-06-02,54.2653
2023-06-01,50.5588
2023-05-31,52.2411
2023-05-30,55.4000
2023-05-26,54.0643
2023-05-25,53.2622
2023-05-24,52.5878
2023-05-23,53.1532
2023-05-22,68.0209
2023-05-19,65.8728
2023-05-18,74.5525
2023-05-17,61.5270
2023-05-16,59.6329
2023-05-15,58.3653
2023-05-12,51.1137
2023-05-11,43.8490
2023-05-10,46.0049
2023-05-09,58.3509
2023-05-08,45.2159
2023-05-05,46.5739
2023-05-04,39.0679
2023-05-03,41.9536
2023-05-02,42.4214
2023-05-01,54.7342
2023-04-28,64.3191
2023-04-27,49.7306
2023-04-26,49.3786
2023-04-25,37.9958
2023-04-24,46.3057
2023-04-21,51.8416
2023-04-20,49.9942
2023-04-19,49.3202
2023-04-18,41.0218
2023-04-17,40.0289
2023-04-14,39.1974
2023-04-13,60.5083
2023-04-12,59.7133
2023-04-11,69.1527
2023-04-10,68.1495
2023-04-06,60.1438
2023-04-05,59.8162
2023-04-04,56.7542
2023-04-03,67.3464
2023-03-31,66.3002
2023-03-30,68.8926
2023-03-29,68.8124
2023-03-28,55.5294
2023-03-27,57.5278
2023-03-24,59.2535
2023-03-23,55.9159
2023-03-22,57.3390
2023-03-21,61.3628
2023-03-20,54.2630
2023-03-17,45.4023
2023-03-16,43.8898
2023-03-15,42.9750
2023-03-14,54.6970
2023-03-13,50.6787
2023-03-10,48.4649
2023-03-09,47.5960
2023-03-08,55.4988
2023-03-07,54.9842
2023-03-06,54.9959
2023-03-03,57.2582
2023-03-02,44.9947
2023-03-01,33.8872
2023-02-28,41.5119
2023-02-27,43.4968
2023-02-24,44.2992
2023-02-23,47.7905
2023-02-22,47.9984
2023-02-21,57.2396
