Dates,MIDPRICE Values
2022-06-29,151.4350
2022-06-28,151.4350
2022-06-27,151.4350
2022-06-24,151.4350
2022-06-23,151.4350
2022-06-22,151.4350
2022-06-21,151.4350
2022-06-17,151.4350
2022-06-16,151.4350
2022-06-15,152.6850
2022-06-14,152.6850
2022-06-13,153.3780
2022-06-10,157.3300
2022-06-09,157.3300
2022-06-08,157.3300
2022-06-07,157.3300
2022-06-06,157.3300
2022-06-03,157.3300
2022-06-02,157.3300
2022-06-01,157.3300
2022-05-31,157.3300
2022-05-27,157.3300
2022-05-26,157.3300
2022-05-25,157.3300
2022-05-24,157.3300
2022-05-23,157.3300
2022-05-20,157.3300
2022-05-19,158.9300
2022-05-18,158.9300
2022-05-17,158.9300
2022-05-16,158.9300
2022-05-13,158.9300
2022-05-12,159.3900
2022-05-11,164.4800
2022-05-10,166.9150
2022-05-09,169.9800
2022-05-06,175.3460
2022-05-05,175.3460
2022-05-04,175.3460
2022-05-03,175.3460
2022-05-02,179.0554
2022-04-29,182.2900
2022-04-28,182.8400
2022-04-27,182.8400
2022-04-26,193.2650
2022-04-25,194.5000
2022-04-22,195.4050
2022-04-21,195.4050
2022-04-20,195.4050
2022-04-19,195.4050
2022-04-18,195.4050
2022-04-14,195.4050
2022-04-13,195.4050
2022-04-12,195.4050
2022-04-11,195.4050
2022-04-08,195.4050
2022-04-07,195.4050
2022-04-06,195.4050
2022-04-05,195.4050
2022-04-04,195.4050
2022-04-01,195.4050
2022-03-31,195.4050
2022-03-30,196.5000
2022-03-29,198.6250
2022-03-28,198.6250
2022-03-25,198.6250
2022-03-24,198.6250
2022-03-23,198.6250
2022-03-22,198.6250
2022-03-21,198.6250
2022-03-18,198.6250
2022-03-17,198.6250
2022-03-16,198.6250
2022-03-15,198.6250
2022-03-14,198.6250
2022-03-11,198.6250
2022-03-10,198.6250
2022-03-09,198.6250
2022-03-08,198.6250
2022-03-07,199.3650
2022-03-04,204.3200
2022-03-03,206.7200
2022-03-02,206.7200
2022-03-01,206.7200
2022-02-28,206.7200
2022-02-25,206.7200
2022-02-24,206.7200
2022-02-23,206.7200
2022-02-22,206.7200
2022-02-18,206.7200
2022-02-17,206.7200
2022-02-16,206.7200
2022-02-15,206.7200
2022-02-14,206.7200
2022-02-11,206.7200
2022-02-10,206.7200
2022-02-09,206.7200
2022-02-08,206.7200
2022-02-07,206.7200
2022-02-04,206.7200
2022-02-03,206.7200
2022-02-02,206.7200
2022-02-01,206.7200
2022-01-31,207.6350
2022-01-28,207.6350
2022-01-27,209.1050
2022-01-26,209.6000
2022-01-25,209.6000
2022-01-24,209.6000
2022-01-21,209.6000
2022-01-20,209.6000
2022-01-19,209.6000
2022-01-18,209.6000
2022-01-14,209.6000
2022-01-13,209.6000
2022-01-12,209.6000
2022-01-11,209.6000
2022-01-10,209.6000
2022-01-07,209.6000
2022-01-06,209.6000
2022-01-05,209.6000
2022-01-04,209.6000
2022-01-03,209.6000
2021-12-31,209.6000
2021-12-30,209.6000
2021-12-29,209.6000
2021-12-28,209.6000
2021-12-27,209.6000
2021-12-23,209.6000
2021-12-22,209.6000
2021-12-21,209.6000
2021-12-20,209.6000
2021-12-17,210.9100
2021-12-16,210.9700
2021-12-15,210.9700
2021-12-14,210.9700
2021-12-13,210.9700
2021-12-10,210.9700
2021-12-09,210.9700
2021-12-08,210.9700
2021-12-07,210.9700
2021-12-06,210.9700
2021-12-03,210.9700
2021-12-02,210.9700
2021-12-01,210.9700
2021-11-30,213.8950
2021-11-29,213.9700
2021-11-26,213.9700
2021-11-24,219.2700
2021-11-23,219.2700
2021-11-22,219.2700
2021-11-19,219.2700
2021-11-18,219.2700
2021-11-17,219.2700
2021-11-16,219.2700
2021-11-15,219.2700
2021-11-12,218.3500
2021-11-11,218.3500
2021-11-10,218.3500
2021-11-09,218.3500
2021-11-08,218.3500
2021-11-05,218.3500
2021-11-04,218.3500
2021-11-03,218.3500
2021-11-02,218.3500
2021-11-01,218.3500
2021-10-29,218.3500
2021-10-28,218.3500
2021-10-27,218.8700
2021-10-26,219.3150
2021-10-25,219.3150
2021-10-22,223.1100
2021-10-21,223.8400
2021-10-20,223.8400
2021-10-19,223.8400
2021-10-18,223.8400
2021-10-15,223.8400
2021-10-14,223.8400
2021-10-13,223.8400
2021-10-12,223.8400
2021-10-11,223.8400
2021-10-08,223.8400
2021-10-07,223.8400
2021-10-06,223.8400
2021-10-05,223.8400
2021-10-04,223.8400
2021-10-01,223.8400
2021-09-30,223.8400
2021-09-29,223.8400
2021-09-28,223.8400
2021-09-27,222.9750
2021-09-24,222.9750
2021-09-23,222.9750
2021-09-22,222.9750
2021-09-21,222.9750
2021-09-20,222.9750
2021-09-17,222.9750
2021-09-16,222.9750
2021-09-15,222.9750
2021-09-14,222.9750
2021-09-13,222.9750
2021-09-10,223.3000
2021-09-09,223.3000
2021-09-08,224.5850
2021-09-07,224.9400
2021-09-03,228.5500
2021-09-02,228.5500
2021-09-01,228.5500
2021-08-31,228.5500
2021-08-30,228.5500
2021-08-27,228.5500
2021-08-26,228.5500
2021-08-25,228.5500
2021-08-24,228.5500
2021-08-23,228.5500
2021-08-20,228.5500
2021-08-19,229.9700
2021-08-18,229.9700
2021-08-17,230.5550
2021-08-16,230.5550
2021-08-13,230.5550
2021-08-12,230.5550
2021-08-11,231.5978
2021-08-10,231.5978
2021-08-09,231.5978
2021-08-06,231.5978
2021-08-05,231.5978
2021-08-04,231.5978
2021-08-03,231.5978
2021-08-02,231.5978
2021-07-30,231.5978
2021-07-29,231.5978
2021-07-28,231.5978
2021-07-27,231.5978
2021-07-26,231.5978
2021-07-23,231.5978
2021-07-22,231.5978
2021-07-21,231.5978
2021-07-20,231.5978
2021-07-19,231.5978
2021-07-16,237.7148
2021-07-15,238.7328
2021-07-14,238.7328
2021-07-13,238.7328
2021-07-12,238.7328
2021-07-09,238.7328
2021-07-08,238.7328
2021-07-07,238.7328
2021-07-06,238.7328
2021-07-02,238.7328
2021-07-01,238.7328
2021-06-30,238.7328
2021-06-29,238.7328
2021-06-28,238.7328
2021-06-25,238.7328
2021-06-24,238.7328
2021-06-23,238.7328
2021-06-22,238.7328
2021-06-21,238.7328
2021-06-18,238.7328
2021-06-17,238.7328
2021-06-16,238.7328
2021-06-15,239.2100
2021-06-14,239.7750
2021-06-11,239.7750
2021-06-10,239.7750
2021-06-09,239.7750
2021-06-08,239.7750
2021-06-07,239.7750
2021-06-04,239.7750
2021-06-03,239.7750
2021-06-02,239.7750
2021-06-01,239.7750
2021-05-28,239.7750
2021-05-27,243.2196
2021-05-26,243.2196
2021-05-25,243.2196
2021-05-24,248.8186
2021-05-21,248.8186
2021-05-20,248.8186
2021-05-19,248.8186
2021-05-18,248.8186
2021-05-17,248.8186
2021-05-14,246.1836
2021-05-13,246.1836
2021-05-12,246.1836
2021-05-11,246.1836
2021-05-10,246.1836
2021-05-07,244.9285
2021-05-06,244.9285
2021-05-05,244.9285
2021-05-04,242.5836
2021-05-03,242.5836
2021-04-30,242.5836
2021-04-29,242.5836
2021-04-28,242.5836
2021-04-27,242.5836
2021-04-26,242.5836
2021-04-23,242.5836
2021-04-22,242.5836
2021-04-21,242.5836
2021-04-20,242.5836
2021-04-19,242.5836
2021-04-16,242.5836
2021-04-15,239.9138
2021-04-14,238.3286
2021-04-13,235.7136
2021-04-12,235.7136
2021-04-09,235.7136
2021-04-08,235.2088
2021-04-07,235.2088
2021-04-06,235.2088
2021-04-05,235.2088
2021-04-01,235.2088
2021-03-31,235.2088
2021-03-30,235.2088
2021-03-29,235.2088
2021-03-26,235.2088
2021-03-25,235.2088
2021-03-24,235.2088
2021-03-23,235.2088
2021-03-22,235.2088
2021-03-19,235.2088
2021-03-18,235.2088
2021-03-17,235.2088
2021-03-16,235.2088
2021-03-15,235.2088
2021-03-12,230.7852
2021-03-11,224.2502
2021-03-10,219.3252
2021-03-09,214.4766
2021-03-08,214.4766
2021-03-05,214.4766
2021-03-04,214.4766
2021-03-03,213.6252
2021-03-02,210.7302
2021-03-01,212.1102
2021-02-26,212.1752
2021-02-25,214.7402
2021-02-24,214.7402
2021-02-23,214.7402
2021-02-22,216.3452
2021-02-19,216.7752
2021-02-18,217.9652
2021-02-17,217.9652
2021-02-16,217.9652
2021-02-12,217.9652
2021-02-11,217.9652
2021-02-10,217.9652
2021-02-09,217.9652
2021-02-08,217.9652
2021-02-05,217.9652
2021-02-04,217.9652
2021-02-03,217.9652
2021-02-02,217.9652
2021-02-01,217.9652
2021-01-29,217.9652
2021-01-28,217.7150
2021-01-27,211.3950
2021-01-26,210.1650
2021-01-25,210.1650
2021-01-22,210.1650
2021-01-21,208.1200
2021-01-20,199.3000
2021-01-19,198.0904
2021-01-15,197.6250
2021-01-14,197.3600
2021-01-13,193.7300
2021-01-12,192.8300
2021-01-11,192.8300
2021-01-08,192.8300
2021-01-07,192.8300
2021-01-06,192.8300
2021-01-05,192.8300
2021-01-04,192.8300
2020-12-31,192.8300
2020-12-30,192.8300
2020-12-29,192.8300
2020-12-28,192.8300
2020-12-24,192.8300
2020-12-23,192.8300
2020-12-22,192.8300
2020-12-21,192.8300
2020-12-18,192.8300
2020-12-17,192.8300
2020-12-16,192.8300
2020-12-15,192.8300
2020-12-14,192.8300
2020-12-11,192.8300
2020-12-10,192.8300
2020-12-09,192.8300
2020-12-08,192.8300
2020-12-07,192.8300
2020-12-04,191.7900
2020-12-03,191.7900
2020-12-02,183.2850
2020-12-01,182.3000
2020-11-30,182.3000
2020-11-27,182.3000
2020-11-25,182.3000
2020-11-24,182.3000
2020-11-23,182.3000
2020-11-20,182.3000
2020-11-19,182.3000
2020-11-18,182.3000
2020-11-17,176.3900
2020-11-16,172.2600
2020-11-13,167.7650
2020-11-12,167.7650
2020-11-11,167.7650
2020-11-10,167.7650
2020-11-09,163.0200
2020-11-06,161.2150
2020-11-05,161.4450
2020-11-04,161.4450
2020-11-03,161.4450
2020-11-02,161.4450
2020-10-30,161.4450
2020-10-29,163.1650
2020-10-28,163.1650
2020-10-27,163.1650
2020-10-26,163.1650
2020-10-23,163.1650
2020-10-22,163.1650
2020-10-21,164.5845
2020-10-20,167.4950
2020-10-19,167.4950
2020-10-16,167.4950
2020-10-15,167.4950
2020-10-14,167.4950
2020-10-13,167.4950
