Dates,MFI Values
2023-07-21,59.9268
2023-07-20,59.9487
2023-07-19,59.4874
2023-07-18,59.4574
2023-07-17,59.9933
2023-07-14,59.9723
2023-07-13,59.9737
2023-07-12,59.9118
2023-07-11,59.5066
2023-07-10,59.0086
2023-07-07,59.3593
2023-07-06,59.3088
2023-07-05,58.7746
2023-07-03,58.8477
2023-06-30,58.6527
2023-06-29,58.6167
2023-06-28,58.6379
2023-06-27,58.6401
2023-06-26,58.6135
2023-06-23,58.6322
2023-06-22,58.7562
2023-06-21,58.9144
2023-06-20,58.9024
2023-06-16,59.1729
2023-06-15,58.6236
2023-06-14,58.2429
2023-06-13,58.3411
2023-06-12,58.2587
2023-06-09,58.0654
2023-06-08,57.9582
2023-06-07,57.3859
2023-06-06,56.9078
2023-06-05,57.5981
2023-06-02,57.5864
2023-06-01,57.4602
2023-05-31,57.4126
2023-05-30,57.8239
2023-05-26,57.4642
2023-05-25,57.5446
2023-05-24,57.1539
2023-05-23,57.7151
2023-05-22,57.7251
2023-05-19,58.0344
2023-05-18,58.4334
2023-05-17,57.8283
2023-05-16,58.1346
2023-05-15,58.4444
2023-05-12,58.5846
2023-05-11,58.9195
2023-05-10,58.9673
2023-05-09,58.9404
2023-05-08,58.8255
2023-05-05,59.2739
2023-05-04,59.3752
2023-05-03,60.0805
2023-05-02,60.2747
2023-05-01,60.6659
2023-04-28,61.0818
2023-04-27,60.9465
2023-04-26,61.2067
2023-04-25,60.6964
2023-04-24,60.7378
2023-04-21,61.0666
2023-04-20,61.3867
2023-04-19,61.2173
2023-04-18,61.2278
2023-04-17,60.6978
2023-04-14,60.2364
2023-04-13,61.4719
2023-04-12,61.0230
2023-04-11,61.5716
2023-04-10,61.0316
2023-04-06,60.6426
2023-04-05,61.1696
2023-04-04,61.7310
2023-04-03,62.4632
2023-03-31,62.7781
2023-03-30,62.9261
2023-03-29,62.2257
2023-03-28,61.8661
2023-03-27,61.4951
2023-03-24,61.5010
2023-03-23,61.8348
