Dates,TEMA Values
2023-07-20,221.2533
2023-07-19,221.1405
2023-07-18,221.1740
2023-07-17,221.1164
2023-07-14,221.0462
2023-07-13,220.9345
2023-07-12,220.7058
2023-07-11,220.4622
2023-07-10,220.1616
2023-07-07,220.0170
2023-07-06,219.9035
2023-07-05,219.7697
2023-07-03,219.6101
2023-06-30,219.5170
2023-06-29,219.4123
2023-06-28,219.2830
2023-06-27,219.1822
2023-06-26,219.1158
2023-06-23,219.1618
2023-06-22,219.2115
2023-06-21,219.2537
2023-06-20,219.0993
2023-06-16,218.9306
2023-06-15,218.5262
2023-06-14,218.1288
2023-06-13,217.7967
2023-06-12,217.3506
2023-06-09,216.8575
2023-06-08,216.4802
2023-06-07,216.0689
2023-06-06,215.8333
2023-06-05,215.7305
2023-06-02,215.5784
2023-06-01,215.2840
2023-05-31,215.1430
2023-05-30,215.0649
2023-05-26,215.0134
2023-05-25,214.9905
2023-05-24,215.0480
2023-05-23,215.1526
2023-05-22,215.1565
2023-05-19,215.0583
2023-05-18,214.9684
2023-05-17,214.8215
2023-05-16,214.6804
2023-05-15,214.7149
2023-05-12,214.6905
2023-05-11,214.7255
2023-05-10,214.7245
2023-05-09,214.7511
2023-05-08,214.7445
2023-05-05,214.8745
2023-05-04,214.9722
2023-05-03,215.1081
2023-05-02,215.1273
2023-05-01,215.0744
2023-04-28,214.9992
2023-04-27,214.8321
2023-04-26,214.6815
2023-04-25,214.6160
2023-04-24,214.5719
2023-04-21,214.4164
2023-04-20,214.2739
2023-04-19,214.0633
2023-04-18,213.8011
2023-04-17,213.5414
2023-04-14,213.3746
2023-04-13,213.3019
2023-04-12,212.8670
2023-04-11,212.4585
2023-04-10,212.0398
2023-04-06,211.6566
2023-04-05,211.2453
2023-04-04,210.8645
2023-04-03,210.3560
2023-03-31,209.7899
2023-03-30,209.2991
2023-03-29,208.8380
2023-03-28,208.4578
2023-03-27,208.1582
2023-03-24,207.9826
2023-03-23,207.8928
2023-03-22,207.7876
2023-03-21,207.7304
2023-03-20,207.4122
2023-03-17,207.0832
2023-03-16,206.8572
2023-03-15,206.5599
2023-03-14,206.4044
2023-03-13,205.9699
2023-03-10,205.6422
2023-03-09,205.3147
2023-03-08,205.0335
2023-03-07,204.5646
2023-03-06,204.0623
2023-03-03,203.4270
2023-03-02,202.6805
2023-03-01,202.0691
2023-02-28,201.6093
2023-02-27,201.2286
2023-02-24,200.8710
2023-02-23,200.5738
2023-02-22,199.9676
2023-02-21,199.4186
2023-02-17,198.8638
2023-02-16,198.1107
2023-02-15,197.3239
2023-02-14,196.3616
2023-02-13,195.3477
2023-02-10,194.3960
2023-02-09,193.5066
2023-02-08,192.6247
2023-02-07,191.6779
2023-02-06,190.6725
2023-02-03,189.8851
2023-02-02,189.1044
2023-02-01,188.2063
2023-01-31,187.1255
2023-01-30,186.0745
2023-01-27,185.1015
2023-01-26,184.0625
2023-01-25,182.9545
2023-01-24,181.8246
2023-01-23,180.6921
2023-01-20,179.5966
2023-01-19,178.5750
2023-01-18,177.5221
2023-01-17,176.3774
2023-01-13,175.1487
2023-01-12,173.8128
2023-01-11,172.4438
2023-01-10,171.2366
2023-01-09,170.0452
2023-01-06,168.7730
2023-01-05,167.3415
2023-01-04,166.1227
2023-01-03,164.9202
2022-12-30,163.9424
2022-12-29,163.0929
2022-12-28,162.2743
2022-12-27,161.4556
2022-12-23,160.5900
2022-12-22,159.7179
2022-12-21,158.8531
2022-12-20,157.7379
2022-12-19,156.8335
2022-12-16,155.9903
2022-12-15,155.1606
2022-12-14,154.3446
2022-12-13,153.3765
2022-12-12,152.4239
2022-12-09,151.4790
2022-12-08,150.7193
