Dates,EMA Values
2023-07-20,198.1020
2023-07-19,197.9462
2023-07-18,197.8391
2023-07-17,197.7011
2023-07-14,197.5587
2023-07-13,197.4023
2023-07-12,197.2069
2023-07-11,197.0068
2023-07-10,196.7882
2023-07-07,196.6222
2023-07-06,196.4666
2023-07-05,196.3043
2023-07-03,196.1333
2023-06-30,195.9847
2023-06-29,195.8322
2023-06-28,195.6714
2023-06-27,195.5202
2023-06-26,195.3804
2023-06-23,195.2779
2023-06-22,195.1761
2023-06-21,195.0712
2023-06-20,194.9003
2023-06-16,194.7247
2023-06-15,194.4708
2023-06-14,194.2201
2023-06-13,193.9922
2023-06-12,193.7270
2023-06-09,193.4472
2023-06-08,193.2074
2023-06-07,192.9571
2023-06-06,192.7665
2023-06-05,192.6205
2023-06-02,192.4581
2023-06-01,192.2484
2023-05-31,192.0905
2023-05-30,191.9537
2023-05-26,191.8257
2023-05-25,191.7071
2023-05-24,191.6150
2023-05-23,191.5381
2023-05-22,191.4269
2023-05-19,191.2813
2023-05-18,191.1385
2023-05-17,190.9767
2023-05-16,190.8170
2023-05-15,190.7159
2023-05-12,190.5948
2023-05-11,190.4932
2023-05-10,190.3792
2023-05-09,190.2741
2023-05-08,190.1574
2023-05-05,190.0860
2023-05-04,190.0031
2023-05-03,189.9323
2023-05-02,189.8217
2023-05-01,189.6868
2023-04-28,189.5442
2023-04-27,189.3710
2023-04-26,189.2035
2023-04-25,189.0645
2023-04-24,188.9326
2023-04-21,188.7634
2023-04-20,188.5987
2023-04-19,188.4114
2023-04-18,188.2074
2023-04-17,188.0048
2023-04-14,187.8337
2023-04-13,187.6942
2023-04-12,187.4340
2023-04-11,187.1837
2023-04-10,186.9310
2023-04-06,186.6914
2023-04-05,186.4433
2023-04-04,186.2066
2023-04-03,185.9282
2023-03-31,185.6321
2023-03-30,185.3628
2023-03-29,185.1048
2023-03-28,184.8750
2023-03-27,184.6731
2023-03-24,184.5133
2023-03-23,184.3825
2023-03-22,184.2467
2023-03-21,184.1269
2023-03-20,183.9202
2023-03-17,183.7106
2023-03-16,183.5364
2023-03-15,183.3388
2023-03-14,183.1894
2023-03-13,182.9472
2023-03-10,182.7420
2023-03-09,182.5377
2023-03-08,182.3497
2023-03-07,182.1000
2023-03-06,181.8405
2023-03-03,181.5382
2023-03-02,181.2008
2023-03-01,180.9107
2023-02-28,180.6731
2023-02-27,180.4633
2023-02-24,180.2624
2023-02-23,180.0826
2023-02-22,179.8007
2023-02-21,179.5398
2023-02-17,179.2787
2023-02-16,178.9533
2023-02-15,178.6190
2023-02-14,178.2289
2023-02-13,177.8246
2023-02-10,177.4445
2023-02-09,177.0882
2023-02-08,176.7375
2023-02-07,176.3680
2023-02-06,175.9821
