Dates,RSI Values
2022-08-16,71.5558
2022-08-15,69.3330
2022-08-12,68.6762
2022-08-11,65.7764
2022-08-10,68.8770
2022-08-09,63.1601
2022-08-08,65.8762
2022-08-05,64.7615
2022-08-04,68.2057
2022-08-03,68.5202
2022-08-02,65.0381
2022-08-01,78.5056
2022-07-29,68.6604
2022-07-28,68.3664
2022-07-27,64.2514
2022-07-26,64.0127
2022-07-25,65.6848
2022-07-22,69.1151
2022-07-21,76.8369
2022-07-20,74.4409
2022-07-19,72.5427
2022-07-18,63.3985
2022-07-15,63.4437
2022-07-14,62.7380
2022-07-13,58.8616
2022-07-12,64.9420
2022-07-11,50.2596
2022-07-08,54.4622
2022-07-07,56.2953
2022-07-06,50.1549
2022-07-05,52.6850
2022-07-01,56.6443
2022-06-30,51.9013
2022-06-29,54.8984
2022-06-28,55.3138
2022-06-27,55.3440
2022-06-24,59.4414
2022-06-23,50.5826
2022-06-22,55.1578
2022-06-21,54.6836
2022-06-17,54.7472
2022-06-16,51.2393
2022-06-15,51.6161
2022-06-14,38.5560
2022-06-13,29.1797
2022-06-10,38.5389
2022-06-09,46.6794
2022-06-08,56.0149
2022-06-07,58.1250
2022-06-06,56.1511
2022-06-03,56.1662
2022-06-02,57.9161
2022-06-01,45.9799
2022-05-31,46.8913
2022-05-27,47.8357
2022-05-26,42.1506
2022-05-25,33.9929
2022-05-24,29.8140
2022-05-23,33.1279
2022-05-20,27.9248
2022-05-19,32.2390
2022-05-18,29.7831
2022-05-17,34.2920
2022-05-16,21.1258
2022-05-13,22.7406
2022-05-12,15.2239
2022-05-11,17.5957
2022-05-10,19.1230
2022-05-09,19.2752
2022-05-06,27.9489
2022-05-05,29.1372
2022-05-04,34.6225
2022-05-03,28.2855
2022-05-02,17.7685
2022-04-29,17.8777
2022-04-28,20.5343
2022-04-27,20.6576
2022-04-26,28.8170
2022-04-25,38.4558
2022-04-22,39.8208
2022-04-21,45.7542
2022-04-20,49.8819
2022-04-19,54.1010
2022-04-18,43.1922
2022-04-14,46.5899
2022-04-13,48.1055
2022-04-12,34.5220
2022-04-11,31.4592
2022-04-08,31.6404
2022-04-07,34.5586
2022-04-06,35.3531
2022-04-05,39.6526
2022-04-04,52.0080
2022-04-01,51.3361
2022-03-31,52.5017
2022-03-30,57.9597
2022-03-29,56.6391
2022-03-28,49.3655
2022-03-25,50.4320
2022-03-24,50.5564
2022-03-23,47.0151
2022-03-22,52.6531
2022-03-21,46.7444
2022-03-18,55.0862
2022-03-17,52.1591
2022-03-16,50.8486
2022-03-15,39.5471
2022-03-14,32.8766
2022-03-11,33.4157
2022-03-10,34.9867
2022-03-09,35.1036
2022-03-08,29.1371
2022-03-07,22.9345
2022-03-04,28.6165
2022-03-03,33.7876
2022-03-02,41.3011
2022-03-01,37.2354
2022-02-28,47.9960
2022-02-25,42.4572
2022-02-24,37.7416
2022-02-23,34.5610
2022-02-22,36.4979
2022-02-18,47.0165
2022-02-17,53.1074
2022-02-16,61.5448
2022-02-15,60.2706
2022-02-14,50.8845
2022-02-11,54.2761
2022-02-10,65.4879
2022-02-09,62.3518
2022-02-08,59.3742
2022-02-07,57.8088
2022-02-04,50.9112
2022-02-03,50.8319
2022-02-02,52.2639
2022-02-01,53.2436
2022-01-31,43.8941
2022-01-28,28.5416
2022-01-27,27.0175
2022-01-26,30.2145
2022-01-25,39.3220
2022-01-24,39.4308
2022-01-21,40.6874
2022-01-20,51.0117
2022-01-19,55.1733
2022-01-18,69.0936
2022-01-14,71.0257
2022-01-13,69.3532
2022-01-12,63.3998
2022-01-11,61.9239
2022-01-10,54.1090
2022-01-07,65.2234
2022-01-06,60.2898
2022-01-05,63.6706
2022-01-04,64.7280
2022-01-03,58.3071
2021-12-31,48.7991
2021-12-30,51.0249
2021-12-29,52.4978
2021-12-28,56.3007
2021-12-27,52.5972
2021-12-23,54.0599
2021-12-22,51.1115
2021-12-21,48.5633
2021-12-20,32.4392
2021-12-17,36.2877
2021-12-16,33.1217
2021-12-15,37.3319
2021-12-14,37.3965
2021-12-13,39.0456
2021-12-10,46.4829
2021-12-09,49.2378
2021-12-08,53.1746
2021-12-07,50.9362
2021-12-06,47.9324
2021-12-03,39.5946
2021-12-02,42.8450
2021-12-01,21.7584
2021-11-30,28.1132
2021-11-29,28.6194
2021-11-26,29.1351
2021-11-24,39.3806
2021-11-23,36.7991
2021-11-22,37.5530
2021-11-19,41.7856
2021-11-18,60.9679
2021-11-17,60.1778
2021-11-16,59.2107
2021-11-15,73.4917
2021-11-12,58.5037
2021-11-11,55.5580
2021-11-10,53.9182
2021-11-09,59.0182
2021-11-08,63.4781
2021-11-05,67.8223
2021-11-04,46.7689
2021-11-03,47.6277
2021-11-02,46.0745
2021-11-01,50.0375
2021-10-29,26.2109
2021-10-28,27.4925
2021-10-27,22.3236
2021-10-26,26.7532
2021-10-25,32.2626
2021-10-22,32.4592
2021-10-21,35.0963
2021-10-20,38.8951
2021-10-19,38.2375
2021-10-18,40.2039
2021-10-15,40.3147
2021-10-14,40.9928
2021-10-13,49.0491
2021-10-12,52.9088
2021-10-11,59.7131
2021-10-08,59.6157
2021-10-07,59.8109
2021-10-06,57.7499
2021-10-05,56.9905
2021-10-04,56.2076
2021-10-01,59.6350
2021-09-30,52.4846
2021-09-29,61.2130
2021-09-28,52.0008
2021-09-27,63.1730
2021-09-24,59.3901
2021-09-23,58.9933
2021-09-22,53.1372
2021-09-21,36.3082
2021-09-20,37.7337
2021-09-17,43.7627
2021-09-16,43.7627
2021-09-15,45.0621
2021-09-14,40.1326
2021-09-13,44.0378
2021-09-10,35.9848
2021-09-09,40.5590
2021-09-08,35.3579
2021-09-07,38.7688
2021-09-03,44.0204
2021-09-02,47.9796
2021-09-01,43.3040
2021-08-31,45.1644
2021-08-30,42.1838
2021-08-27,47.3306
2021-08-26,38.6887
2021-08-25,44.3382
2021-08-24,44.8588
2021-08-23,41.7342
2021-08-20,29.8785
2021-08-19,28.8917
2021-08-18,34.8037
2021-08-17,38.1075
2021-08-16,46.5566
2021-08-13,55.2625
2021-08-12,62.5097
2021-08-11,65.2205
2021-08-10,60.8985
2021-08-09,56.2714
2021-08-06,54.9876
2021-08-05,53.1574
2021-08-04,48.6857
2021-08-03,52.0064
2021-08-02,47.0516
2021-07-30,48.4192
2021-07-29,54.9084
2021-07-28,54.8450
2021-07-27,43.8153
2021-07-26,47.8660
2021-07-23,42.0325
2021-07-22,41.1427
2021-07-21,42.6567
2021-07-20,35.7935
2021-07-19,19.4352
2021-07-16,25.6609
2021-07-15,29.6530
2021-07-14,31.1199
2021-07-13,34.5313
2021-07-12,47.0105
2021-07-09,49.0666
2021-07-08,44.3114
2021-07-07,34.5852
2021-07-06,40.0914
2021-07-02,40.8158
2021-07-01,44.9435
2021-06-30,44.6627
2021-06-29,38.3375
2021-06-28,43.2558
2021-06-25,56.2838
2021-06-24,60.5530
2021-06-23,49.5432
2021-06-22,49.9194
2021-06-21,52.4811
2021-06-18,37.1306
2021-06-17,39.8636
2021-06-16,44.6925
2021-06-15,52.7427
2021-06-14,50.0899
2021-06-11,54.2818
2021-06-10,56.3854
2021-06-09,55.9799
2021-06-08,65.1291
2021-06-07,65.0196
2021-06-04,62.0842
2021-06-03,62.7763
2021-06-02,72.4017
2021-06-01,71.7470
2021-05-28,65.3356
2021-05-27,72.3926
2021-05-26,63.3631
2021-05-25,62.6201
2021-05-24,58.6686
2021-05-21,55.2916
2021-05-20,44.0276
2021-05-19,37.6597
2021-05-18,41.8080
2021-05-17,42.3852
2021-05-14,42.9941
2021-05-13,32.6320
2021-05-12,28.9223
2021-05-11,36.8825
2021-05-10,42.0963
2021-05-07,45.7464
2021-05-06,34.3260
2021-05-05,30.5361
2021-05-04,36.9532
2021-05-03,39.0682
2021-04-30,37.2446
2021-04-29,39.2004
2021-04-28,38.3423
2021-04-27,47.0748
2021-04-26,45.4313
2021-04-23,40.4903
2021-04-22,33.2957
2021-04-21,34.7815
2021-04-20,31.5665
2021-04-19,41.5719
2021-04-16,46.9175
2021-04-15,51.2278
2021-04-14,53.2099
2021-04-13,54.4157
2021-04-12,49.8495
2021-04-09,53.5025
2021-04-08,56.9264
2021-04-07,54.5300
2021-04-06,57.6866
2021-04-05,62.9963
2021-04-01,57.6359
2021-03-31,59.7791
2021-03-30,57.5938
2021-03-29,56.4222
2021-03-26,51.8856
2021-03-25,53.9616
2021-03-24,47.4808
2021-03-23,49.0520
2021-03-22,57.5644
2021-03-19,62.0194
2021-03-18,62.2461
2021-03-17,69.4103
2021-03-16,65.4245
2021-03-15,76.5930
2021-03-12,80.8361
2021-03-11,74.7595
2021-03-10,71.6218
2021-03-09,62.2909
2021-03-08,56.5468
2021-03-05,55.8009
2021-03-04,57.4331
2021-03-03,61.6250
2021-03-02,57.7146
2021-03-01,58.9617
2021-02-26,49.1721
2021-02-25,53.2741
2021-02-24,68.1226
2021-02-23,52.0560
2021-02-22,53.1195
