Dates,TEMA Values
2022-06-29,126.8616
2022-06-28,126.0839
2022-06-27,125.2397
2022-06-24,124.3535
2022-06-23,123.0820
2022-06-22,122.6652
2022-06-21,121.8591
2022-06-17,121.0739
2022-06-16,120.2570
2022-06-15,119.8348
2022-06-14,119.3764
2022-06-13,120.3399
2022-06-10,122.1988
2022-06-09,122.8908
2022-06-08,122.8597
2022-06-07,122.1485
2022-06-06,121.2795
2022-06-03,120.5809
2022-06-02,119.8742
2022-06-01,119.0087
2022-05-31,119.3327
2022-05-27,119.6476
2022-05-26,119.9439
2022-05-25,120.8737
2022-05-24,122.6329
2022-05-23,124.9211
2022-05-20,126.8833
2022-05-19,129.4762
2022-05-18,131.5492
2022-05-17,134.0453
2022-05-16,136.0000
2022-05-13,139.1467
2022-05-12,142.2165
2022-05-11,146.0837
2022-05-10,149.5486
2022-05-09,152.9045
2022-05-06,156.5316
2022-05-05,158.5844
2022-05-04,160.6479
2022-05-03,162.1178
2022-05-02,164.1552
2022-04-29,166.9991
2022-04-28,170.0770
2022-04-27,172.7750
2022-04-26,175.6886
2022-04-25,177.3220
2022-04-22,178.0224
2022-04-21,178.6746
2022-04-20,178.8961
2022-04-19,178.8437
2022-04-18,178.5073
2022-04-14,178.9127
2022-04-13,179.1145
2022-04-12,179.2382
2022-04-11,180.1985
2022-04-08,181.4103
2022-04-07,182.7194
2022-04-06,183.8147
2022-04-05,184.9250
2022-04-04,185.6613
2022-04-01,185.4291
2022-03-31,185.2448
2022-03-30,184.9709
2022-03-29,184.2737
2022-03-28,183.6728
2022-03-25,183.7321
2022-03-24,183.7192
2022-03-23,183.7129
2022-03-22,184.0953
2022-03-21,183.9177
2022-03-18,184.3761
2022-03-17,184.0451
2022-03-16,184.0322
2022-03-15,184.1877
2022-03-14,185.4934
2022-03-11,187.4642
2022-03-10,189.5316
2022-03-09,191.5242
2022-03-08,193.6777
2022-03-07,196.6072
2022-03-04,200.3580
2022-03-03,202.9984
2022-03-02,204.8820
2022-03-01,205.8281
2022-02-28,207.2103
2022-02-25,207.4311
2022-02-24,208.1441
2022-02-23,209.2900
2022-02-22,210.7762
2022-02-18,212.0989
2022-02-17,212.2673
2022-02-16,211.8885
2022-02-15,210.8197
2022-02-14,209.8069
2022-02-11,209.6506
2022-02-10,209.2035
2022-02-09,207.9289
2022-02-08,206.9035
2022-02-07,206.1123
2022-02-04,205.4239
2022-02-03,205.3520
2022-02-02,205.2854
2022-02-01,205.0790
2022-01-31,204.7597
2022-01-28,205.4107
2022-01-27,207.3041
2022-01-26,209.4569
2022-01-25,211.2347
2022-01-24,211.9542
2022-01-21,212.7185
2022-01-20,213.3910
2022-01-19,213.0438
2022-01-18,212.3103
2022-01-14,210.5423
2022-01-13,208.5107
2022-01-12,206.5648
2022-01-11,205.2511
