Dates,HT_TRENDLINE Values
2022-08-17,160.8425
2022-08-16,159.3226
2022-08-15,157.7539
2022-08-12,155.9055
2022-08-11,154.3256
2022-08-10,153.0811
2022-08-09,152.1819
2022-08-08,151.5339
2022-08-05,151.0784
2022-08-04,150.6357
2022-08-03,150.2273
2022-08-02,149.6543
2022-08-01,149.1523
2022-07-29,148.7469
2022-07-28,148.2653
2022-07-27,147.7152
2022-07-26,147.0911
2022-07-25,145.9991
2022-07-22,144.8186
2022-07-21,143.6539
2022-07-20,142.3747
2022-07-19,141.3112
2022-07-18,140.4421
2022-07-15,139.7785
2022-07-14,138.9760
2022-07-13,138.3891
2022-07-12,137.8053
2022-07-11,136.9909
2022-07-08,136.1831
2022-07-07,135.1865
2022-07-06,134.4444
2022-07-05,134.5627
2022-07-01,134.7719
2022-06-30,134.7119
2022-06-29,134.5088
2022-06-28,133.7881
2022-06-27,132.9360
2022-06-24,131.9946
2022-06-23,131.0545
2022-06-22,130.4413
2022-06-21,129.9895
2022-06-17,129.7374
2022-06-16,129.9730
2022-06-15,130.9760
2022-06-14,132.5062
2022-06-13,134.0407
2022-06-10,135.0234
2022-06-09,135.3401
2022-06-08,135.1684
2022-06-07,134.5039
2022-06-06,134.0765
2022-06-03,134.1440
2022-06-02,134.5750
2022-06-01,135.5802
2022-05-31,136.9915
2022-05-27,138.6225
2022-05-26,140.5594
2022-05-25,142.7442
2022-05-24,145.1265
2022-05-23,148.2241
2022-05-20,150.1943
2022-05-19,151.3995
2022-05-18,151.7892
2022-05-17,151.9826
2022-05-16,152.6228
2022-05-13,154.4118
2022-05-12,156.5896
2022-05-11,159.3142
2022-05-10,162.4285
2022-05-09,165.0988
2022-05-06,167.4153
2022-05-05,169.1744
2022-05-04,170.7074
2022-05-03,172.3409
2022-05-02,174.2171
2022-04-29,176.4636
2022-04-28,178.9095
2022-04-27,180.9079
2022-04-26,182.6428
2022-04-25,183.5755
2022-04-22,184.1592
2022-04-21,184.6715
2022-04-20,185.1028
2022-04-19,185.4940
2022-04-18,185.8405
2022-04-14,186.1062
2022-04-13,186.1964
2022-04-12,186.1554
2022-04-11,186.1912
2022-04-08,186.2419
2022-04-07,186.2000
2022-04-06,185.9809
2022-04-05,185.6634
2022-04-04,185.4771
2022-04-01,185.6776
2022-03-31,186.2260
2022-03-30,186.8796
2022-03-29,187.4439
2022-03-28,188.4039
2022-03-25,189.6687
2022-03-24,191.4307
2022-03-23,193.0602
2022-03-22,194.3071
2022-03-21,195.6597
2022-03-18,196.6447
2022-03-17,197.4442
2022-03-16,197.8859
2022-03-15,198.3055
2022-03-14,198.8783
2022-03-11,199.6537
2022-03-10,200.7762
2022-03-09,202.0802
2022-03-08,203.5946
2022-03-07,205.2662
2022-03-04,206.6352
2022-03-03,207.6027
2022-03-02,208.2487
2022-03-01,208.5541
2022-02-28,208.5957
2022-02-25,208.2134
2022-02-24,207.8523
2022-02-23,207.6558
2022-02-22,207.6259
2022-02-18,207.7108
2022-02-17,207.7635
2022-02-16,208.1806
2022-02-15,208.8168
2022-02-14,209.2976
2022-02-11,209.7203
2022-02-10,209.7210
2022-02-09,209.5718
2022-02-08,209.3809
2022-02-07,209.0879
2022-02-04,208.6514
2022-02-03,208.3832
2022-02-02,208.1461
2022-02-01,208.1002
2022-01-31,208.5072
2022-01-28,209.2036
2022-01-27,210.1160
2022-01-26,210.9090
2022-01-25,211.4531
2022-01-24,212.0480
2022-01-21,212.3738
2022-01-20,212.2636
2022-01-19,211.6828
2022-01-18,210.6764
2022-01-14,209.4048
2022-01-13,207.9127
2022-01-12,206.5166
2022-01-11,205.1615
2022-01-10,204.0443
2022-01-07,202.6734
2022-01-06,201.2867
2022-01-05,200.5546
2022-01-04,200.1758
2022-01-03,200.2488
2021-12-31,200.6427
2021-12-30,200.7094
2021-12-29,200.4614
2021-12-28,200.0837
2021-12-27,199.7144
2021-12-23,200.0623
2021-12-22,201.0836
2021-12-21,202.6919
2021-12-20,204.7737
2021-12-17,206.8222
2021-12-16,208.4046
2021-12-15,209.8188
2021-12-14,210.9148
2021-12-13,211.9286
2021-12-10,212.4463
2021-12-09,212.5450
2021-12-08,212.5119
2021-12-07,212.5150
2021-12-06,212.7730
2021-12-03,213.2208
2021-12-02,213.7925
2021-12-01,214.3808
2021-11-30,215.0947
2021-11-29,215.6645
2021-11-26,216.1751
2021-11-24,216.5995
2021-11-23,216.9372
2021-11-22,217.3659
2021-11-19,217.8330
2021-11-18,218.2768
2021-11-17,218.5201
2021-11-16,218.5828
2021-11-15,218.6104
2021-11-12,218.5103
2021-11-11,218.4981
2021-11-10,218.4573
2021-11-09,218.3477
2021-11-08,218.2441
2021-11-05,218.2176
2021-11-04,218.2428
2021-11-03,218.4303
2021-11-02,218.6093
2021-11-01,218.7683
2021-10-29,218.8765
2021-10-28,218.9119
2021-10-27,219.0006
2021-10-26,219.1514
2021-10-25,219.3888
2021-10-22,219.6693
2021-10-21,219.9606
2021-10-20,220.1193
2021-10-19,220.2276
2021-10-18,220.2662
2021-10-15,220.1747
2021-10-14,220.0255
2021-10-13,219.6417
2021-10-12,219.1461
2021-10-11,218.5421
2021-10-08,217.9677
2021-10-07,217.4496
2021-10-06,217.0469
2021-10-05,216.7141
2021-10-04,216.3606
2021-10-01,215.8864
2021-09-30,215.5129
2021-09-29,215.2414
2021-09-28,214.9718
2021-09-27,214.8797
2021-09-24,214.6481
2021-09-23,214.5944
2021-09-22,214.6758
2021-09-21,214.9969
2021-09-20,215.6055
2021-09-17,216.0327
2021-09-16,216.3943
2021-09-15,216.6522
2021-09-14,216.8160
2021-09-13,217.1388
2021-09-10,217.7692
2021-09-09,218.7288
2021-09-08,219.8989
2021-09-07,221.2032
2021-09-03,222.4019
2021-09-02,223.4311
2021-09-01,224.2768
2021-08-31,225.0419
2021-08-30,225.7110
2021-08-27,226.1612
2021-08-26,226.5888
2021-08-25,227.0571
2021-08-24,227.5216
2021-08-23,228.0769
2021-08-20,228.5704
2021-08-19,228.8926
2021-08-18,229.0598
2021-08-17,228.9460
2021-08-16,228.5257
2021-08-13,227.6958
2021-08-12,226.7168
2021-08-11,225.4807
2021-08-10,224.8338
2021-08-09,224.7873
2021-08-06,225.1289
2021-08-05,225.8114
2021-08-04,226.2622
2021-08-03,226.8172
2021-08-02,227.5039
2021-07-30,228.1331
2021-07-29,228.8279
2021-07-28,229.5752
2021-07-27,230.5743
2021-07-26,231.3158
2021-07-23,231.7266
2021-07-22,232.3462
2021-07-21,233.2342
2021-07-20,234.4498
2021-07-19,236.0554
2021-07-16,237.6682
2021-07-15,238.9772
2021-07-14,240.1395
2021-07-13,241.2908
2021-07-12,242.2595
2021-07-09,243.0669
2021-07-08,243.8328
2021-07-07,244.6957
2021-07-06,245.4616
2021-07-02,245.9809
2021-07-01,246.2410
2021-06-30,246.2743
2021-06-29,246.1893
2021-06-28,245.8841
2021-06-25,245.2798
2021-06-24,244.4430
2021-06-23,243.6387
2021-06-22,242.9994
2021-06-21,242.3068
2021-06-18,241.5846
2021-06-17,240.8736
2021-06-16,240.1401
2021-06-15,239.6773
2021-06-14,239.1167
2021-06-11,238.4765
2021-06-10,237.8190
2021-06-09,237.2351
2021-06-08,236.7126
2021-06-07,236.1841
2021-06-04,235.6755
2021-06-03,235.0874
2021-06-02,234.4798
2021-06-01,233.8617
2021-05-28,233.3821
2021-05-27,232.9332
2021-05-26,232.4327
2021-05-25,232.0842
2021-05-24,231.8115
2021-05-21,231.7437
2021-05-20,231.8635
2021-05-19,232.1884
2021-05-18,232.6414
2021-05-17,233.3142
2021-05-14,234.3406
2021-05-13,235.7726
2021-05-12,237.4293
2021-05-11,238.6785
2021-05-10,239.7098
2021-05-07,240.6178
2021-05-06,241.5754
2021-05-05,242.5382
2021-05-04,243.3314
2021-05-03,244.1540
2021-04-30,244.9342
2021-04-29,245.8690
2021-04-28,246.6353
2021-04-27,247.5295
2021-04-26,248.1745
2021-04-23,249.0811
2021-04-22,250.0712
2021-04-21,250.9411
2021-04-20,251.4909
2021-04-19,251.6474
2021-04-16,251.4578
2021-04-15,251.1138
2021-04-14,251.0713
2021-04-13,251.4753
2021-04-12,252.0694
2021-04-09,252.8043
2021-04-08,253.1131
2021-04-07,252.8439
2021-04-06,251.7395
2021-04-05,250.1936
2021-04-01,248.4282
2021-03-31,246.7251
2021-03-30,244.9591
2021-03-29,243.1400
2021-03-26,241.8215
2021-03-25,240.6494
2021-03-24,239.7168
2021-03-23,238.8202
2021-03-22,237.0849
2021-03-19,234.6017
2021-03-18,232.0138
2021-03-17,229.8625
2021-03-16,227.7902
2021-03-15,225.8190
2021-03-12,223.4711
2021-03-11,221.1425
2021-03-10,219.3668
2021-03-09,218.0473
2021-03-08,217.1615
2021-03-05,216.3467
2021-03-04,215.5319
2021-03-03,214.5863
2021-03-02,213.4646
2021-03-01,212.3266
2021-02-26,210.7806
2021-02-25,209.6773
2021-02-24,208.5534
2021-02-23,207.5130
2021-02-22,207.0802
2021-02-19,206.7543
2021-02-18,206.5678
2021-02-17,206.4514
2021-02-16,206.3241
2021-02-12,206.2876
2021-02-11,206.4698
2021-02-10,206.7103
2021-02-09,207.0605
2021-02-08,207.6683
2021-02-05,208.3512
2021-02-04,208.8451
2021-02-03,209.1591
2021-02-02,209.4921
2021-02-01,209.8270
2021-01-29,210.3220
2021-01-28,211.0920
