Dates,TRIMA Values
2023-07-20,211.2868
2023-07-19,211.0414
2023-07-18,210.7498
2023-07-17,210.4070
2023-07-14,210.0291
2023-07-13,209.6282
2023-07-12,209.2238
2023-07-11,208.8311
2023-07-10,208.4400
2023-07-07,208.0496
2023-07-06,207.6622
2023-07-05,207.2862
2023-07-03,206.9247
2023-06-30,206.5880
2023-06-29,206.2812
2023-06-28,206.0016
2023-06-27,205.7348
2023-06-26,205.4696
2023-06-23,205.2202
2023-06-22,204.9768
2023-06-21,204.7486
2023-06-20,204.5401
2023-06-16,204.3624
2023-06-15,204.2151
2023-06-14,204.1158
2023-06-13,204.0660
2023-06-12,204.0625
2023-06-09,204.1142
2023-06-08,204.2184
2023-06-07,204.3599
2023-06-06,204.5238
2023-06-05,204.6912
2023-06-02,204.8503
2023-06-01,204.9972
2023-05-31,205.1579
2023-05-30,205.3302
2023-05-26,205.5006
2023-05-25,205.6663
2023-05-24,205.8158
2023-05-23,205.9534
2023-05-22,206.0687
2023-05-19,206.1721
2023-05-18,206.2761
2023-05-17,206.3762
2023-05-16,206.4596
2023-05-15,206.5340
2023-05-12,206.5975
2023-05-11,206.6467
2023-05-10,206.6710
2023-05-09,206.6638
2023-05-08,206.6135
2023-05-05,206.5205
2023-05-04,206.3996
2023-05-03,206.2558
2023-05-02,206.0961
2023-05-01,205.9473
2023-04-28,205.8251
2023-04-27,205.7428
2023-04-26,205.7084
2023-04-25,205.7060
2023-04-24,205.7136
2023-04-21,205.7341
2023-04-20,205.7776
2023-04-19,205.8497
2023-04-18,205.9349
2023-04-17,206.0264
2023-04-14,206.1352
2023-04-13,206.2678
2023-04-12,206.4100
2023-04-11,206.5648
2023-04-10,206.7252
2023-04-06,206.8826
2023-04-05,207.0373
2023-04-04,207.2055
2023-04-03,207.3950
2023-03-31,207.6132
2023-03-30,207.8682
2023-03-29,208.1470
2023-03-28,208.4391
2023-03-27,208.7478
2023-03-24,209.0597
2023-03-23,209.3481
2023-03-22,209.5974
2023-03-21,209.8015
2023-03-20,209.9672
2023-03-17,210.1038
2023-03-16,210.2152
2023-03-15,210.2818
2023-03-14,210.2953
2023-03-13,210.2557
2023-03-10,210.1898
2023-03-09,210.0891
2023-03-08,209.9392
2023-03-07,209.7305
2023-03-06,209.4918
2023-03-03,209.2152
2023-03-02,208.8982
2023-03-01,208.5418
2023-02-28,208.1379
2023-02-27,207.6891
2023-02-24,207.1972
2023-02-23,206.6635
2023-02-22,206.0702
2023-02-21,205.4251
2023-02-17,204.7135
2023-02-16,203.9334
2023-02-15,203.1139
2023-02-14,202.2642
2023-02-13,201.3806
2023-02-10,200.4597
2023-02-09,199.4972
2023-02-08,198.4980
2023-02-07,197.4854
2023-02-06,196.4766
2023-02-03,195.4799
2023-02-02,194.4870
2023-02-01,193.4973
2023-01-31,192.5133
2023-01-30,191.5448
2023-01-27,190.5827
2023-01-26,189.6189
2023-01-25,188.6777
2023-01-24,187.7672
2023-01-23,186.8767
2023-01-20,186.0010
2023-01-19,185.1245
2023-01-18,184.2378
2023-01-17,183.3481
2023-01-13,182.4556
2023-01-12,181.5619
2023-01-11,180.6709
2023-01-10,179.7715
2023-01-09,178.8412
2023-01-06,177.8828
2023-01-05,176.9254
2023-01-04,175.9692
2023-01-03,175.0118
2022-12-30,174.0429
2022-12-29,173.0442
2022-12-28,172.0154
2022-12-27,170.9552
2022-12-23,169.8560
2022-12-22,168.7186
2022-12-21,167.5412
2022-12-20,166.3204
2022-12-19,165.0672
2022-12-16,163.7634
2022-12-15,162.4024
2022-12-14,160.9959
2022-12-13,159.5570
2022-12-12,158.0869
2022-12-09,156.5911
2022-12-08,155.0874
2022-12-07,153.5972
2022-12-06,152.1314
2022-12-05,150.6932
2022-12-02,149.2908
2022-12-01,147.9504
2022-11-30,146.6908
2022-11-29,145.4948
2022-11-28,144.3528
2022-11-25,143.2664
2022-11-23,142.2434
2022-11-22,141.2975
2022-11-21,140.4230
2022-11-18,139.6374
2022-11-17,138.9460
2022-11-16,138.3564
2022-11-15,137.8681
2022-11-14,137.4769
2022-11-11,137.1837
2022-11-10,136.9913
2022-11-09,136.9154
2022-11-08,136.9557
2022-11-07,137.1014
2022-11-04,137.3619
2022-11-03,137.7564
2022-11-02,138.2698
2022-11-01,138.8724
2022-10-31,139.5449
2022-10-28,140.2966
2022-10-27,141.1292
2022-10-26,142.0250
2022-10-25,142.9667
2022-10-24,143.9316
2022-10-21,144.9361
2022-10-20,145.9726
2022-10-19,147.0341
2022-10-18,148.1033
2022-10-17,149.1842
2022-10-14,150.2596
2022-10-13,151.3140
2022-10-12,152.3445
2022-10-11,153.3472
2022-10-10,154.3363
2022-10-07,155.3049
2022-10-06,156.2512
2022-10-05,157.1543
2022-10-04,158.0047
2022-10-03,158.7952
2022-09-30,159.5268
2022-09-29,160.1870
2022-09-28,160.7648
2022-09-27,161.2777
2022-09-26,161.7323
2022-09-23,162.1151
2022-09-22,162.4101
2022-09-21,162.6117
2022-09-20,162.7311
2022-09-19,162.7547
2022-09-16,162.6930
2022-09-15,162.5498
2022-09-14,162.3199
2022-09-13,162.0186
2022-09-12,161.6533
2022-09-09,161.2159
2022-09-08,160.7255
2022-09-07,160.1784
2022-09-06,159.5799
2022-09-02,158.9277
2022-09-01,158.2108
2022-08-31,157.4488
2022-08-30,156.6486
2022-08-29,155.8253
2022-08-26,154.9760
2022-08-25,154.1025
2022-08-24,153.1785
2022-08-23,152.2013
2022-08-22,151.1874
2022-08-19,150.1579
2022-08-18,149.1333
2022-08-17,148.1224
2022-08-16,147.1373
2022-08-15,146.1758
2022-08-12,145.2581
2022-08-11,144.3790
2022-08-10,143.5342
2022-08-09,142.7261
2022-08-08,141.9530
2022-08-05,141.1943
2022-08-04,140.4490
2022-08-03,139.7252
2022-08-02,139.0168
2022-08-01,138.3336
2022-07-29,137.6635
2022-07-28,137.0329
2022-07-27,136.4211
2022-07-26,135.8283
2022-07-25,135.2443
2022-07-22,134.6836
2022-07-21,134.1575
2022-07-20,133.6861
2022-07-19,133.3260
2022-07-18,133.0674
2022-07-15,132.8894
2022-07-14,132.7543
2022-07-13,132.6438
2022-07-12,132.5577
2022-07-11,132.5019
2022-07-08,132.4797
2022-07-07,132.5081
2022-07-06,132.6180
2022-07-05,132.8098
2022-07-01,133.0898
2022-06-30,133.4798
2022-06-29,133.9996
2022-06-28,134.6318
2022-06-27,135.3804
2022-06-24,136.2424
2022-06-23,137.2003
2022-06-22,138.2489
2022-06-21,139.3792
2022-06-17,140.6078
2022-06-16,141.9366
2022-06-15,143.3683
2022-06-14,144.8958
2022-06-13,146.5128
2022-06-10,148.1782
2022-06-09,149.8611
2022-06-08,151.5646
2022-06-07,153.2855
2022-06-06,155.0470
2022-06-03,156.8584
2022-06-02,158.7040
2022-06-01,160.5828
2022-05-31,162.4692
2022-05-27,164.3256
2022-05-26,166.1340
2022-05-25,167.8858
2022-05-24,169.5501
2022-05-23,171.1036
2022-05-20,172.5492
2022-05-19,173.9034
2022-05-18,175.1569
2022-05-17,176.3208
2022-05-16,177.3975
2022-05-13,178.4168
2022-05-12,179.3742
2022-05-11,180.2828
2022-05-10,181.1248
2022-05-09,181.9067
2022-05-06,182.6154
2022-05-05,183.2464
2022-05-04,183.8142
2022-05-03,184.3212
2022-05-02,184.8037
2022-04-29,185.2709
2022-04-28,185.7220
2022-04-27,186.1599
2022-04-26,186.5782
2022-04-25,186.9808
2022-04-22,187.3942
2022-04-21,187.8211
2022-04-20,188.2650
2022-04-19,188.7458
2022-04-18,189.2799
2022-04-14,189.8765
2022-04-13,190.5234
2022-04-12,191.2217
2022-04-11,191.9672
2022-04-08,192.7495
2022-04-07,193.5545
2022-04-06,194.3591
2022-04-05,195.1567
2022-04-04,195.9393
2022-04-01,196.7031
2022-03-31,197.4647
2022-03-30,198.2384
2022-03-29,199.0456
2022-03-28,199.8922
2022-03-25,200.7542
2022-03-24,201.5899
2022-03-23,202.3834
2022-03-22,203.1178
2022-03-21,203.8120
2022-03-18,204.4754
2022-03-17,205.0895
2022-03-16,205.6603
2022-03-15,206.1832
2022-03-14,206.6525
2022-03-11,207.0668
2022-03-10,207.4292
2022-03-09,207.7432
2022-03-08,208.0044
2022-03-07,208.2258
2022-03-04,208.4237
2022-03-03,208.6038
2022-03-02,208.7612
2022-03-01,208.8926
2022-02-28,208.9937
2022-02-25,209.0651
2022-02-24,209.1076
2022-02-23,209.1003
2022-02-22,209.0336
2022-02-18,208.8946
2022-02-17,208.6939
2022-02-16,208.4571
2022-02-15,208.1987
2022-02-14,207.9282
2022-02-11,207.6504
2022-02-10,207.3286
2022-02-09,206.9849
2022-02-08,206.6266
2022-02-07,206.2585
2022-02-04,205.9130
2022-02-03,205.5936
2022-02-02,205.2896
2022-02-01,205.0021
2022-01-31,204.7538
2022-01-28,204.5479
2022-01-27,204.3730
2022-01-26,204.2326
2022-01-25,204.1272
2022-01-24,204.0718
2022-01-21,204.0767
2022-01-20,204.1412
2022-01-19,204.2630
2022-01-18,204.4551
2022-01-14,204.6898
2022-01-13,204.9641
2022-01-12,205.2694
2022-01-11,205.6034
2022-01-10,205.9523
2022-01-07,206.3313
2022-01-06,206.7335
2022-01-05,207.1890
2022-01-04,207.7034
2022-01-03,208.2633
2021-12-31,208.8699
2021-12-30,209.4983
2021-12-29,210.1230
2021-12-28,210.7486
2021-12-27,211.3692
2021-12-23,211.9623
2021-12-22,212.5110
2021-12-21,213.0218
2021-12-20,213.4852
2021-12-17,213.9054
2021-12-16,214.2865
2021-12-15,214.6365
2021-12-14,214.9494
2021-12-13,215.2250
2021-12-10,215.4611
2021-12-09,215.6663
2021-12-08,215.8776
2021-12-07,216.0887
2021-12-06,216.3118
2021-12-03,216.5481
2021-12-02,216.8031
2021-12-01,217.0596
2021-11-30,217.3076
2021-11-29,217.5172
2021-11-26,217.7043
2021-11-24,217.8676
2021-11-23,218.0046
2021-11-22,218.1262
2021-11-19,218.2336
2021-11-18,218.3196
2021-11-17,218.3958
2021-11-16,218.4711
2021-11-15,218.5394
2021-11-12,218.5985
2021-11-11,218.6592
2021-11-10,218.6987
2021-11-09,218.7189
2021-11-08,218.7186
2021-11-05,218.7096
2021-11-04,218.6844
2021-11-03,218.6584
2021-11-02,218.6157
2021-11-01,218.5561
2021-10-29,218.4702
2021-10-28,218.3554
2021-10-27,218.2152
2021-10-26,218.0627
2021-10-25,217.9258
2021-10-22,217.8294
2021-10-21,217.7763
2021-10-20,217.7628
2021-10-19,217.7840
2021-10-18,217.8401
2021-10-15,217.9288
2021-10-14,218.0516
2021-10-13,218.2043
2021-10-12,218.3896
2021-10-11,218.6080
2021-10-08,218.8536
2021-10-07,219.1284
2021-10-06,219.4326
2021-10-05,219.7538
2021-10-04,220.0962
2021-10-01,220.4485
2021-09-30,220.8107
2021-09-29,221.1899
2021-09-28,221.5608
2021-09-27,221.9186
2021-09-24,222.2827
2021-09-23,222.6808
2021-09-22,223.1015
2021-09-21,223.5347
2021-09-20,223.9739
2021-09-17,224.3895
2021-09-16,224.7644
2021-09-15,225.0894
2021-09-14,225.3746
2021-09-13,225.6335
2021-09-10,225.8735
2021-09-09,226.1023
2021-09-08,226.3150
2021-09-07,226.5249
2021-09-03,226.7430
2021-09-02,226.9810
2021-09-01,227.2247
2021-08-31,227.4705
2021-08-30,227.7310
2021-08-27,228.0050
2021-08-26,228.2936
2021-08-25,228.6154
2021-08-24,228.9675
2021-08-23,229.3603
2021-08-20,229.8216
2021-08-19,230.3492
2021-08-18,230.9078
2021-08-17,231.4938
2021-08-16,232.1089
2021-08-13,232.7328
2021-08-12,233.3589
2021-08-11,234.0062
2021-08-10,234.6909
2021-08-09,235.4042
2021-08-06,236.1386
2021-08-05,236.8687
2021-08-04,237.5877
2021-08-03,238.2944
2021-08-02,238.9793
2021-07-30,239.6155
2021-07-29,240.1760
2021-07-28,240.6748
2021-07-27,241.1309
2021-07-26,241.5424
2021-07-23,241.8959
2021-07-22,242.2033
2021-07-21,242.4629
2021-07-20,242.6686
2021-07-19,242.8225
2021-07-16,242.9064
2021-07-15,242.8974
2021-07-14,242.8191
2021-07-13,242.6748
2021-07-12,242.4588
2021-07-09,242.1836
2021-07-08,241.8677
2021-07-07,241.5150
2021-07-06,241.1129
2021-07-02,240.6622
2021-07-01,240.1695
2021-06-30,239.6469
2021-06-29,239.1115
2021-06-28,238.5846
2021-06-25,238.0757
2021-06-24,237.6108
2021-06-23,237.2208
2021-06-22,236.9107
2021-06-21,236.6583
2021-06-18,236.4670
2021-06-17,236.3513
2021-06-16,236.3072
2021-06-15,236.3318
2021-06-14,236.4177
