Dates,ATR Values
2023-07-21,5.9779
2023-07-20,5.9880
2023-07-19,5.9855
2023-07-18,5.9973
2023-07-17,6.0100
2023-07-14,6.0276
2023-07-13,6.0368
2023-07-12,6.0540
2023-07-11,6.0612
2023-07-10,6.0533
2023-07-07,6.0718
2023-07-06,6.0830
2023-07-05,6.0934
2023-07-03,6.0919
2023-06-30,6.1128
2023-06-29,6.1241
2023-06-28,6.1399
2023-06-27,6.1568
2023-06-26,6.1673
2023-06-23,6.1861
2023-06-22,6.2018
2023-06-21,6.1906
2023-06-20,6.2036
2023-06-16,6.1940
2023-06-15,6.2005
2023-06-14,6.2051
2023-06-13,6.2083
2023-06-12,6.2206
2023-06-09,6.2153
2023-06-08,6.2291
2023-06-07,6.2198
2023-06-06,6.2250
2023-06-05,6.2007
2023-06-02,6.2026
2023-06-01,6.1972
2023-05-31,6.2056
2023-05-30,6.2102
2023-05-26,6.2189
2023-05-25,6.2304
2023-05-24,6.2358
2023-05-23,6.2415
2023-05-22,6.2475
2023-05-19,6.2634
2023-05-18,6.2761
2023-05-17,6.2868
2023-05-16,6.2796
2023-05-15,6.2969
2023-05-12,6.3051
2023-05-11,6.3152
2023-05-10,6.3245
2023-05-09,6.3314
2023-05-08,6.3262
2023-05-05,6.3417
2023-05-04,6.3621
2023-05-03,6.3539
2023-05-02,6.3580
2023-05-01,6.3693
2023-04-28,6.3767
2023-04-27,6.3884
2023-04-26,6.3900
2023-04-25,6.3744
2023-04-24,6.3830
2023-04-21,6.3988
2023-04-20,6.4098
2023-04-19,6.4229
2023-04-18,6.4355
2023-04-17,6.4416
2023-04-14,6.4473
2023-04-13,6.4022
2023-04-12,6.4234
2023-04-11,6.4347
2023-04-10,6.4483
2023-04-06,6.4588
2023-04-05,6.4704
2023-04-04,6.4750
2023-04-03,6.4760
2023-03-31,6.4777
2023-03-30,6.4913
2023-03-29,6.4920
2023-03-28,6.5061
2023-03-27,6.5096
2023-03-24,6.5221
2023-03-23,6.5349
2023-03-22,6.5358
2023-03-21,6.5249
2023-03-20,6.5378
2023-03-17,6.5455
2023-03-16,6.5574
2023-03-15,6.5427
2023-03-14,6.5008
2023-03-13,6.4823
2023-03-10,6.4648
2023-03-09,6.4610
2023-03-08,6.4497
2023-03-07,6.4673
2023-03-06,6.4727
2023-03-03,6.4775
2023-03-02,6.4763
2023-03-01,6.4727
2023-02-28,6.4822
2023-02-27,6.4994
2023-02-24,6.5071
2023-02-23,6.4857
2023-02-22,6.4985
2023-02-21,6.5160
2023-02-17,6.5155
2023-02-16,6.5252
2023-02-15,6.5315
2023-02-14,6.5450
2023-02-13,6.5368
2023-02-10,6.5452
2023-02-09,6.5580
2023-02-08,6.5639
2023-02-07,6.5768
2023-02-06,6.5679
2023-02-03,6.5782
2023-02-02,6.5855
2023-02-01,6.5835
2023-01-31,6.5810
2023-01-30,6.5896
2023-01-27,6.6044
2023-01-26,6.6202
2023-01-25,6.6203
2023-01-24,6.5951
2023-01-23,6.5923
2023-01-20,6.6037
2023-01-19,6.6207
2023-01-18,6.6296
2023-01-17,6.6417
2023-01-13,6.6497
2023-01-12,6.6577
2023-01-11,6.6532
2023-01-10,6.6676
2023-01-09,6.6703
2023-01-06,6.6738
2023-01-05,6.6596
2023-01-04,6.6719
2023-01-03,6.6623
2022-12-30,6.6622
2022-12-29,6.6776
2022-12-28,6.6907
2022-12-27,6.7048
2022-12-23,6.7142
2022-12-22,6.7243
2022-12-21,6.7062
2022-12-20,6.6991
2022-12-19,6.7115
2022-12-16,6.7285
2022-12-15,6.7356
2022-12-14,6.7344
2022-12-13,6.7468
2022-12-12,6.7493
2022-12-09,6.7473
2022-12-08,6.7570
2022-12-07,6.7488
2022-12-06,6.7636
2022-12-05,6.7569
2022-12-02,6.7525
2022-12-01,6.7331
2022-11-30,6.7418
2022-11-29,6.7466
2022-11-28,6.7598
2022-11-25,6.7603
2022-11-23,6.7720
2022-11-22,6.7898
2022-11-21,6.8039
2022-11-18,6.8200
2022-11-17,6.8359
2022-11-16,6.8470
2022-11-15,6.8638
2022-11-14,6.8785
2022-11-11,6.8895
2022-11-10,6.8988
2022-11-09,6.8803
2022-11-08,6.8909
2022-11-07,6.8972
2022-11-04,6.8982
2022-11-03,6.9003
2022-11-02,6.8783
2022-11-01,6.8523
2022-10-31,6.8696
2022-10-28,6.8793
2022-10-27,6.8889
2022-10-26,6.8768
2022-10-25,6.8212
2022-10-24,6.8303
2022-10-21,6.8466
2022-10-20,6.8573
2022-10-19,6.8741
2022-10-18,6.8857
2022-10-17,6.8992
2022-10-14,6.9131
2022-10-13,6.9225
2022-10-12,6.9044
2022-10-11,6.9204
2022-10-10,6.9258
2022-10-07,6.9307
2022-10-06,6.9445
2022-10-05,6.9615
2022-10-04,6.9699
2022-10-03,6.9671
2022-09-30,6.9713
2022-09-29,6.9838
2022-09-28,6.9705
2022-09-27,6.9729
2022-09-26,6.9836
2022-09-23,6.9907
2022-09-22,6.9795
2022-09-21,6.9874
2022-09-20,6.9890
2022-09-19,7.0052
2022-09-16,7.0171
2022-09-15,7.0100
2022-09-14,7.0142
2022-09-13,7.0223
2022-09-12,6.9994
2022-09-09,7.0169
2022-09-08,7.0381
2022-09-07,7.0510
2022-09-06,7.0589
2022-09-02,7.0742
2022-09-01,7.0821
2022-08-31,7.0703
2022-08-30,7.0887
2022-08-29,7.0780
2022-08-26,7.0900
2022-08-25,7.0899
2022-08-24,7.0952
2022-08-23,7.1104
2022-08-22,7.1325
2022-08-19,7.1431
2022-08-18,7.1483
2022-08-17,7.1671
2022-08-16,7.1730
2022-08-15,7.1855
2022-08-12,7.2003
2022-08-11,7.2237
2022-08-10,7.2364
2022-08-09,7.2411
2022-08-08,7.2621
2022-08-05,7.2666
2022-08-04,7.2873
2022-08-03,7.3053
2022-08-02,7.3159
2022-08-01,7.3229
2022-07-29,7.2971
2022-07-28,7.3122
2022-07-27,7.3134
2022-07-26,7.3002
2022-07-25,7.3184
2022-07-22,7.3284
2022-07-21,7.3373
