Dates,ROCR Values
2022-06-29,1.1333
2022-06-28,1.1971
2022-06-27,1.0923
2022-06-24,1.0583
2022-06-23,0.9595
2022-06-22,0.9740
2022-06-21,0.9821
2022-06-17,0.9824
2022-06-16,0.9492
2022-06-15,1.0235
2022-06-14,0.9297
2022-06-13,0.8762
2022-06-10,0.9943
2022-06-09,1.0956
2022-06-08,1.1694
2022-06-07,1.1350
2022-06-06,1.1536
2022-06-03,1.0952
2022-06-02,1.1193
2022-06-01,0.9894
2022-05-31,1.0593
2022-05-27,1.0395
2022-05-26,1.0373
2022-05-25,0.9433
2022-05-24,0.8981
2022-05-23,0.9307
2022-05-20,0.8106
2022-05-19,0.8450
2022-05-18,0.7996
2022-05-17,0.8598
2022-05-16,0.8347
2022-05-13,0.8546
2022-05-12,0.7985
2022-05-11,0.8377
2022-05-10,0.7959
2022-05-09,0.7578
2022-05-06,0.8416
2022-05-05,0.8312
2022-05-04,0.8552
2022-05-03,0.8258
2022-05-02,0.8263
2022-04-29,0.8181
2022-04-28,0.8433
2022-04-27,0.8762
2022-04-26,0.9544
2022-04-25,1.0041
2022-04-22,0.9941
2022-04-21,1.0129
2022-04-20,1.0049
2022-04-19,0.9728
2022-04-18,0.9428
2022-04-14,0.9501
2022-04-13,0.9382
2022-04-12,0.9096
2022-04-11,0.9302
2022-04-08,0.9272
2022-04-07,0.9414
2022-04-06,0.9607
2022-04-05,0.9561
2022-04-04,1.0284
2022-04-01,0.9893
2022-03-31,1.0069
2022-03-30,1.0313
2022-03-29,1.0773
2022-03-28,1.0720
2022-03-25,1.0722
2022-03-24,1.0598
2022-03-23,1.0419
2022-03-22,1.0992
2022-03-21,1.0989
2022-03-18,1.0663
2022-03-17,1.0071
2022-03-16,0.9554
2022-03-15,0.9229
2022-03-14,0.8548
2022-03-11,0.8747
2022-03-10,0.8990
2022-03-09,0.9091
2022-03-08,0.8745
2022-03-07,0.8093
2022-03-04,0.8467
2022-03-03,0.8626
2022-03-02,0.9085
2022-03-01,0.9280
2022-02-28,0.9672
2022-02-25,0.9211
2022-02-24,0.9193
2022-02-23,0.9210
2022-02-22,0.9378
2022-02-18,1.0125
2022-02-17,1.0348
2022-02-16,1.0550
2022-02-15,1.0451
2022-02-14,1.0489
2022-02-11,1.1140
2022-02-10,1.1528
2022-02-09,1.1111
2022-02-08,1.0449
2022-02-07,1.0378
2022-02-04,1.0049
2022-02-03,0.9636
2022-02-02,0.9560
2022-02-01,0.9259
2022-01-31,0.8862
2022-01-28,0.8511
2022-01-27,0.8726
2022-01-26,0.8993
2022-01-25,0.9751
2022-01-24,0.9476
2022-01-21,0.9721
2022-01-20,1.0053
2022-01-19,1.0161
2022-01-18,1.0825
2022-01-14,1.1224
2022-01-13,1.1045
2022-01-12,1.0677
2022-01-11,1.0480
2022-01-10,1.0302
2022-01-07,1.0552
2022-01-06,1.0478
2022-01-05,1.0679
2022-01-04,1.1334
2022-01-03,1.0791
2021-12-31,1.0552
2021-12-30,1.0373
2021-12-29,1.0417
2021-12-28,1.0442
2021-12-27,0.9908
2021-12-23,0.9839
2021-12-22,0.9557
2021-12-21,0.9554
2021-12-20,0.9155
