Dates,MINUS_DI Values
2022-08-16,20.9564
2022-08-15,21.2649
2022-08-12,21.5446
2022-08-11,21.7127
2022-08-10,22.0249
2022-08-09,22.4474
2022-08-08,22.2741
2022-08-05,22.7021
2022-08-04,22.7715
2022-08-03,23.0209
2022-08-02,23.1339
2022-08-01,23.2106
2022-07-29,24.0707
2022-07-28,24.3765
2022-07-27,24.8858
2022-07-26,25.6235
2022-07-25,25.9020
2022-07-22,24.8576
2022-07-21,25.2631
2022-07-20,25.6656
2022-07-19,26.0482
2022-07-18,26.6977
2022-07-15,27.3809
2022-07-14,27.7864
2022-07-13,27.8858
2022-07-12,28.2868
2022-07-11,29.3272
2022-07-08,28.9744
2022-07-07,29.1046
2022-07-06,29.6043
2022-07-05,29.9634
2022-07-01,29.5197
2022-06-30,30.0592
2022-06-29,29.7217
2022-06-28,29.0171
2022-06-27,29.7302
2022-06-24,30.1769
2022-06-23,30.8527
2022-06-22,30.5897
2022-06-21,30.3429
2022-06-17,30.7770
2022-06-16,31.4233
2022-06-15,31.7800
2022-06-14,32.9321
2022-06-13,33.4719
2022-06-10,31.0446
2022-06-09,29.6840
2022-06-08,28.8293
2022-06-07,29.1387
2022-06-06,29.3182
2022-06-03,29.4612
2022-06-02,29.7163
2022-06-01,30.5398
2022-05-31,30.6477
2022-05-27,30.9990
2022-05-26,31.3830
2022-05-25,31.9680
2022-05-24,32.3016
2022-05-23,32.0681
2022-05-20,32.4254
2022-05-19,31.6622
2022-05-18,31.8859
2022-05-17,32.1665
2022-05-16,32.9325
2022-05-13,33.7188
2022-05-12,34.4934
2022-05-11,32.9347
2022-05-10,33.4931
2022-05-09,33.5465
2022-05-06,31.3549
2022-05-05,30.9004
2022-05-04,31.1942
2022-05-03,31.7539
2022-05-02,32.3379
2022-04-29,31.4479
2022-04-28,32.0656
2022-04-27,32.7692
2022-04-26,28.6795
2022-04-25,27.7944
2022-04-22,26.9725
2022-04-21,26.2757
2022-04-20,26.9942
2022-04-19,27.3473
2022-04-18,27.9682
2022-04-14,27.3893
2022-04-13,27.6962
2022-04-12,28.2678
2022-04-11,28.5876
