Dates,MACDEXT Values
2022-07-14,-1.6610
2022-07-13,-2.7622
2022-07-12,1.1011
2022-07-11,-1.8482
2022-07-08,-2.9031
2022-07-07,1.0549
2022-07-06,-2.4299
2022-07-05,-2.9756
2022-07-01,0.5458
2022-06-30,-2.5731
2022-06-29,-2.9422
2022-06-28,0.3691
2022-06-27,-3.2851
2022-06-24,-2.8493
2022-06-23,-0.4358
2022-06-22,-3.1181
2022-06-21,-2.6232
2022-06-17,-0.4949
2022-06-16,-3.3431
2022-06-15,-2.3413
2022-06-14,-1.0018
2022-06-13,-3.4388
2022-06-10,-1.9420
2022-06-09,-1.4968
2022-06-08,-3.1621
2022-06-07,-1.4263
2022-06-06,-1.7358
2022-06-03,-2.9296
2022-06-02,-0.9677
2022-06-01,-1.9619
2022-05-31,-2.5008
2022-05-27,-0.5683
2022-05-26,-1.9325
2022-05-25,-2.1290
2022-05-24,-0.2188
2022-05-23,-1.9101
2022-05-20,-1.7370
2022-05-19,0.1335
2022-05-18,-1.8704
2022-05-17,-1.2504
2022-05-16,0.4731
2022-05-13,-1.7236
2022-05-12,-0.5808
2022-05-11,0.7247
2022-05-10,-1.3055
2022-05-09,0.2508
2022-05-06,0.8577
2022-05-05,-0.6068
2022-05-04,1.2019
2022-05-03,0.9168
2022-05-02,0.2851
2022-04-29,0.9658
2022-04-28,0.9079
2022-04-27,0.0579
2022-04-26,0.6647
2022-04-25,0.9960
2022-04-22,-0.3313
2022-04-21,0.6446
2022-04-20,1.1832
2022-04-19,-0.5387
2022-04-18,1.0417
2022-04-14,1.4091
2022-04-13,-0.3674
2022-04-12,1.3198
2022-04-11,1.6722
2022-04-08,-0.3524
2022-04-07,1.0135
2022-04-06,2.0069
2022-04-05,-0.9934
2022-04-04,0.6164
2022-04-01,2.4814
2022-03-31,-1.8650
2022-03-30,0.7831
2022-03-29,3.1075
2022-03-28,-2.3245
2022-03-25,1.1213
2022-03-24,3.8000
2022-03-23,-2.6787
2022-03-22,1.7590
2022-03-21,4.5312
2022-03-18,-2.7722
2022-03-17,2.3498
2022-03-16,5.2589
2022-03-15,-2.9091
2022-03-14,2.6774
2022-03-11,6.0022
2022-03-10,-3.3248
2022-03-09,3.4096
2022-03-08,6.8358
2022-03-07,-3.4263
2022-03-04,4.3317
2022-03-03,7.6248
