Dates,APO Values
2022-07-11,0.5067
2022-07-08,0.5995
2022-07-07,0.4974
2022-07-06,0.2682
2022-07-05,0.3444
2022-07-01,0.2951
2022-06-30,0.0101
2022-06-29,-0.0362
2022-06-28,-0.2710
2022-06-27,-0.5921
2022-06-24,-0.9954
2022-06-23,-1.7818
2022-06-22,-1.9898
2022-06-21,-2.5512
2022-06-17,-3.1889
2022-06-16,-3.9615
2022-06-15,-4.5397
2022-06-14,-5.2484
2022-06-13,-4.8996
2022-06-10,-3.7417
2022-06-09,-3.3436
2022-06-08,-3.4721
2022-06-07,-4.1863
2022-06-06,-5.1581
2022-06-03,-6.1627
2022-06-02,-7.3562
2022-06-01,-8.8999
2022-05-31,-9.7378
2022-05-27,-10.7420
2022-05-26,-11.9520
2022-05-25,-12.8644
2022-05-24,-13.2645
2022-05-23,-13.3114
2022-05-20,-13.6531
2022-05-19,-13.5476
2022-05-18,-13.8715
2022-05-17,-13.9182
2022-05-16,-14.4403
2022-05-13,-14.0821
2022-05-12,-13.7408
2022-05-11,-12.6919
2022-05-10,-11.8049
2022-05-09,-10.8635
2022-05-06,-9.5406
2022-05-05,-9.3006
2022-05-04,-9.0189
2022-05-03,-9.1900
2022-05-02,-8.9296
2022-04-29,-7.9612
2022-04-28,-6.6329
2022-04-27,-5.3887
2022-04-26,-3.7468
2022-04-25,-2.8775
2022-04-22,-2.6292
2022-04-21,-2.3768
2022-04-20,-2.4376
2022-04-19,-2.7374
2022-04-18,-3.3275
2022-04-14,-3.4083
2022-04-13,-3.6746
2022-04-12,-4.0557
2022-04-11,-3.8122
2022-04-08,-3.3187
2022-04-07,-2.6578
2022-04-06,-2.0576
2022-04-05,-1.3380
2022-04-04,-0.8002
2022-04-01,-0.9707
2022-03-31,-1.1313
2022-03-30,-1.3953
2022-03-29,-2.0592
2022-03-28,-2.7635
2022-03-25,-3.0480
2022-03-24,-3.4473
2022-03-23,-3.9169
2022-03-22,-4.1529
2022-03-21,-4.9028
2022-03-18,-5.2653
2022-03-17,-6.3570
2022-03-16,-7.3891
2022-03-15,-8.4768
2022-03-14,-8.8152
2022-03-11,-8.6740
2022-03-10,-8.4399
2022-03-09,-8.2383
2022-03-08,-7.8784
2022-03-07,-6.8198
2022-03-04,-4.8981
2022-03-03,-3.5622
2022-03-02,-2.6209
2022-03-01,-2.2937
2022-02-28,-1.5473
2022-02-25,-1.6342
2022-02-24,-1.3282
2022-02-23,-0.6078
2022-02-22,0.5251
2022-02-18,1.7273
2022-02-17,2.1889
2022-02-16,2.2829
2022-02-15,1.8251
2022-02-14,1.3363
2022-02-11,1.4759
2022-02-10,1.4026
2022-02-09,0.6319
2022-02-08,-0.0667
2022-02-07,-0.6937
2022-02-04,-1.3465
2022-02-03,-1.6031
2022-02-02,-1.9013
2022-02-01,-2.3692
2022-01-31,-3.0154
2022-01-28,-2.9717
2022-01-27,-1.8881
2022-01-26,-0.3941
2022-01-25,1.0583
2022-01-24,1.8959
2022-01-21,2.9272
2022-01-20,4.0746
2022-01-19,4.5890
2022-01-18,4.8846
2022-01-14,4.3833
2022-01-13,3.5831
2022-01-12,2.7193
2022-01-11,2.2340
2022-01-10,1.7277
2022-01-07,1.7395
2022-01-06,1.0990
2022-01-05,0.6891
2022-01-04,-0.0203
2022-01-03,-0.9824
2021-12-31,-1.6087
2021-12-30,-1.7188
2021-12-29,-1.9757
2021-12-28,-2.3718
2021-12-27,-3.0942
2021-12-23,-3.6699
2021-12-22,-4.4582
2021-12-21,-5.1420
2021-12-20,-5.7190
2021-12-17,-5.2482
2021-12-16,-4.9934
2021-12-15,-4.4083
2021-12-14,-4.0699
2021-12-13,-3.5858
2021-12-10,-3.1092
2021-12-09,-3.2356
2021-12-08,-3.6044
2021-12-07,-4.3761
2021-12-06,-5.0733
2021-12-03,-5.5891
2021-12-02,-5.4137
2021-12-01,-5.5072
2021-11-30,-4.1015
