Dates,KAMA Values
2023-07-20,202.6333
2023-07-19,202.3275
2023-07-18,202.1737
2023-07-17,201.9621
2023-07-14,201.7209
2023-07-13,201.4371
2023-07-12,201.0545
2023-07-11,200.7003
2023-07-10,200.3209
2023-07-07,200.0786
2023-07-06,199.8549
2023-07-05,199.6131
2023-07-03,199.3750
2023-06-30,199.1796
2023-06-29,198.9701
2023-06-28,198.7858
2023-06-27,198.6145
2023-06-26,198.4632
2023-06-23,198.3669
2023-06-22,198.2661
2023-06-21,198.1597
2023-06-20,197.9398
2023-06-16,197.7373
2023-06-15,197.3900
2023-06-14,197.0692
2023-06-13,196.7876
2023-06-12,196.4614
2023-06-09,196.0729
2023-06-08,195.7478
2023-06-07,195.3946
2023-06-06,195.1746
2023-06-05,195.0424
2023-06-02,194.8836
2023-06-01,194.6719
2023-05-31,194.5295
2023-05-30,194.4138
2023-05-26,194.3051
2023-05-25,194.2109
2023-05-24,194.1417
2023-05-23,194.0912
2023-05-22,193.9996
2023-05-19,193.8663
2023-05-18,193.7376
2023-05-17,193.5728
2023-05-16,193.4299
2023-05-15,193.3442
2023-05-12,193.2310
2023-05-11,193.1398
2023-05-10,193.0308
2023-05-09,192.9360
2023-05-08,192.8285
2023-05-05,192.7828
2023-05-04,192.7207
2023-05-03,192.6715
2023-05-02,192.5547
2023-05-01,192.3968
2023-04-28,192.2239
2023-04-27,191.9815
2023-04-26,191.7628
2023-04-25,191.5686
2023-04-24,191.3941
2023-04-21,191.1467
2023-04-20,190.8954
2023-04-19,190.5988
2023-04-18,190.2737
2023-04-17,189.9365
2023-04-14,189.6754
2023-04-13,189.4775
2023-04-12,188.9921
2023-04-11,188.5510
2023-04-10,188.0562
2023-04-06,187.6158
2023-04-05,187.1485
2023-04-04,186.7072
2023-04-03,186.1229
2023-03-31,185.4826
2023-03-30,184.8310
2023-03-29,184.1621
2023-03-28,183.6664
2023-03-27,183.2831
2023-03-24,183.0178
2023-03-23,182.8091
2023-03-22,182.5856
2023-03-21,182.3896
2023-03-20,182.0236
2023-03-17,181.5977
2023-03-16,181.2549
2023-03-15,180.8598
2023-03-14,180.5493
2023-03-13,179.9565
2023-03-10,179.4448
2023-03-09,178.9666
2023-03-08,178.5071
2023-03-07,177.9197
2023-03-06,177.2864
2023-03-03,176.5836
2023-03-02,175.6835
2023-03-01,174.9603
2023-02-28,174.3485
2023-02-27,173.8577
2023-02-24,173.4113
2023-02-23,173.0114
2023-02-22,172.4957
2023-02-21,172.0368
2023-02-17,171.6278
2023-02-16,171.0528
2023-02-15,170.4127
2023-02-14,169.6180
2023-02-13,168.8504
2023-02-10,168.1458
2023-02-09,167.6296
2023-02-08,167.2050
2023-02-07,166.7573
2023-02-06,166.3188
2023-02-03,166.0185
2023-02-02,165.7425
2023-02-01,165.3758
2023-01-31,164.9310
2023-01-30,164.5200
2023-01-27,164.1096
2023-01-26,163.6586
2023-01-25,163.1753
2023-01-24,162.7143
2023-01-23,162.2681
2023-01-20,161.8849
2023-01-19,161.6065
2023-01-18,161.3195
2023-01-17,161.0046
2023-01-13,160.6852
2023-01-12,160.3160
2023-01-11,159.8955
2023-01-10,159.5719
2023-01-09,159.2651
2023-01-06,158.9077
2023-01-05,158.5207
2023-01-04,158.2078
2023-01-03,157.9562
2022-12-30,157.7759
2022-12-29,157.6333
2022-12-28,157.4675
2022-12-27,157.2878
2022-12-23,157.0998
2022-12-22,156.9236
2022-12-21,156.7550
2022-12-20,156.4733
2022-12-19,156.2592
2022-12-16,156.1192
2022-12-15,155.9858
2022-12-14,155.8213
2022-12-13,155.6602
2022-12-12,155.4565
2022-12-09,155.2701
2022-12-08,155.1107
2022-12-07,154.9586
2022-12-06,154.8069
2022-12-05,154.6117
2022-12-02,154.3695
2022-12-01,154.1094
2022-11-30,153.8888
2022-11-29,153.6801
2022-11-28,153.4788
2022-11-25,153.2770
2022-11-23,153.0414
2022-11-22,152.8330
2022-11-21,152.6415
2022-11-18,152.4646
2022-11-17,152.2812
2022-11-16,152.0984
2022-11-15,151.9117
2022-11-14,151.7392
2022-11-11,151.6033
2022-11-10,151.4578
2022-11-09,151.2963
2022-11-08,151.1412
2022-11-07,150.9791
2022-11-04,150.8429
2022-11-03,150.7316
2022-11-02,150.6515
2022-11-01,150.7064
2022-10-31,150.8395
2022-10-28,150.9883
2022-10-27,151.1028
2022-10-26,151.2917
2022-10-25,151.5799
2022-10-24,151.6548
2022-10-21,151.8016
2022-10-20,151.9670
2022-10-19,152.1779
