Dates,PPO Values
2022-07-11,0.3699
2022-07-08,0.4376
2022-07-07,0.3635
2022-07-06,0.1964
2022-07-05,0.2521
2022-07-01,0.2162
2022-06-30,0.0074
2022-06-29,-0.0266
2022-06-28,-0.1992
2022-06-27,-0.4360
2022-06-24,-0.7341
2022-06-23,-1.3188
2022-06-22,-1.4717
2022-06-21,-1.8892
2022-06-17,-2.3638
2022-06-16,-2.9398
2022-06-15,-3.3661
2022-06-14,-3.8889
2022-06-13,-3.6031
2022-06-10,-2.7194
2022-06-09,-2.4152
2022-06-08,-2.5012
2022-06-07,-3.0171
2022-06-06,-3.7220
2022-06-03,-4.4485
2022-06-02,-5.3123
2022-06-01,-6.4346
2022-05-31,-7.0093
2022-05-27,-7.6988
2022-05-26,-8.5303
2022-05-25,-9.1170
2022-05-24,-9.3002
2022-05-23,-9.2130
2022-05-20,-9.3439
2022-05-19,-9.1445
2022-05-18,-9.2581
2022-05-17,-9.1702
2022-05-16,-9.4163
2022-05-13,-9.0444
2022-05-12,-8.6979
2022-05-11,-7.8946
2022-05-10,-7.2300
2022-05-09,-6.5560
2022-05-06,-5.6690
2022-05-05,-5.4760
2022-05-04,-5.2621
2022-05-03,-5.3261
2022-05-02,-5.1300
2022-04-29,-4.5208
2022-04-28,-3.7204
2022-04-27,-2.9903
2022-04-26,-2.0556
2022-04-25,-1.5682
2022-04-22,-1.4282
2022-04-21,-1.2871
2022-04-20,-1.3179
2022-04-19,-1.4791
2022-04-18,-1.7987
2022-04-14,-1.8382
2022-04-13,-1.9789
2022-04-12,-2.1815
2022-04-11,-2.0420
2022-04-08,-1.7688
2022-04-07,-1.4091
2022-04-06,-1.0860
2022-04-05,-0.7030
2022-04-04,-0.4191
2022-04-01,-0.5084
2022-03-31,-0.5925
2022-03-30,-0.7310
2022-03-29,-1.0806
2022-03-28,-1.4522
2022-03-25,-1.6002
2022-03-24,-1.8087
2022-03-23,-2.0538
2022-03-22,-2.1733
2022-03-21,-2.5656
2022-03-18,-2.7493
2022-03-17,-3.3212
2022-03-16,-3.8585
2022-03-15,-4.4218
2022-03-14,-4.5758
2022-03-11,-4.4707
2022-03-10,-4.3184
2022-03-09,-4.1860
2022-03-08,-3.9737
2022-03-07,-3.4061
2022-03-04,-2.4163
2022-03-03,-1.7423
2022-03-02,-1.2741
2022-03-01,-1.1116
2022-02-28,-0.7466
2022-02-25,-0.7879
2022-02-24,-0.6389
2022-02-23,-0.2913
2022-02-22,0.2505
2022-02-18,0.8206
2022-02-17,1.0394
2022-02-16,1.0853
2022-02-15,0.8704
2022-02-14,0.6393
2022-02-11,0.7064
2022-02-10,0.6722
2022-02-09,0.3040
2022-02-08,-0.0322
2022-02-07,-0.3355
2022-02-04,-0.6526
2022-02-03,-0.7770
2022-02-02,-0.9215
2022-02-01,-1.1488
2022-01-31,-1.4634
2022-01-28,-1.4390
2022-01-27,-0.9086
2022-01-26,-0.1884
2022-01-25,0.5029
2022-01-24,0.8988
2022-01-21,1.3841
2022-01-20,1.9223
2022-01-19,2.1668
2022-01-18,2.3110
2022-01-14,2.0846
2022-01-13,1.7143
2022-01-12,1.3085
2022-01-11,1.0789
2022-01-10,0.8373
2022-01-07,0.8440
2022-01-06,0.5352
2022-01-05,0.3363
2022-01-04,-0.0099
2022-01-03,-0.4829
2021-12-31,-0.7920
2021-12-30,-0.8456
2021-12-29,-0.9718
2021-12-28,-1.1668
2021-12-27,-1.5239
2021-12-23,-1.8076
2021-12-22,-2.1969
2021-12-21,-2.5326
2021-12-20,-2.8128
2021-12-17,-2.5663
2021-12-16,-2.4304
2021-12-15,-2.1335
2021-12-14,-1.9612
2021-12-13,-1.7199
2021-12-10,-1.4850
2021-12-09,-1.5429
2021-12-08,-1.7173
2021-12-07,-2.0859
2021-12-06,-2.4173
2021-12-03,-2.6590
2021-12-02,-2.5642
2021-12-01,-2.5998
2021-11-30,-1.9191
2021-11-29,-1.5030
2021-11-26,-0.9893
2021-11-24,-0.3619
2021-11-23,-0.0964
2021-11-22,0.3102
2021-11-19,0.7858
2021-11-18,1.1844
2021-11-17,1.0738
2021-11-16,0.9449
2021-11-15,0.8031
2021-11-12,0.2691
2021-11-11,0.1467
2021-11-10,0.0621
2021-11-09,-0.0057
2021-11-08,-0.2000
