Dates,MINUS_DI Values
2023-07-21,23.1661
2023-07-20,23.2431
2023-07-19,23.3699
2023-07-18,23.3292
2023-07-17,23.2159
2023-07-14,23.1746
2023-07-13,22.9652
2023-07-12,22.9633
2023-07-11,23.0516
2023-07-10,23.1976
2023-07-07,23.1926
2023-07-06,23.2660
2023-07-05,23.3433
2023-07-03,23.2725
2023-06-30,23.3094
2023-06-29,23.3135
2023-06-28,23.3706
2023-06-27,23.4232
2023-06-26,23.5011
2023-06-23,23.5475
2023-06-22,23.5167
2023-06-21,23.2119
2023-06-20,23.0778
2023-06-16,22.6540
2023-06-15,22.7439
2023-06-14,22.7831
2023-06-13,22.6169
2023-06-12,22.6857
2023-06-09,22.8193
2023-06-08,22.8831
2023-06-07,23.0323
2023-06-06,23.1286
2023-06-05,22.7777
2023-06-02,22.6826
2023-06-01,22.8165
2023-05-31,22.9002
2023-05-30,22.8038
2023-05-26,22.8865
2023-05-25,22.9591
2023-05-24,22.9818
2023-05-23,22.6781
2023-05-22,22.6531
2023-05-19,22.6505
2023-05-18,22.7183
2023-05-17,22.7938
2023-05-16,22.9345
2023-05-15,22.9863
2023-05-12,23.0718
2023-05-11,23.1506
2023-05-10,23.2187
2023-05-09,23.2678
2023-05-08,23.4037
2023-05-05,23.4641
2023-05-04,23.5064
2023-05-03,23.0790
2023-05-02,23.1803
2023-05-01,22.9767
2023-04-28,23.0655
2023-04-27,23.0894
2023-04-26,23.1994
2023-04-25,23.3733
2023-04-24,23.2912
2023-04-21,23.2776
2023-04-20,23.2054
2023-04-19,23.2070
2023-04-18,23.2782
2023-04-17,23.3729
2023-04-14,23.4695
2023-04-13,22.7067
2023-04-12,22.7455
2023-04-11,22.6845
2023-04-10,22.7502
2023-04-06,22.8276
2023-04-05,22.8661
2023-04-04,22.9299
2023-04-03,22.7769
2023-03-31,22.8854
2023-03-30,22.9520
2023-03-29,23.0648
2023-03-28,23.1305
2023-03-27,23.2343
2023-03-24,23.3063
2023-03-23,23.2838
