Dates,KAMA Values
2023-07-20,208.7132
2023-07-19,208.6037
2023-07-18,208.6037
2023-07-17,208.5424
2023-07-14,208.4927
2023-07-13,208.4303
2023-07-12,208.2784
2023-07-11,208.1540
2023-07-10,207.9695
2023-07-07,207.8926
2023-07-06,207.8338
2023-07-05,207.7853
2023-07-03,207.7214
2023-06-30,207.6988
2023-06-29,207.6781
2023-06-28,207.6497
2023-06-27,207.6227
2023-06-26,207.6033
2023-06-23,207.6246
2023-06-22,207.6455
2023-06-21,207.6643
2023-06-20,207.6420
2023-06-16,207.6192
2023-06-15,207.4529
2023-06-14,207.3515
2023-06-13,207.3017
2023-06-12,207.1581
2023-06-09,206.9582
2023-06-08,206.8278
2023-06-07,206.6352
2023-06-06,206.5559
2023-06-05,206.5462
2023-06-02,206.5133
2023-06-01,206.3462
2023-05-31,206.3355
2023-05-30,206.3386
2023-05-26,206.3500
2023-05-25,206.3622
2023-05-24,206.3956
2023-05-23,206.4704
2023-05-22,206.4884
2023-05-19,206.4920
2023-05-18,206.4992
2023-05-17,206.4960
2023-05-16,206.4942
2023-05-15,206.5703
2023-05-12,206.6267
2023-05-11,206.6945
2023-05-10,206.7229
2023-05-09,206.7498
2023-05-08,206.7742
2023-05-05,206.8189
2023-05-04,206.9124
2023-05-03,207.0115
2023-05-02,207.0542
2023-05-01,207.0915
2023-04-28,207.1229
2023-04-27,207.1269
2023-04-26,207.1411
2023-04-25,207.1960
2023-04-24,207.2535
2023-04-21,207.2654
2023-04-20,207.2858
2023-04-19,207.2863
2023-04-18,207.2790
2023-04-17,207.2730
2023-04-14,207.2878
2023-04-13,207.3609
2023-04-12,207.3329
2023-04-11,207.3045
2023-04-10,207.2804
2023-04-06,207.2621
2023-04-05,207.2421
2023-04-04,207.2276
2023-04-03,207.1843
2023-03-31,207.1034
2023-03-30,207.0636
2023-03-29,207.0435
2023-03-28,207.0377
2023-03-27,207.0594
2023-03-24,207.1572
2023-03-23,207.2694
