Dates,EMA Values
2022-08-16,155.2473
2022-08-15,154.5603
2022-08-12,153.9109
2022-08-11,153.2546
2022-08-10,152.6577
2022-08-09,151.9898
2022-08-08,151.4649
2022-08-05,150.8761
2022-08-04,150.2980
2022-08-03,149.6367
2022-08-02,148.9427
2022-08-01,148.3575
2022-07-29,147.5121
2022-07-28,147.0305
2022-07-27,146.5383
2022-07-26,146.1484
2022-07-25,145.7496
2022-07-22,145.3051
2022-07-21,144.7804
2022-07-20,144.1017
2022-07-19,143.5189
2022-07-18,143.0041
2022-07-15,142.8116
2022-07-14,142.6105
2022-07-13,142.4252
2022-07-12,142.3630
2022-07-11,142.1676
2022-07-08,142.3789
2022-07-07,142.5140
2022-07-06,142.6178
2022-07-05,142.8752
2022-07-01,143.0865
2022-06-30,143.2190
2022-06-29,143.4843
2022-06-28,143.6897
2022-06-27,143.8934
2022-06-24,144.1046
2022-06-23,144.2096
2022-06-22,144.6276
2022-06-21,144.9324
2022-06-17,145.2664
2022-06-16,145.6119
2022-06-15,146.1120
2022-06-14,146.6178
2022-06-13,147.6161
2022-06-10,148.9122
2022-06-09,149.8066
2022-06-08,150.4628
2022-06-07,150.9050
2022-06-06,151.3166
2022-06-03,151.8095
2022-06-02,152.3222
2022-06-01,152.8047
2022-05-31,153.7090
2022-05-27,154.6195
2022-05-26,155.5334
2022-05-25,156.6682
2022-05-24,158.0808
2022-05-23,159.6596
2022-05-20,161.1123
2022-05-19,162.7617
2022-05-18,164.2157
2022-05-17,165.7951
2022-05-16,167.1724
2022-05-13,168.9325
2022-05-12,170.6359
2022-05-11,172.5745
2022-05-10,174.3372
2022-05-09,176.0264
2022-05-06,177.7700
2022-05-05,178.9483
2022-05-04,180.1107
2022-05-03,181.0552
2022-05-02,182.1767
2022-04-29,183.5467
2022-04-28,184.9633
2022-04-27,186.2182
2022-04-26,187.5144
2022-04-25,188.3501
2022-04-22,188.8579
2022-04-21,189.3451
2022-04-20,189.6849
2022-04-19,189.9353
2022-04-18,190.0968
2022-04-14,190.5150
2022-04-13,190.8650
2022-04-12,191.1913
2022-04-11,191.8000
2022-04-08,192.4844
2022-04-07,193.1899
2022-04-06,193.8112
2022-04-05,194.4271
2022-04-04,194.9078
2022-04-01,195.0600
2022-03-31,195.2355
2022-03-30,195.3880
2022-03-29,195.4075
2022-03-28,195.4731
2022-03-25,195.7716
2022-03-24,196.0500
2022-03-23,196.3357
2022-03-22,196.7559
2022-03-21,196.9893
2022-03-18,197.4419
