Dates,RSI Values
2023-07-20,51.5489
2023-07-19,51.1550
2023-07-18,51.4015
2023-07-17,51.4264
2023-07-14,51.5299
2023-07-13,51.8396
2023-07-12,51.8612
2023-07-11,51.9982
2023-07-10,51.5780
2023-07-07,51.4841
2023-07-06,51.5268
2023-07-05,51.5833
2023-07-03,51.3997
2023-06-30,51.4192
2023-06-29,51.4734
2023-06-28,51.3889
2023-06-27,51.2909
2023-06-26,50.9975
2023-06-23,50.9845
2023-06-22,51.0003
2023-06-21,51.5143
2023-06-20,51.5375
2023-06-16,52.1506
2023-06-15,52.1075
2023-06-14,51.9208
2023-06-13,52.2015
2023-06-12,52.2969
2023-06-09,51.9824
2023-06-08,52.0467
2023-06-07,51.5867
2023-06-06,51.2372
2023-06-05,51.3556
2023-06-02,51.7181
2023-06-01,51.3144
2023-05-31,51.1431
2023-05-30,51.0665
2023-05-26,50.9863
2023-05-25,50.7772
2023-05-24,50.6557
2023-05-23,50.9158
2023-05-22,51.1757
2023-05-19,51.1442
2023-05-18,51.2813
2023-05-17,51.2538
2023-05-16,50.8060
2023-05-15,50.9535
2023-05-12,50.7986
2023-05-11,50.8867
2023-05-10,50.8123
2023-05-09,50.8921
2023-05-08,50.5489
2023-05-05,50.6312
2023-05-04,50.5355
2023-05-03,50.8304
2023-05-02,51.0075
2023-05-01,51.0548
2023-04-28,51.2768
2023-04-27,51.2232
2023-04-26,51.0047
2023-04-25,50.9437
2023-04-24,51.2141
2023-04-21,51.1694
2023-04-20,51.3263
2023-04-19,51.4380
2023-04-18,51.4138
2023-04-17,51.1764
2023-04-14,50.9393
2023-04-13,51.8355
2023-04-12,51.7466
2023-04-11,51.7452
2023-04-10,51.6364
2023-04-06,51.6808
2023-04-05,51.5845
2023-04-04,51.8773
2023-04-03,51.9895
2023-03-31,51.7834
2023-03-30,51.6865
2023-03-29,51.4722
2023-03-28,51.2613
2023-03-27,50.9519
2023-03-24,50.7365
2023-03-23,50.7635
2023-03-22,50.6406
2023-03-21,51.2656
2023-03-20,51.2708
2023-03-17,51.0100
2023-03-16,51.1667
2023-03-15,50.8168
2023-03-14,51.4854
2023-03-13,51.2100
2023-03-10,51.1889
2023-03-09,51.0601
2023-03-08,51.5003
2023-03-07,51.5538
2023-03-06,51.8511
2023-03-03,52.0895
2023-03-02,51.7400
2023-03-01,51.3548
2023-02-28,51.1435
2023-02-27,51.0666
2023-02-24,50.9038
2023-02-23,51.6425
2023-02-22,51.4761
2023-02-21,51.4593
2023-02-17,51.9176
2023-02-16,51.9588
2023-02-15,52.3524
2023-02-14,52.4287
2023-02-13,52.2367
2023-02-10,52.0468
2023-02-09,51.9849
2023-02-08,52.0972
2023-02-07,52.1908
2023-02-06,51.6453
2023-02-03,51.5900
2023-02-02,51.8356
2023-02-01,52.2374
2023-01-31,52.1180
2023-01-30,51.8901
2023-01-27,52.0010
2023-01-26,52.1163
2023-01-25,52.1129
2023-01-24,52.0657
2023-01-23,51.9303
2023-01-20,51.7136
2023-01-19,51.7374
2023-01-18,51.9050
2023-01-17,52.0495
2023-01-13,52.2464
2023-01-12,52.2602
2023-01-11,51.8430
2023-01-10,51.7536
2023-01-09,51.8880
2023-01-06,52.2060
2023-01-05,51.6732
2023-01-04,51.5827
2023-01-03,51.0251
2022-12-30,50.6894
2022-12-29,50.5807
2022-12-28,50.5444
2022-12-27,50.6157
2022-12-23,50.5926
2022-12-22,50.5377
2022-12-21,51.0781
2022-12-20,50.5547
2022-12-19,50.3759
2022-12-16,50.3087
2022-12-15,50.2417
2022-12-14,50.5552
2022-12-13,50.4792
2022-12-12,50.4210
2022-12-09,49.9628
2022-12-08,49.9314
2022-12-07,49.7551
2022-12-06,49.8858
2022-12-05,50.3407
2022-12-02,50.1896
2022-12-01,49.7055
2022-11-30,49.9166
2022-11-29,49.6724
2022-11-28,49.4318
2022-11-25,49.8756
2022-11-23,49.6338
2022-11-22,49.4714
2022-11-21,49.5011
2022-11-18,49.5651
2022-11-17,49.4892
2022-11-16,49.4831
2022-11-15,49.6604
2022-11-14,49.5387
2022-11-11,49.8011
2022-11-10,49.8071
2022-11-09,49.2094
2022-11-08,49.2675
2022-11-07,48.9464
2022-11-04,48.6098
2022-11-03,48.3845
2022-11-02,47.7312
2022-11-01,47.4457
2022-10-31,47.3839
2022-10-28,47.4688
2022-10-27,47.1801
2022-10-26,46.7542
2022-10-25,47.5765
2022-10-24,47.2463
2022-10-21,47.1938
2022-10-20,47.0364
2022-10-19,46.9832
2022-10-18,46.9080
2022-10-17,46.8187
2022-10-14,46.6084
2022-10-13,46.5547
2022-10-12,46.4133
2022-10-11,46.4844
2022-10-10,46.5047
2022-10-07,46.3555
2022-10-06,46.5029
2022-10-05,46.4966
2022-10-04,46.5819
2022-10-03,46.0575
2022-09-30,45.7042
2022-09-29,45.9603
2022-09-28,46.4546
2022-09-27,46.0323
2022-09-26,46.0202
2022-09-23,46.2590
2022-09-22,46.7174
2022-09-21,47.0024
2022-09-20,47.1680
2022-09-19,47.0938
2022-09-16,47.0526
2022-09-15,47.3942
2022-09-14,47.3582
2022-09-13,47.2233
2022-09-12,47.9381
2022-09-09,47.8555
2022-09-08,47.8725
2022-09-07,47.7466
2022-09-06,47.5026
2022-09-02,47.4635
2022-09-01,47.5773
2022-08-31,47.9872
2022-08-30,48.1099
2022-08-29,48.3112
2022-08-26,48.2515
2022-08-25,48.5557
2022-08-24,48.1682
2022-08-23,47.9298
2022-08-22,47.8562
2022-08-19,48.1009
2022-08-18,48.4621
2022-08-17,48.3625
2022-08-16,48.6690
2022-08-15,48.5620
2022-08-12,48.5301
2022-08-11,48.3904
2022-08-10,48.4611
2022-08-09,48.1855
2022-08-08,48.2496
2022-08-05,48.1936
2022-08-04,48.2829
2022-08-03,48.2914
2022-08-02,48.0722
2022-08-01,48.4241
2022-07-29,47.7830
2022-07-28,47.7684
2022-07-27,47.5700
2022-07-26,47.5588
2022-07-25,47.6018
2022-07-22,47.6923
2022-07-21,47.8860
2022-07-20,47.6889
2022-07-19,47.5423
