Dates,NATR Values
2023-07-21,2.8224
2023-07-20,2.8033
2023-07-19,2.8693
2023-07-18,2.8346
2023-07-17,2.8366
2023-07-14,2.8283
2023-07-13,2.7838
2023-07-12,2.7885
2023-07-11,2.7707
2023-07-10,2.8378
2023-07-07,2.8627
2023-07-06,2.8610
2023-07-05,2.8566
2023-07-03,2.8882
2023-06-30,2.8949
2023-06-29,2.8911
2023-06-28,2.9138
2023-06-27,2.9398
2023-06-26,2.9999
2023-06-23,3.0116
2023-06-22,3.0163
2023-06-21,2.9190
2023-06-20,2.9211
2023-06-16,2.8156
2023-06-15,2.8260
2023-06-14,2.8608
2023-06-13,2.8171
2023-06-12,2.8076
2023-06-09,2.8601
2023-06-08,2.8559
2023-06-07,2.9348
2023-06-06,3.0031
2023-06-05,2.9700
2023-06-02,2.9077
2023-06-01,2.9800
2023-05-31,3.0168
2023-05-30,3.0340
2023-05-26,3.0540
2023-05-25,3.1017
2023-05-24,3.1293
2023-05-23,3.0807
2023-05-22,3.0341
2023-05-19,3.0480
2023-05-18,3.0284
2023-05-17,3.0390
2023-05-16,3.1262
2023-05-15,3.1055
2023-05-12,3.1416
2023-05-11,3.1288
2023-05-10,3.1490
2023-05-09,3.1362
2023-05-08,3.2071
2023-05-05,3.1974
2023-05-04,3.2287
2023-05-03,3.1623
2023-05-02,3.1282
2023-05-01,3.1242
2023-04-28,3.0838
2023-04-27,3.1006
2023-04-26,3.1473
2023-04-25,3.1527
2023-04-24,3.1020
2023-04-21,3.1191
2023-04-20,3.0931
2023-04-19,3.0774
2023-04-18,3.0885
2023-04-17,3.1418
2023-04-14,3.1963
2023-04-13,2.9974
2023-04-12,3.0250
2023-04-11,3.0307
2023-04-10,3.0593
2023-04-06,3.0557
2023-04-05,3.0811
2023-04-04,3.0271
2023-04-03,3.0066
2023-03-31,3.0493
2023-03-30,3.0759
2023-03-29,3.1216
2023-03-28,3.1743
2023-03-27,3.2456
2023-03-24,3.3018
2023-03-23,3.3021
2023-03-22,3.3319
2023-03-21,3.1876
2023-03-20,3.1927
2023-03-17,3.2557
2023-03-16,3.2272
2023-03-15,3.3009
2023-03-14,3.1362
2023-03-13,3.1874
2023-03-10,3.1835
2023-03-09,3.2106
2023-03-08,3.1128
2023-03-07,3.1105
2023-03-06,3.0543
2023-03-03,3.0112
2023-03-02,3.0831
2023-03-01,3.1644
