Dates,BBANDS Values
2023-07-20,221.7434
2023-07-19,209.8410
2023-07-18,197.9386
2023-07-17,221.8739
2023-07-14,209.5140
2023-07-13,197.1541
2023-07-12,222.0571
2023-07-11,209.3088
2023-07-10,196.5605
2023-07-07,222.2016
2023-07-06,209.0184
2023-07-05,195.8352
2023-07-03,222.1483
2023-06-30,208.7996
2023-06-29,195.4509
2023-06-28,221.9814
2023-06-27,208.6022
2023-06-26,195.2230
2023-06-23,221.5745
2023-06-22,208.3426
2023-06-21,195.1107
2023-06-20,221.1344
2023-06-16,208.1360
2023-06-15,195.1376
2023-06-14,220.5315
2023-06-13,207.8816
2023-06-12,195.2317
2023-06-09,220.3005
2023-06-08,207.6760
2023-06-07,195.0515
2023-06-06,220.1294
2023-06-05,207.4778
2023-06-02,194.8262
2023-06-01,219.9148
2023-05-31,207.3408
2023-05-30,194.7668
2023-05-26,219.6488
2023-05-25,207.1776
2023-05-24,194.7064
2023-05-23,219.5292
2023-05-22,207.1038
2023-05-19,194.6784
2023-05-18,219.4350
2023-05-17,207.0548
2023-05-16,194.6746
2023-05-15,219.2968
2023-05-12,206.9856
2023-05-11,194.6744
2023-05-10,219.1479
2023-05-09,206.8718
2023-05-08,194.5957
2023-05-05,219.0550
2023-05-04,206.7174
2023-05-03,194.3798
2023-05-02,219.3591
2023-05-01,206.8776
2023-04-28,194.3961
2023-04-27,219.5831
2023-04-26,207.0162
2023-04-25,194.4493
2023-04-24,219.7974
2023-04-21,207.1504
2023-04-20,194.5034
2023-04-19,219.7361
2023-04-18,207.1244
2023-04-17,194.5127
2023-04-14,219.6859
2023-04-13,207.1044
2023-04-12,194.5229
2023-04-11,218.9678
2023-04-10,206.9046
2023-04-06,194.8414
2023-04-05,218.4938
2023-04-04,206.7944
2023-04-03,195.0950
2023-03-31,218.3665
2023-03-30,206.7642
2023-03-29,195.1619
2023-03-28,217.6619
2023-03-27,206.6052
2023-03-24,195.5485
2023-03-23,216.6785
2023-03-22,206.3948
2023-03-21,196.1111
2023-03-20,216.0203
2023-03-17,206.2080
2023-03-16,196.3957
2023-03-15,215.1535
2023-03-14,205.9450
2023-03-13,196.7365
2023-03-10,214.8849
2023-03-09,205.7178
2023-03-08,196.5507
2023-03-07,214.9592
2023-03-06,205.5226
2023-03-03,196.0860
2023-03-02,214.9310
2023-03-01,205.3050
2023-02-28,195.6790
2023-02-27,214.6437
2023-02-24,204.9618
2023-02-23,195.2799
2023-02-22,214.5407
2023-02-21,204.8966
2023-02-17,195.2525
2023-02-16,214.5194
2023-02-15,204.8780
2023-02-14,195.2366
2023-02-13,214.5060
2023-02-10,204.8052
2023-02-09,195.1044
2023-02-08,214.5022
2023-02-07,204.7964
2023-02-06,195.0906
2023-02-03,214.5630
2023-02-02,204.7432
2023-02-01,194.9234
2023-01-31,214.6217
2023-01-30,204.9034
2023-01-27,195.1851
2023-01-26,214.6249
2023-01-25,204.9188
2023-01-24,195.2127
2023-01-23,214.5774
2023-01-20,204.8620
2023-01-19,195.1466
2023-01-18,214.5432
2023-01-17,204.7770
2023-01-13,195.0108
2023-01-12,214.5416
2023-01-11,204.7762
2023-01-10,195.0108
2023-01-09,214.5850
2023-01-06,204.7972
2023-01-05,195.0094
2023-01-04,214.9394
2023-01-03,205.0182
2022-12-30,195.0970
2022-12-29,215.5572
2022-12-28,205.2650
2022-12-27,194.9728
2022-12-23,215.7460
2022-12-22,205.4522
2022-12-21,195.1584
2022-12-20,215.7520
2022-12-19,205.5064
2022-12-16,195.2608
2022-12-15,215.7422
2022-12-14,205.5206
2022-12-13,195.2990
2022-12-12,215.7619
2022-12-09,205.4922
2022-12-08,195.2225
2022-12-07,215.7255
2022-12-06,205.5100
2022-12-05,195.2945
2022-12-02,215.7377
2022-12-01,205.7058
2022-11-30,195.6739
2022-11-29,215.6024
2022-11-28,205.8800
2022-11-25,196.1576
2022-11-23,215.5916
2022-11-22,205.9718
2022-11-21,196.3520
2022-11-18,215.8572
2022-11-17,206.1400
2022-11-16,196.4228
2022-11-15,216.1479
2022-11-14,206.3068
2022-11-11,196.4657
2022-11-10,216.8430
2022-11-09,206.5200
2022-11-08,196.1970
2022-11-07,217.6165
2022-11-04,206.7682
2022-11-03,195.9199
2022-11-02,218.0941
2022-11-01,207.0206
2022-10-31,195.9471
2022-10-28,218.3400
2022-10-27,207.2346
2022-10-26,196.1292
2022-10-25,218.5351
2022-10-24,207.3590
2022-10-21,196.1829
2022-10-20,218.8140
2022-10-19,207.5260
2022-10-18,196.2380
2022-10-17,219.1443
2022-10-14,207.6766
2022-10-13,196.2089
2022-10-12,219.1050
2022-10-11,207.6386
2022-10-10,196.1722
2022-10-07,219.0647
2022-10-06,207.5914
2022-10-05,196.1181
2022-10-04,219.1374
2022-10-03,207.6776
2022-09-30,196.2178
2022-09-29,219.4366
2022-09-28,207.9384
2022-09-27,196.4402
2022-09-26,219.4027
2022-09-23,207.9266
2022-09-22,196.4505
2022-09-21,219.2914
2022-09-20,207.8732
2022-09-19,196.4550
2022-09-16,219.2371
2022-09-15,207.8502
2022-09-14,196.4633
2022-09-13,219.3292
2022-09-12,207.8892
2022-09-09,196.4492
2022-09-08,219.3931
2022-09-07,207.9154
2022-09-06,196.4377
2022-09-02,219.4748
2022-09-01,207.9550
2022-08-31,196.4352
2022-08-30,219.2859
2022-08-29,207.8764
2022-08-26,196.4669
2022-08-25,218.9128
2022-08-24,207.7038
2022-08-23,196.4948
2022-08-22,218.7253
2022-08-19,207.5970
2022-08-18,196.4687
2022-08-17,218.6617
2022-08-16,207.5644
2022-08-15,196.4671
2022-08-12,218.7822
2022-08-11,207.6332
2022-08-10,196.4842
2022-08-09,219.0848
2022-08-08,207.8166
2022-08-05,196.5484
2022-08-04,219.3099
2022-08-03,208.0916
2022-08-02,196.8733
2022-08-01,219.1068
2022-07-29,208.3016
2022-07-28,197.4964
2022-07-27,218.8784
2022-07-26,208.4774
2022-07-25,198.0764
2022-07-22,218.5132
2022-07-21,208.7256
2022-07-20,198.9380
2022-07-19,218.6820
2022-07-18,208.8916
2022-07-15,199.1012
2022-07-14,218.6792
2022-07-13,208.8960
2022-07-12,199.1128
2022-07-11,218.5907
2022-07-08,208.9478
2022-07-07,199.3049
2022-07-06,219.0359
2022-07-05,208.7918
2022-07-01,198.5477
2022-06-30,219.7137
2022-06-29,208.6374
2022-06-28,197.5611
2022-06-27,220.6446
2022-06-24,208.2700
2022-06-23,195.8954
2022-06-22,221.4794
2022-06-21,207.9702
2022-06-17,194.4610
2022-06-16,222.1144
2022-06-15,207.6968
2022-06-14,193.2792
2022-06-13,222.6874
2022-06-10,207.4532
2022-06-09,192.2190
2022-06-08,223.2298
2022-06-07,207.0742
2022-06-06,190.9186
2022-06-03,223.2836
2022-06-02,206.8358
2022-06-01,190.3880
2022-05-31,223.5412
2022-05-27,206.3632
2022-05-26,189.1852
2022-05-25,223.7134
2022-05-24,205.7746
2022-05-23,187.8358
2022-05-20,224.1044
2022-05-19,205.2674
2022-05-18,186.4304
2022-05-17,224.6306
2022-05-16,204.8508
2022-05-13,185.0710
2022-05-12,224.8859
2022-05-11,204.5848
2022-05-10,184.2837
2022-05-09,225.1715
2022-05-06,204.3182
2022-05-05,183.4649
2022-05-04,225.4734
2022-05-03,204.0806
2022-05-02,182.6878
2022-04-29,225.9412
2022-04-28,203.5088
2022-04-27,181.0764
2022-04-26,226.4146
2022-04-25,202.9752
2022-04-22,179.5358
2022-04-21,226.9634
2022-04-20,202.3948
2022-04-19,177.8262
2022-04-18,227.0467
2022-04-14,201.7302
2022-04-13,176.4137
2022-04-12,226.7436
2022-04-11,201.1880
2022-04-08,175.6324
2022-04-07,226.1265
2022-04-06,200.4966
2022-04-05,174.8667
2022-04-04,225.6637
2022-04-01,199.6432
2022-03-31,173.6227
2022-03-30,225.1546
2022-03-29,198.9078
2022-03-28,172.6610
2022-03-25,224.9054
2022-03-24,198.1564
2022-03-23,171.4074
2022-03-22,224.7952
2022-03-21,197.3532
2022-03-18,169.9112
2022-03-17,224.2020
2022-03-16,196.6504
2022-03-15,169.0988
2022-03-14,223.5709
2022-03-11,195.8522
2022-03-10,168.1335
2022-03-09,223.4584
2022-03-08,195.1660
2022-03-07,166.8736
2022-03-04,223.2939
2022-03-03,194.5046
2022-03-02,165.7153
2022-03-01,222.8335
2022-02-28,193.7956
2022-02-25,164.7577
2022-02-24,221.9491
2022-02-23,192.9562
2022-02-22,163.9633
2022-02-18,221.1104
2022-02-17,192.1500
2022-02-16,163.1896
2022-02-15,220.3573
2022-02-14,191.4636
2022-02-11,162.5699
2022-02-10,219.4720
2022-02-09,190.7112
2022-02-08,161.9504
2022-02-07,218.2977
2022-02-04,190.0064
2022-02-03,161.7151
2022-02-02,217.0470
2022-02-01,189.3044
2022-01-31,161.5618
2022-01-28,215.9960
2022-01-27,188.4396
2022-01-26,160.8832
2022-01-25,214.9822
2022-01-24,187.6326
2022-01-21,160.2830
2022-01-20,214.3135
2022-01-19,186.7956
2022-01-18,159.2777
2022-01-14,213.7491
2022-01-13,185.8540
2022-01-12,157.9589
2022-01-11,213.0333
2022-01-10,184.8008
2022-01-07,156.5683
2022-01-06,212.6021
2022-01-05,183.5208
2022-01-04,154.4395
2022-01-03,211.9665
2021-12-31,182.1058
2021-12-30,152.2451
2021-12-29,211.0968
2021-12-28,180.6696
2021-12-27,150.2424
2021-12-23,210.4961
2021-12-22,179.3858
2021-12-21,148.2755
2021-12-20,210.0887
2021-12-17,178.0472
2021-12-16,146.0057
2021-12-15,209.7160
2021-12-14,176.5516
2021-12-13,143.3872
2021-12-10,207.7528
2021-12-09,175.2246
2021-12-08,142.6964
2021-12-07,206.6600
2021-12-06,173.9658
2021-12-03,141.2716
2021-12-02,205.5448
2021-12-01,172.7194
2021-11-30,139.8940
2021-11-29,205.0843
2021-11-26,171.5942
2021-11-24,138.1041
2021-11-23,204.8579
2021-11-22,170.5522
2021-11-19,136.2465
2021-11-18,204.6479
2021-11-17,169.5208
2021-11-16,134.3937
2021-11-15,204.3984
2021-11-12,168.4750
2021-11-11,132.5516
2021-11-10,204.0955
2021-11-09,167.3500
2021-11-08,130.6045
2021-11-05,203.7016
2021-11-04,166.2168
2021-11-03,128.7320
2021-11-02,203.3150
2021-11-01,165.0602
2021-10-29,126.8054
2021-10-28,202.1113
2021-10-27,163.7716
2021-10-26,125.4319
2021-10-25,201.3481
2021-10-22,162.6438
2021-10-21,123.9395
2021-10-20,200.7296
2021-10-19,161.5260
2021-10-18,122.3224
2021-10-15,199.9519
2021-10-14,160.4760
2021-10-13,121.0001
2021-10-12,199.1330
2021-10-11,159.4438
2021-10-08,119.7546
2021-10-07,197.8187
2021-10-06,158.3490
2021-10-05,118.8793
2021-10-04,196.7390
2021-10-01,157.1274
2021-09-30,117.5158
2021-09-29,195.8022
