Dates,ROCR Values
2023-07-20,1.7642
2023-07-19,1.6644
2023-07-18,1.5855
2023-07-17,1.6616
2023-07-14,1.6736
2023-07-13,1.6521
2023-07-12,1.5652
2023-07-11,1.5267
2023-07-10,1.4616
2023-07-07,1.4640
2023-07-06,1.4736
2023-07-05,1.4242
2023-07-03,1.4131
2023-06-30,1.4334
2023-06-29,1.3346
2023-06-28,1.3377
2023-06-27,1.3273
2023-06-26,1.3182
2023-06-23,1.3479
2023-06-22,1.3543
2023-06-21,1.3802
2023-06-20,1.3252
2023-06-16,1.3562
2023-06-15,1.3264
2023-06-14,1.3183
2023-06-13,1.3011
2023-06-12,1.3543
2023-06-09,1.3576
2023-06-08,1.3719
2023-06-07,1.3008
2023-06-06,1.2288
2023-06-05,1.2487
2023-06-02,1.2397
2023-06-01,1.2199
2023-05-31,1.2101
2023-05-30,1.2193
2023-05-26,1.2048
2023-05-25,1.2185
2023-05-24,1.2012
2023-05-23,1.2276
2023-05-22,1.2367
2023-05-19,1.2331
2023-05-18,1.2692
2023-05-17,1.2236
2023-05-16,1.2609
2023-05-15,1.2746
2023-05-12,1.2858
2023-05-11,1.2945
2023-05-10,1.2822
2023-05-09,1.2764
2023-05-08,1.2221
2023-05-05,1.2523
2023-05-04,1.2621
2023-05-03,1.3602
2023-05-02,1.3757
2023-05-01,1.3855
2023-04-28,1.4365
2023-04-27,1.4002
2023-04-26,1.4821
2023-04-25,1.4539
2023-04-24,1.4701
2023-04-21,1.5050
2023-04-20,1.5049
2023-04-19,1.4925
2023-04-18,1.5241
2023-04-17,1.4809
2023-04-14,1.4543
2023-04-13,1.5397
2023-04-12,1.5003
2023-04-11,1.5848
2023-04-10,1.5367
2023-04-06,1.5457
2023-04-05,1.5351
2023-04-04,1.6039
2023-04-03,1.6108
2023-03-31,1.7389
2023-03-30,1.8215
2023-03-29,1.6376
2023-03-28,1.5326
2023-03-27,1.4364
2023-03-24,1.4027
2023-03-23,1.4213
2023-03-22,1.4087
2023-03-21,1.4569
2023-03-20,1.5673
2023-03-17,1.5301
2023-03-16,1.5366
2023-03-15,1.5518
2023-03-14,1.6982
2023-03-13,1.7033
2023-03-10,1.6367
2023-03-09,1.6673
2023-03-08,1.6297
2023-03-07,1.6565
2023-03-06,1.6048
2023-03-03,1.7341
2023-03-02,1.6514
2023-03-01,1.6611
2023-02-28,1.5577
2023-02-27,1.5078
2023-02-24,1.4864
2023-02-23,1.3978
2023-02-22,1.3674
2023-02-21,1.3093
2023-02-17,1.3782
2023-02-16,1.4280
2023-02-15,1.4609
2023-02-14,1.4165
2023-02-13,1.3962
2023-02-10,1.2745
2023-02-09,1.2051
2023-02-08,1.2068
2023-02-07,1.1864
2023-02-06,1.1267
2023-02-03,1.1077
2023-02-02,1.1640
2023-02-01,1.1803
2023-01-31,1.1648
2023-01-30,1.1894
2023-01-27,1.2065
2023-01-26,1.2142
2023-01-25,1.1950
2023-01-24,1.1861
2023-01-23,1.1496
2023-01-20,1.0815
2023-01-19,1.0856
2023-01-18,1.0935
2023-01-17,1.0847
2023-01-13,1.1049
2023-01-12,1.1390
2023-01-11,1.1010
2023-01-10,1.0933
2023-01-09,1.1211
2023-01-06,1.1149
2023-01-05,1.1027
2023-01-04,1.0561
2023-01-03,1.0273
2022-12-30,1.0079
2022-12-29,1.0501
2022-12-28,1.0733
2022-12-27,1.0747
2022-12-23,1.0598
2022-12-22,1.0543
2022-12-21,1.1277
2022-12-20,1.1130
2022-12-19,1.0268
2022-12-16,0.9780
2022-12-15,0.9288
2022-12-14,0.9658
2022-12-13,0.9113
2022-12-12,0.9245
2022-12-09,0.9048
2022-12-08,0.9117
2022-12-07,0.8881
2022-12-06,0.8536
2022-12-05,0.8667
2022-12-02,0.8353
2022-12-01,0.8073
2022-11-30,0.8516
2022-11-29,0.8258
2022-11-28,0.7855
2022-11-25,0.8263
2022-11-23,0.8199
2022-11-22,0.8140
2022-11-21,0.8377
2022-11-18,0.8425
2022-11-17,0.8326
2022-11-16,0.8289
2022-11-15,0.8757
2022-11-14,0.9107
2022-11-11,0.9354
2022-11-10,0.9141
2022-11-09,0.8268
2022-11-08,0.8307
2022-11-07,0.8027
2022-11-04,0.7470
2022-11-03,0.7221
2022-11-02,0.6551
2022-11-01,0.6345
2022-10-31,0.6365
2022-10-28,0.6615
2022-10-27,0.6470
2022-10-26,0.6392
2022-10-25,0.6805
2022-10-24,0.6721
2022-10-21,0.6633
2022-10-20,0.6513
2022-10-19,0.6658
2022-10-18,0.6822
2022-10-17,0.6714
2022-10-14,0.6538
2022-10-13,0.6423
2022-10-12,0.6419
2022-10-11,0.6443
2022-10-10,0.6540
2022-10-07,0.6505
2022-10-06,0.7014
2022-10-05,0.6858
2022-10-04,0.6998
2022-10-03,0.6450
2022-09-30,0.6193
2022-09-29,0.6349
2022-09-28,0.6507
2022-09-27,0.6143
2022-09-26,0.6034
2022-09-23,0.6285
2022-09-22,0.6737
2022-09-21,0.7219
2022-09-20,0.7211
2022-09-19,0.7699
2022-09-16,0.7293
2022-09-15,0.7546
2022-09-14,0.7493
2022-09-13,0.6995
2022-09-12,0.7590
2022-09-09,0.7505
2022-09-08,0.7369
2022-09-07,0.6862
2022-09-06,0.6724
2022-09-02,0.6724
2022-09-01,0.6592
2022-08-31,0.7252
2022-08-30,0.7394
2022-08-29,0.7571
2022-08-26,0.7452
2022-08-25,0.7606
2022-08-24,0.7289
2022-08-23,0.7514
2022-08-22,0.7451
2022-08-19,0.7657
2022-08-18,0.7861
2022-08-17,0.8076
2022-08-16,0.8279
2022-08-15,0.8251
2022-08-12,0.8102
2022-08-11,0.7887
2022-08-10,0.7936
2022-08-09,0.7691
2022-08-08,0.7674
2022-08-05,0.7642
2022-08-04,0.7674
2022-08-03,0.7678
2022-08-02,0.7509
2022-08-01,0.7623
2022-07-29,0.7126
2022-07-28,0.7025
2022-07-27,0.6895
2022-07-26,0.6884
2022-07-25,0.6962
2022-07-22,0.7048
2022-07-21,0.7213
2022-07-20,0.7008
2022-07-19,0.7099
2022-07-18,0.6555
2022-07-15,0.6764
2022-07-14,0.6565
2022-07-13,0.6502
2022-07-12,0.6655
2022-07-11,0.6313
2022-07-08,0.6670
2022-07-07,0.6681
2022-07-06,0.6389
2022-07-05,0.6454
2022-07-01,0.6528
2022-06-30,0.6462
2022-06-29,0.6455
2022-06-28,0.6595
2022-06-27,0.6484
2022-06-24,0.6696
2022-06-23,0.6253
2022-06-22,0.6287
2022-06-21,0.6193
2022-06-17,0.6272
2022-06-16,0.6076
2022-06-15,0.6144
2022-06-14,0.5509
2022-06-13,0.5352
2022-06-10,0.5746
2022-06-09,0.6039
2022-06-08,0.6364
2022-06-07,0.6622
2022-06-06,0.6563
2022-06-03,0.6358
2022-06-02,0.6323
2022-06-01,0.5704
2022-05-31,0.5604
2022-05-27,0.5552
2022-05-26,0.5333
2022-05-25,0.5177
2022-05-24,0.5141
2022-05-23,0.5363
2022-05-20,0.5249
2022-05-19,0.5610
2022-05-18,0.5479
2022-05-17,0.5860
2022-05-16,0.5477
2022-05-13,0.5492
2022-05-12,0.5318
2022-05-11,0.5821
2022-05-10,0.5887
2022-05-09,0.6018
2022-05-06,0.6742
2022-05-05,0.6761
2022-05-04,0.7229
2022-05-03,0.7420
2022-05-02,0.6825
2022-04-29,0.6682
2022-04-28,0.6871
2022-04-27,0.6769
2022-04-26,0.7010
2022-04-25,0.7342
2022-04-22,0.7472
2022-04-21,0.7810
2022-04-20,0.7773
2022-04-19,0.7858
2022-04-18,0.7502
2022-04-14,0.7595
2022-04-13,0.7757
2022-04-12,0.7346
2022-04-11,0.7047
2022-04-08,0.6992
2022-04-07,0.7307
2022-04-06,0.7331
2022-04-05,0.7447
2022-04-04,0.8055
2022-04-01,0.7974
2022-03-31,0.7904
2022-03-30,0.7906
2022-03-29,0.7906
2022-03-28,0.7609
2022-03-25,0.7609
2022-03-24,0.7621
2022-03-23,0.7360
2022-03-22,0.7561
2022-03-21,0.7438
2022-03-18,0.7703
2022-03-17,0.7440
2022-03-16,0.7419
2022-03-15,0.7282
2022-03-14,0.7001
2022-03-11,0.7301
2022-03-10,0.7410
2022-03-09,0.7520
2022-03-08,0.7401
2022-03-07,0.7431
2022-03-04,0.8058
2022-03-03,0.8299
2022-03-02,0.8677
2022-03-01,0.8531
2022-02-28,0.9223
2022-02-25,0.9126
2022-02-24,0.8670
2022-02-23,0.8433
2022-02-22,0.8440
2022-02-18,0.9096
2022-02-17,0.9360
2022-02-16,0.9371
2022-02-15,0.9258
2022-02-14,0.8964
2022-02-11,0.8998
2022-02-10,0.9290
2022-02-09,0.8903
2022-02-08,0.8833
2022-02-07,0.8890
2022-02-04,0.8810
2022-02-03,0.8748
2022-02-02,0.8866
2022-02-01,0.8533
2022-01-31,0.8068
2022-01-28,0.7589
2022-01-27,0.7517
2022-01-26,0.7670
2022-01-25,0.8180
2022-01-24,0.8092
2022-01-21,0.8058
2022-01-20,0.8480
2022-01-19,0.8507
2022-01-18,0.8676
2022-01-14,0.8933
2022-01-13,0.8790
2022-01-12,0.8629
2022-01-11,0.8623
2022-01-10,0.8548
2022-01-07,0.8718
2022-01-06,0.8834
2022-01-05,0.8832
2022-01-04,0.8503
2022-01-03,0.8125
2021-12-31,0.7862
2021-12-30,0.7690
2021-12-29,0.7980
2021-12-28,0.7760
2021-12-27,0.7547
2021-12-23,0.8104
2021-12-22,0.8221
2021-12-21,0.8652
2021-12-20,0.8413
2021-12-17,0.8630
2021-12-16,0.8490
2021-12-15,0.8550
2021-12-14,0.8761
2021-12-13,0.8797
2021-12-10,0.9672
2021-12-09,0.9589
2021-12-08,0.9202
2021-12-07,0.9845
2021-12-06,0.9671
2021-12-03,0.9127
2021-12-02,0.9707
2021-12-01,0.8732
2021-11-30,0.9110
2021-11-29,0.9408
2021-11-26,0.9456
2021-11-24,0.9938
2021-11-23,0.9722
2021-11-22,0.9903
2021-11-19,1.0298
2021-11-18,1.0789
2021-11-17,1.0927
2021-11-16,1.1237
2021-11-15,1.1902
2021-11-12,1.1379
2021-11-11,1.1123
2021-11-10,1.1261
2021-11-09,1.0927
2021-11-08,1.0950
2021-11-05,1.0905
