Dates,ROC Values
2022-07-08,-16.7445
2022-07-07,-20.4309
2022-07-06,-22.9539
2022-07-05,-23.9311
2022-07-01,-23.8137
2022-06-30,-26.4867
2022-06-29,-23.0192
2022-06-28,-23.7661
2022-06-27,-24.1428
2022-06-24,-19.7130
2022-06-23,-23.4588
2022-06-22,-21.7123
2022-06-21,-23.1612
2022-06-17,-23.4557
2022-06-16,-26.9860
2022-06-15,-30.0554
2022-06-14,-35.9614
2022-06-13,-39.4987
2022-06-10,-34.8417
2022-06-09,-30.9959
2022-06-08,-25.7919
2022-06-07,-25.4723
2022-06-06,-26.3475
2022-06-03,-25.1505
2022-06-02,-26.4552
2022-06-01,-29.7203
2022-05-31,-31.8571
2022-05-27,-30.4748
2022-05-26,-32.4144
2022-05-25,-32.1474
2022-05-24,-31.9736
2022-05-23,-29.5977
2022-05-20,-32.3393
2022-05-19,-28.7970
2022-05-18,-27.7791
2022-05-17,-21.9424
2022-05-16,-31.4035
2022-05-13,-32.6450
2022-05-12,-37.7483
2022-05-11,-33.6155
2022-05-10,-35.2537
2022-05-09,-33.8346
2022-05-06,-24.9609
2022-05-05,-23.3937
2022-05-04,-21.0174
2022-05-03,-26.5273
2022-05-02,-30.4195
2022-04-29,-32.0148
2022-04-28,-29.1692
2022-04-27,-26.4616
2022-04-26,-21.3189
2022-04-25,-19.5840
2022-04-22,-18.0395
2022-04-21,-15.1217
2022-04-20,-13.3871
2022-04-19,-9.9152
2022-04-18,-12.8592
2022-04-14,-12.3265
2022-04-13,-12.2252
2022-04-12,-11.9656
2022-04-11,-8.1545
2022-04-08,-7.6680
2022-04-07,-8.3904
2022-04-06,-12.4351
2022-04-05,-10.5534
2022-04-04,-6.9412
2022-04-01,-10.9389
2022-03-31,-11.7837
2022-03-30,-13.3772
2022-03-29,-14.2326
2022-03-28,-15.9625
2022-03-25,-13.1065
2022-03-24,-12.4850
2022-03-23,-11.1175
2022-03-22,-11.3503
2022-03-21,-12.0375
2022-03-18,-9.4992
2022-03-17,-10.9722
2022-03-16,-9.0782
2022-03-15,-10.6447
2022-03-14,-13.4133
2022-03-11,-13.4685
2022-03-10,-13.4575
2022-03-09,-12.1130
2022-03-08,-14.8957
2022-03-07,-16.1238
2022-03-04,-9.3625
2022-03-03,0.1963
2022-03-02,2.6891
2022-03-01,2.1594
2022-02-28,5.0709
2022-02-25,3.0588
2022-02-24,0.5218
2022-02-23,-4.2134
2022-02-22,-4.2494
2022-02-18,-0.9477
2022-02-17,2.2746
2022-02-16,6.3386
2022-02-15,9.6932
2022-02-14,3.7850
2022-02-11,12.8115
2022-02-10,10.5636
2022-02-09,8.7456
2022-02-08,7.0579
2022-02-07,0.6268
2022-02-04,-1.2815
2022-02-03,-1.6722
2022-02-02,-3.0869
2022-02-01,-8.3212
2022-01-31,-11.6406
2022-01-28,-15.6023
2022-01-27,-18.5937
2022-01-26,-12.0791
2022-01-25,-6.9651
2022-01-24,-6.5446
2022-01-21,-6.9523
2022-01-20,-3.8126
2022-01-19,-3.2879
2022-01-18,5.6236
2022-01-14,5.8956
2022-01-13,5.2310
2022-01-12,1.3375
2022-01-11,4.3424
2022-01-10,0.7024
2022-01-07,4.3028
2022-01-06,0.7292
2022-01-05,0.0940
2022-01-04,0.3099
2022-01-03,-3.0232
2021-12-31,-6.8696
2021-12-30,-6.1397
2021-12-29,-6.1388
2021-12-28,-5.0267
2021-12-27,-6.5627
2021-12-23,-7.9178
2021-12-22,-9.7866
2021-12-21,-11.8922
2021-12-20,-16.7454
2021-12-17,-14.9461
2021-12-16,-15.2007
2021-12-15,-12.9177
2021-12-14,-12.6413
2021-12-13,-12.6549
2021-12-10,-6.7655
2021-12-09,-7.8985
2021-12-08,-3.3790
2021-12-07,-6.8389
2021-12-06,-7.0057
2021-12-03,-10.2261
2021-12-02,-6.7287
2021-12-01,-9.7453
2021-11-30,-5.5609
2021-11-29,-6.9648
2021-11-26,-6.6320
2021-11-24,-1.6899
2021-11-23,-1.1533
2021-11-22,-2.1354
2021-11-19,1.8212
2021-11-18,6.2214
2021-11-17,7.2098
2021-11-16,5.3958
2021-11-15,6.8387
2021-11-12,0.0589
2021-11-11,0.5777
2021-11-10,-0.4556
2021-11-09,1.4380
2021-11-08,0.4194
2021-11-05,3.6767
2021-11-04,-3.6194
2021-11-03,-3.6355
2021-11-02,-3.0219
2021-11-01,0.8981
2021-10-29,-2.4180
2021-10-28,-5.0913
2021-10-27,-7.0246
2021-10-26,-8.4039
2021-10-25,-9.2084
2021-10-22,-10.5844
2021-10-21,-10.5015
2021-10-20,-8.3171
2021-10-19,-7.0177
2021-10-18,-6.2033
2021-10-15,-5.6102
2021-10-14,-4.0551
2021-10-13,-3.1909
2021-10-12,-0.7855
2021-10-11,-0.0132
2021-10-08,-2.2622
2021-10-07,-2.1980
2021-10-06,1.2237
2021-10-05,-0.6332
2021-10-04,1.0247
2021-10-01,2.3226
2021-09-30,-1.1683
2021-09-29,3.7808
2021-09-28,5.5172
2021-09-27,2.9485
2021-09-24,-0.6150
2021-09-23,-1.4925
2021-09-22,-4.9167
2021-09-21,-12.4974
2021-09-20,-12.5590
2021-09-17,-9.8872
2021-09-16,-7.9472
2021-09-15,-9.2826
2021-09-14,-10.6093
2021-09-13,-10.5327
2021-09-10,-12.2141
2021-09-09,-9.2552
2021-09-08,-11.9103
2021-09-07,-13.7451
2021-09-03,-12.9305
2021-09-02,-9.3361
2021-09-01,-10.5259
2021-08-31,-10.5104
2021-08-30,-8.2958
2021-08-27,-7.3029
2021-08-26,-10.6369
2021-08-25,-10.3472
2021-08-24,-9.6720
2021-08-23,-11.2747
2021-08-20,-14.3634
2021-08-19,-14.4723
2021-08-18,-13.3565
2021-08-17,-12.0478
2021-08-16,-8.3467
2021-08-13,-6.3359
2021-08-12,-6.8226
2021-08-11,-5.9828
2021-08-10,-4.5502
2021-08-09,-7.3514
2021-08-06,-4.1596
2021-08-05,-4.4862
2021-08-04,-4.5527
2021-08-03,-2.4402
2021-08-02,-1.0147
2021-07-30,0.9179
2021-07-29,1.7930
2021-07-28,1.5747
2021-07-27,-2.7137
2021-07-26,1.4418
2021-07-23,0.3352
2021-07-22,-3.4997
2021-07-21,-4.4606
2021-07-20,-7.7802
2021-07-19,-9.9299
2021-07-16,-4.5753
2021-07-15,-4.6527
2021-07-14,-4.5665
2021-07-13,-2.6077
2021-07-12,0.9960
2021-07-09,1.7540
2021-07-08,-2.3508
2021-07-07,-4.0010
2021-07-06,-0.9397
2021-07-02,1.0029
2021-07-01,1.6150
2021-06-30,2.3498
2021-06-29,-3.4364
2021-06-28,-3.3121
2021-06-25,-1.0872
2021-06-24,-0.7368
2021-06-23,-3.8299
2021-06-22,-2.3004
2021-06-21,-2.8055
2021-06-18,-6.9033
2021-06-17,-5.2894
2021-06-16,-5.0555
2021-06-15,-4.9429
2021-06-14,-3.0914
2021-06-11,-2.9209
2021-06-10,-1.4563
2021-06-09,-0.9820
2021-06-08,3.2221
2021-06-07,2.2129
2021-06-04,4.4641
2021-06-03,3.7596
2021-06-02,1.7474
2021-06-01,-0.4261
2021-05-28,-3.5304
2021-05-27,-4.8902
2021-05-26,-5.4230
2021-05-25,-9.3702
2021-05-24,-11.7946
2021-05-21,-6.8175
2021-05-20,-7.2104
2021-05-19,-2.6842
2021-05-18,1.5712
2021-05-17,2.1324
2021-05-14,1.6733
2021-05-13,-2.5901
2021-05-12,-1.0576
2021-05-11,2.0010
2021-05-10,9.8675
2021-05-07,8.7872
2021-05-06,0.2049
2021-05-05,7.5712
2021-05-04,9.7473
2021-05-03,8.1483
2021-04-30,12.3897
2021-04-29,9.4748
2021-04-28,8.4170
2021-04-27,14.9256
2021-04-26,14.6112
2021-04-23,12.4858
2021-04-22,8.9299
2021-04-21,11.3093
2021-04-20,12.5667
2021-04-19,15.9087
2021-04-16,19.6683
2021-04-15,24.9677
2021-04-14,28.8960
2021-04-13,30.4238
2021-04-12,26.5122
2021-04-09,30.0624
2021-04-08,26.1754
2021-04-07,24.2034
2021-04-06,23.9652
2021-04-05,25.0470
2021-04-01,19.6311
2021-03-31,20.8865
2021-03-30,23.3408
2021-03-29,19.3464
2021-03-26,18.1748
2021-03-25,18.6076
2021-03-24,15.6922
2021-03-23,14.9357
2021-03-22,18.1092
2021-03-19,21.2245
2021-03-18,20.9942
2021-03-17,30.0266
2021-03-16,19.2236
2021-03-15,22.5966
2021-03-12,24.4809
2021-03-11,16.6181
2021-03-10,12.9818
2021-03-09,4.9706
2021-03-08,2.3997
2021-03-05,1.7829
2021-03-04,2.2571
2021-03-03,3.3086
2021-03-02,-1.2087
2021-03-01,-2.2266
2021-02-26,-7.2653
2021-02-25,-6.0261
2021-02-24,-2.1712
2021-02-23,-8.5926
2021-02-22,-10.0139
2021-02-19,-8.6913
2021-02-18,-10.4121
2021-02-17,-9.1400
2021-02-16,-2.9797
2021-02-12,-0.9530
2021-02-11,-0.0237
2021-02-10,-2.1155
2021-02-09,-1.1442
2021-02-08,-2.9933
2021-02-05,-1.7019
2021-02-04,5.5205
2021-02-03,0.8363
2021-02-02,-1.1608
2021-02-01,-6.7651
2021-01-29,-4.0563
2021-01-28,5.4086
2021-01-27,9.7952
2021-01-26,10.9306
2021-01-25,7.7747
2021-01-22,14.7636
2021-01-21,31.4885
2021-01-20,34.6044
2021-01-19,38.9633
2021-01-15,32.9775
2021-01-14,41.2584
2021-01-13,43.5072
2021-01-12,40.5422
2021-01-11,39.5909
2021-01-08,35.2100
2021-01-07,32.2577
2021-01-06,26.0935
2021-01-05,25.1730
2021-01-04,23.7154
2020-12-31,27.9957
2020-12-30,29.6571
2020-12-29,29.2202
2020-12-28,31.5697
2020-12-24,33.0250
2020-12-23,35.4940
2020-12-22,30.7320
2020-12-21,31.0644
2020-12-18,30.8036
2020-12-17,34.4025
2020-12-16,41.5758
2020-12-15,34.0537
2020-12-14,36.0186
2020-12-11,37.2155
2020-12-10,41.8553
2020-12-09,41.8460
2020-12-08,42.4434
2020-12-07,52.6437
2020-12-04,59.3358
2020-12-03,56.8991
2020-12-02,42.7615
2020-12-01,36.2392
2020-11-30,30.7621
2020-11-27,29.2306
2020-11-25,29.9475
2020-11-24,33.6412
2020-11-23,27.9286
2020-11-20,24.5834
2020-11-19,30.4268
2020-11-18,26.4461
2020-11-17,30.4010
2020-11-16,18.3280
2020-11-13,10.8669
2020-11-12,1.1100
2020-11-11,5.8396
2020-11-10,9.8184
2020-11-09,2.0250
2020-11-06,-9.4489
2020-11-05,-8.6155
2020-11-04,-13.2204
2020-11-03,-13.8105
2020-11-02,-11.2836
2020-10-30,-14.8543
2020-10-29,-12.3944
2020-10-28,-12.9766
2020-10-27,-9.7494
2020-10-26,-9.6867
2020-10-23,-4.2179
2020-10-22,-3.6309
2020-10-21,-9.0324
2020-10-20,-6.7833
2020-10-19,-1.7116
2020-10-16,-2.8165
2020-10-15,-5.7608
2020-10-14,-1.1086
2020-10-13,-0.0801
2020-10-12,5.9177
2020-10-09,3.3220
2020-10-08,1.1987
2020-10-07,-3.6467
2020-10-06,-6.2687
2020-10-05,-1.4733
2020-10-02,-4.7436
2020-10-01,-6.6355
2020-09-30,-7.4847
