Dates,CCI Values
2023-07-20,36.3055
2023-07-19,1.7697
2023-07-18,26.4201
2023-07-17,42.9720
2023-07-14,64.5943
2023-07-13,102.4171
2023-07-12,121.7008
2023-07-11,102.4224
2023-07-10,62.0343
2023-07-07,71.0204
2023-07-06,58.2178
2023-07-05,59.4373
2023-07-03,52.5879
2023-06-30,56.4790
2023-06-29,64.7491
2023-06-28,54.0173
2023-06-27,22.3911
2023-06-26,-12.9022
2023-06-23,-31.7235
2023-06-22,-14.3079
2023-06-21,57.2573
2023-06-20,96.9348
2023-06-16,185.9122
2023-06-15,163.2753
2023-06-14,166.5011
2023-06-13,210.7285
2023-06-12,219.1015
2023-06-09,181.5499
2023-06-08,183.9132
2023-06-07,84.8558
2023-06-06,16.1392
2023-06-05,76.8612
2023-06-02,131.2062
2023-06-01,54.1109
2023-05-31,-10.4358
2023-05-30,7.1196
2023-05-26,-26.7611
2023-05-25,-83.8089
2023-05-24,-88.4815
2023-05-23,-11.4522
2023-05-22,12.8350
2023-05-19,23.2460
2023-05-18,29.2697
2023-05-17,21.9510
2023-05-16,-60.2516
2023-05-15,-54.4261
2023-05-12,-67.8405
2023-05-11,-71.5317
2023-05-10,-74.2670
2023-05-09,-58.6985
2023-05-08,-121.2077
2023-05-05,-118.0195
2023-05-04,-137.9699
2023-05-03,-56.0703
2023-05-02,-58.5073
2023-05-01,-12.6849
2023-04-28,-11.5846
2023-04-27,-3.9491
2023-04-26,-13.4159
2023-04-25,-60.0289
2023-04-24,-27.5621
2023-04-21,-18.8784
2023-04-20,5.0061
2023-04-19,19.0336
2023-04-18,-5.5937
2023-04-17,-47.7641
2023-04-14,-85.8224
2023-04-13,70.4938
2023-04-12,62.0297
2023-04-11,72.4009
2023-04-10,54.1394
2023-04-06,41.7405
2023-04-05,46.4161
2023-04-04,66.5924
2023-04-03,113.9786
2023-03-31,80.8113
2023-03-30,42.7952
2023-03-29,2.4464
2023-03-28,-52.2100
2023-03-27,-108.8381
2023-03-24,-173.3579
2023-03-23,-157.8059
2023-03-22,-159.6543
2023-03-21,-52.4169
2023-03-20,-83.5530
2023-03-17,-133.8963
2023-03-16,-141.7047
2023-03-15,-184.7136
2023-03-14,5.0838
2023-03-13,-78.8712
2023-03-10,-77.7543
2023-03-09,-49.9397
2023-03-08,3.2439
2023-03-07,32.1999
2023-03-06,59.9762
2023-03-03,75.2999
2023-03-02,22.9753
2023-03-01,-11.0822
2023-02-28,-27.7574
2023-02-27,-26.1175
2023-02-24,-36.6615
2023-02-23,29.8768
2023-02-22,19.4653
2023-02-21,28.8436
2023-02-17,50.5640
2023-02-16,71.6600
2023-02-15,91.9538
2023-02-14,99.3999
2023-02-13,84.6796
2023-02-10,77.1557
2023-02-09,79.1329
2023-02-08,88.3284
2023-02-07,84.5084
2023-02-06,56.3583
2023-02-03,65.4449
2023-02-02,86.5803
2023-02-01,112.3645
2023-01-31,98.5577
2023-01-30,93.8622
2023-01-27,107.3979
2023-01-26,114.3044
2023-01-25,115.6828
2023-01-24,120.1484
2023-01-23,124.9445
2023-01-20,114.5634
2023-01-19,123.9409
2023-01-18,150.4263
2023-01-17,161.2973
2023-01-13,183.7085
2023-01-12,179.7937
2023-01-11,164.7579
2023-01-10,159.6367
2023-01-09,184.9350
2023-01-06,189.4525
2023-01-05,159.9351
2023-01-04,147.4437
2023-01-03,117.2110
2022-12-30,89.6084
2022-12-29,85.7595
2022-12-28,89.4310
2022-12-27,93.8632
2022-12-23,86.1988
2022-12-22,94.0057
2022-12-21,113.8834
2022-12-20,93.2729
2022-12-19,88.7000
2022-12-16,83.9447
2022-12-15,87.0030
2022-12-14,102.3047
2022-12-13,105.8292
2022-12-12,98.1952
2022-12-09,89.2033
2022-12-08,92.7605
2022-12-07,81.4455
2022-12-06,97.6320
2022-12-05,119.2296
2022-12-02,107.4408
2022-12-01,102.3536
2022-11-30,112.2327
2022-11-29,106.9826
2022-11-28,109.4183
2022-11-25,131.7372
2022-11-23,126.4147
2022-11-22,130.2595
2022-11-21,139.1081
2022-11-18,147.6639
2022-11-17,142.8135
2022-11-16,157.8077
2022-11-15,176.5321
2022-11-14,188.5561
2022-11-11,207.1370
2022-11-10,220.1100
2022-11-09,180.3467
2022-11-08,177.9424
2022-11-07,149.8320
2022-11-04,109.7237
2022-11-03,77.7876
2022-11-02,29.6177
2022-11-01,0.9333
2022-10-31,-9.4408
2022-10-28,-7.6607
2022-10-27,-27.7667
2022-10-26,-36.2930
2022-10-25,-3.6766
2022-10-24,-25.6138
2022-10-21,-36.0195
2022-10-20,-37.9413
2022-10-19,-45.1406
2022-10-18,-54.0237
2022-10-17,-64.9954
2022-10-14,-77.0155
2022-10-13,-95.9625
2022-10-12,-103.3263
2022-10-11,-97.5444
2022-10-10,-100.3400
2022-10-07,-122.3163
2022-10-06,-118.0970
2022-10-05,-128.3121
2022-10-04,-132.4640
2022-10-03,-187.8229
2022-09-30,-220.2870
2022-09-29,-212.5948
2022-09-28,-199.0638
2022-09-27,-246.4761
2022-09-26,-257.7054
2022-09-23,-243.4106
2022-09-22,-178.5456
2022-09-21,-130.2452
2022-09-20,-125.9192
2022-09-19,-131.3956
2022-09-16,-137.3599
2022-09-15,-75.7909
2022-09-14,-91.9322
2022-09-13,-68.4095
2022-09-12,11.8915
2022-09-09,7.3072
2022-09-08,-0.6522
2022-09-07,-14.6583
2022-09-06,-25.3409
2022-09-02,-16.2010
2022-09-01,-6.3747
2022-08-31,38.0929
2022-08-30,57.5022
2022-08-29,62.6759
2022-08-26,75.3799
2022-08-25,82.3813
2022-08-24,60.3473
2022-08-23,48.5407
2022-08-22,44.5957
2022-08-19,71.8337
2022-08-18,93.8529
2022-08-17,97.5095
2022-08-16,123.2740
2022-08-15,124.0177
2022-08-12,124.7090
2022-08-11,130.2219
2022-08-10,139.9593
2022-08-09,123.9649
2022-08-08,145.4433
2022-08-05,142.6523
2022-08-04,158.4219
2022-08-03,164.4783
2022-08-02,170.8609
2022-08-01,212.3249
2022-07-29,151.7156
2022-07-28,154.5854
2022-07-27,161.7718
2022-07-26,162.4407
2022-07-25,165.5578
2022-07-22,213.4148
2022-07-21,230.1060
2022-07-20,223.9755
2022-07-19,195.0235
2022-07-18,160.3059
2022-07-15,128.1452
2022-07-14,102.9481
2022-07-13,93.0735
2022-07-12,92.3185
2022-07-11,18.6382
2022-07-08,33.1585
2022-07-07,33.8176
2022-07-06,-1.6978
2022-07-05,-13.0065
2022-07-01,3.0587
2022-06-30,-23.4828
2022-06-29,-15.4613
2022-06-28,0.9305
2022-06-27,-15.8276
2022-06-24,-14.4800
2022-06-23,-38.7891
2022-06-22,-30.7760
2022-06-21,-27.3733
2022-06-17,-36.6219
2022-06-16,-46.9259
2022-06-15,-57.2009
2022-06-14,-97.1933
2022-06-13,-104.5186
2022-06-10,-73.5570
2022-06-09,-54.3504
2022-06-08,-43.2325
2022-06-07,-47.2711
2022-06-06,-49.8925
2022-06-03,-51.5831
2022-06-02,-57.9557
2022-06-01,-79.5477
2022-05-31,-81.7660
2022-05-27,-85.7872
2022-05-26,-102.3927
2022-05-25,-122.9271
2022-05-24,-134.6664
2022-05-23,-134.4146
2022-05-20,-146.5426
2022-05-19,-143.9169
2022-05-18,-152.2249
2022-05-17,-154.3181
2022-05-16,-186.0112
2022-05-13,-201.4190
2022-05-12,-237.3225
2022-05-11,-222.1604
2022-05-10,-238.5072
2022-05-09,-238.8136
2022-05-06,-192.3504
2022-05-05,-180.6841
2022-05-04,-175.7955
2022-05-03,-206.8414
2022-05-02,-252.6062
2022-04-29,-236.9572
2022-04-28,-232.8868
2022-04-27,-238.1106
2022-04-26,-135.5384
2022-04-25,-101.7186
2022-04-22,-77.1921
2022-04-21,-46.1855
2022-04-20,-43.3082
2022-04-19,-45.0005
2022-04-18,-72.3779
2022-04-14,-58.6935
2022-04-13,-72.1574
2022-04-12,-101.6730
2022-04-11,-108.8424
2022-04-08,-113.5909
2022-04-07,-112.6339
2022-04-06,-106.7266
2022-04-05,-64.8809
2022-04-04,-40.4623
2022-04-01,-37.5740
2022-03-31,-22.3340
2022-03-30,-18.2838
2022-03-29,-25.6331
2022-03-28,-64.1364
2022-03-25,-56.3866
2022-03-24,-67.1381
2022-03-23,-73.1188
2022-03-22,-63.3168
2022-03-21,-92.5311
2022-03-18,-55.5715
2022-03-17,-77.5088
2022-03-16,-90.0206
2022-03-15,-141.9282
2022-03-14,-170.4720
2022-03-11,-161.7102
2022-03-10,-176.8298
2022-03-09,-184.8586
2022-03-08,-240.0127
2022-03-07,-265.5225
2022-03-04,-210.2307
2022-03-03,-137.1070
2022-03-02,-87.4523
2022-03-01,-88.0598
2022-02-28,-34.7981
2022-02-25,-45.8288
2022-02-24,-101.3728
2022-02-23,-71.0324
2022-02-22,-51.1189
2022-02-18,30.6208
2022-02-17,66.7799
2022-02-16,95.5802
2022-02-15,91.4296
2022-02-14,45.4953
2022-02-11,76.3250
2022-02-10,114.2372
2022-02-09,90.7158
2022-02-08,66.1668
2022-02-07,53.3422
2022-02-04,11.2280
2022-02-03,16.2541
2022-02-02,13.3113
2022-02-01,6.9541
2022-01-31,-71.0169
2022-01-28,-140.4194
2022-01-27,-110.9090
2022-01-26,-77.5782
2022-01-25,-43.1955
2022-01-24,-59.3292
2022-01-21,-7.4625
2022-01-20,52.2557
2022-01-19,73.5535
2022-01-18,118.3060
2022-01-14,107.8682
2022-01-13,108.4155
2022-01-12,72.6425
2022-01-11,40.1259
2022-01-10,16.4968
2022-01-07,54.3708
2022-01-06,27.5870
2022-01-05,50.3627
2022-01-04,35.4517
2022-01-03,-7.4931
2021-12-31,-51.9046
2021-12-30,-37.8452
2021-12-29,-38.6543
2021-12-28,-27.4772
2021-12-27,-56.9906
2021-12-23,-46.9445
2021-12-22,-69.6287
2021-12-21,-105.9547
2021-12-20,-173.3815
2021-12-17,-155.0772
2021-12-16,-152.3773
2021-12-15,-153.4134
2021-12-14,-137.3279
2021-12-13,-131.4692
2021-12-10,-76.9235
2021-12-09,-69.6630
2021-12-08,-44.1618
2021-12-07,-58.9574
2021-12-06,-105.3454
2021-12-03,-162.4855
2021-12-02,-163.6640
2021-12-01,-237.6335
2021-11-30,-211.4331
2021-11-29,-196.1588
2021-11-26,-229.2464
2021-11-24,-105.5604
2021-11-23,-102.9317
2021-11-22,-88.6957
2021-11-19,-13.5444
2021-11-18,111.2631
2021-11-17,110.2149
2021-11-16,124.1773
2021-11-15,172.0862
2021-11-12,49.7179
