Dates,KAMA Values
2022-06-28,134.5439
2022-06-27,133.4901
2022-06-24,133.2360
2022-06-23,133.0261
2022-06-22,133.0089
2022-06-21,132.9568
2022-06-17,132.9218
2022-06-16,132.8864
2022-06-15,132.8743
2022-06-14,132.8661
2022-06-13,133.2627
2022-06-10,135.1903
2022-06-09,135.2404
2022-06-08,135.3764
2022-06-07,133.9951
2022-06-06,132.8291
2022-06-03,131.6284
2022-06-02,131.1338
2022-06-01,130.2866
2022-05-31,130.2838
2022-05-27,130.2528
2022-05-26,130.2191
2022-05-25,130.2582
2022-05-24,130.4706
2022-05-23,131.1221
2022-05-20,131.3946
2022-05-19,133.0925
2022-05-18,133.8791
2022-05-17,135.5222
2022-05-16,135.8961
2022-05-13,137.7041
2022-05-12,139.1219
2022-05-11,143.3185
2022-05-10,146.4022
2022-05-09,150.1855
2022-05-06,155.7197
2022-05-05,157.3721
2022-05-04,159.1608
2022-05-03,159.6697
2022-05-02,161.9905
2022-04-29,166.3788
2022-04-28,172.3483
2022-04-27,177.9607
2022-04-26,181.0844
2022-04-25,181.6600
2022-04-22,181.6972
2022-04-21,181.7331
2022-04-20,181.7433
2022-04-19,181.7303
2022-04-18,181.6200
2022-04-14,181.8003
2022-04-13,181.7879
2022-04-12,181.6659
2022-04-11,183.6789
2022-04-08,184.9048
2022-04-07,186.3430
2022-04-06,187.3454
2022-04-05,187.8000
2022-04-04,188.1155
2022-04-01,188.0008
2022-03-31,187.9709
2022-03-30,187.9434
2022-03-29,187.7169
2022-03-28,187.2141
2022-03-25,187.1436
2022-03-24,187.0072
2022-03-23,186.8993
2022-03-22,186.9297
2022-03-21,186.3790
2022-03-18,186.4413
2022-03-17,186.0547
2022-03-16,186.0269
2022-03-15,185.9471
2022-03-14,186.3565
2022-03-11,188.3550
2022-03-10,189.8238
2022-03-09,190.7301
2022-03-08,191.4933
2022-03-07,193.5708
2022-03-04,199.5117
2022-03-03,203.3782
2022-03-02,206.1733
2022-03-01,207.1644
2022-02-28,207.9404
2022-02-25,208.0113
2022-02-24,208.6327
2022-02-23,209.6248
2022-02-22,210.8107
2022-02-18,211.5641
2022-02-17,211.5916
2022-02-16,211.5195
2022-02-15,210.8618
2022-02-14,210.4092
2022-02-11,210.4347
2022-02-10,210.0707
2022-02-09,205.3069
2022-02-08,202.7588
2022-02-07,202.3357
2022-02-04,202.0176
2022-02-03,201.9881
2022-02-02,201.8588
2022-02-01,201.6521
2022-01-31,201.2027
2022-01-28,201.3819
2022-01-27,206.8044
2022-01-26,210.8413
2022-01-25,213.6229
2022-01-24,213.8302
2022-01-21,214.3065
2022-01-20,214.4819
2022-01-19,214.4838
2022-01-18,214.4466
2022-01-14,212.9594
2022-01-13,210.1560
2022-01-12,207.8894
2022-01-11,206.9515
2022-01-10,206.4551
2022-01-07,206.3622
2022-01-06,205.3853
2022-01-05,204.8449
2022-01-04,203.5099
2022-01-03,200.5571
2021-12-31,199.6965
2021-12-30,199.5667
2021-12-29,199.4435
2021-12-28,199.2416
2021-12-27,198.8673
2021-12-23,198.8279
2021-12-22,198.7534
2021-12-21,198.6218
2021-12-20,198.5818
2021-12-17,200.4877
2021-12-16,200.7116
2021-12-15,201.4006
2021-12-14,201.5552
2021-12-13,201.6045
2021-12-10,201.6293
2021-12-09,201.5622
2021-12-08,201.5053
2021-12-07,201.4352
2021-12-06,201.3915
2021-12-03,201.2796
2021-12-02,201.6761
2021-12-01,201.5950
2021-11-30,208.5960
2021-11-29,214.0737
2021-11-26,215.8731
2021-11-24,217.4243
2021-11-23,217.6408
2021-11-22,218.0948
2021-11-19,218.5784
2021-11-18,218.7860
2021-11-17,218.0947
2021-11-16,217.4681
2021-11-15,216.8663
2021-11-12,214.0386
2021-11-11,213.1185
2021-11-10,212.4966
2021-11-09,211.8808
2021-11-08,211.1228
2021-11-05,210.3524
2021-11-04,209.0192
2021-11-03,208.9756
2021-11-02,208.8845
2021-11-01,208.7883
2021-10-29,208.6800
2021-10-28,209.3318
2021-10-27,209.9034
2021-10-26,212.3283
2021-10-25,214.1674
2021-10-22,215.1137
2021-10-21,216.6345
2021-10-20,218.2427
2021-10-19,218.9175
2021-10-18,219.7328
2021-10-15,220.2498
2021-10-14,221.0102
2021-10-13,221.0809
2021-10-12,221.0610
2021-10-11,220.9747
2021-10-08,220.9055
2021-10-07,220.7636
2021-10-06,220.6030
2021-10-05,220.4140
2021-10-04,220.0489
2021-10-01,219.7675
