Dates,MINUS_DM Values
2023-07-20,10.6358
2023-07-19,11.8176
2023-07-18,11.6475
2023-07-17,10.5360
2023-07-14,10.5122
2023-07-13,7.8024
2023-07-12,7.9805
2023-07-11,8.8672
2023-07-10,9.8524
2023-07-07,10.2693
2023-07-06,11.4104
2023-07-05,12.6782
2023-07-03,11.4758
2023-06-30,12.7509
2023-06-29,13.2232
2023-06-28,14.6924
2023-06-27,16.3249
2023-06-26,18.1388
2023-06-23,20.1542
2023-06-22,21.1714
2023-06-21,17.1487
2023-06-20,16.2847
2023-06-16,10.2108
2023-06-15,11.3453
2023-06-14,11.8045
2023-06-13,9.4286
2023-06-12,10.4763
2023-06-09,11.6403
2023-06-08,12.9337
2023-06-07,14.3707
2023-06-06,15.9675
2023-06-05,10.0861
2023-06-02,8.4290
2023-06-01,9.3656
2023-05-31,10.4062
2023-05-30,8.8956
2023-05-26,9.8840
2023-05-25,10.9823
2023-05-24,11.2025
2023-05-23,6.9528
2023-05-22,6.1087
2023-05-19,5.9763
2023-05-18,6.6403
2023-05-17,7.3781
2023-05-16,8.1979
2023-05-15,9.1088
2023-05-12,10.1209
2023-05-11,11.2454
2023-05-10,12.2949
2023-05-09,13.0721
2023-05-08,14.5246
2023-05-05,16.1384
2023-05-04,17.9316
2023-05-03,11.8351
2023-05-02,13.1501
2023-05-01,10.6890
2023-04-28,11.8767
2023-04-27,12.4963
2023-04-26,13.8848
2023-04-25,15.4276
2023-04-24,14.7751
2023-04-21,15.3834
2023-04-20,14.9842
2023-04-19,15.6909
2023-04-18,17.4344
2023-04-17,19.3715
2023-04-14,21.5239
2023-04-13,9.0922
2023-04-12,10.1025
2023-04-11,9.3028
2023-04-10,10.3364
2023-04-06,11.4849
2023-04-05,12.2599
2023-04-04,13.1232
2023-04-03,10.7924
2023-03-31,11.9916
2023-03-30,13.3240
2023-03-29,14.8044
2023-03-28,16.4494
2023-03-27,18.2771
2023-03-24,20.3079
2023-03-23,21.2090
2023-03-22,22.5988
2023-03-21,16.3543
2023-03-20,18.1714
2023-03-17,20.1905
2023-03-16,22.4338
2023-03-15,24.9265
2023-03-14,13.7072
2023-03-13,15.2302
2023-03-10,16.9225
2023-03-09,16.0139
2023-03-08,11.5265
2023-03-07,10.7684
2023-03-06,9.9371
2023-03-03,11.0412
2023-03-02,12.2680
2023-03-01,13.6311
2023-02-28,15.1457
2023-02-27,16.8285
2023-02-24,18.6984
2023-02-23,11.4426
2023-02-22,12.7140
2023-02-21,13.6823
2023-02-17,12.3474
2023-02-16,8.6633
2023-02-15,6.9259
2023-02-14,7.6955
2023-02-13,8.5505
2023-02-10,9.5006
2023-02-09,10.5562
2023-02-08,9.8180
2023-02-07,10.9089
2023-02-06,12.1210
2023-02-03,11.3256
2023-02-02,9.6040
2023-02-01,6.6711
2023-01-31,7.4123
2023-01-30,8.2359
2023-01-27,7.2510
2023-01-26,8.0567
2023-01-25,8.9518
2023-01-24,9.9465
2023-01-23,8.8405
2023-01-20,9.8228
2023-01-19,10.8698
2023-01-18,7.2109
2023-01-17,8.0121
2023-01-13,6.1134
2023-01-12,6.7927
2023-01-11,7.5475
2023-01-10,8.3861
2023-01-09,4.3743
2023-01-06,4.8603
2023-01-05,5.4004
2023-01-04,6.0004
2023-01-03,6.6671
2022-12-30,7.4079
2022-12-29,8.2310
