Dates,MIDPOINT Values
2023-07-20,210.4150
2023-07-19,209.4100
2023-07-18,209.4100
2023-07-17,209.3050
2023-07-14,209.3050
2023-07-13,209.3050
2023-07-12,209.3050
2023-07-11,209.3050
2023-07-10,209.3050
2023-07-07,209.3050
2023-07-06,209.3050
2023-07-05,209.3050
2023-07-03,209.3050
2023-06-30,209.3050
2023-06-29,209.3050
2023-06-28,209.3050
2023-06-27,209.3050
2023-06-26,209.3050
2023-06-23,209.3050
2023-06-22,209.3050
2023-06-21,209.3050
2023-06-20,209.3050
2023-06-16,209.3050
2023-06-15,209.3050
2023-06-14,209.3050
2023-06-13,209.3050
2023-06-12,209.3050
2023-06-09,207.5800
2023-06-08,207.5800
2023-06-07,206.2200
2023-06-06,206.2200
2023-06-05,206.2200
2023-06-02,206.2200
2023-06-01,205.7750
2023-05-31,205.7750
2023-05-30,205.7750
2023-05-26,205.7750
2023-05-25,205.7750
2023-05-24,205.7750
2023-05-23,205.7750
2023-05-22,205.7750
2023-05-19,205.7750
2023-05-18,205.7750
2023-05-17,205.7750
2023-05-16,205.7750
2023-05-15,205.7750
2023-05-12,205.7750
2023-05-11,205.7750
2023-05-10,205.7750
2023-05-09,205.7750
2023-05-08,205.7750
2023-05-05,205.7750
2023-05-04,205.7750
2023-05-03,205.7750
2023-05-02,205.7750
2023-05-01,205.7750
2023-04-28,205.7750
2023-04-27,206.8000
2023-04-26,207.3050
2023-04-25,207.3050
2023-04-24,207.3050
2023-04-21,207.3050
2023-04-20,207.3050
2023-04-19,207.3050
2023-04-18,207.3050
2023-04-17,207.3050
2023-04-14,207.3050
2023-04-13,207.3050
2023-04-12,207.3050
2023-04-11,207.3050
2023-04-10,207.3050
2023-04-06,207.3050
2023-04-05,207.3050
2023-04-04,207.3050
2023-04-03,207.3050
2023-03-31,207.3050
2023-03-30,207.3050
2023-03-29,207.3050
2023-03-28,207.3050
2023-03-27,207.3050
2023-03-24,207.3050
2023-03-23,207.3050
2023-03-22,207.3050
2023-03-21,208.3000
2023-03-20,208.3000
2023-03-17,208.3000
2023-03-16,208.3000
2023-03-15,206.9200
2023-03-14,204.4700
2023-03-13,203.6800
2023-03-10,203.4150
2023-03-09,203.4150
2023-03-08,203.4150
2023-03-07,203.3500
2023-03-06,203.3500
2023-03-03,203.3500
2023-03-02,202.0650
2023-03-01,201.5750
2023-02-28,201.0850
2023-02-27,201.0850
2023-02-24,201.0850
2023-02-23,201.0850
2023-02-22,198.9950
2023-02-21,198.7650
2023-02-17,197.4750
2023-02-16,197.4750
2023-02-15,197.4750
