Dates,MINUS_DM Values
2022-06-29,106.1306
2022-06-28,104.5210
2022-06-27,106.6541
2022-06-24,108.8307
2022-06-23,111.0517
2022-06-22,110.0647
2022-06-21,109.6987
2022-06-17,111.9374
2022-06-16,114.2219
2022-06-15,116.5529
2022-06-14,118.9315
2022-06-13,120.2159
2022-06-10,109.6999
2022-06-09,104.9488
2022-06-08,102.2538
2022-06-07,104.3406
2022-06-06,105.5312
2022-06-03,106.9145
2022-06-02,109.0965
2022-06-01,111.3229
2022-05-31,111.7071
2022-05-27,113.9868
2022-05-26,116.3131
2022-05-25,118.6868
2022-05-24,121.1090
2022-05-23,120.4683
2022-05-20,122.9269
2022-05-19,118.6805
2022-05-18,120.4291
2022-05-17,121.4276
2022-05-16,123.9057
2022-05-13,126.4344
2022-05-12,129.0147
2022-05-11,122.6375
2022-05-10,123.8953
2022-05-09,124.0565
2022-05-06,113.1189
2022-05-05,112.1621
2022-05-04,112.6937
2022-05-03,114.9936
2022-05-02,117.3404
2022-04-29,114.4923
2022-04-28,116.3391
2022-04-27,118.7134
2022-04-26,99.8606
2022-04-25,96.1843
2022-04-22,94.0146
2022-04-21,91.8006
2022-04-20,93.6741
2022-04-19,95.5858
2022-04-18,97.5365
2022-04-14,96.3740
2022-04-13,98.3408
2022-04-12,100.3478
2022-04-11,102.3957
2022-04-08,104.4854
2022-04-07,106.6177
2022-04-06,106.0281
2022-04-05,102.1309
2022-04-04,99.7356
2022-04-01,99.8629
2022-03-31,99.1764
2022-03-30,101.2004
2022-03-29,103.2657
2022-03-28,105.3732
2022-03-25,105.0135
2022-03-24,107.1566
2022-03-23,109.0271
2022-03-22,111.2522
2022-03-21,113.5226
2022-03-18,106.1557
2022-03-17,108.3222
2022-03-16,110.5329
2022-03-15,112.7886
2022-03-14,115.0904
2022-03-11,113.9902
2022-03-10,116.3166
2022-03-09,116.6292
2022-03-08,119.0093
2022-03-07,119.9279
2022-03-04,112.2632
2022-03-03,104.6155
2022-03-02,100.6981
2022-03-01,102.7532
2022-02-28,100.9522
2022-02-25,103.0125
2022-02-24,105.1148
2022-02-23,98.0457
2022-02-22,98.0977
2022-02-18,89.0996
2022-02-17,86.7649
2022-02-16,85.8724
2022-02-15,87.6249
2022-02-14,89.4132
2022-02-11,89.6971
2022-02-10,88.0327
2022-02-09,89.8293
2022-02-08,91.6626
2022-02-07,93.5333
2022-02-04,95.4421
2022-02-03,96.2062
2022-02-02,98.1696
2022-02-01,100.1731
2022-01-31,102.2174
