Dates,DEMA Values
2023-07-20,210.2437
2023-07-19,210.0540
2023-07-18,209.9615
2023-07-17,209.8074
2023-07-14,209.6442
2023-07-13,209.4529
2023-07-12,209.1831
2023-07-11,208.9034
2023-07-10,208.5857
2023-07-07,208.3722
2023-07-06,208.1792
2023-07-05,207.9722
2023-07-03,207.7476
2023-06-30,207.5671
2023-06-29,207.3785
2023-06-28,207.1730
2023-06-27,206.9861
2023-06-26,206.8218
2023-06-23,206.7317
2023-06-22,206.6432
2023-06-21,206.5487
2023-06-20,206.3222
2023-06-16,206.0858
2023-06-15,205.6921
2023-06-14,205.3036
2023-06-13,204.9591
2023-06-12,204.5390
2023-06-09,204.0882
2023-06-08,203.7155
2023-06-07,203.3205
2023-06-06,203.0433
2023-06-05,202.8547
2023-06-02,202.6327
2023-06-01,202.3156
2023-05-31,202.1010
2023-05-30,201.9280
2023-05-26,201.7723
2023-05-25,201.6350
2023-05-24,201.5506
2023-05-23,201.4965
2023-05-22,201.3743
2023-05-19,201.1831
2023-05-18,200.9971
2023-05-17,200.7725
2023-05-16,200.5515
2023-05-15,200.4472
2023-05-12,200.3027
2023-05-11,200.1972
2023-05-10,200.0666
2023-05-09,199.9537
2023-05-08,199.8177
2023-05-05,199.7721
2023-05-04,199.7035
2023-05-03,199.6593
2023-05-02,199.5360
2023-05-01,199.3638
2023-04-28,199.1759
2023-04-27,198.9263
2023-04-26,198.6873
2023-04-25,198.5047
2023-04-24,198.3357
2023-04-21,198.0918
2023-04-20,197.8561
2023-04-19,197.5747
2023-04-18,197.2588
2023-04-17,196.9444
2023-04-14,196.6921
2023-04-13,196.5022
2023-04-12,196.0702
2023-04-11,195.6564
2023-04-10,195.2363
2023-04-06,194.8404
2023-04-05,194.4262
2023-04-04,194.0329
2023-04-03,193.5549
2023-03-31,193.0394
2023-03-30,192.5752
2023-03-29,192.1315
2023-03-28,191.7426
2023-03-27,191.4079
2023-03-24,191.1560
2023-03-23,190.9611
2023-03-22,190.7555
2023-03-21,190.5815
2023-03-20,190.2328
2023-03-17,189.8772
2023-03-16,189.5906
2023-03-15,189.2564
2023-03-14,189.0170
2023-03-13,188.5913
2023-03-10,188.2375
2023-03-09,187.8842
2023-03-08,187.5620
2023-03-07,187.1149
2023-03-06,186.6463
2023-03-03,186.0900
2023-03-02,185.4609
2023-03-01,184.9236
2023-02-28,184.4888
2023-02-27,184.1075
2023-02-24,183.7422
2023-02-23,183.4176
2023-02-22,182.8874
2023-02-21,182.3966
2023-02-17,181.9031
2023-02-16,181.2786
2023-02-15,180.6335
2023-02-14,179.8734
2023-02-13,179.0815
2023-02-10,178.3338
2023-02-09,177.6302
2023-02-08,176.9341
2023-02-07,176.1972
2023-02-06,175.4238
2023-02-03,174.7985
2023-02-02,174.1799
2023-02-01,173.4851
2023-01-31,172.6711
2023-01-30,171.8802
2023-01-27,171.1443
2023-01-26,170.3673
2023-01-25,169.5474
2023-01-24,168.7163
2023-01-23,167.8869
2023-01-20,167.0856
2023-01-19,166.3369
2023-01-18,165.5706
2023-01-17,164.7464
2023-01-13,163.8698
2023-01-12,162.9257
2023-01-11,161.9638
2023-01-10,161.1143
2023-01-09,160.2792
2023-01-06,159.3942
2023-01-05,158.4072
2023-01-04,157.5667
2023-01-03,156.7413
2022-12-30,156.0697
2022-12-29,155.4870
2022-12-28,154.9279
2022-12-27,154.3715
2022-12-23,153.7868
2022-12-22,153.2008
2022-12-21,152.6228
2022-12-20,151.8810
2022-12-19,151.2836
2022-12-16,150.7303
2022-12-15,150.1891
2022-12-14,149.6601
2022-12-13,149.0329
2022-12-12,148.4194
2022-12-09,147.8148
2022-12-08,147.3370
2022-12-07,146.8622
2022-12-06,146.4328
2022-12-05,145.9591
2022-12-02,145.3449
2022-12-01,144.7672
2022-11-30,144.3242
2022-11-29,143.8131
2022-11-28,143.3668
2022-11-25,142.9849
2022-11-23,142.4668
2022-11-22,142.0125
2022-11-21,141.5996
2022-11-18,141.1726
2022-11-17,140.7211
2022-11-16,140.2862
2022-11-15,139.8475
2022-11-14,139.3498
2022-11-11,138.8819
2022-11-10,138.3289
2022-11-09,137.7668
2022-11-08,137.3751
2022-11-07,136.9609
2022-11-04,136.6363
2022-11-03,136.4066
2022-11-02,136.2401
2022-11-01,136.2601
2022-10-31,136.3625
2022-10-28,136.4853
2022-10-27,136.5844
2022-10-26,136.7683
2022-10-25,137.0761
2022-10-24,137.1314
2022-10-21,137.2812
2022-10-20,137.4492
2022-10-19,137.6650
2022-10-18,137.9002
2022-10-17,138.1613
2022-10-14,138.4527
2022-10-13,138.8088
2022-10-12,139.1867
2022-10-11,139.6112
2022-10-10,140.0204
2022-10-07,140.4303
2022-10-06,140.8900
2022-10-05,141.3094
2022-10-04,141.7383
2022-10-03,142.1466
2022-09-30,142.7123
2022-09-29,143.3877
2022-09-28,143.9890
2022-09-27,144.4375
2022-09-26,145.0132
2022-09-23,145.6022
2022-09-22,146.1224
2022-09-21,146.5019
2022-09-20,146.7962
2022-09-19,147.0429
2022-09-16,147.3157
2022-09-15,147.6056
2022-09-14,147.7907
2022-09-13,147.9902
2022-09-12,148.2331
2022-09-09,148.2514
2022-09-08,148.2953
2022-09-07,148.3355
2022-09-06,148.4145
2022-09-02,148.5675
2022-09-01,148.7353
2022-08-31,148.8699
2022-08-30,148.8752
2022-08-29,148.8424
2022-08-26,148.7458
2022-08-25,148.6667
2022-08-24,148.4902
2022-08-23,148.4284
2022-08-22,148.4379
2022-08-19,148.4706
2022-08-18,148.4258
2022-08-17,148.2657
2022-08-16,148.1343
2022-08-15,147.9041
2022-08-12,147.7040
2022-08-11,147.5119
2022-08-10,147.3605
2022-08-09,147.1853
2022-08-08,147.0925
2022-08-05,146.9787
2022-08-04,146.8817
2022-08-03,146.7552
2022-08-02,146.6253
2022-08-01,146.5623
2022-07-29,146.3834
2022-07-28,146.3993
2022-07-27,146.4213
2022-07-26,146.5053
2022-07-25,146.5953
2022-07-22,146.6737
2022-07-21,146.7241
2022-07-20,146.7114
2022-07-19,146.7607
2022-07-18,146.8575
2022-07-15,147.1262
2022-07-14,147.4000
2022-07-13,147.6913
2022-07-12,148.0527
2022-07-11,148.3566
2022-07-08,148.8708
2022-07-07,149.3524
2022-07-06,149.8245
2022-07-05,150.3788
2022-07-01,150.9149
2022-06-30,151.4175
2022-06-29,151.9918
2022-06-28,152.5413
2022-06-27,153.0956
2022-06-24,153.6591
2022-06-23,154.1761
2022-06-22,154.8542
2022-06-21,155.4797
2022-06-17,156.1243
2022-06-16,156.7789
2022-06-15,157.5139
2022-06-14,158.2541
2022-06-13,159.2391
2022-06-10,160.3669
2022-06-09,161.2890
2022-06-08,162.0911
2022-06-07,162.7879
2022-06-06,163.4725
2022-06-03,164.2004
2022-06-02,164.9403
2022-06-01,165.6674
2022-05-31,166.6047
2022-05-27,167.5421
2022-05-26,168.4782
2022-05-25,169.5200
2022-05-24,170.6926
2022-05-23,171.9374
2022-05-20,173.1082
2022-05-19,174.3654
2022-05-18,175.5132
2022-05-17,176.7118
2022-05-16,177.7982
2022-05-13,179.0628
2022-05-12,180.2840
2022-05-11,181.6061
2022-05-10,182.8234
2022-05-09,183.9884
2022-05-06,185.1645
2022-05-05,186.0457
2022-05-04,186.9094
2022-05-03,187.6563
2022-05-02,188.4832
2022-04-29,189.4233
2022-04-28,190.3736
2022-04-27,191.2308
2022-04-26,192.0967
2022-04-25,192.7234
2022-04-22,193.1819
2022-04-21,193.6277
2022-04-20,193.9983
2022-04-19,194.3243
2022-04-18,194.6069
2022-04-14,195.0176
2022-04-13,195.3930
2022-04-12,195.7559
2022-04-11,196.2574
2022-04-08,196.7921
2022-04-07,197.3319
2022-04-06,197.8248
2022-04-05,198.3105
2022-04-04,198.7251
2022-04-01,198.9750
2022-03-31,199.2376
2022-03-30,199.4897
2022-03-29,199.6776
2022-03-28,199.8911
2022-03-25,200.2217
2022-03-24,200.5419
2022-03-23,200.8653
2022-03-22,201.2546
2022-03-21,201.5497
2022-03-18,201.9531
2022-03-17,202.2236
2022-03-16,202.5518
2022-03-15,202.9094
2022-03-14,203.4558
2022-03-11,204.0987
2022-03-10,204.7374
2022-03-09,205.3427
2022-03-08,205.9541
2022-03-07,206.6708
2022-03-04,207.4916
2022-03-03,208.0907
2022-03-02,208.5380
2022-03-01,208.8124
