Dates,PLUS_DI Values
2023-07-20,25.6701
2023-07-19,25.0351
2023-07-18,25.4031
2023-07-17,25.7573
2023-07-14,26.0129
2023-07-13,26.4464
2023-07-12,26.7161
2023-07-11,26.1915
2023-07-10,24.8514
2023-07-07,25.0815
2023-07-06,24.6581
2023-07-05,25.0425
2023-07-03,25.6643
2023-06-30,25.8541
2023-06-29,26.2348
2023-06-28,26.1420
2023-06-27,25.4650
2023-06-26,24.8949
2023-06-23,24.5727
2023-06-22,24.8470
2023-06-21,25.6193
2023-06-20,25.9572
2023-06-16,26.7351
2023-06-15,26.0157
2023-06-14,26.5236
2023-06-13,27.0662
2023-06-12,27.4396
2023-06-09,26.4251
2023-06-08,26.7599
2023-06-07,24.7459
2023-06-06,24.9602
2023-06-05,25.9992
2023-06-02,26.5690
2023-06-01,25.4026
2023-05-31,24.3104
2023-05-30,24.7954
2023-05-26,24.0850
2023-05-25,23.2974
2023-05-24,23.7462
2023-05-23,24.1985
2023-05-22,24.6537
2023-05-19,24.9344
2023-05-18,25.2034
2023-05-17,25.5865
2023-05-16,24.0226
2023-05-15,24.2704
2023-05-12,24.6060
2023-05-11,24.7852
2023-05-10,25.1850
2023-05-09,25.6327
2023-05-08,24.5249
2023-05-05,24.5892
2023-05-04,24.7876
2023-05-03,25.4932
2023-05-02,25.3163
2023-05-01,25.6842
2023-04-28,25.5741
2023-04-27,25.9379
2023-04-26,26.4904
2023-04-25,24.9801
2023-04-24,25.3922
2023-04-21,25.6824
2023-04-20,26.0592
2023-04-19,26.4032
2023-04-18,26.0939
2023-04-17,25.5866
2023-04-14,25.4280
2023-04-13,26.8208
2023-04-12,27.0262
2023-04-11,27.4188
2023-04-10,27.6332
2023-04-06,27.4535
2023-04-05,27.8430
2023-04-04,28.3715
2023-04-03,28.9795
2023-03-31,28.2987
2023-03-30,28.0048
2023-03-29,27.1740
2023-03-28,26.7206
2023-03-27,25.6439
2023-03-24,24.6572
2023-03-23,24.9832
2023-03-22,25.5114
2023-03-21,26.2548
2023-03-20,25.9393
2023-03-17,25.3623
2023-03-16,25.7125
2023-03-15,25.9573
2023-03-14,27.2818
2023-03-13,25.9935
2023-03-10,26.1742
2023-03-09,26.8442
2023-03-08,27.6842
2023-03-07,27.9735
2023-03-06,28.5096
2023-03-03,29.0666
2023-03-02,27.7014
2023-03-01,26.6620
2023-02-28,26.0092
2023-02-27,26.2901
2023-02-24,26.2486
2023-02-23,27.2611
2023-02-22,26.9212
2023-02-21,27.2073
2023-02-17,27.8430
2023-02-16,28.2930
2023-02-15,28.8169
2023-02-14,29.2040
2023-02-13,28.2941
2023-02-10,28.1254
2023-02-09,28.5174
2023-02-08,29.0523
2023-02-07,29.2387
2023-02-06,27.6696
2023-02-03,28.1035
2023-02-02,28.6026
2023-02-01,29.2971
2023-01-31,27.9756
2023-01-30,27.8408
2023-01-27,28.1914
2023-01-26,28.5250
2023-01-25,29.1694
2023-01-24,29.4475
2023-01-23,30.1870
2023-01-20,29.5605
2023-01-19,29.8890
2023-01-18,30.3891
2023-01-17,30.8004
2023-01-13,31.3333
2023-01-12,31.2875
2023-01-11,30.5720
2023-01-10,30.6699
2023-01-09,31.3109
2023-01-06,31.6612
2023-01-05,29.9236
2023-01-04,29.9338
2023-01-03,28.5466
2022-12-30,26.9475
2022-12-29,27.1443
2022-12-28,27.5207
2022-12-27,27.8841
2022-12-23,27.3218
2022-12-22,27.7544
2022-12-21,28.7323
2022-12-20,27.3031
2022-12-19,27.0589
2022-12-16,26.8808
2022-12-15,27.3632
2022-12-14,28.0093
2022-12-13,28.4111
2022-12-12,27.5210
2022-12-09,27.2395
2022-12-08,27.6808
2022-12-07,26.2787
2022-12-06,26.6161
2022-12-05,27.3466
2022-12-02,26.3545
2022-12-01,26.0230
2022-11-30,26.4736
2022-11-29,25.6100
2022-11-28,25.9722
2022-11-25,26.5675
2022-11-23,25.7859
2022-11-22,26.0650
2022-11-21,26.3244
2022-11-18,26.6410
2022-11-17,26.2881
2022-11-16,26.6895
2022-11-15,26.9948
2022-11-14,27.3398
2022-11-11,27.7019
2022-11-10,28.1507
2022-11-09,26.6122
2022-11-08,26.6760
2022-11-07,25.9171
2022-11-04,24.6258
2022-11-03,24.4012
2022-11-02,23.6278
2022-11-01,21.7825
2022-10-31,21.7634
2022-10-28,22.1192
2022-10-27,21.9447
2022-10-26,22.6268
2022-10-25,24.0371
2022-10-24,23.0677
2022-10-21,22.8202
2022-10-20,23.1881
2022-10-19,23.2343
2022-10-18,22.9917
2022-10-17,22.5975
2022-10-14,22.6186
2022-10-13,22.4292
2022-10-12,23.2257
2022-10-11,23.5140
2022-10-10,23.9739
2022-10-07,22.7353
2022-10-06,23.0508
2022-10-05,23.3217
2022-10-04,23.7266
2022-10-03,22.1985
2022-09-30,22.0950
2022-09-29,22.4197
2022-09-28,23.1360
2022-09-27,22.4929
2022-09-26,22.8533
2022-09-23,23.2730
2022-09-22,23.9868
2022-09-21,24.4179
2022-09-20,24.2270
2022-09-19,24.3040
2022-09-16,24.2277
2022-09-15,24.9036
2022-09-14,24.1711
2022-09-13,24.6020
2022-09-12,25.5603
2022-09-09,25.4536
2022-09-08,25.2106
2022-09-07,24.9384
2022-09-06,24.7750
2022-09-02,25.0983
2022-09-01,25.5460
2022-08-31,26.3339
2022-08-30,26.6250
2022-08-29,26.4390
2022-08-26,26.8437
2022-08-25,26.9044
2022-08-24,25.6381
2022-08-23,25.1825
2022-08-22,24.9459
2022-08-19,25.3442
2022-08-18,25.8374
2022-08-17,26.1153
2022-08-16,26.6080
2022-08-15,26.5925
2022-08-12,26.1835
2022-08-11,26.3878
2022-08-10,26.5780
2022-08-09,25.6758
2022-08-08,25.9128
2022-08-05,25.1997
2022-08-04,25.4355
2022-08-03,25.5369
2022-08-02,25.9262
2022-08-01,26.3765
2022-07-29,23.8060
2022-07-28,24.1084
2022-07-27,24.6121
2022-07-26,23.9818
2022-07-25,23.9855
2022-07-22,24.3607
2022-07-21,24.2647
2022-07-20,23.9938
2022-07-19,23.4466
2022-07-18,23.9322
2022-07-15,22.7282
2022-07-14,22.4108
2022-07-13,22.8596
2022-07-12,23.1883
2022-07-11,21.0778
2022-07-08,21.3453
2022-07-07,21.5526
2022-07-06,20.8967
2022-07-05,20.9675
2022-07-01,21.4813
2022-06-30,20.6441
2022-06-29,21.0482
2022-06-28,21.2914
2022-06-27,19.9352
2022-06-24,20.2348
2022-06-23,19.4264
2022-06-22,19.8301
2022-06-21,20.1385
2022-06-17,19.8769
2022-06-16,19.2724
2022-06-15,19.3938
2022-06-14,16.4802
2022-06-13,16.9096
2022-06-10,17.5376
2022-06-09,17.8858
2022-06-08,18.1925
2022-06-07,18.1124
2022-06-06,18.3860
2022-06-03,18.6088
2022-06-02,18.7283
2022-06-01,17.5061
2022-05-31,17.8649
2022-05-27,17.8587
2022-05-26,17.1471
2022-05-25,15.7498
2022-05-24,15.9142
2022-05-23,16.2073
2022-05-20,16.3879
2022-05-19,16.9130
2022-05-18,17.1277
2022-05-17,17.4861
2022-05-16,17.4398
2022-05-13,17.7680
2022-05-12,17.5569
2022-05-11,17.9952
2022-05-10,18.4841
